V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t71	-4.327	-2.823	-3.061	-4.59	-2.99	-5.099	-2.384	-4.202	-4.734	-5.461	-4.924	-3.956	-5.184	-3.37	-3.361	-2.953	-2.627	-2.366	-5.065	-3.797	-4.07	-2.194	-5.933	-3.813	-4.82	-3.246	-2.938	-4.941	-5.428	-2.514
t180	-5.116	-1.837	-1.774	-3.617	-4.201	-4.424	-4.325	-3.039	-5.902	-4.791	-3.87	-4.952	-2.078	-4.05	-2.719	-4.682	-4.072	-4.931	-3.931	-4.439	-5.822	-5.502	-4.921	-5.79	-4.186	-5.214	-3.884	-2.127	-4.48	-3.028
t6	-4.345	-2.195	-2.602	-4.134	-2.694	-4.414	-3.104	-3.692	-4.964	-4.958	-4.244	-4.605	-3.293	-3.439	-2.97	-3.957	-4.982	-3.354	-4.484	-3.77	-4.87	-3.618	-5.113	-4.702	-4.305	-4.199	-2.886	-2.363	-4.9	-1.922
t13	-4.379	-1.996	-2.129	-3.832	-3.163	-4.364	-3.623	-3.321	-4.997	-4.825	-4.093	-4.202	-3.212	-3.355	-2.754	-3.463	-3.832	-3.456	-4.138	-3.816	-4.674	-3.696	-4.61	-4.586	-4.177	-3.998	-3.191	-3.019	-4.462	-2.345
t177	-7.053	-2.174	-1.523	-3.842	-7.022	-5.147	-8.077	-3.023	-8.119	-5.459	-4.234	-6.464	-1.024	-5.735	-3.301	-6.56	-5.099	-8.308	-3.945	-6.302	-8.159	-9.38	-4.628	-8.418	-4.876	-7.717	-6.363	-2.257	-4.454	-5.278
t11	-4.842	-5.114	-6.605	-7.418	-1.483	-6.559	-2.236	-7.288	-5.11	-7.448	-7.175	-6.146	-7.923	-4.331	-5.666	-4.783	-9.317	-2.116	-7.872	-4.464	-5.076	-1.778	-7.921	-4.586	-6.703	-4.27	-2.77	-4.725	-8.073	-1.57
t3	-5.096	-1.796	-1.659	-3.61	-4.27	-4.351	-5.439	-2.963	-5.893	-4.817	-3.904	-4.806	-2.096	-3.952	-2.722	-4.3	-4.523	-5.072	-3.777	-4.493	-5.722	-5.652	-4.005	-5.803	-4.176	-5.159	-4.188	-2.407	-4.072	-3.118
t153	-8.228	-2.48	-1.078	-3.786	-9.421	-5.955	-9.196	-2.845	-9.316	-5.894	-4.557	-6.544	-1.36	-6.66	-3.531	-6.825	-1.989	-9.645	-3.966	-7.382	-8.878	-10.683	-5.375	-9.221	-5.384	-8.381	-7.872	-4.416	-4.62	-7.423
t2	-4.846	-1.864	-1.673	-3.551	-4.157	-4.483	-4.001	-2.978	-5.528	-4.777	-3.942	-4.295	-2.764	-3.72	-2.633	-3.78	-2.642	-4.22	-3.894	-4.209	-5.121	-4.561	-4.815	-5.078	-4.169	-4.444	-3.748	-3.275	-4.351	-3.129
t184	-4.534	-4.212	-5.18	-6.273	-2.032	-5.987	-2.099	-6.049	-4.822	-6.648	-6.296	-5.073	-7.059	-3.83	-4.719	-3.778	-6.233	-1.957	-6.757	-4.106	-4.445	-1.6	-7.143	-4.036	-5.943	-3.604	-2.751	-5.123	-7.008	-1.944
t195	-4.182	-2.419	-2.963	-4.443	-2.297	-4.502	-3.427	-4.005	-4.75	-5.158	-4.522	-4.538	-3.83	-3.291	-3.186	-3.607	-5.851	-3.01	-4.711	-3.692	-4.608	-3.188	-4.721	-4.467	-4.464	-3.945	-2.837	-2.699	-4.915	-1.688
t60	-4.161	-3.094	-3.721	-5.087	-2.173	-5.082	-2.86	-4.723	-4.57	-5.705	-5.223	-4.364	-5.398	-3.302	-3.708	-3.14	-5.284	-2.244	-5.434	-3.725	-4.155	-2.105	-5.462	-3.921	-5.002	-3.394	-2.76	-4.252	-5.575	-1.841
t62	-6.068	-1.884	-1.272	-3.518	-5.997	-4.775	-6.817	-2.752	-6.971	-5.058	-3.997	-5.237	-1.698	-4.756	-2.859	-4.969	-3.487	-6.582	-3.664	-5.391	-6.675	-7.337	-4.188	-6.871	-4.458	-6.141	-5.42	-3.073	-4.041	-4.546
t175	-4.893	-1.831	-1.587	-3.525	-4.279	-4.46	-4.554	-2.913	-5.593	-4.785	-3.938	-4.277	-2.689	-3.725	-2.628	-3.68	-2.881	-4.397	-3.802	-4.284	-5.157	-4.763	-4.402	-5.174	-4.164	-4.505	-3.947	-3.349	-4.154	-3.235
t84	-4.545	-1.899	-1.882	-3.676	-3.57	-4.371	-3.93	-3.126	-5.194	-4.776	-3.999	-4.19	-2.984	-3.464	-2.669	-3.506	-3.395	-3.78	-3.974	-3.964	-4.822	-4.066	-4.509	-4.773	-4.138	-4.153	-3.449	-3.129	-4.312	-2.665
t20	-4.366	-2.165	-2.592	-4.148	-2.663	-4.367	-3.523	-3.681	-5.009	-4.959	-4.235	-4.687	-3.139	-3.455	-2.982	-4.002	-5.536	-3.518	-4.433	-3.812	-4.962	-3.844	-4.781	-4.837	-4.292	-4.325	-2.989	-2.183	-4.768	-1.879
t29	-6.441	-1.985	-1.425	-3.641	-6.288	-4.892	-6.895	-2.885	-7.415	-5.178	-4.041	-5.834	-1.323	-5.169	-3.019	-5.823	-4.189	-7.233	-3.822	-5.703	-7.341	-8.133	-4.686	-7.516	-4.596	-6.835	-5.625	-2.419	-4.357	-4.701
