V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t146	2.086	-0.627	-0.707	0.313	1.153	1.153	0.34	0.888	0.394	-0.641	-0.857	-1.054	1.505	-0.146	-2.814	-1.324	-1.458	-1.139	1.112	-1.259	-4.423	2.081	-0.999	3.295	-0.597	-0.823	1.55	0.328	2.981	-0.323
t139	0.676	-0.252	-2.273	0.641	0.207	1.603	1.868	-0.307	-0.513	0.527	-1.493	-0.657	1.27	0.596	-0.841	-2.403	2.081	-0.297	0.878	-2.237	-4.25	1.25	-0.976	1.916	-0.114	0.355	0.555	0.527	1.051	0.603
t65	0.919	0.127	-2.513	0.908	0.047	1.35	1.639	-0.269	-0.484	0.677	-0.845	-0.68	1.201	0.752	0.667	-3.462	-0.707	-0.085	0.807	-1.934	-3.045	1.404	-0.93	2.144	0.156	-0.536	0.852	0.829	1.253	-0.246
t54	1.39	-0.574	-1.41	0.333	0.87	1.305	0.972	0.675	-0.223	-0.317	-1.864	-0.843	1.741	0.152	-1.852	-1.925	-0.186	-0.872	0.839	-1.606	-4.364	1.83	-1.248	5.167	-0.635	-0.553	0.968	0.33	1.975	-0.104
t106	-0.04	0.573	-3.832	1.254	-0.931	1.896	3.229	-1.675	-1.631	1.996	1.403	-0.535	-0.69	1.518	1.564	-3.011	0.19	1.114	0.908	-2.758	-1.661	0.201	-0.662	-1.175	0.707	0.16	-0.139	0.961	-0.88	1.938
t198	-1.68	1.032	-4.68	1.559	-1.832	3.673	4.674	-2.971	-2.283	3.084	-0.256	0.211	-2.227	1.814	2.806	-2.53	3.453	1.835	0.974	-3.344	-2.456	-0.596	-0.737	-3.156	0.898	2.042	-1.303	1.197	-2.974	3.695
t7	1.086	-0.132	-1.94	0.675	0.386	1.555	1.635	-0.156	-0.537	0.522	0.52	-0.799	0.868	0.615	-1.012	-1.896	-1.187	-0.113	1.069	-1.917	-3.339	1.198	-0.871	0.589	-0.045	-0.299	0.82	0.548	1.22	0.934
t104	1.102	-0.67	-1.585	0.245	1.409	1.167	0.865	0.862	-0.065	-0.377	-0.624	-0.943	1.182	-0.041	-1.759	-1.788	-1.447	-1.131	1.025	-1.659	-3.638	2.01	-1.218	5.229	-0.677	-0.316	1.05	0.317	2.06	-0.605
t3	3.445	-0.848	-0.188	0.039	2.361	-0.089	-0.675	1.695	0.522	-1.298	1.689	-1.546	1.636	-0.816	-4.663	1.607	-3.87	-1.488	1.478	-0.737	-3.977	2.899	-0.801	-0.451	-0.786	-1.971	2.428	0.07	4.455	-0.166
t38	0.92	0.042	-2.327	0.823	-0.027	1.548	2.003	-0.568	-0.702	0.814	0.518	-0.736	0.922	0.757	-0.2	-2.317	-0.397	0.171	1.03	-2.058	-3.316	1.191	-0.755	-0.566	0.172	-0.263	0.648	0.642	0.847	1.182
