feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t14	0.039	0.032	0.042	0.048	0.028	0.026	0.037	0.026	0.037	0.019	0.049	0.033	0.032	0.027	0.037	0.05	0.037	0.019	0.029	0.039	0.031	0.04	0.015	0.027	0.024	0.02	0.076	0.025	0.028	0.029
t7	0.04	0.04	0.032	0.048	0.038	0.034	0.035	0.031	0.035	0.015	0.082	0.034	0.032	0.011	0.037	0.033	0.035	0.023	0.035	0.042	0.032	0.04	0.025	0.028	0.027	0.031	0.027	0.021	0.028	0.028
t33	0.04	0.038	0.036	0.063	0.027	0.03	0.037	0.025	0.031	0.014	0.058	0.033	0.027	0.044	0.038	0.03	0.029	0.021	0.032	0.04	0.031	0.044	0.013	0.027	0.021	0.046	0.041	0.024	0.028	0.03
t24	0.035	0.046	0.033	0.04	0.025	0.036	0.04	0.029	0.034	0.016	0.056	0.028	0.029	0.031	0.042	0.036	0.035	0.03	0.032	0.042	0.032	0.04	0.042	0.024	0.022	0.023	0.033	0.027	0.036	0.028
t19	0.032	0.037	0.039	0.056	0.036	0.029	0.038	0.03	0.027	0.018	0.044	0.028	0.033	0.027	0.036	0.033	0.033	0.021	0.031	0.034	0.031	0.048	0.036	0.021	0.022	0.046	0.056	0.024	0.025	0.029
t15	0.038	0.046	0.028	0.042	0.031	0.032	0.035	0.027	0.03	0.022	0.069	0.041	0.03	0.031	0.032	0.034	0.036	0.023	0.029	0.035	0.031	0.038	0.03	0.03	0.022	0.054	0.022	0.019	0.029	0.032
t34	0.034	0.038	0.032	0.06	0.032	0.029	0.043	0.029	0.041	0.017	0.053	0.033	0.031	0.045	0.037	0.034	0.035	0.017	0.031	0.047	0.031	0.032	0.007	0.025	0.028	0.036	0.033	0.027	0.029	0.033
t37	0.038	0.055	0.03	0.053	0.029	0.03	0.034	0.027	0.028	0.021	0.039	0.032	0.031	0.022	0.04	0.038	0.031	0.025	0.028	0.05	0.031	0.038	0.026	0.027	0.021	0.037	0.048	0.021	0.041	0.028
t42	0.037	0.034	0.043	0.06	0.027	0.028	0.026	0.029	0.028	0.016	0.055	0.027	0.03	0.045	0.038	0.028	0.032	0.026	0.024	0.042	0.03	0.031	0.011	0.022	0.025	0.041	0.081	0.022	0.034	0.029
t29	0.033	0.039	0.046	0.064	0.026	0.026	0.042	0.024	0.029	0.013	0.067	0.037	0.03	0.03	0.035	0.037	0.033	0.022	0.026	0.037	0.032	0.03	0.036	0.025	0.028	0.045	0.021	0.026	0.029	0.032
t36	0.038	0.05	0.037	0.063	0.027	0.034	0.025	0.034	0.029	0.014	0.047	0.039	0.03	0.032	0.033	0.035	0.036	0.02	0.032	0.044	0.032	0.034	0.022	0.027	0.025	0.041	0.034	0.03	0.023	0.03
t21	0.032	0.038	0.032	0.039	0.047	0.029	0.042	0.027	0.029	0.013	0.07	0.026	0.039	0.026	0.037	0.034	0.036	0.023	0.03	0.036	0.031	0.035	0.022	0.027	0.031	0.046	0.04	0.023	0.029	0.028
t12	0.037	0.051	0.038	0.052	0.032	0.032	0.037	0.027	0.029	0.018	0.072	0.033	0.027	0.037	0.043	0.034	0.038	0.02	0.032	0.037	0.032	0.041	0.009	0.026	0.024	0.042	0.019	0.024	0.027	0.031
t2	0.037	0.045	0.039	0.05	0.026	0.026	0.033	0.036	0.031	0.026	0.059	0.032	0.03	0.029	0.038	0.033	0.035	0.021	0.027	0.053	0.032	0.038	0.011	0.025	0.028	0.051	0.026	0.024	0.031	0.029
t25	0.04	0.06	0.035	0.063	0.037	0.032	0.034	0.028	0.026	0.018	0.043	0.04	0.033	0.031	0.041	0.032	0.034	0.025	0.028	0.041	0.033	0.038	0.025	0.028	0.026	0.027	0.023	0.026	0.026	0.027
t35	0.039	0.035	0.033	0.053	0.03	0.034	0.04	0.029	0.031	0.014	0.041	0.042	0.028	0.017	0.044	0.031	0.035	0.022	0.029	0.049	0.033	0.045	0.025	0.031	0.024	0.024	0.055	0.029	0.029	0.03
t28	0.039	0.042	0.037	0.058	0.026	0.03	0.038	0.027	0.036	0.014	0.061	0.034	0.026	0.022	0.041	0.034	0.026	0.021	0.033	0.052	0.032	0.042	0.032	0.024	0.029	0.025	0.027	0.032	0.033	0.028
