feature	pagel_lam_mle	pagel_lam_sim	pagel_lam_sim_source	pagel_lam_sim_spec	pagel_lam_sim_alpha	pagel_lam_sim_beta	pagel_lam_mode	pagel_lam_mode_requested
feature_1	0.482023508556314	0.69	beta	beta:10,10	10	10	global	global
feature_2	0.482023508556314	0.609	beta	beta:10,10	10	10	global	global
feature_3	0.482023508556314	0.57	beta	beta:10,10	10	10	global	global
feature_4	0.482023508556314	0.617	beta	beta:10,10	10	10	global	global
feature_5	0.482023508556314	0.668	beta	beta:10,10	10	10	global	global
feature_6	0.482023508556314	0.535	beta	beta:10,10	10	10	global	global
feature_7	0.482023508556314	0.601	beta	beta:10,10	10	10	global	global
feature_8	0.482023508556314	0.466	beta	beta:10,10	10	10	global	global
feature_9	0.482023508556314	0.66	beta	beta:10,10	10	10	global	global
feature_10	0.482023508556314	0.591	beta	beta:10,10	10	10	global	global
feature_11	0.482023508556314	0.569	beta	beta:10,10	10	10	global	global
feature_12	0.482023508556314	0.567	beta	beta:10,10	10	10	global	global
feature_13	0.482023508556314	0.644	beta	beta:10,10	10	10	global	global
feature_14	0.482023508556314	0.389	beta	beta:10,10	10	10	global	global
feature_15	0.482023508556314	0.519	beta	beta:10,10	10	10	global	global
feature_16	0.482023508556314	0.495	beta	beta:10,10	10	10	global	global
feature_17	0.482023508556314	0.386	beta	beta:10,10	10	10	global	global
feature_18	0.482023508556314	0.583	beta	beta:10,10	10	10	global	global
feature_19	0.482023508556314	0.628	beta	beta:10,10	10	10	global	global
feature_20	0.482023508556314	0.701	beta	beta:10,10	10	10	global	global
feature_21	0.482023508556314	0.714	beta	beta:10,10	10	10	global	global
feature_22	0.482023508556314	0.712	beta	beta:10,10	10	10	global	global
feature_23	0.482023508556314	0.439	beta	beta:10,10	10	10	global	global
feature_24	0.482023508556314	0.39	beta	beta:10,10	10	10	global	global
feature_25	0.482023508556314	0.441	beta	beta:10,10	10	10	global	global
feature_26	0.482023508556314	0.441	beta	beta:10,10	10	10	global	global
feature_27	0.482023508556314	0.431	beta	beta:10,10	10	10	global	global
feature_28	0.482023508556314	0.665	beta	beta:10,10	10	10	global	global
feature_29	0.482023508556314	0.398	beta	beta:10,10	10	10	global	global
feature_30	0.482023508556314	0.354	beta	beta:10,10	10	10	global	global
