feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t14	0.595	-1.505	1.003	0.153	-0.263	-0.835	0.186	-0.497	1.152	-0.13	-0.383	-0.101	0.194	0.126	0.162	2.041	0.535	-0.487	-0.176	-0.072	-0.001	0.838	-1.231	-0.128	-0.802	-3.198	3.61	-0.104	-0.534	-0.147
t7	0.623	0.07	-0.214	0.346	1.519	0.621	0.399	0.402	0.867	-0.994	2.914	0.296	0.302	-5.338	-0.002	-0.168	0.174	-0.006	0.673	0.452	0.08	0.421	0.293	0.181	-0.046	-0.509	-1.273	-1.156	-0.527	-0.399
t33	0.819	-0.349	0.216	1.404	-0.274	-0.107	0.181	-0.572	0.266	-1.453	0.543	-0.148	-0.488	2.704	0.386	-0.442	-0.44	0.014	0.267	0.058	-0.032	1.248	-2.215	-0.111	-1.574	0.809	0.159	-0.408	-0.532	0.066
t24	0.077	0.155	-0.346	-0.817	-1.008	0.63	0.448	-0.094	0.682	-1.241	0.193	-0.905	-0.274	0.802	0.64	0.351	0.105	1.538	0.196	0.198	-0.025	0.779	3.323	-0.75	-1.371	-2.727	-0.694	0.091	0.408	-0.363
t19	-0.364	-0.698	0.573	0.633	0.958	-0.429	0.123	0.047	-0.403	-0.342	-0.812	-0.914	0.304	0.091	-0.056	-0.102	0.034	-0.127	0.125	-1.004	-0.093	1.757	2.895	-1.492	-1.054	0.474	1.863	-0.508	-1.314	-0.166
t15	0.131	0.422	-0.973	-0.443	0.213	0.32	0.133	-0.26	-0.158	0.25	1.676	1.312	-0.182	1.527	-0.918	-0.117	0.62	-0.06	-0.197	-0.343	-0.113	-0.091	0.263	0.424	-1.066	2.041	-2.601	-1.813	-0.278	0.282
t34	-0.192	-0.341	-0.285	1.208	0.468	0.012	1.089	0.208	1.379	-0.771	0.614	0.398	0.088	3.25	-0.087	0.013	0.561	-1.265	0.117	1.043	-0.063	-0.748	-6.261	-0.222	0.044	0.345	-0.697	-0.227	-0.2	0.523
t37	0.431	1.384	-0.409	0.722	-0.558	-0.107	-0.128	-0.537	-0.582	-0.151	-1.364	0.21	0.012	-1.787	0.383	0.682	-0.329	0.25	-0.531	1.061	-0.065	-0.024	0.547	0.175	-1.461	0.395	1.518	-1.158	1.747	-0.325
t42	0.127	-0.753	1.144	1.341	-0.383	-0.084	-1.093	0.157	-0.437	-1.107	0.727	-0.372	-0.104	3.43	0.087	-0.805	0.296	0.718	-1.015	0.571	-0.196	-0.847	-3.955	-0.784	-0.325	0.952	3.394	-1.191	0.497	0.009
t29	-0.235	-0.012	1.62	1.636	-0.861	-0.642	0.733	-0.843	-0.466	-2.39	1.2	0.959	-0.137	-0.16	-0.285	0.563	0.12	-0.201	-0.786	-0.195	0.017	-1.168	2.304	-0.122	0.065	1.192	-2.355	0.038	0.1	0.312
