V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t84	-1.483	0.89	1.605	-2.233	-2.797	2.414	-0.713	0.002	0.914	-1.169	-1.45	-0.265	1.84	0.343	-0.457	0.087	0.05	2.436	1.487	0.632	0.105	-1.584	-0.31	-1.101	0.82	-0.878	-0.988	-0.266	1.43	0.635
t74	-0.225	2.114	-1.028	-0.048	0.094	2.305	-0.421	-2.049	0.547	-3.82	-0.401	-2.291	2.455	-1.971	-0.917	3.781	-0.86	2.129	0.826	-0.278	1.836	0	-0.358	-1.15	1.582	-0.017	0.147	-1.344	-1.562	0.914
t97	-2.66	-0.573	2.9	-2.821	-3.529	2.424	-0.707	1.191	0.355	1.27	-1.847	1.495	0.238	1.511	-0.203	-0.826	0.889	2.496	1.782	0.446	0.044	-2.435	-0.49	-1.052	0.976	-1.255	-1.712	-1.168	3.05	0.199
t99	-2.947	-0.048	3.387	-3.276	-3.63	2.462	-0.638	1.551	0.591	1.238	-2.046	1.84	0.725	1.81	-0.094	-1.2	0.965	2.56	1.959	0.355	-0.27	-2.621	-0.619	-1.166	0.619	-1.561	-2.183	-1.223	3.474	-0.031
t166	-2.005	0.799	0.784	-1.595	-1.238	2.457	-0.341	-0.232	1.469	-1.73	-0.882	-0.718	2.033	0.09	-0.441	0.669	0.077	2.49	1.34	-0.272	0.699	-0.963	-0.162	-0.973	0.854	-0.43	-0.662	-1.873	0.786	-0.035
t107	-2.877	-1.369	3.148	-2.696	-3.663	2.43	-0.523	1.704	0.112	1.625	-1.788	0.809	0.141	2.159	-0.114	-2.179	0.729	2.522	1.897	0.252	-0.222	-2.331	-0.214	-1	0.638	-1.181	-1.503	-0.32	3.479	0.319
t198	-1.074	0.115	-0.256	-0.687	-0.872	2.354	-0.451	-0.736	0.545	-2.122	-0.612	-1.79	1.495	-0.843	-0.675	2.521	-0.328	2.255	1.072	-0.282	1.469	-0.402	-0.157	-0.961	1.585	0.154	0.164	-1.562	-0.235	0.313
t194	-0.807	1.409	0.845	-1.551	-1.877	2.412	-1.025	-1.216	1.06	-1.637	-0.976	-0.569	1.568	0.1	-0.624	-0.58	-0.144	2.457	1.018	0.424	0.573	-1.269	0.014	-0.889	0.924	-0.624	-0.572	0.013	0.4	1.139
t173	-2.108	1.527	1.094	-1.577	-2.762	2.319	-0.466	-0.202	0.265	-0.219	-1.324	0.749	0.525	-0.564	-0.684	1.096	0.373	2.186	1.465	0.997	0.886	-1.912	-0.036	-1.161	1.614	-0.907	-1.089	-2.045	1.026	0.93
t77	0.575	1.923	-2.846	1.332	1.775	2.367	-0.359	-3.3	1.426	-5.622	0.652	-4.507	2.787	-2.671	-1.119	3.782	-1.625	2.221	0.333	-0.75	2.468	1.338	0.263	-0.83	1.769	0.995	1.577	-1.402	-3.301	0.682
t21	-2.195	1.161	1.243	-2.111	-1.502	2.492	-0.325	0.149	1.534	-1.561	-1.169	-0.187	2.495	0.164	-0.322	0.748	0.253	2.514	1.562	-0.342	0.388	-1.188	-0.376	-1.116	0.503	-0.621	-1.149	-2.241	1.36	-0.166
t153	-2.185	-1.215	2.195	-1.592	-2.91	2.288	-0.477	0.727	-0.675	1.155	-1.487	0.423	-0.6	1.136	-0.423	-0.174	0.44	2.273	1.499	0.292	0.838	-1.95	-0.45	-1.059	1.479	-1.128	-1.035	-0.179	2.083	0.707
t66	-1.364	0.317	0.205	-1.036	-1.37	2.275	-0.293	-0.369	0.006	-1.619	-0.895	-1.248	1.138	-0.537	-0.679	2.292	-0.013	2.108	1.066	0.076	1.454	-0.764	-0.395	-1.022	1.563	-0.216	-0.074	-1.187	-0.146	0.724
t89	-2.095	-1.145	2.499	-2.067	-3.903	2.235	-0.746	0.915	-0.861	1.576	-1.844	0.98	-0.495	1.037	-0.48	0.157	0.552	2.233	1.622	0.735	0.529	-2.538	-0.464	-1.147	1.669	-1.334	-1.286	0.356	2.403	0.894
t150	-2.816	-1.184	3.096	-2.451	-4.237	2.282	-0.459	1.727	-1.063	2.452	-2.03	1.727	-1.102	1.334	-0.34	-0.16	0.964	2.217	1.879	0.897	0.489	-2.734	-0.646	-1.201	1.637	-1.495	-1.639	-0.777	3.106	0.509
t152	-2.367	1.281	0.56	-0.851	-1.501	2.274	-0.168	-0.763	0.738	-1.369	-0.889	-0.392	1.067	-0.21	-0.678	0.518	-0.058	2.243	1.204	0.318	0.968	-1.25	0.231	-1.007	1.213	-0.902	-0.775	-1.129	0.479	1.209
t62	-1.637	1.317	0.333	-0.865	-0.959	2.415	-0.236	-0.921	1.321	-1.85	-0.646	-1.009	1.799	-0.44	-0.629	0.558	-0.192	2.405	1.182	-0.129	1.061	-0.904	-0.002	-1.042	1.043	-0.472	-0.408	-1.527	0.076	0.354
t44	-1.809	0.182	1.587	-2.129	-2.31	2.458	-0.72	0.032	1.204	-0.666	-1.283	0.09	1.233	0.654	-0.351	-0.215	0.294	2.527	1.407	0.208	0.358	-1.457	-0.313	-0.962	0.834	-0.717	-0.971	-1.057	1.639	0.246
t49	-2.515	-0.706	2.327	-2.348	-3.143	2.397	-0.497	0.826	0.786	0.456	-1.595	0.703	0.679	1.128	-0.285	-0.366	0.523	2.51	1.676	0.376	0.119	-1.995	-0.443	-1.046	0.947	-1.172	-1.284	-0.708	2.481	0.164
