feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t37	0.091	-0.217	-0.285	-0.918	-0.497	-2.579	-0.283	0.46	-0.464	0.799	-1.218	0.648	-0.37	-0.539	3.264	-1.051	0.474	-0.008	-0.55	0.819	-1.621	-0.879	0.085	-0.049	0.102	0.094	0.896	0.686	1.674	1.425
t129	0.032	0.428	-0.366	-0.693	0.061	-2.114	-1.074	0.809	-0.732	1.046	-0.645	0.942	-0.061	-0.448	3.114	-0.814	0.162	-0.34	-1.246	0.714	-1.979	-0.91	0.364	-0.984	-0.208	-0.063	1.174	0.339	1.883	1.598
t6	-0.301	0.376	-0.468	-1.55	-0.236	-2.244	-0.998	1.328	-0.955	0.868	-0.945	1.74	-0.071	-0.375	3.043	-0.853	0.158	0.19	-0.945	0.675	-1.471	-1.422	0.496	-0.808	-0.199	-0.152	1.188	0.967	0.975	1.984
t67	-0.14	0.255	-0.484	-1.13	-0.143	-2.207	-1.011	0.899	-1.005	0.986	-0.535	1.606	-0.102	-0.502	3.045	-0.864	0.162	-0.091	-1.041	0.681	-1.378	-1.066	0.447	-0.829	-0.213	-0.1	1.173	0.286	1.188	2.102
t14	0.203	-0.307	-0.268	-0.679	-0.556	-2.709	-0.364	0.181	-0.413	0.912	-1.154	0.725	-0.435	-0.637	3.372	-1.073	0.551	-0.242	-0.563	0.848	-1.94	-0.62	0.033	0.138	0.172	0.17	0.845	0.496	2.075	1.228
t91	0.116	0.009	-0.465	-0.327	-0.202	-2.309	-0.738	0.17	-1.038	1.153	-0.103	1.656	-0.231	-0.792	2.989	-0.929	0.257	-0.445	-1.179	0.741	-1.599	-0.399	0.329	-0.585	-0.255	0.04	1.084	-0.321	1.783	1.578
t126	-0.088	0.405	-0.481	-0.804	0.039	-2.081	-1.125	0.839	-1.073	1.086	-0.264	1.609	-0.038	-0.551	2.976	-0.808	0.08	-0.267	-1.305	0.668	-1.53	-0.888	0.498	-1.066	-0.329	-0.113	1.235	-0.039	1.45	1.954
t87	0.244	-0.051	-0.403	-1.182	-0.474	-2.617	-1.279	0.319	-0.295	1.03	-1.125	1.056	-0.329	-0.467	3.575	-1	0.475	-0.599	-0.495	0.815	-2.606	-0.759	0.2	-0.137	0.332	0.102	0.986	0.628	1.924	2.116
t7	-0.375	0.401	-0.434	-1.353	-0.174	-2.158	-0.701	1.404	-1.09	0.83	-0.834	1.657	-0.041	-0.402	2.879	-0.834	0.124	0.367	-1.089	0.681	-1.178	-1.451	0.483	-0.912	-0.368	-0.169	1.199	0.925	0.905	1.692
t4	0.298	-0.474	-0.219	-0.771	-0.652	-2.804	-0.222	0.053	-0.15	0.81	-1.461	0.216	-0.517	-0.58	3.503	-1.139	0.65	-0.219	-0.305	0.879	-1.937	-0.655	-0.096	0.368	0.356	0.212	0.754	0.7	2.104	1.283
t121	0.217	-0.152	-0.302	-0.826	-0.491	-2.631	-0.643	0.302	-0.342	0.933	-1.169	0.764	-0.376	-0.556	3.399	-1.036	0.498	-0.346	-0.578	0.843	-2.277	-0.684	0.103	-0.028	0.197	0.135	0.914	0.617	2.043	1.46
t162	-0.22	0.275	-0.466	-1.183	-0.128	-2.165	-0.996	0.989	-1.01	0.917	-0.669	1.482	-0.071	-0.444	3.058	-0.847	0.167	0.076	-1.038	0.656	-1.028	-1.262	0.41	-0.876	-0.238	-0.14	1.168	0.511	1.042	2.021
t54	-0.247	0.576	-0.451	-1.341	-0.028	-2.08	-1.308	1.296	-0.888	0.954	-0.788	1.502	0.026	-0.294	3.101	-0.777	0.11	-0.031	-1.133	0.681	-1.806	-1.402	0.503	-1.134	-0.247	-0.179	1.269	0.873	1.207	2.027
t183	0.265	-0.111	-0.139	-0.866	-0.551	-2.711	-0.521	0.409	0.099	0.786	-1.893	-0.002	-0.397	-0.358	3.592	-1.054	0.622	-0.229	-0.424	0.902	-2.587	-0.939	-0.095	0.115	0.345	0.16	0.826	1.376	2.408	0.955
t30	-0.403	0.533	-0.432	-1.103	0.03	-1.968	-0.831	1.363	-1.169	0.863	-0.608	1.522	0.051	-0.374	2.847	-0.766	0.063	0.328	-1.303	0.654	-0.977	-1.468	0.494	-1.231	-0.496	-0.222	1.267	0.748	0.915	1.661
t175	-0.255	0.773	-0.528	-0.631	0.302	-1.764	-1.216	1.153	-1.339	1.14	0.089	1.888	0.146	-0.488	2.701	-0.681	-0.088	-0.186	-1.732	0.644	-1.67	-1.032	0.662	-1.65	-0.656	-0.229	1.409	0.15	1.306	1.767
t71	-0.303	0.373	-0.455	-1.22	-0.129	-2.148	-0.882	1.194	-1.071	0.903	-0.703	1.611	-0.036	-0.409	2.957	-0.831	0.143	0.18	-1.092	0.676	-1.221	-1.356	0.459	-0.951	-0.313	-0.155	1.199	0.697	1.005	1.867
t16	-0.106	0.482	-0.513	-0.897	0.043	-2.05	-1.279	0.901	-1.102	1.124	-0.225	1.788	-0.002	-0.516	2.968	-0.785	0.06	-0.319	-1.329	0.664	-1.72	-0.941	0.545	-1.158	-0.342	-0.13	1.277	0.08	1.401	2.068
t177	-0.523	0.832	-0.693	-1.386	0.285	-1.72	-1.574	1.619	-1.719	1.105	0.209	2.663	0.234	-0.451	2.662	-0.644	-0.241	0.088	-1.648	0.507	-0.802	-1.426	0.88	-1.795	-0.684	-0.361	1.497	-0.031	0.397	2.686
t185	-0.219	0.611	-0.44	-0.992	0.014	-2.016	-1.254	1.119	-0.978	1.019	-0.557	1.629	0.039	-0.381	2.998	-0.754	0.105	-0.124	-1.316	0.708	-1.854	-1.208	0.498	-1.209	-0.39	-0.164	1.3	0.677	1.405	1.725
t171	-0.193	0.494	-0.488	-1.285	-0.048	-2.083	-1.371	1.107	-0.955	0.992	-0.655	1.63	0.006	-0.376	3.101	-0.789	0.102	-0.113	-1.13	0.646	-1.508	-1.287	0.498	-1.083	-0.241	-0.172	1.255	0.606	1.172	2.157
t8	0.387	-0.088	-0.239	-0.713	-0.494	-2.678	-0.92	0.114	-0.046	1.009	-1.36	0.475	-0.388	-0.493	3.595	-1.029	0.572	-0.666	-0.556	0.901	-2.96	-0.566	0.015	0.023	0.326	0.191	0.901	0.735	2.583	1.341
t134	-0.16	0.41	-0.498	-0.585	0.055	-2.01	-0.958	0.791	-1.285	1.105	-0.065	1.857	-0.012	-0.619	2.821	-0.785	0.062	-0.145	-1.482	0.653	-1.227	-0.875	0.504	-1.161	-0.511	-0.13	1.25	-0.002	1.349	1.644
t141	0.159	0.225	-0.462	-0.838	-0.198	-2.325	-1.271	0.459	-0.759	1.172	-0.444	1.593	-0.18	-0.606	3.204	-0.897	0.226	-0.656	-1.04	0.74	-2.355	-0.589	0.402	-0.663	-0.061	0.012	1.147	0.039	1.938	2.016
t138	-0.016	0.081	-0.412	-0.986	-0.363	-2.412	-0.912	0.58	-0.758	0.982	-0.788	1.447	-0.219	-0.537	3.203	-0.937	0.338	-0.215	-0.841	0.773	-1.788	-0.908	0.287	-0.457	-0.065	-0.001	1.074	0.498	1.567	1.771
t55	-0.358	0.857	-0.548	-0.727	0.345	-1.72	-1.423	1.284	-1.486	1.154	0.074	2.106	0.218	-0.46	2.731	-0.628	-0.131	-0.076	-1.827	0.579	-1.181	-1.222	0.682	-1.763	-0.721	-0.283	1.434	0.138	1.133	1.806
t160	-0.243	-0.074	-0.531	-1.476	-0.447	-2.438	-0.733	0.841	-1.096	0.872	-0.642	1.91	-0.232	-0.57	3.081	-0.977	0.268	0.17	-0.682	0.691	-0.876	-1.158	0.409	-0.414	-0.092	-0.077	1.074	0.353	0.71	2.366
t151	0.027	0.18	-0.306	-1.056	-0.298	-2.431	-0.99	0.733	-0.442	0.912	-1.299	0.824	-0.2	-0.368	3.391	-0.917	0.382	-0.181	-0.809	0.767	-2.011	-1.125	0.184	-0.456	0.065	-0.003	1.022	1.04	1.888	1.464
