V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t21	-4.29	-3.605	-0.323	-0.952	0.957	-0.465	-0.761	1.251	-0.529	0.951	1.794	-0.089	1.119	0.347	1.455	-0.469	-0.458	-1.066	-1.304	1.973	0.297	0.803	1.712	-1.302	0.732	0.536	-1.326	-1.178	3.77	0.407
t4	-2.517	-2.026	0.188	-1.412	0.245	-0.435	-0.489	1.564	-0.867	0.897	1.202	0.401	1.012	0.03	0.27	-0.272	-0.317	-0.896	-0.407	0.702	0.745	-0.03	1.982	-1.225	1.082	0.625	-1.074	-1.291	1.742	0.57
t53	-4.742	-3.336	1.205	-1.069	0.268	-1.02	-0.758	1.667	-0.464	1.072	2.032	0.241	0.299	0.113	1.286	-0.281	-0.613	-0.514	-1.077	1.763	0.225	0.788	2.353	-1.099	0.812	1.1	-1.611	-0.401	1.676	0.071
t130	-2.336	-1.869	-0.05	-1.489	0.294	-0.484	-0.289	1.503	-0.845	0.888	1.259	0.409	1.056	0.012	0.171	-0.337	-0.233	-0.872	-0.395	0.448	0.775	0.019	1.993	-1.269	1.095	0.68	-1.052	-1.336	1.622	0.63
t65	-1.949	-1.611	0.629	-1.49	-0.065	-0.286	-0.609	1.726	-1.042	0.871	0.87	0.556	0.978	-0.058	-0.066	-0.129	-0.339	-0.936	-0.106	0.496	0.909	-0.42	2.012	-1.16	1.193	0.533	-0.986	-1.357	1.236	0.596
t72	-6.571	-5.331	-0.338	-0.518	1.518	-0.811	-1.128	1.013	-0.041	1.076	2.638	-0.538	0.862	0.547	2.767	-0.684	-0.561	-0.855	-2.236	3.256	-0.334	1.885	1.756	-1.341	0.375	0.769	-1.769	-0.613	4.942	0.054
t44	0.312	0.416	2.192	-1.976	-1.346	-0.103	-0.511	2.394	-1.664	0.797	-0.166	1.302	0.66	-0.455	-1.636	0.364	-0.435	-0.904	1.144	-0.816	1.6	-1.874	2.337	-0.911	1.658	0.496	-0.685	-1.48	-1.421	0.706
t101	-4.668	-3.602	1.297	-0.863	0.297	-0.638	-0.888	1.702	-0.661	1.007	1.683	0.151	0.54	0.287	1.394	-0.165	-0.833	-1.03	-1.234	2.283	0.37	0.496	1.97	-1.064	0.725	0.66	-1.531	-0.779	2.923	0.158
t74	-1.394	-0.922	-0.007	-1.804	-0.027	-0.572	-0.111	1.624	-0.954	0.876	1.052	0.687	0.985	-0.194	-0.504	-0.281	-0.072	-0.613	0.16	-0.398	0.96	-0.335	2.24	-1.255	1.319	0.853	-0.909	-1.315	0.204	0.705
t83	-3.915	-3.588	-0.403	-0.877	0.969	-0.123	-0.895	1.253	-0.7	0.889	1.439	-0.125	1.375	0.425	1.384	-0.393	-0.516	-1.395	-1.27	2.152	0.441	0.506	1.439	-1.3	0.732	0.196	-1.193	-1.515	4.468	0.521
t198	-0.669	-0.702	-0.399	-1.825	0.058	-0.173	-0.23	1.539	-1.117	0.797	0.656	0.649	1.364	-0.171	-0.703	-0.271	0.038	-0.879	0.303	-0.502	1.12	-0.624	1.965	-1.312	1.379	0.514	-0.699	-1.734	0.73	0.897
t167	-4.15	-3.509	0.019	-0.941	0.776	-0.421	-0.763	1.365	-0.622	0.941	1.641	-0.022	1.064	0.343	1.343	-0.379	-0.546	-1.149	-1.25	2.003	0.386	0.62	1.706	-1.253	0.737	0.475	-1.325	-1.197	3.69	0.408
t165	-6.407	-4.67	0.785	-0.695	0.853	-1.254	-0.625	1.42	-0.147	1.126	2.697	-0.156	0.282	0.41	2.274	-0.486	-0.819	-0.684	-1.977	2.758	-0.134	1.591	2.162	-1.165	0.45	1.14	-1.905	-0.258	3.413	-0.063
t78	-0.394	-0.407	1.153	-1.771	-0.663	-0.023	-0.579	2.017	-1.436	0.795	0.142	0.927	1.013	-0.261	-1.012	0.114	-0.315	-1.019	0.629	-0.281	1.338	-1.305	2.058	-1.069	1.472	0.369	-0.717	-1.629	0.09	0.761
t82	-1.752	-1.397	1.035	-1.52	-0.291	-0.263	-0.695	1.869	-1.14	0.871	0.695	0.666	0.873	-0.121	-0.247	-0.022	-0.408	-0.918	0.066	0.446	0.976	-0.645	2.079	-1.093	1.255	0.524	-0.97	-1.319	0.873	0.571
t161	-2.453	-1.786	0.628	-1.475	-0.013	-0.591	-0.326	1.722	-0.916	0.912	1.21	0.541	0.793	-0.023	0.084	-0.191	-0.429	-0.842	-0.305	0.533	0.818	-0.156	2.128	-1.157	1.11	0.75	-1.124	-1.163	1.197	0.523
t86	-4.011	-3.522	0.852	-0.806	0.442	-0.118	-1.172	1.616	-0.861	0.917	1.203	0.066	1.004	0.365	1.28	-0.115	-0.803	-1.411	-1.112	2.419	0.52	0.147	1.594	-1.11	0.765	0.186	-1.287	-1.287	3.877	0.351
t33	1.586	0.043	0.548	-1.571	-0.621	1.41	-0.934	2.036	-2.228	0.508	-1.357	0.86	2.157	0.061	-1.563	0.446	-0.62	-2.49	0.942	0.127	2.06	-2.703	0.896	-1.07	1.531	-1.072	-0.053	-3.206	2.949	1.321
t180	-3.336	-2.15	-0.381	-1.572	0.523	-1.199	0.251	1.349	-0.422	1.003	2.132	0.358	0.683	-0.01	0.494	-0.597	-0.099	-0.344	-0.736	0.21	0.468	0.821	2.4	-1.343	0.983	1.333	-1.345	-0.77	0.834	0.463
t96	-5.879	-4.389	-1.69	-1.031	1.779	-1.388	-0.143	0.709	0.245	1.103	3.199	-0.417	0.902	0.351	2.225	-1.065	-0.011	-0.259	-1.996	1.74	-0.34	2.349	2.147	-1.564	0.518	1.401	-1.704	-0.487	3.388	0.252
t172	-3.732	-2.721	-0.076	-1.315	0.58	-0.902	-0.278	1.39	-0.495	0.99	1.941	0.219	0.775	0.103	0.859	-0.484	-0.294	-0.604	-0.902	0.974	0.398	0.742	2.176	-1.286	0.9	1.015	-1.353	-0.865	1.841	0.396
t38	0.456	-0.133	0.138	-1.857	-0.349	0.38	-0.671	1.776	-1.528	0.706	-0.173	0.825	1.57	-0.24	-1.218	0.012	-0.055	-1.208	0.81	-0.558	1.451	-1.47	1.754	-1.21	1.557	0.046	-0.429	-2.135	0.729	1.022
t43	3.456	2.103	-0.696	-2.485	-0.757	0.74	0.183	1.857	-2.068	0.516	-1.063	1.296	2.104	-0.434	-2.907	0.102	0.187	-1.539	1.852	-2.457	2.247	-2.633	1.592	-1.292	1.953	-0.229	0.174	-3.038	-0.382	1.603
t81	-0.572	-0.855	-1.886	-1.888	0.704	-0.137	-0.001	1.099	-0.92	0.765	0.918	0.395	1.828	-0.096	-0.535	-0.598	0.385	-0.865	0.1	-0.744	1	-0.172	1.771	-1.544	1.328	0.49	-0.588	-2.004	1.521	1.097
