V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t39	-0.311	1.055	-1.254	1.642	-1.733	0.358	-0.741	-1.598	1.479	0.439	0.325	-0.755	-0.708	2.757	0.77	-1.724	0.65	-0.286	-0.218	-0.887	-0.453	-1.368	-0.001	0.145	0.303	-0.139	-0.172	2.077	0.313	0.032
t185	-1.133	0.57	-0.798	-1.921	-0.261	-2.471	2.187	-1.096	0.326	-0.757	3.159	-0.898	-0.396	2.491	3.8	-0.984	0.591	-2.139	-0.368	-0.174	0.564	-3.786	-0.808	-0.323	-0.748	-0.026	0.267	1.956	0.086	3.075
t193	0.283	-1.398	-0.676	-1.795	-0.727	-0.834	0.812	-0.608	-0.465	-1.373	1.312	-0.384	0.137	1.565	1.106	-1.998	0.682	-0.611	0.271	0.851	1.387	-1.992	0.558	0.29	-0.77	-0.431	0.998	1.64	0.767	1.401
t73	-1.42	1.41	-0.681	-3.341	-0.514	-4.162	3.753	-0.7	-0.375	-1.434	4.743	-0.975	-0.222	2.45	4.865	-0.783	0.649	-3.021	-0.346	0.018	1	-4.9	-1.415	-0.581	-1.197	0.073	0.547	1.967	0.292	4.192
t124	0.012	-1.949	-0.589	-1.316	-0.465	-0.351	0.5	-1.945	0.313	-0.603	0.972	-0.438	-0.024	2.026	1.986	-1.78	0.585	-0.047	0.113	0.446	0.696	-2.032	0.577	0.437	-0.513	-0.4	0.732	1.747	0.308	0.999
t121	0.707	-2.512	-0.655	-0.342	-0.629	1.14	-0.899	-1.494	0.449	-0.648	-0.563	-0.245	0.117	1.666	-0.064	-2.426	0.588	0.757	0.363	0.599	0.74	-0.591	1.183	0.675	-0.22	-0.646	0.803	1.686	0.64	-0.18
t135	0.209	-1.915	-0.519	-1.371	-0.695	-0.151	0.368	-1.483	-0.026	-0.866	0.813	-0.353	0.027	1.822	1.459	-1.92	0.66	-0.017	0.243	0.599	0.966	-2.023	0.736	0.496	-0.493	-0.43	0.856	1.692	0.519	0.793
t142	-0.739	2.495	-1.569	2.588	-1.815	0.105	-0.814	-1.515	2.112	0.88	0.561	-1.019	-1.02	3.19	0.938	-1.545	0.615	-0.835	-0.512	-1.597	-1.034	-1.204	-0.61	-0.159	0.52	0.006	-0.711	2.282	0.141	0.259
t169	0.399	-0.765	-0.671	-1.568	-1.197	-0.661	0.656	-0.216	-0.569	-1.543	1.203	-0.356	0.161	1.49	0.503	-2.169	0.74	-0.661	0.377	0.82	1.421	-1.876	0.455	0.26	-0.665	-0.454	1.06	1.656	1.027	1.14
t153	0.841	-1.423	-1.145	-0.648	-1.171	0.135	-0.326	-0.617	-0.198	-1.085	-0.062	-0.28	0.154	1.457	-0.108	-2.426	0.693	0.259	0.383	0.932	1.213	-0.709	0.945	0.573	-0.49	-0.51	1.032	1.621	0.934	0.027
t117	0.229	-0.001	-0.798	-1.371	-1.365	-1.117	0.922	-0.191	-0.338	-1.433	1.598	-0.498	0.117	1.733	0.684	-2.176	0.716	-0.939	0.266	0.477	1.161	-1.759	0.045	0.092	-0.626	-0.406	0.857	1.802	1.045	1.27
