V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t84	-0.588	1.273	0.288	0.893	1.422	0.272	-2.001	-1.387	-0.968	-0.803	0.745	-1.269	0.414	-0.413	0.612	-0.165	-2.521	0.588	-1.089	-0.487	1.97	0.247	1.753	-1.937	1.588	1.291	0.638	0.201	-1.184	0.616
t163	-1.774	1.672	1.04	1.278	-0.618	-0.447	0.328	0.288	0.317	-2.752	0.649	-1.815	0.122	-1.238	0.516	-0.836	-0.21	0.131	-1.714	0.61	0.81	-0.673	0.714	2.139	0.107	1.598	0.295	-0.408	-0.94	0.804
t125	0.122	2.057	1.859	1.179	0.619	-0.012	-1.121	-4.487	1.105	-1.817	0.79	-3.537	0.083	-1.712	1.093	-1.204	-0.388	1.212	-0.189	0.405	2.381	-0.024	0.697	-1.869	0.828	1.618	0.747	-0.143	-1.347	1.046
t134	0.18	0.919	0.487	1.45	0.775	0.022	-1.055	-3.296	-0.252	-2.794	0.677	-1.492	0.006	-0.888	0.763	-1.146	-1.248	1.244	-1.354	0.257	1.569	-0.412	1.247	0.615	0.842	1.717	0.967	-0.247	-0.487	0.929
t97	0.502	1.365	0.514	1.205	0.651	-0.046	-0.636	-3.669	0.108	-3.098	0.924	-1.653	-1.937	-0.359	0.846	0.507	-2.033	1.713	-2.827	0.454	1.543	-0.85	2.382	1.813	-0.221	1.817	1.842	-0.346	-1.614	1.095
t118	0.058	0.722	-0.626	1.188	1.446	-0.534	-0.786	-1.276	-1.252	-2.413	0.534	-0.804	-0.991	1.326	0.321	-0.82	-2.053	0.974	-2.131	0.82	0.657	-0.65	1.689	3.02	1.401	1.313	0.622	-0.34	-1.868	0.45
t178	0.344	1.474	-0.196	0.542	0.599	-0.727	-1.926	-0.511	-0.363	-2.974	0.465	-0.948	0.78	0.465	0.198	-0.917	-0.131	1.139	-0.95	1.019	1.255	-0.439	0.247	0.1	1.523	1.248	0.018	-0.264	-1.596	0.526
t13	0.623	0.738	0.729	0.84	2.305	0.307	-2.62	-0.084	-1.038	-1.307	0.858	-0.352	-1.813	-1.437	1.419	-0.981	-1.881	0.476	-1.233	0.647	0.035	-0.135	1.801	-0.847	0.277	1.734	0.593	-0.207	-0.468	1.015
t176	0.325	0.935	0.842	0.699	1.378	-0.593	-2.579	-0.146	-0.861	-2.094	0.546	-0.815	0.187	-0.145	0.813	-1.231	0.089	0.015	-0.178	1.736	-0.243	-0.199	-0.008	-1.049	1.944	1.5	-0.707	-0.241	-0.734	0.813
t133	2.752	0.627	0.218	0.86	3.071	0.035	-3.082	-2.982	-0.902	-1.585	0.875	-0.409	-2.457	-0.239	1.566	-2.124	-1.197	1.302	-0.56	1.338	0.061	-0.159	1.402	-1.014	0.362	1.781	0.725	-0.357	-1.01	1.093
t75	-0.552	1.422	-0.301	0.518	0.126	-0.857	-1.568	0.462	-0.539	-2.646	0.454	-0.688	1.159	0.964	0.106	-0.862	0.22	0.565	-0.859	1.328	0.685	-0.408	-0.044	0.384	1.409	1.256	-0.56	-0.278	-1.367	0.467
t185	-2.348	1.371	0.353	1.017	0.664	-0.35	-1.397	1.952	-1.058	-2.045	0.299	-1.62	2.241	-0.06	0.028	-0.566	-1.183	-0.428	-0.872	0.179	0.788	-0.144	0.534	0.012	2.371	1.064	-0.337	-0.074	-0.688	0.293
t87	-1.958	0.518	2.231	1.904	1.175	0.657	-0.645	-0.314	-0.861	-1.847	0.706	-2.181	-1.319	-3.415	1.267	-0.467	-2.569	-0.261	-2.026	0.248	0.537	-0.387	2.38	1.222	0.773	1.825	1.436	-0.207	0.477	1.093
t74	0.009	0.793	0.695	1.417	2.374	0.19	-2.463	-0.936	-1.407	-1.48	0.667	-1.864	-0.769	-0.363	0.847	-0.289	-2.681	0.48	-1.863	0.612	0.625	-0.201	2.142	-0.349	1.469	1.472	1.207	-0.044	-1.038	0.745
t96	1.954	1.2	1.245	0.597	2.43	0.458	-3.694	-2.542	-0.208	-1.568	1.011	-0.405	-1.846	-3.125	1.861	-0.886	-1.5	1.231	-0.835	0.256	0.917	0.042	1.678	-1.848	0.319	1.952	0.745	-0.204	-0.556	1.312
t131	0.592	0.513	0.509	0.515	2.321	-0.136	-3.044	3.091	-1.783	-1.648	0.584	0.026	-0.828	-0.243	0.843	-0.706	-1.227	-0.245	-0.883	1.245	-0.479	-0.223	0.738	-2.443	1.419	1.399	-0.281	0.026	-0.401	0.743
t169	-0.002	1.171	1.663	1.777	1.07	0.673	-1.974	-3.804	0.059	-2.54	0.988	-1.894	-0.546	-3.008	1.337	-0.856	-1.817	1.346	-1.56	-0.412	2.26	-0.174	1.953	-1.382	0.174	2.085	2.022	-0.094	0.092	1.382
t186	0.243	1.549	1.004	1.222	0.555	0.223	-2.272	-3.594	0.287	-2.666	0.839	-1.653	0.118	-2.432	1.048	-0.706	-0.968	1.532	-1.24	0.334	2.333	-0.188	1.298	-0.802	0.297	1.896	1.176	-0.189	-0.393	1.142
t167	0.682	-0.475	0.392	0.781	3.853	0.666	-3.417	2.558	-2.584	-0.747	0.687	1.107	-2.693	-2.089	1.766	-1.136	-2.993	-0.512	-1.478	0.758	-2.014	-0.154	2.455	0.704	0.815	1.727	0.134	-0.337	0.612	0.921
t173	-0.553	-0.117	-0.069	0.808	1.452	0.041	-2.186	3.762	-2.314	-2.707	0.456	0.851	0.109	0.225	0.383	-0.089	-1.991	-0.214	-1.836	0.433	-0.599	-0.488	1.187	-0.749	1.545	1.399	0.112	0.038	0.484	0.622
t130	1.413	0.836	-1.492	0.395	1.326	-0.534	-2.106	-0.387	-1.236	-3.28	0.532	0.24	-0.66	2.161	0.135	0.225	-1.783	1.638	-2.231	0.65	0.818	-0.755	1.461	1.28	1.083	1.259	0.571	-0.216	-1.803	0.456
t2	0.709	0.543	0.042	0.726	2.591	0.031	-3.467	1.074	-1.668	-1.633	0.584	-0.058	-0.926	-1.002	1.119	-0.826	-1.629	0.126	-1.33	1.343	-0.782	-0.26	1.519	0.484	0.979	1.574	0.048	-0.348	-0.327	0.76
t55	2.045	0.583	-0.636	0.599	3.395	-0.093	-4.79	0.478	-2.005	-1.418	0.623	0.47	-1.301	-0.891	1.164	-0.94	-1.717	0.486	-1.422	1.513	-0.514	-0.18	1.614	0.575	1.263	1.579	0.054	-0.347	-0.93	0.728
t95	-0.254	0.309	-0.8	0.596	1.862	0.121	-2.82	3.897	-2.207	-2.298	0.573	1.119	-0.042	0.332	0.47	0.203	-2.373	0.052	-2.294	0.049	-0.586	-0.456	1.72	-0.147	0.826	1.415	0.279	-0.069	-0.058	0.574
t107	-1.074	1.514	0.646	0.914	0.542	-0.663	-0.976	-1.515	-0.443	-1.703	0.533	-1.968	0.493	0.614	0.361	-1.15	-0.437	0.444	-0.463	1.445	1.243	-0.128	0.38	-0.215	1.829	1.231	-0.158	-0.17	-1.658	0.527
t37	0.735	-0.355	-0.62	0.884	2.796	0.086	-3.155	3.541	-2.876	-2.424	0.544	1.157	-1.147	0.662	0.589	-0.024	-2.751	0.001	-2.505	0.611	-1.159	-0.607	1.969	0.058	1.397	1.462	0.623	-0.068	-0.096	0.662
t102	1.23	0.391	1.26	1.169	1.581	0.222	-2.168	-2.607	-0.78	-2.421	0.909	-0.421	-1.692	-1.145	1.325	-1.335	-1.256	1.086	-0.707	0.675	1.062	-0.186	1.199	-2.384	0.847	1.907	1.021	-0.031	-0.039	1.285
t79	0.692	1.628	1.596	1.706	1.286	0.404	-1.513	-6.295	0.563	-1.662	0.994	-3.187	-0.888	-1.972	1.27	-1.388	-1.513	1.784	-0.926	0.188	3.026	0.015	1.76	-1.814	0.381	1.867	1.979	-0.087	-1.196	1.249
t77	1.648	1.551	1.585	1.573	1.063	0.074	-2.196	-6.207	0.898	-2.366	0.882	-3.422	-0.881	-1.606	1.396	-1.655	-0.124	1.753	-0.471	1.233	1.983	-0.206	1.012	-1.213	0.21	1.974	1.473	-0.336	-1.007	1.339
t104	-0.065	2.193	0.371	0.706	-0.59	-0.713	-1.408	-0.855	0.934	-3.436	0.726	-1.379	0.136	-1.3	0.54	-0.317	0.298	1.353	-1.875	0.679	1.56	-0.734	0.617	2.111	-0.047	1.663	0.324	-0.507	-1.843	0.854
t71	-2.968	0.995	0.756	0.906	0.112	-0.01	0.193	2.97	-1.043	-1.903	0.474	-1.329	-0.404	-1.012	0.291	0.644	-2.352	-0.517	-2.191	0.223	0.669	-0.556	1.873	1.873	1.095	1.209	0.323	-0.127	-0.671	0.472
t105	-1.967	0.964	0.979	0.751	0.777	-0.107	0.166	2.354	-0.86	-1.339	0.543	-1.118	-1.071	-0.897	0.709	-0.537	-1.689	-0.641	-1.292	0.59	-0.138	-0.398	1.393	1.325	0.879	1.255	-0.173	-0.246	-0.784	0.571
