feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t55	0.585	1.118	0.068	0.855	1.762	-0.192	-2.639	-0.612	-0.988	-1.954	0.649	-0.795	-0.513	-0.567	0.759	-0.656	-1.426	0.713	-1.419	0.853	0.809	-0.277	1.316	0.13	1.181	1.488	0.426	-0.204	-1.208	0.727
t95	-0.32	1.161	0.442	0.953	1.177	-0.016	-1.956	-0.319	-0.735	-2.132	0.672	-1.115	-0.165	-0.627	0.703	-0.341	-1.598	0.647	-1.523	0.388	0.96	-0.29	1.422	-0.259	0.945	1.502	0.645	-0.135	-0.859	0.764
t107	-0.301	1.221	0.516	0.938	1.184	-0.238	-1.643	-0.96	-0.674	-1.881	0.637	-1.311	-0.219	-0.351	0.67	-0.833	-1.202	0.602	-1.093	0.812	1.015	-0.226	1.08	-0.152	1.268	1.426	0.359	-0.173	-1.185	0.706
t37	0.127	0.841	0.501	1.057	1.652	-0.032	-2.168	-0.374	-1.099	-2.145	0.654	-1.036	-0.684	-0.468	0.756	-0.415	-1.816	0.596	-1.623	0.659	0.66	-0.348	1.558	-0.173	1.245	1.51	0.778	-0.13	-0.882	0.792
t102	0.37	1.121	1.131	1.155	1.13	0.059	-1.639	-2.531	-0.213	-2.292	0.829	-1.394	-0.94	-1.235	1.07	-1.003	-1.18	1.062	-1.017	0.47	1.468	-0.244	1.245	-1.067	0.745	1.739	0.954	-0.14	-0.74	1.076
t79	-0.001	1.336	0.719	1.147	1.298	0.023	-1.522	-2.203	-0.371	-1.826	0.763	-1.718	-0.614	-0.894	0.837	-0.795	-1.625	0.974	-1.324	0.37	1.656	-0.204	1.524	-0.447	0.871	1.548	0.973	-0.131	-1.242	0.854
t77	0.52	1.294	0.714	1.074	1.176	-0.156	-1.894	-2.155	-0.188	-2.21	0.702	-1.847	-0.61	-0.695	0.905	-0.94	-0.868	0.957	-1.076	0.94	1.087	-0.324	1.116	-0.119	0.778	1.607	0.697	-0.267	-1.138	0.904
t104	0.311	1.488	0.594	0.929	0.844	-0.211	-1.855	-1.582	-0.042	-2.485	0.737	-1.409	-0.521	-1.098	0.814	-0.591	-0.958	1.134	-1.498	0.602	1.378	-0.405	1.215	0.367	0.614	1.613	0.717	-0.272	-1.321	0.882
t71	-0.883	0.98	0.72	1.034	1.074	0.049	-1.268	0.189	-0.858	-2.087	0.632	-1.232	-0.677	-1.059	0.704	-0.21	-1.932	0.382	-1.719	0.429	0.932	-0.393	1.67	0.435	1.015	1.472	0.72	-0.148	-0.732	0.75
t105	-0.33	0.963	0.843	0.948	1.441	-0.004	-1.283	-0.151	-0.757	-1.776	0.67	-1.115	-1.045	-0.995	0.935	-0.862	-1.566	0.313	-1.223	0.632	0.486	-0.306	1.406	0.133	0.896	1.498	0.446	-0.213	-0.795	0.805
t98	0.137	1.275	0.586	0.918	1.202	-0.151	-1.827	-1.027	-0.44	-2.114	0.692	-1.134	-0.066	-0.838	0.77	-0.929	-0.996	0.72	-1.049	0.496	1.11	-0.245	0.95	-0.693	1.02	1.535	0.396	-0.168	-0.97	0.833
t180	0.294	1.106	0.904	1.033	1.409	0.007	-1.621	-1.444	-0.414	-1.903	0.732	-1.373	-0.926	-1.268	1.026	-1.032	-1.298	0.714	-1.108	0.61	0.942	-0.259	1.302	-0.261	0.788	1.603	0.622	-0.211	-0.893	0.915
