feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t32	-0.789	-1.136	-0.03	2.403	-1.778	0.227	-0.042	-0.595	-0.897	-0.816	0.661	-0.321	0.48	0.073	1.058	0.097	0.405	1.379	0.573	-0.81	0.813	-0.606	-0.435	-0.228	-0.038	0.029	-1.054	0.574	0.446	0.357
t19	1.862	-0.605	-0.116	-0.92	-2.148	0.08	-0.297	1.346	0.77	-0.683	-0.169	0.641	0.522	-0.247	3.223	-0.326	0.074	-0.571	-1.848	-0.284	-0.699	1.632	0.622	-1.514	-0.611	0.146	-0.514	-0.13	0.703	0.059
t43	-2.587	0.354	-0.437	0.324	0.099	0.416	0.75	0.133	-0.641	1.242	-0.332	0.001	0.199	0.105	1.99	-0.132	0.641	-0.055	-1.054	0.591	0.388	-1.717	0.266	0.829	-0.715	-0.291	0.438	-0.012	-1.18	0.388
t28	-1.568	-0.078	0.971	1.307	-2.831	0.072	-0.018	-0.183	0.271	-0.67	-0.134	-0.131	0.053	0.58	1.267	-0.465	-0.109	0.332	1.606	-0.945	-0.789	0.2	-0.247	1.341	1.021	-0.46	-0.435	0.726	-0.697	0.011
t49	0.939	0.677	-0.61	-0.875	-1.864	-0.201	1.121	1.017	-1.117	1.446	-0.05	0.396	-0.555	0.689	-1.096	1.367	0.705	0.812	-0.935	0.292	-1.358	-0.372	0.967	-1.128	-0.584	-0.144	0.665	-1.091	1.026	-0.142
t33	-0.583	-0.074	-0.172	-3.381	-0.04	-0.498	1.1	0.629	-0.766	0.684	0.751	-0.302	-0.073	-0.817	0.878	0.85	0.93	-0.682	0.01	-1.083	1.051	1.913	0.95	-0.714	-0.683	-0.148	1.066	-0.413	-0.308	-0.075
t15	0.42	-0.616	-0.41	2.018	-1.596	-0.061	0.674	-0.022	-0.702	1.409	-1.841	-0.629	0.904	-0.401	2.81	-0.414	0.753	-0.163	0.264	-1.622	0.204	0.009	0.409	-0.691	-0.227	-0.219	-0.067	-0.78	0.562	0.023
t14	1.196	0.512	-1.023	-2.056	0.271	-0.525	0.891	-0.733	-0.882	1.887	-0.715	0.041	0.812	0.323	0.526	0.117	0.66	-1.475	-0.547	-1.653	1.27	-0.073	0.557	1.495	0.315	-0.267	-0.55	-1.313	1.678	-0.74
t36	1.226	-0.342	-0.909	2.064	0.262	-0.233	-0.052	-0.647	-1.049	1.428	-1.134	-0.663	0.25	-1.107	3.097	0.477	0.313	0.045	-1.368	-0.873	-0.661	1.343	0.265	-0.313	0.038	-0.369	-0.321	-1.089	1.188	-0.867
t30	0.171	0.448	-0.274	0.455	-1.372	0.133	-0.9	0.381	-0.548	3.185	-0.888	-0.146	0.213	0.238	-0.987	-0.196	-0.041	-1.468	1.789	-0.863	0.391	1.165	-0.047	-0.034	-0.699	-0.071	-0.131	-0.327	0.964	-0.543
t8	0.886	0.369	-1.138	-2.189	-0.143	-0.582	0.756	-0.554	-0.421	2.34	0.051	0.239	-0.55	0.556	3.361	0.49	0.44	0.783	-2.437	0.408	-0.951	0.96	0.678	-1.407	0.188	-0.149	0.339	-0.555	-1.019	-0.748
t39	0.166	0.216	-0.806	-3.396	-0.312	0.114	0.389	1.349	0.439	-1.832	0.247	-0.179	1.105	1.278	-0.648	0.822	-0.031	1.543	1.685	0.584	0.676	-0.761	0.427	-1.036	-1.768	-0.115	-0.464	0.766	-0.425	-0.034
