feature	pagel_lam_mle	pagel_lam_sim	pagel_lam_sim_source	pagel_lam_sim_spec	pagel_lam_sim_alpha	pagel_lam_sim_beta	pagel_lam_mode	pagel_lam_mode_requested
feature_1	0.44040659365884	0.564	beta	beta:10,10	10	10	global	global
feature_2	0.44040659365884	0.609	beta	beta:10,10	10	10	global	global
feature_3	0.44040659365884	0.486	beta	beta:10,10	10	10	global	global
feature_4	0.44040659365884	0.251	beta	beta:10,10	10	10	global	global
feature_5	0.44040659365884	0.607	beta	beta:10,10	10	10	global	global
feature_6	0.44040659365884	0.51	beta	beta:10,10	10	10	global	global
feature_7	0.44040659365884	0.604	beta	beta:10,10	10	10	global	global
feature_8	0.44040659365884	0.469	beta	beta:10,10	10	10	global	global
feature_9	0.44040659365884	0.327	beta	beta:10,10	10	10	global	global
feature_10	0.44040659365884	0.568	beta	beta:10,10	10	10	global	global
feature_11	0.44040659365884	0.54	beta	beta:10,10	10	10	global	global
feature_12	0.44040659365884	0.395	beta	beta:10,10	10	10	global	global
feature_13	0.44040659365884	0.617	beta	beta:10,10	10	10	global	global
feature_14	0.44040659365884	0.541	beta	beta:10,10	10	10	global	global
feature_15	0.44040659365884	0.559	beta	beta:10,10	10	10	global	global
feature_16	0.44040659365884	0.614	beta	beta:10,10	10	10	global	global
feature_17	0.44040659365884	0.654	beta	beta:10,10	10	10	global	global
feature_18	0.44040659365884	0.434	beta	beta:10,10	10	10	global	global
feature_19	0.44040659365884	0.425	beta	beta:10,10	10	10	global	global
feature_20	0.44040659365884	0.578	beta	beta:10,10	10	10	global	global
feature_21	0.44040659365884	0.405	beta	beta:10,10	10	10	global	global
feature_22	0.44040659365884	0.544	beta	beta:10,10	10	10	global	global
feature_23	0.44040659365884	0.683	beta	beta:10,10	10	10	global	global
feature_24	0.44040659365884	0.586	beta	beta:10,10	10	10	global	global
feature_25	0.44040659365884	0.466	beta	beta:10,10	10	10	global	global
feature_26	0.44040659365884	0.471	beta	beta:10,10	10	10	global	global
feature_27	0.44040659365884	0.554	beta	beta:10,10	10	10	global	global
feature_28	0.44040659365884	0.452	beta	beta:10,10	10	10	global	global
feature_29	0.44040659365884	0.549	beta	beta:10,10	10	10	global	global
feature_30	0.44040659365884	0.638	beta	beta:10,10	10	10	global	global
