feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t32	0.024	0.023	0.028	0.042	0.01	0.031	0.044	0.027	0.024	0.032	0.032	0.025	0.043	0.038	0.081	0.038	0.044	0.05	0.032	0.017	0.051	0.026	0.036	0.031	0.029	0.027	0.022	0.035	0.028	0.03
t19	0.034	0.023	0.028	0.023	0.009	0.031	0.042	0.038	0.035	0.026	0.028	0.03	0.045	0.037	0.109	0.035	0.04	0.036	0.023	0.02	0.04	0.036	0.041	0.027	0.026	0.027	0.022	0.034	0.027	0.029
t43	0.019	0.029	0.023	0.03	0.014	0.032	0.049	0.032	0.023	0.048	0.027	0.027	0.043	0.038	0.088	0.038	0.047	0.039	0.024	0.023	0.048	0.021	0.041	0.034	0.025	0.026	0.028	0.031	0.022	0.03
t28	0.023	0.027	0.031	0.036	0.008	0.03	0.043	0.03	0.028	0.033	0.028	0.026	0.042	0.042	0.076	0.036	0.041	0.043	0.041	0.017	0.039	0.031	0.037	0.038	0.036	0.025	0.023	0.037	0.024	0.028
t49	0.029	0.031	0.027	0.023	0.01	0.031	0.057	0.037	0.025	0.041	0.03	0.029	0.038	0.047	0.046	0.05	0.046	0.048	0.028	0.023	0.037	0.024	0.045	0.03	0.027	0.026	0.028	0.029	0.03	0.029
t33	0.021	0.026	0.029	0.014	0.014	0.028	0.056	0.034	0.026	0.035	0.034	0.025	0.041	0.034	0.067	0.045	0.048	0.035	0.033	0.017	0.059	0.038	0.044	0.032	0.026	0.026	0.03	0.033	0.023	0.029
t15	0.025	0.023	0.027	0.042	0.01	0.03	0.05	0.03	0.027	0.037	0.021	0.024	0.046	0.035	0.103	0.034	0.045	0.04	0.033	0.016	0.047	0.026	0.039	0.03	0.027	0.025	0.025	0.03	0.026	0.029
t14	0.03	0.03	0.024	0.018	0.016	0.028	0.053	0.026	0.026	0.041	0.027	0.028	0.046	0.042	0.066	0.039	0.045	0.031	0.029	0.016	0.06	0.026	0.041	0.048	0.031	0.026	0.023	0.027	0.033	0.025
t36	0.03	0.024	0.024	0.042	0.015	0.03	0.043	0.026	0.024	0.04	0.023	0.023	0.044	0.032	0.105	0.041	0.042	0.04	0.025	0.018	0.042	0.034	0.038	0.035	0.03	0.025	0.022	0.028	0.031	0.025
t30	0.024	0.029	0.029	0.029	0.011	0.032	0.038	0.032	0.028	0.058	0.026	0.027	0.043	0.042	0.053	0.036	0.041	0.031	0.049	0.018	0.05	0.034	0.037	0.036	0.025	0.027	0.024	0.033	0.029	0.027
t8	0.028	0.028	0.023	0.017	0.013	0.027	0.051	0.026	0.027	0.047	0.029	0.028	0.036	0.044	0.109	0.041	0.042	0.046	0.02	0.023	0.039	0.031	0.041	0.028	0.03	0.025	0.025	0.031	0.019	0.025
t39	0.027	0.029	0.025	0.015	0.012	0.031	0.049	0.037	0.029	0.029	0.029	0.026	0.047	0.046	0.074	0.04	0.04	0.053	0.037	0.022	0.046	0.026	0.043	0.026	0.021	0.026	0.026	0.036	0.026	0.028
t13	0.023	0.026	0.025	0.039	0.012	0.028	0.047	0.025	0.025	0.047	0.026	0.024	0.041	0.031	0.086	0.036	0.051	0.041	0.027	0.022	0.047	0.03	0.041	0.035	0.031	0.025	0.021	0.034	0.02	0.034
t4	0.026	0.027	0.022	0.016	0.01	0.028	0.051	0.027	0.024	0.047	0.027	0.025	0.051	0.042	0.097	0.038	0.041	0.04	0.028	0.021	0.048	0.028	0.041	0.027	0.031	0.028	0.025	0.033	0.027	0.024
t23	0.032	0.021	0.027	0.014	0.009	0.029	0.042	0.028	0.018	0.061	0.025	0.023	0.043	0.038	0.107	0.04	0.044	0.051	0.025	0.013	0.041	0.025	0.04	0.038	0.034	0.026	0.021	0.034	0.023	0.026
t2	0.031	0.023	0.025	0.025	0.01	0.031	0.05	0.031	0.036	0.071	0.024	0.025	0.041	0.04	0.064	0.035	0.045	0.035	0.027	0.015	0.057	0.028	0.043	0.027	0.02	0.025	0.021	0.033	0.036	0.028
