V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t47	-3.927	-2.641	-4.654	-4.539	-3.839	-2.862	-2.66	-4.449	-2.818	-3.599	-5.255	-4.467	-4.351	-3.741	-4.962	-5.974	-3.932	-2.526	-2.99	-4.114	-4.291	-2.098	-2.991	-4.049	-5.018	-4.14	-5.083	-3.203	-3.222	-2.313
t21	-3.313	-2.492	-5.124	-5.258	-3.447	-4.69	-3.832	-5.174	-4.618	-3.704	-5.125	-4.312	-5.026	-3.37	-6.09	-3.658	-3.996	-3.597	-2.717	-4.834	-3.27	-1.113	-3.27	-4.376	-5.386	-4.216	-4.323	-2.715	-4.067	-3.669
t22	-3.318	-2.537	-4.647	-4.9	-3.299	-4.217	-3.585	-4.935	-2.678	-3.734	-5.132	-4.228	-4.552	-3.51	-5.38	-4.114	-4.055	-3.102	-3.467	-4.624	-3.451	-1.495	-3.018	-4.172	-4.385	-4.011	-3.301	-2.864	-3.685	-3.394
t106	-3.484	-2.417	-6.351	-5.656	-3.55	-4.867	-3.287	-5.53	-3.768	-3.531	-4.93	-5.623	-5.896	-4.057	-7.261	-3.864	-5.399	-3.788	-3.139	-3.816	-2.976	-1.287	-3.406	-4.684	-2.726	-4.519	-3.536	-2.303	-4.035	-4.953
t67	-4.111	-2.833	-4.002	-4.897	-2.694	-5.397	-4.282	-5.555	-1.986	-4.35	-5.685	-4.338	-4.577	-3.57	-5.609	-3.106	-4.738	-4.494	-5.07	-4.778	-2.911	-1.744	-3.376	-4.597	-5.4	-4.244	-1.886	-3.372	-4.656	-3.405
t188	-3.224	-2.528	-7.073	-5.994	-4.377	-4.109	-2.931	-5.215	-4.776	-3.227	-4.855	-5.715	-6.076	-4.371	-7.153	-5.259	-5.05	-2.774	-2.47	-3.932	-3.887	-1.469	-3.401	-4.599	-2.427	-4.606	-5.03	-2.314	-3.458	-4.944
t87	-2.96	-3.588	-4.885	-5.371	-5.259	-3.05	-4.343	-4.707	-2.214	-4.504	-5.8	-3.839	-4.236	-4.559	-3.873	-7.319	-2.915	-1.24	-3.113	-6.822	-6.485	-2.811	-3.214	-4.234	-4.868	-4.315	-4.937	-4.08	-2.875	-3.342
t76	-3.948	-3.342	-4.224	-4.949	-4.531	-2.755	-3.352	-4.321	-2.852	-3.915	-5.891	-3.762	-3.901	-4.191	-3.737	-7.351	-3.202	-1.656	-4.249	-5.348	-5.744	-2.813	-3.138	-4.083	-6.113	-4.196	-5.191	-4.166	-3.011	-1.739
t173	-3.393	-2.972	-7.032	-6.739	-3.554	-7.395	-5.326	-6.943	-4.544	-4.555	-5.472	-6.01	-6.889	-4.31	-8.649	-1.914	-6.187	-5.475	-3.989	-5.363	-2.49	-1.128	-4.197	-5.586	-3.011	-5.1	-2.359	-2.542	-5.502	-7.131
t166	-3.098	-2.717	-7.266	-6.407	-3.954	-5.885	-4.214	-6.211	-4.047	-3.972	-5.055	-6.07	-6.62	-4.452	-8.095	-3.361	-5.84	-4.134	-3.147	-4.675	-3.093	-1.267	-3.771	-5.13	-1.82	-4.857	-3.186	-2.269	-4.454	-6.591
