"lambda","mu","rho","turnover","net_div","class","relative_mode","relative_median","cv","endpoint_ratio","trend","turnover_bin"
0.25,0.25,0,1,0,"Uniform",1e-04,0.499048096192385,0.00144576273204403,0.995019185204134,-0.00498081479586553,"High (0.75-1)"
0.3,0.25,0,0.833333333333333,0.05,"Rising",1,0.561166132264529,0.142201716388684,1.63588027797709,0.635880277977093,"High (0.75-1)"
0.35,0.25,0,0.714285714285714,0.1,"Rising",1,0.619276553106213,0.28363876950478,2.68561231142544,1.68561231142544,"Med-High (0.5-0.75)"
0.4,0.25,0,0.625,0.15,"Rising",1,0.671375551102204,0.420995599900981,4.39895698442229,3.39895698442229,"Med-High (0.5-0.75)"
0.45,0.25,0,0.555555555555556,0.2,"Rising",1,0.715459318637275,0.552537406245089,7.17968018604432,6.17968018604432,"Med-High (0.5-0.75)"
0.5,0.25,0,0.5,0.25,"Rising",1,0.751527855711423,0.676641268470806,11.6524199794353,10.6524199794353,"Med-Low (0.25-0.5)"
0.3,0.3,0,1,-5.55111512312578e-17,"Uniform",1e-04,0.499048096192385,0.00105372486071374,0.994463678455363,-0.00553632154463677,"High (0.75-1)"
0.35,0.3,0,0.857142857142857,0.05,"Rising",1,0.561166132264529,0.141826967338757,1.63376825755316,0.63376825755316,"High (0.75-1)"
0.4,0.3,0,0.75,0.1,"Rising",1,0.619276553106213,0.283140719532288,2.68103139654369,1.68103139654369,"High (0.75-1)"
0.45,0.3,0,0.666666666666667,0.15,"Rising",1,0.671375551102204,0.420318954713903,4.38885824008972,3.38885824008972,"Med-High (0.5-0.75)"
0.5,0.3,0,0.6,0.2,"Rising",1,0.715459318637275,0.55160007986993,7.15712354188475,6.15712354188475,"Med-High (0.5-0.75)"
0.35,0.35,0,1,0,"Uniform",1e-04,0.499048096192385,0.00202305897421116,0.993037274372901,-0.00696272562709862,"High (0.75-1)"
0.4,0.35,0,0.875,0.05,"Rising",1,0.561166132264529,0.141452476251111,1.63166032482033,0.631660324820331,"High (0.75-1)"
0.45,0.35,0,0.777777777777778,0.1,"Rising",1,0.619276553106213,0.282643150035815,2.67646219279853,1.67646219279853,"High (0.75-1)"
0.5,0.35,0,0.7,0.15,"Rising",1,0.671375551102204,0.419643235620983,4.37879423261978,3.37879423261978,"Med-High (0.5-0.75)"
0.4,0.4,0,1,0,"Uniform",1e-04,0.499048096192385,0.00231149155991791,0.99204853891224,-0.00795146108776025,"High (0.75-1)"
0.45,0.4,0,0.888888888888889,0.05,"Rising",1,0.561166132264529,0.141078242751482,1.62955646923663,0.629556469236626,"High (0.75-1)"
0.5,0.4,0,0.8,0.1,"Rising",1,0.619276553106213,0.28214606007591,2.67190466030411,1.67190466030411,"High (0.75-1)"
