"lambda","mu","rho","turnover","net_div","class","relative_mode","relative_median","cv","endpoint_ratio","trend","turnover_bin"
0.3,0.3,0.4,1,-5.55111512312578e-17,"Decaying",1e-04,0.286644488977956,0.577189561741937,0.16,-0.84,"High (0.75-1)"
0.35,0.3,0.4,0.857142857142857,0.05,"Decaying",1e-04,0.312693987975952,0.464298204822833,0.207899009487268,-0.792100990512732,"High (0.75-1)"
0.4,0.3,0.4,0.75,0.1,"Decaying",1e-04,0.308686372745491,0.479613574015226,0.193419834706753,-0.806580165293247,"High (0.75-1)"
0.45,0.3,0.4,0.666666666666667,0.15,"Decaying",1e-04,0.296663527054108,0.512882952528625,0.167187698915081,-0.832812301084919,"Med-High (0.5-0.75)"
0.5,0.3,0.4,0.6,0.2,"Decaying",1e-04,0.282636873747495,0.561057225809291,0.135362353000146,-0.864637646999854,"Med-High (0.5-0.75)"
0.35,0.35,0.4,1,0,"Decaying",1e-04,0.292655911823647,0.523441191565097,0.173659725625,-0.826340274375,"High (0.75-1)"
0.4,0.35,0.4,0.875,0.05,"Decaying",1e-04,0.294659719438878,0.519546198741239,0.17430818904,-0.82569181096,"High (0.75-1)"
0.45,0.35,0.4,0.777777777777778,0.1,"Decaying",1e-04,0.290652104208417,0.534098749461123,0.162309364443067,-0.837690635556933,"High (0.75-1)"
0.5,0.35,0.4,0.7,0.15,"Decaying",1e-04,0.280633066132265,0.565565990658848,0.140813832706146,-0.859186167293854,"Med-High (0.5-0.75)"
0.4,0.4,0.4,1,0,"Decaying",1e-04,0.276625450901804,0.574792026067039,0.147976335147929,-0.852023664852071,"High (0.75-1)"
0.45,0.4,0.4,0.888888888888889,0.05,"Decaying",1e-04,0.278629258517034,0.571216276476774,0.148247338537794,-0.851752661462206,"High (0.75-1)"
0.5,0.4,0.4,0.8,0.1,"Decaying",1e-04,0.274621643286573,0.585109074005009,0.138143777356474,-0.861856222643526,"High (0.75-1)"
0.45,0.45,0.4,1,0,"Decaying",1e-04,0.26259879759519,0.623166125211449,0.127596942908163,-0.872403057091837,"High (0.75-1)"
0.5,0.45,0.4,0.9,0.05,"Decaying",1e-04,0.26259879759519,0.619857381608167,0.127623075794415,-0.872376924205585,"High (0.75-1)"
0.05,0,0.6,0,0.05,"Uniform",1e-04,0.481013827655311,0.045613679573704,0.854282580048701,-0.145717419951299,"Low (0-0.25)"
0.1,0,0.6,0,0.1,"Decaying",1e-04,0.448952905811623,0.119897810461575,0.659016879285299,-0.340983120714701,"Low (0-0.25)"
0.15,0,0.6,0,0.15,"Decaying",1e-04,0.410880561122245,0.214061709108745,0.469694157073403,-0.530305842926597,"Low (0-0.25)"
0.2,0,0.6,0,0.2,"Decaying",1e-04,0.368800601202405,0.319487915008206,0.316296812650571,-0.683703187349429,"Low (0-0.25)"
0.25,0,0.6,0,0.25,"Decaying",1e-04,0.330728256513026,0.429389969520269,0.204977366300529,-0.795022633699471,"Low (0-0.25)"
0.3,0,0.6,0,0.3,"Decaying",1e-04,0.294659719438878,0.539128650402901,0.129562277364976,-0.870437722635024,"Low (0-0.25)"
0.35,0,0.6,0,0.35,"Decaying",1e-04,0.26259879759519,0.645874699993036,0.0806092413926844,-0.919390758607316,"Low (0-0.25)"
0.4,0,0.6,0,0.4,"Decaying",1e-04,0.234545490981964,0.748107788990041,0.0496606865452199,-0.95033931345478,"Low (0-0.25)"
0.45,0,0.6,0,0.45,"Decaying",1e-04,0.212503607214429,0.845171478726232,0.0304090164813764,-0.969590983518624,"Low (0-0.25)"
0.5,0,0.6,0,0.5,"Decaying",1e-04,0.192465531062124,0.936941240325886,0.0185513539332308,-0.981448646066769,"Low (0-0.25)"
0.05,0.05,0.6,1,0,"Decaying",1e-04,0.43492625250501,0.152355209377356,0.591751479822485,-0.408248520177515,"High (0.75-1)"
0.1,0.05,0.6,0.5,0.05,"Decaying",1e-04,0.418895791583166,0.188530154711911,0.521298817159186,-0.478701182840814,"Med-Low (0.25-0.5)"
0.15,0.05,0.6,0.333333333333333,0.1,"Decaying",1e-04,0.394850100200401,0.249171594388852,0.419235138344147,-0.580764861655853,"Med-Low (0.25-0.5)"
0.2,0.05,0.6,0.25,0.15,"Decaying",1e-04,0.364792985971944,0.328385440106004,0.312801221290459,-0.687198778709541,"Low (0-0.25)"
0.25,0.05,0.6,0.2,0.2,"Decaying",1e-04,0.330728256513026,0.419612810238765,0.220295929197423,-0.779704070802577,"Low (0-0.25)"
0.3,0.05,0.6,0.166666666666667,0.25,"Decaying",1e-04,0.298667334669339,0.517061665472711,0.148714352496238,-0.851285647503762,"Low (0-0.25)"
0.35,0.05,0.6,0.142857142857143,0.3,"Decaying",1e-04,0.268610220440882,0.616349127127478,0.0974168761753775,-0.902583123824623,"Low (0-0.25)"
0.4,0.05,0.6,0.125,0.35,"Decaying",1e-04,0.242560721442886,0.714517139518526,0.0624885063879371,-0.937511493612063,"Low (0-0.25)"
0.45,0.05,0.6,0.111111111111111,0.4,"Decaying",1e-04,0.21851503006012,0.809769258078486,0.0395047343872553,-0.960495265612745,"Low (0-0.25)"
0.5,0.05,0.6,0.1,0.45,"Decaying",1e-04,0.198476953907816,0.901151031475681,0.0247235760003671,-0.975276423999633,"Low (0-0.25)"
0.1,0.1,0.6,1,0,"Decaying",1e-04,0.384831062124249,0.27467945682101,0.39067187640625,-0.60932812359375,"High (0.75-1)"
0.15,0.1,0.6,0.666666666666667,0.05,"Decaying",1e-04,0.372808216432866,0.305160886811454,0.350918309665298,-0.649081690334702,"Med-High (0.5-0.75)"
0.2,0.1,0.6,0.5,0.1,"Decaying",1e-04,0.352770140280561,0.357230557142801,0.289976258420355,-0.710023741579645,"Med-Low (0.25-0.5)"
0.25,0.1,0.6,0.4,0.15,"Decaying",1e-04,0.326720641282565,0.426442401363965,0.223163632182792,-0.776836367817208,"Med-Low (0.25-0.5)"
0.3,0.1,0.6,0.333333333333333,0.2,"Decaying",1e-04,0.300671142284569,0.507587457617545,0.162192789118809,-0.837807210881191,"Med-Low (0.25-0.5)"
0.35,0.1,0.6,0.285714285714286,0.25,"Decaying",1e-04,0.272617835671343,0.595735170703912,0.112798554926307,-0.887201445073693,"Med-Low (0.25-0.5)"
0.4,0.1,0.6,0.25,0.3,"Decaying",1e-04,0.246568336673347,0.686881301232334,0.075904996342554,-0.924095003657446,"Low (0-0.25)"
0.45,0.1,0.6,0.222222222222222,0.35,"Decaying",1e-04,0.224526452905812,0.778129950753563,0.0498566818706979,-0.950143318129302,"Low (0-0.25)"
0.5,0.1,0.6,0.2,0.4,"Decaying",1e-04,0.204488376753507,0.867586057671827,0.032173597106742,-0.967826402893258,"Low (0-0.25)"
0.15,0.15,0.6,1,0,"Decaying",1e-04,0.344754909819639,0.378126975520811,0.27705817398892,-0.72294182601108,"High (0.75-1)"
0.2,0.15,0.6,0.75,0.05,"Decaying",1e-04,0.334735871743487,0.40475297274806,0.252227084152486,-0.747772915847514,"High (0.75-1)"
0.25,0.15,0.6,0.6,0.1,"Decaying",1e-04,0.318705410821643,0.450860759372368,0.212442209848091,-0.787557790151909,"Med-High (0.5-0.75)"
0.3,0.15,0.6,0.5,0.15,"Decaying",1e-04,0.296663527054108,0.512882952528625,0.167187698915081,-0.832812301084919,"Med-High (0.5-0.75)"
0.35,0.15,0.6,0.428571428571429,0.2,"Decaying",1e-04,0.274621643286573,0.586497759328101,0.124378052078451,-0.875621947921549,"Med-Low (0.25-0.5)"
0.4,0.15,0.6,0.375,0.25,"Decaying",1e-04,0.250575951903808,0.667434545967951,0.0884821224232341,-0.911517877576766,"Med-Low (0.25-0.5)"
0.45,0.15,0.6,0.333333333333333,0.3,"Decaying",1e-04,0.228534068136273,0.752055358465723,0.0608056684014702,-0.93919433159853,"Med-Low (0.25-0.5)"
0.5,0.15,0.6,0.3,0.35,"Decaying",1e-04,0.210499799599198,0.837597385194487,0.040701547121786,-0.959298452878214,"Med-Low (0.25-0.5)"
0.2,0.2,0.6,1,0,"Decaying",1e-04,0.312693987975952,0.468581016173858,0.20666116,-0.79333884,"High (0.75-1)"
0.25,0.2,0.6,0.8,0.05,"Decaying",1e-04,0.30467875751503,0.492409662103846,0.189994936375519,-0.810005063624481,"High (0.75-1)"
0.3,0.2,0.6,0.666666666666667,0.1,"Decaying",1e-04,0.290652104208417,0.534098749461123,0.162309364443067,-0.837690635556933,"Med-High (0.5-0.75)"
0.35,0.2,0.6,0.571428571428571,0.15,"Decaying",1e-04,0.272617835671343,0.590668755268419,0.129908379755653,-0.870091620244347,"Med-High (0.5-0.75)"
0.4,0.2,0.6,0.5,0.2,"Decaying",1e-04,0.252579759519038,0.658419062499745,0.098397998843297,-0.901602001156703,"Med-Low (0.25-0.5)"
0.45,0.2,0.6,0.444444444444444,0.25,"Decaying",1e-04,0.232541683366733,0.733583450468601,0.071258994751069,-0.928741005248931,"Med-Low (0.25-0.5)"
0.5,0.2,0.6,0.4,0.3,"Decaying",1e-04,0.214507414829659,0.812843691983835,0.0498020067290164,-0.950197993270984,"Med-Low (0.25-0.5)"
0.25,0.25,0.6,1,0,"Decaying",1e-04,0.284640681362725,0.549518820541503,0.1600480036,-0.8399519964,"High (0.75-1)"
0.3,0.25,0.6,0.833333333333333,0.05,"Decaying",1e-04,0.278629258517034,0.571216276476774,0.148247338537794,-0.851752661462206,"High (0.75-1)"
0.35,0.25,0.6,0.714285714285714,0.1,"Decaying",1e-04,0.266606412825651,0.609480891002714,0.128036751907656,-0.871963248092344,"Med-High (0.5-0.75)"
0.4,0.25,0.6,0.625,0.15,"Decaying",1e-04,0.250575951903808,0.661751533294829,0.10383922080974,-0.89616077919026,"Med-High (0.5-0.75)"
0.45,0.25,0.6,0.555555555555556,0.2,"Decaying",1e-04,0.234545490981964,0.724784630976559,0.07978380943718,-0.92021619056282,"Med-High (0.5-0.75)"
0.5,0.25,0.6,0.5,0.25,"Decaying",1e-04,0.21651122244489,0.795207146650061,0.0586162936493425,-0.941383706350657,"Med-Low (0.25-0.5)"
0.3,0.3,0.6,1,-5.55111512312578e-17,"Decaying",1e-04,0.246568336673347,0.695384067930873,0.111111111111111,-0.888888888888889,"High (0.75-1)"
0.35,0.3,0.6,0.857142857142857,0.05,"Decaying",1e-04,0.256587374749499,0.643179711097776,0.118889033366199,-0.881110966633801,"High (0.75-1)"
0.4,0.3,0.6,0.75,0.1,"Decaying",1e-04,0.246568336673347,0.678700443035897,0.103576733659252,-0.896423266340747,"High (0.75-1)"
0.45,0.3,0.6,0.666666666666667,0.15,"Decaying",1e-04,0.232541683366733,0.727478659230876,0.0848977036111477,-0.915102296388852,"Med-High (0.5-0.75)"
0.5,0.3,0.6,0.6,0.2,"Decaying",1e-04,0.21851503006012,0.786620118340123,0.0659928879630515,-0.934007112036949,"Med-High (0.5-0.75)"
0.35,0.35,0.6,1,0,"Decaying",1e-04,0.242560721442886,0.691034277549061,0.10410198169615,-0.89589801830385,"High (0.75-1)"
0.4,0.35,0.6,0.875,0.05,"Decaying",1e-04,0.238553106212425,0.709679427466031,0.09746181806737,-0.90253818193263,"High (0.75-1)"
0.45,0.35,0.6,0.777777777777778,0.1,"Decaying",1e-04,0.228534068136273,0.742944028912153,0.0855117448393498,-0.91448825516065,"High (0.75-1)"
0.5,0.35,0.6,0.7,0.15,"Decaying",1e-04,0.21851503006012,0.78881847692898,0.0707037516087361,-0.929296248391264,"Med-High (0.5-0.75)"
0.4,0.4,0.6,1,0,"Decaying",1e-04,0.226530260521042,0.754197358192243,0.0865467177854671,-0.913453282214533,"High (0.75-1)"
0.45,0.4,0.6,0.888888888888889,0.05,"Decaying",1e-04,0.222522645290581,0.771705230745091,0.0813463044371329,-0.918653695562867,"High (0.75-1)"
0.5,0.4,0.6,0.8,0.1,"Decaying",1e-04,0.214507414829659,0.803076088097591,0.0717922052503442,-0.928207794749656,"High (0.75-1)"
0.45,0.45,0.6,1,0,"Decaying",1e-04,0.212503607214429,0.813446830845899,0.0730854691672754,-0.926914530832725,"High (0.75-1)"
0.5,0.45,0.6,0.9,0.05,"Decaying",1e-04,0.208495991983968,0.829992167753096,0.0689215450883124,-0.931078454911688,"High (0.75-1)"
0.05,0,0.8,0,0.05,"Decaying",1e-04,0.458971943887776,0.097018243628131,0.714591530662091,-0.285408469337909,"Low (0-0.25)"
0.1,0,0.8,0,0.1,"Decaying",1e-04,0.410880561122245,0.208881858405723,0.482092416069416,-0.517907583930584,"Low (0-0.25)"
0.15,0,0.8,0,0.15,"Decaying",1e-04,0.364792985971944,0.328385440106004,0.312801221290459,-0.687198778709541,"Low (0-0.25)"
0.2,0,0.8,0,0.2,"Decaying",1e-04,0.320709218436874,0.450109672339788,0.197870799799091,-0.802129200200909,"Low (0-0.25)"
0.25,0,0.8,0,0.25,"Decaying",1e-04,0.280633066132265,0.57037082954695,0.123169978442433,-0.876830021557567,"Low (0-0.25)"
0.3,0,0.8,0,0.3,"Decaying",1e-04,0.246568336673347,0.686881301232334,0.075904996342554,-0.924095003657446,"Low (0-0.25)"
0.35,0,0.8,0,0.35,"Decaying",1e-04,0.21851503006012,0.798376268677529,0.0464887532104602,-0.95351124678954,"Low (0-0.25)"
0.4,0,0.8,0,0.4,"Decaying",1e-04,0.196473146292585,0.904296020859457,0.0283647021581896,-0.97163529784181,"Low (0-0.25)"
0.45,0,0.8,0,0.45,"Decaying",1e-04,0.176435070140281,1.00454116248887,0.0172664552204098,-0.98273354477959,"Low (0-0.25)"
0.5,0,0.8,0,0.5,"Decaying",1e-04,0.160404609218437,1.09929399923045,0.0104958116007835,-0.989504188399216,"Low (0-0.25)"
0.05,0.05,0.8,1,0,"Decaying",1e-04,0.416891983967936,0.19575428703121,0.51024489877551,-0.48975510122449,"High (0.75-1)"
0.1,0.05,0.8,0.5,0.05,"Decaying",1e-04,0.386834869739479,0.268518081988037,0.397014386189428,-0.602985613810572,"Med-Low (0.25-0.5)"
0.15,0.05,0.8,0.333333333333333,0.1,"Decaying",1e-04,0.352770140280561,0.357230557142801,0.289976258420355,-0.710023741579645,"Med-Low (0.25-0.5)"
0.2,0.05,0.8,0.25,0.15,"Decaying",1e-04,0.316701603206413,0.456373372050337,0.20173113845536,-0.798268861544639,"Low (0-0.25)"
0.25,0.05,0.8,0.2,0.2,"Decaying",1e-04,0.282636873747495,0.561057225809291,0.135362353000146,-0.864637646999854,"Low (0-0.25)"
0.3,0.05,0.8,0.166666666666667,0.25,"Decaying",1e-04,0.250575951903808,0.667434545967951,0.0884821224232342,-0.911517877576766,"Low (0-0.25)"
0.35,0.05,0.8,0.142857142857143,0.3,"Decaying",1e-04,0.224526452905812,0.772765362450551,0.0567639366534874,-0.943236063346513,"Low (0-0.25)"
0.4,0.05,0.8,0.125,0.35,"Decaying",1e-04,0.200480761523046,0.875276386345893,0.035931544841292,-0.964068455158708,"Low (0-0.25)"
0.45,0.05,0.8,0.111111111111111,0.4,"Decaying",1e-04,0.180442685370741,0.973946728877074,0.0225273543263373,-0.977472645673663,"Low (0-0.25)"
0.5,0.05,0.8,0.1,0.45,"Decaying",1e-04,0.164412224448898,1.06829564047765,0.0140257657332277,-0.985974234266772,"Low (0-0.25)"
0.1,0.1,0.8,1,0,"Decaying",1e-04,0.356777755511022,0.345312702264411,0.30869136,-0.69130864,"High (0.75-1)"
0.15,0.1,0.8,0.666666666666667,0.05,"Decaying",1e-04,0.334735871743487,0.40475297274806,0.252227084152486,-0.747772915847514,"Med-High (0.5-0.75)"
0.2,0.1,0.8,0.5,0.1,"Decaying",1e-04,0.308686372745491,0.479613574015226,0.193419834706753,-0.806580165293247,"Med-Low (0.25-0.5)"
0.25,0.1,0.8,0.4,0.15,"Decaying",1e-04,0.280633066132265,0.565565990658848,0.140813832706146,-0.859186167293854,"Med-Low (0.25-0.5)"
0.3,0.1,0.8,0.333333333333333,0.2,"Decaying",1e-04,0.252579759519038,0.658419062499745,0.098397998843297,-0.901602001156703,"Med-Low (0.25-0.5)"
0.35,0.1,0.8,0.285714285714286,0.25,"Decaying",1e-04,0.228534068136273,0.754585479018028,0.0666246978864449,-0.933375302113555,"Med-Low (0.25-0.5)"
0.4,0.1,0.8,0.25,0.3,"Decaying",1e-04,0.204488376753507,0.851299054252403,0.0440467388450729,-0.955953261154927,"Low (0-0.25)"
0.45,0.1,0.8,0.222222222222222,0.35,"Decaying",1e-04,0.184450300601202,0.946617402919246,0.0286015770486822,-0.971398422951318,"Low (0-0.25)"
0.5,0.1,0.8,0.2,0.4,"Decaying",1e-04,0.168419839679359,1.03930292593977,0.0183229666097362,-0.981677033390264,"Low (0-0.25)"
0.15,0.15,0.8,1,0,"Decaying",1e-04,0.312693987975952,0.468581016173858,0.20666116,-0.79333884,"High (0.75-1)"
0.2,0.15,0.8,0.75,0.05,"Decaying",1e-04,0.294659719438878,0.519546198741239,0.174308189040001,-0.825691810959999,"High (0.75-1)"
0.25,0.15,0.8,0.6,0.1,"Decaying",1e-04,0.274621643286573,0.585109074005009,0.138143777356474,-0.861856222643526,"Med-High (0.5-0.75)"
0.3,0.15,0.8,0.5,0.15,"Decaying",1e-04,0.250575951903808,0.661751533294829,0.10383922080974,-0.89616077919026,"Med-High (0.5-0.75)"
0.35,0.15,0.8,0.428571428571429,0.2,"Decaying",1e-04,0.228534068136273,0.745857853778787,0.0747418428736809,-0.925258157126319,"Med-Low (0.25-0.5)"
0.4,0.15,0.8,0.375,0.25,"Decaying",1e-04,0.208495991983968,0.834158797397309,0.0519698436872179,-0.948030156312782,"Med-Low (0.25-0.5)"
0.45,0.15,0.8,0.333333333333333,0.3,"Decaying",1e-04,0.188457915831663,0.923996968939106,0.0351701274659897,-0.96482987253401,"Med-Low (0.25-0.5)"
0.5,0.15,0.8,0.3,0.35,"Decaying",1e-04,0.17242745490982,1.0134043915865,0.0233058896592365,-0.976694110340763,"Med-Low (0.25-0.5)"
0.2,0.2,0.8,1,0,"Decaying",1e-04,0.276625450901804,0.574792026067039,0.147976335147929,-0.852023664852071,"High (0.75-1)"
0.25,0.2,0.8,0.8,0.05,"Decaying",1e-04,0.26259879759519,0.619857381608167,0.127623075794415,-0.872376924205585,"High (0.75-1)"
0.3,0.2,0.8,0.666666666666667,0.1,"Decaying",1e-04,0.246568336673347,0.678700443035897,0.103576733659252,-0.896423266340748,"Med-High (0.5-0.75)"
0.35,0.2,0.8,0.571428571428571,0.15,"Decaying",1e-04,0.228534068136273,0.748373009278063,0.0797251503894516,-0.920274849610548,"Med-High (0.5-0.75)"
0.4,0.2,0.8,0.5,0.2,"Decaying",1e-04,0.208495991983968,0.825709639315777,0.0586950668020181,-0.941304933197982,"Med-Low (0.25-0.5)"
0.45,0.2,0.8,0.444444444444444,0.25,"Decaying",1e-04,0.190461723446894,0.90773448748064,0.041668350956706,-0.958331649043294,"Med-Low (0.25-0.5)"
0.5,0.2,0.8,0.4,0.3,"Decaying",1e-04,0.17443126252505,0.991936021830331,0.0287299705497244,-0.971270029450276,"Med-Low (0.25-0.5)"
0.25,0.25,0.8,1,0,"Decaying",1e-04,0.248572144288577,0.668980435256378,0.11115556,-0.88884444,"High (0.75-1)"
0.3,0.25,0.8,0.833333333333333,0.05,"Decaying",1e-04,0.238553106212425,0.709679427466031,0.09746181806737,-0.90253818193263,"High (0.75-1)"
0.35,0.25,0.8,0.714285714285714,0.1,"Decaying",1e-04,0.224526452905812,0.763409142961153,0.0805312085564436,-0.919468791443556,"Med-High (0.5-0.75)"
0.4,0.25,0.8,0.625,0.15,"Decaying",1e-04,0.208495991983968,0.827637261372983,0.0631315321363534,-0.936868467863647,"Med-High (0.5-0.75)"
0.45,0.25,0.8,0.555555555555556,0.2,"Decaying",1e-04,0.192465531062124,0.899551555670839,0.0473122750610915,-0.952687724938909,"Med-High (0.5-0.75)"
0.5,0.25,0.8,0.5,0.25,"Decaying",1e-04,0.176435070140281,0.976429812207866,0.0341522728219302,-0.96584772717807,"Med-Low (0.25-0.5)"
0.3,0.3,0.8,1,-5.55111512312578e-17,"Decaying",1e-04,0.17242745490982,0.970009980780789,0.0625,-0.9375,"High (0.75-1)"
0.35,0.3,0.8,0.857142857142857,0.05,"Decaying",1e-04,0.21651122244489,0.791518929373825,0.0768553784821966,-0.923144621517803,"High (0.75-1)"
0.4,0.3,0.8,0.75,0.1,"Decaying",1e-04,0.204488376753507,0.841207516315333,0.0644024629423047,-0.935597537057695,"High (0.75-1)"
0.45,0.3,0.8,0.666666666666667,0.15,"Decaying",1e-04,0.192465531062124,0.901044591173643,0.0512275775985844,-0.948772422401416,"Med-High (0.5-0.75)"
0.5,0.3,0.8,0.6,0.2,"Decaying",1e-04,0.178438877755511,0.968499080620412,0.0389466467784542,-0.961053353221546,"Med-High (0.5-0.75)"
0.35,0.35,0.8,1,0,"Decaying",1e-04,0.206492184368738,0.832435049255659,0.0692908641551247,-0.930709135844875,"High (0.75-1)"
0.4,0.35,0.8,0.875,0.05,"Decaying",1e-04,0.198476953907816,0.867055685768835,0.0621559527295581,-0.937844047270442,"High (0.75-1)"
0.45,0.35,0.8,0.777777777777778,0.1,"Decaying",1e-04,0.190461723446894,0.913456641126747,0.0526758667327543,-0.947324133267246,"High (0.75-1)"
0.5,0.35,0.8,0.7,0.15,"Decaying",1e-04,0.178438877755511,0.969663027970489,0.0423991599603732,-0.957600840039627,"Med-High (0.5-0.75)"
0.4,0.4,0.8,1,0,"Decaying",1e-04,0.190461723446894,0.905068755449287,0.0567256293877551,-0.943274370612245,"High (0.75-1)"
0.45,0.4,0.8,0.888888888888889,0.05,"Decaying",1e-04,0.184450300601202,0.937472654290716,0.0513039209540595,-0.94869607904594,"High (0.75-1)"
0.5,0.4,0.8,0.8,0.1,"Decaying",1e-04,0.176435070140281,0.981137186138044,0.0438837656611728,-0.956116234338827,"High (0.75-1)"
0.45,0.45,0.8,1,0,"Decaying",1e-04,0.176435070140281,0.973089572861437,0.0472930117958412,-0.952706988204159,"High (0.75-1)"
0.5,0.45,0.8,0.9,0.05,"Decaying",1e-04,0.17242745490982,1.00363596690982,0.0430649407712126,-0.956935059228788,"High (0.75-1)"
