feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t46	0.093	-2.325	0.762	-0.408	0.049	-1.158	0.619	0.291	0.316	0.673	0.463	-0.072	0.928	-0.712	1.559	-0.014	-0.591	-0.304	2.679	0.263	-0.141	-0.692	-0.346	-0.825	-0.663	-0.246	0.143	-0.173	-0.588	0.42
t49	-0.013	1.668	-0.484	0.011	0.5	-0.666	-0.113	-0.229	-0.257	-1.081	-0.486	-0.124	0.008	-0.441	0.087	-0.683	-0.371	1.112	0.97	-1.194	-0.512	-1.351	0.098	4.182	0.878	-0.718	-0.788	-0.426	1.742	-1.318
t11	-0.219	-0.566	1.345	0.719	-0.595	0.905	-0.61	-0.294	0.198	-0.022	-1.112	-0.18	0.137	-0.055	1.874	0.13	-0.007	0.602	0.509	0.193	-0.744	0.069	0.301	-1.721	0.475	0.019	0.135	-0.643	0.184	-1.027
t26	0.394	-0.107	-0.142	0.106	-0.521	-1.862	-1.118	-1.258	-0.178	0.471	-0.6	-0.309	1.324	1.587	1.776	-0.591	-0.031	-0.196	-0.38	0.597	-0.605	0.318	-0.133	1.351	-0.527	-0.098	0.499	0.006	0.344	-0.116
t32	-0.188	1.615	0.642	-0.464	-0.194	-0.971	0.995	0.284	-0.051	1.18	-0.239	-0.198	1.929	1.374	-0.031	-0.689	0.215	0.378	0.289	-0.291	-1.158	-0.666	-0.458	-1.902	-0.02	0.123	-0.16	-1.331	0.637	-0.653
t22	0.081	-0.519	-0.787	1.489	0.038	1.728	-0.405	-0.472	-0.327	0.807	-0.737	0.042	0.753	1.109	0.65	-0.02	0.877	0.888	0.273	1.288	-2.512	-0.027	0.259	-4.475	0.077	0.139	0.253	-0.47	0.346	-0.348
t44	0.46	-0.065	-1.073	1.148	-0.393	-2.157	-0.123	0.43	0.262	0.539	-0.864	-0.063	0.21	-0.214	1.157	-0.898	0.261	0.571	-1.118	0.468	-1.308	0.948	-0.286	2.093	-0.131	-0.088	-0.227	0.743	1.172	-1.456
t29	-0.141	1.255	-1.38	0.649	0.323	-0.708	-0.829	0.407	-0.065	-0.168	-0.458	-0.061	2.077	-0.864	0.228	-0.576	-0.256	-0.224	1.034	-1.671	-2.007	0.71	-0.122	1.535	0.747	-0.194	1.097	0.218	-0.147	-0.409
t41	0.062	-0.268	-1.206	0.065	-0.049	0.841	-0.514	-0.315	-0.187	-0.628	0.558	-0.121	0.337	-0.644	0.395	-0.477	0.628	-0.224	1.953	-0.048	0.336	0.752	-0.156	-0.926	0.252	-0.057	-0.485	-1.236	0.586	0.779
t16	0.058	0.426	-0.072	-0.475	-0.146	-1.75	-1.466	-0.161	-0.664	-1.099	-0.001	-0.239	1.408	0.306	1.309	-0.833	0.911	0.824	1.137	0	-1.927	0.833	-0.332	-0.271	-0.06	-0.039	-0.55	1.075	1.614	0.184
