feature	pagel_lam_mle	pagel_lam_sim	pagel_lam_sim_source	pagel_lam_sim_spec	pagel_lam_sim_alpha	pagel_lam_sim_beta	pagel_lam_mode	pagel_lam_mode_requested
feature_1	0.378033593011107	0.455	beta	beta:10,10	10	10	global	global
feature_2	0.378033593011107	0.673	beta	beta:10,10	10	10	global	global
feature_3	0.378033593011107	0.537	beta	beta:10,10	10	10	global	global
feature_4	0.378033593011107	0.77	beta	beta:10,10	10	10	global	global
feature_5	0.378033593011107	0.6	beta	beta:10,10	10	10	global	global
feature_6	0.378033593011107	0.48	beta	beta:10,10	10	10	global	global
feature_7	0.378033593011107	0.456	beta	beta:10,10	10	10	global	global
feature_8	0.378033593011107	0.495	beta	beta:10,10	10	10	global	global
feature_9	0.378033593011107	0.419	beta	beta:10,10	10	10	global	global
feature_10	0.378033593011107	0.514	beta	beta:10,10	10	10	global	global
feature_11	0.378033593011107	0.41	beta	beta:10,10	10	10	global	global
feature_12	0.378033593011107	0.411	beta	beta:10,10	10	10	global	global
feature_13	0.378033593011107	0.582	beta	beta:10,10	10	10	global	global
feature_14	0.378033593011107	0.636	beta	beta:10,10	10	10	global	global
feature_15	0.378033593011107	0.453	beta	beta:10,10	10	10	global	global
feature_16	0.378033593011107	0.474	beta	beta:10,10	10	10	global	global
feature_17	0.378033593011107	0.674	beta	beta:10,10	10	10	global	global
feature_18	0.378033593011107	0.577	beta	beta:10,10	10	10	global	global
feature_19	0.378033593011107	0.665	beta	beta:10,10	10	10	global	global
feature_20	0.378033593011107	0.564	beta	beta:10,10	10	10	global	global
feature_21	0.378033593011107	0.452	beta	beta:10,10	10	10	global	global
feature_22	0.378033593011107	0.461	beta	beta:10,10	10	10	global	global
feature_23	0.378033593011107	0.556	beta	beta:10,10	10	10	global	global
feature_24	0.378033593011107	0.522	beta	beta:10,10	10	10	global	global
feature_25	0.378033593011107	0.394	beta	beta:10,10	10	10	global	global
feature_26	0.378033593011107	0.504	beta	beta:10,10	10	10	global	global
feature_27	0.378033593011107	0.433	beta	beta:10,10	10	10	global	global
feature_28	0.378033593011107	0.314	beta	beta:10,10	10	10	global	global
feature_29	0.378033593011107	0.486	beta	beta:10,10	10	10	global	global
feature_30	0.378033593011107	0.395	beta	beta:10,10	10	10	global	global
