feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t46	0.034	0.033	0.03	0.036	0.032	0.02	0.033	0.033	0.031	0.033	0.031	0.029	0.049	0.034	0.077	0.026	0.029	0.036	0.067	0.031	0.017	0.028	0.03	0.019	0.027	0.028	0.029	0.03	0.042	0.026
t49	0.033	0.063	0.023	0.038	0.034	0.023	0.028	0.029	0.027	0.024	0.024	0.028	0.041	0.035	0.055	0.023	0.032	0.048	0.051	0.024	0.015	0.024	0.032	0.05	0.035	0.026	0.024	0.028	0.063	0.018
t11	0.032	0.047	0.034	0.044	0.028	0.032	0.027	0.03	0.03	0.028	0.023	0.029	0.041	0.038	0.08	0.027	0.032	0.043	0.043	0.031	0.015	0.032	0.034	0.016	0.034	0.03	0.029	0.027	0.048	0.019
t26	0.036	0.052	0.024	0.038	0.029	0.017	0.024	0.024	0.028	0.032	0.025	0.028	0.053	0.054	0.077	0.023	0.032	0.036	0.035	0.033	0.015	0.034	0.03	0.03	0.027	0.029	0.031	0.031	0.049	0.023
t32	0.032	0.071	0.029	0.034	0.03	0.022	0.036	0.032	0.028	0.035	0.027	0.028	0.059	0.052	0.055	0.023	0.034	0.041	0.041	0.028	0.013	0.027	0.028	0.015	0.03	0.03	0.027	0.023	0.053	0.02
t22	0.033	0.047	0.022	0.049	0.031	0.035	0.027	0.029	0.026	0.034	0.024	0.029	0.046	0.046	0.062	0.024	0.039	0.046	0.043	0.039	0.01	0.032	0.033	0.01	0.031	0.03	0.031	0.027	0.046	0.021
t44	0.037	0.049	0.02	0.048	0.028	0.017	0.028	0.033	0.03	0.03	0.023	0.029	0.04	0.037	0.074	0.023	0.034	0.042	0.03	0.033	0.013	0.039	0.029	0.035	0.029	0.028	0.026	0.036	0.061	0.017
t29	0.032	0.066	0.019	0.043	0.034	0.023	0.025	0.033	0.028	0.026	0.026	0.029	0.061	0.032	0.057	0.024	0.031	0.036	0.048	0.02	0.011	0.037	0.03	0.032	0.036	0.028	0.035	0.032	0.045	0.022
t41	0.034	0.051	0.02	0.038	0.031	0.033	0.028	0.03	0.028	0.027	0.031	0.029	0.043	0.034	0.062	0.024	0.035	0.036	0.056	0.03	0.02	0.037	0.031	0.022	0.032	0.029	0.026	0.025	0.05	0.028
t16	0.033	0.057	0.025	0.032	0.03	0.018	0.022	0.03	0.025	0.023	0.027	0.027	0.054	0.041	0.074	0.021	0.036	0.044	0.045	0.029	0.011	0.036	0.029	0.025	0.029	0.028	0.025	0.041	0.061	0.023
