feature	pagel_lam_mle	pagel_lam_sim	pagel_lam_sim_source	pagel_lam_sim_spec	pagel_lam_sim_alpha	pagel_lam_sim_beta	pagel_lam_mode	pagel_lam_mode_requested
feature_1	0.519045491257336	0.414	beta	beta:10,10	10	10	global	global
feature_2	0.519045491257336	0.478	beta	beta:10,10	10	10	global	global
feature_3	0.519045491257336	0.433	beta	beta:10,10	10	10	global	global
feature_4	0.519045491257336	0.416	beta	beta:10,10	10	10	global	global
feature_5	0.519045491257336	0.349	beta	beta:10,10	10	10	global	global
feature_6	0.519045491257336	0.644	beta	beta:10,10	10	10	global	global
feature_7	0.519045491257336	0.565	beta	beta:10,10	10	10	global	global
feature_8	0.519045491257336	0.495	beta	beta:10,10	10	10	global	global
feature_9	0.519045491257336	0.419	beta	beta:10,10	10	10	global	global
feature_10	0.519045491257336	0.38	beta	beta:10,10	10	10	global	global
feature_11	0.519045491257336	0.575	beta	beta:10,10	10	10	global	global
feature_12	0.519045491257336	0.475	beta	beta:10,10	10	10	global	global
feature_13	0.519045491257336	0.434	beta	beta:10,10	10	10	global	global
feature_14	0.519045491257336	0.472	beta	beta:10,10	10	10	global	global
feature_15	0.519045491257336	0.611	beta	beta:10,10	10	10	global	global
feature_16	0.519045491257336	0.427	beta	beta:10,10	10	10	global	global
feature_17	0.519045491257336	0.75	beta	beta:10,10	10	10	global	global
feature_18	0.519045491257336	0.522	beta	beta:10,10	10	10	global	global
feature_19	0.519045491257336	0.516	beta	beta:10,10	10	10	global	global
feature_20	0.519045491257336	0.678	beta	beta:10,10	10	10	global	global
feature_21	0.519045491257336	0.504	beta	beta:10,10	10	10	global	global
feature_22	0.519045491257336	0.4	beta	beta:10,10	10	10	global	global
feature_23	0.519045491257336	0.335	beta	beta:10,10	10	10	global	global
feature_24	0.519045491257336	0.578	beta	beta:10,10	10	10	global	global
feature_25	0.519045491257336	0.757	beta	beta:10,10	10	10	global	global
feature_26	0.519045491257336	0.488	beta	beta:10,10	10	10	global	global
feature_27	0.519045491257336	0.489	beta	beta:10,10	10	10	global	global
feature_28	0.519045491257336	0.687	beta	beta:10,10	10	10	global	global
feature_29	0.519045491257336	0.545	beta	beta:10,10	10	10	global	global
feature_30	0.519045491257336	0.343	beta	beta:10,10	10	10	global	global
