feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t17	0.892	0.342	0.525	0.637	0.662	0.537	0.958	-0.474	-2.761	0.517	-0.664	0.446	0.62	-4.061	0.733	0.647	2.073	-2.3	0.499	-3.01	1.131	-0.572	1.224	-0.994	0.903	1.381	1.085	0.316	-0.088	-1.202
t20	-0.987	-0.036	0.008	0.279	0.51	0.165	0.017	0.387	-1.448	-0.1	0.729	0.654	1.183	1.034	1.206	-0.497	-0.31	-3.218	-0.177	0.357	0.908	-0.026	0.837	-0.807	0.483	0.146	0.941	-0.256	0.222	-2.204
t5	0.098	-0.334	0.245	0.04	-0.479	0.18	-0.373	-0.353	-0.008	-0.08	1.833	-0.008	0.476	-1.233	0.54	0.154	-0.912	-3.366	0.468	2.827	-0.116	-0.237	-0.418	-0.237	-0.076	1.219	-0.332	-0.753	-0.157	1.392
t36	-0.818	0.181	-0.627	0.444	-0.147	0.177	-0.174	0.516	2.233	0.024	0.161	-0.074	0.812	-3.416	-0.084	-0.257	-0.281	1.003	0.742	-1.438	-0.049	-0.14	1.674	-2.124	0.598	1.041	0.085	-0.423	1.009	-0.65
t3	-2.646	-0.421	-0.32	-0.429	0.073	-0.177	0.385	0.957	1.183	-0.615	-1.084	2.892	-0.342	-0.66	0.591	-0.918	1.149	1.547	-0.548	0.262	-0.172	-1.39	0.841	0.469	-0.375	0.637	-0.14	-0.548	-0.141	-0.06
t1	-1.244	0.274	0.12	0.364	0.413	0.356	-0.459	0.509	3.879	0.765	-1.079	-1.931	-0.239	-1.46	0.661	0.083	0.702	0.308	0.459	-1.098	0.802	-0.396	-0.461	1.169	0.025	-0.286	0.21	0.029	-0.07	-2.405
t30	0.621	0.054	0.078	-0.045	0.027	0.164	0.089	0.808	1.351	0.311	-1.007	-1.137	0.327	-4.857	-0.475	0.219	0.107	-0.213	0.886	-0.209	0.263	-0.051	0.68	0.773	-0.28	-0.391	0.555	-0.032	-0.338	1.722
t28	0.395	0.208	0.323	-0.19	0.246	0.017	0.096	-1.257	0.551	-0.421	-1.59	0.639	-0.478	-3.223	0.015	-1.223	1.85	-0.829	0.242	-0.458	0.29	1	1.531	-0.471	1.659	0.021	-0.051	0.13	-0.53	1.51
t13	-1.061	0.097	0.156	-0.152	-0.088	-0.34	-0.213	-0.423	1.484	0.187	1.017	0.014	0.634	-2.491	-0.373	-1.176	-0.167	-0.276	0.168	-2.638	1.668	1.416	0.217	0.018	0.462	-0.033	0.103	0.066	0.044	1.681
t38	-2.117	-0.073	0.687	-0.111	0.395	-0.021	0.312	0.047	1.021	-0.36	1.08	0.272	0.431	0.082	-0.303	-0.579	1.544	1.518	-0.272	-1.585	0.908	-2.408	-1.084	1.219	-0.964	0.049	0.053	-0.184	0.103	0.338
t43	-0.307	0.246	0.333	0.282	-0.259	-0.049	0.157	-0.41	1.479	0.401	0.782	-0.912	0.592	-4.228	-1.01	0.195	1.389	0.262	0.403	0.118	1.503	-0.868	-0.044	0.712	-0.17	-0.483	-0.562	0.211	0.364	-0.126
t9	-0.216	-0.515	0.283	-0.123	-0.521	-0.01	-0.452	0.358	0.95	-0.785	1.264	0.171	0.262	0.782	0.038	-0.621	-1.372	1.115	0.675	-1.21	0.612	-0.278	-0.577	-0.058	0.001	0.171	0.242	-0.237	-0.745	0.793
t48	-1.99	0.149	0.178	0.392	0.846	0.726	0.382	-0.277	-2.116	0.688	0.221	0.478	0.185	0.866	1.468	0.349	-0.295	-1.618	0.563	-0.745	0.59	-1.153	-0.262	0.413	1.312	0.172	0.103	0.294	0.383	-2.302
t31	-1.242	0.031	0.337	0.116	0.059	0.254	0.133	-0.736	2.002	0.315	0.236	-0.437	0.655	-0.695	1	-0.819	-0.336	1.488	0.213	-0.982	0.946	0.484	0.057	0.39	0.3	-1.073	-0.215	-0.022	-0.055	-2.403
t15	-1.004	-0.073	-0.355	0.191	0.306	-0.302	0.656	-0.745	2.629	-0.676	0.092	-1.4	-0.072	-1.458	-0.041	-0.21	-0.011	-1.057	1.091	1.098	1.302	-1.06	0.438	1.516	-0.74	0.36	-0.465	0.074	0.363	-0.446
t26	-0.739	-0.136	0.161	0.117	0.115	-0.303	0.653	-0.568	1.806	-0.131	0.429	-0.152	0.938	-4.72	0.02	-0.211	0.068	-1.702	0.466	-0.659	0.479	-0.407	1.777	1.315	1.477	0.075	-0.703	0.255	0.195	0.084
t40	-1.619	0.804	0.869	0.927	0.852	0.742	1.067	0.735	1.189	0.482	-1.182	-2.296	0.269	-3.349	-0.727	-0.075	3.007	-0.236	1.794	-1.085	0.659	-1.498	0.669	-0.484	-1.441	-0.057	0.154	0.453	0.314	-0.938
t27	0.403	0.389	0.642	0.493	0.141	0.292	0.164	0.174	3.51	0.372	0.677	-0.964	0.712	-3.57	0.856	0.142	1.227	-0.059	-0.461	-1.405	-0.033	-0.154	0.407	-0.776	-0.698	-1.001	-0.218	0.423	0.042	-1.728
t12	-2.014	0.402	0.517	0.322	0.46	0.259	0.18	1.361	1.081	0.164	-0.789	-2.457	0.384	-0.472	0.378	-0.516	0.784	2.249	0.243	-0.669	0.711	-1.528	1.136	-0.907	0.75	-0.9	0.453	-0.166	0.345	-1.762
t16	-0.93	0.137	0.365	-0.422	-0.574	0.262	0.244	1.041	0.373	0.105	-0.391	0.415	-0.501	0.238	-0.276	-0.158	0.382	0.119	-0.083	0.244	1.108	-0.94	0.402	-0.168	-0.109	-0.065	0.031	0.491	0.07	-1.408
t11	-1.832	0.139	-0.045	0.274	0.234	0.21	-0.097	-0.357	-3.144	0.14	1.234	-0.343	0.114	-4.213	0.243	-0.027	-0.116	1.642	0.493	2.505	1.28	0.702	1.385	0.796	0.332	-0.841	0.174	0.109	0.433	-1.424
t23	-2.006	0.1	0.098	0.53	0.334	0.296	0.505	1.042	1.711	-0.064	-0.274	1.19	1.048	-2.54	-0.151	-0.032	0.645	-1.446	-0.132	-1.303	-0.199	-0.995	0.691	0.589	-0.288	0.588	0.067	0.405	0.002	-0.412
t21	-1.161	0.077	0.598	0.648	0.359	0.346	0.037	1.103	-1.867	-0.186	0.939	1.863	0.284	-2.083	-0.758	0.445	0.403	-3.679	0.732	-0.136	0.053	0.965	0.813	-0.613	-0.621	1.492	-0.989	0.592	-0.14	0.482
t34	-1.783	-0.107	0.987	-0.499	0.258	-0.106	-0.137	0.127	-1.313	0.027	0.512	0.306	1.062	-2.848	-0.914	0.09	0.73	-2.407	1.524	0.483	0.389	0.137	1.586	1.294	-0.482	0.894	-0.069	-0.491	-0.066	0.817
t32	-0.247	-0.095	0.547	0.082	0.425	0.137	0.385	-0.11	-0.484	0.06	0.18	-0.586	1.419	-1.615	-0.443	0.196	0.617	-1.594	0.532	0.98	1.037	1.88	-0.996	0.482	-0.483	0.486	-0.41	-0.249	-0.505	-1.627
t14	-1.194	0.084	-0.624	0.176	0.592	-0.208	-0.151	0.495	0.101	-0.581	0.842	-0.908	0.345	-2.436	0.952	0.03	0.321	-2.524	-0.346	1.95	-0.833	0.094	0.838	-0.295	2.289	0.9	0.448	-0.049	-0.73	0.423
t42	-1.968	0.44	-0.005	-0.08	0.327	-0.045	-0.054	0.778	2.74	-0.181	0.186	-0.728	-0.261	-4.855	0.217	-0.28	0.002	-0.619	-0.561	0.874	-0.216	0.877	1.571	0.636	0.862	0.73	0.288	0.008	-0.357	-0.324
t29	-1.113	0.477	-0.193	0.23	0.62	0.582	-0.568	-0.125	0.317	0.34	0.587	-1.629	0.667	-1.449	-0.918	-0.401	-0.411	1.643	0.812	-1.848	0.302	-0.531	0.907	0.027	1.636	-0.921	-0.004	0.346	-0.62	1.236
t24	-1.416	-0.631	-0.072	-0.474	-0.322	-0.128	-0.25	0.231	2.937	-0.672	-0.414	-0.859	0.904	4.071	1.133	-0.119	-0.362	-1.011	0.033	2.14	-0.175	-0.139	-0.311	-0.738	-1.847	-0.076	-0.6	-0.287	-0.19	-0.355
t49	-2.422	0	0.842	-0.051	-0.386	0.158	-0.153	0.717	-0.02	-0.301	0.241	-0.036	-0.003	-0.107	1.266	0.076	0.206	-3.678	0.676	1.965	0.172	0.626	-0.216	0.556	0.086	-0.22	-0.033	-0.133	-0.689	0.859
t2	-1.743	-0.228	0.231	0.036	0.492	-0.021	0.399	0.453	-0.443	-0.141	0.004	-0.339	0.934	-4.325	0.818	0.019	0.527	0.516	-0.542	0.474	0.287	0.918	-0.463	-0.282	-0.335	0.973	0.124	0.064	-0.222	1.818
t33	-1.689	-0.558	0.284	0.006	0.018	0.124	-0.089	1.308	0.622	-0.296	0.743	-0.806	1.118	-2.339	0.107	-0.201	-0.324	-1.627	0.745	3.577	-0.246	0.573	1.064	-0.553	0.917	0.391	-0.637	-0.332	-0.977	-0.923
t50	-0.627	-0.401	0.103	-0.104	-0.163	0.099	-0.63	-0.143	-2.172	0.511	1.277	-0.134	1.446	-1.561	-1.073	0.352	0.046	-0.04	0.829	0.988	-0.282	1.532	-1.115	1.275	1.184	-0.079	-0.273	-0.236	-0.231	-0.378
t46	-0.155	-0.122	-1.139	0.247	0.266	0.361	0.682	0.641	2.82	0.609	0.653	2.168	0.712	-4.53	0.758	-0.108	-1.202	0.112	0.351	1.335	-0.749	-1.787	0.767	-0.87	-1.73	-0.4	-0.249	0.202	0.488	-0.129
t35	-0.866	-0.21	-0.279	-0.066	0.238	0.178	0.377	0.254	3.8	0.2	1.503	1.566	0.622	-5.591	1.304	-0.121	-0.349	0.422	-0.184	-0.211	-0.4	-0.716	0.533	-0.379	-0.721	0.086	-0.654	-0.028	0.537	-0.844
t10	-1.269	-0.253	0.148	0.417	0.327	-0.082	0.613	-0.505	-0.45	-0.33	-0.193	-1.413	0.877	-1.083	0.461	-0.909	0.989	-0.376	-0.065	0.325	0.46	1.099	0.686	-0.264	0.024	1.07	0.109	0.551	-1.077	0.111
t22	-0.502	0.16	-0.772	0.196	0.249	-0.138	0.146	0.616	0.199	-0.378	1.714	-0.742	0.588	-2.288	0.746	-0.584	0.982	-2.964	-0.627	0.509	0.687	1.915	-0.528	-0.715	-0.742	-0.033	0.016	0.343	-1.201	3.147
t4	-1.503	0.033	-0.317	0.169	0.313	0.01	0.299	0.76	2.43	-0.593	0.109	-0.536	0.45	0.72	-0.754	-0.009	0.609	-1.535	-0.451	0.321	0.017	-1.204	0.349	1.532	-1.045	-0.353	0.287	0.625	-0.442	-0.292
t37	0.391	0.079	0.023	0.462	0.739	0.513	-0.07	-0.627	2.285	-0.186	-0.686	-1.436	0.887	-1.503	-0.972	0.452	-0.507	-1	1.66	-3.21	1.421	-1.799	1.084	0.76	2.065	-0.549	0.392	0.787	-0.589	-0.867
t19	-1.548	-0.353	0.551	-0.208	-0.056	0.181	-0.747	1.443	1.259	-0.614	0.861	-0.551	-0.402	0.131	-0.025	0.354	0.608	-1.975	0.718	1.466	-0.263	-0.529	-0.283	0.212	0.991	-0.287	-0.026	0.021	-0.129	-0.801
t39	-1.541	0.348	0.344	-0.011	0.547	0.345	0.173	-0.003	3.148	-0.075	-0.165	-1.681	-0.432	-2.36	-1.068	0.337	0.497	-0.128	0.877	-1.511	1.446	-1.582	1.348	0.406	0.99	-0.449	-0.25	0.204	-0.823	1.066
t18	0.814	-0.096	-0.797	0.329	0.165	-0.092	0.253	-0.807	2.736	-0.006	0.168	0.648	0.874	-0.907	0.832	-0.525	-1.254	-0.046	-0.195	-0.929	-0.773	-0.597	0.361	-0.301	-0.832	-0.673	-0.435	0.54	-0.058	1.601
t45	-2.318	0.105	-0.244	0.133	0.726	0.524	-0.046	0.069	2.421	0.022	0.92	-1.124	-0.284	-3.342	-0.592	0.472	0.019	2.001	0.506	-0.674	0.956	-0.774	0.432	0.406	1.571	-0.282	0.599	0.288	-0.796	-1.695
t47	-0.381	0.241	0.288	0.405	0.505	0.523	-0.069	-0.073	1.534	0.118	1.732	-2.07	0.2	-0.532	-0.833	0.449	-0.55	-0.214	0.115	-1.616	0.705	-1.474	0.735	0.057	1.004	-0.685	0.305	0.643	-0.46	-0.598
t7	-1.788	-0.269	0.348	-0.631	-0.119	0.336	-0.723	1.397	0.945	-0.043	1.221	0.588	0.825	-1.71	-0.085	-0.278	1.845	-1.885	0.825	1.904	-0.931	-0.208	1.173	-0.695	0.747	-0.713	-0.278	0.114	-0.049	-1.862
t41	-1.887	-0.343	0.374	-0.734	-0.246	0.19	-0.177	0.441	-2.792	-0.346	0.094	-0.358	0.569	1.581	0.034	0.135	-0.18	-0.259	0.663	1.236	0.058	0.316	1.03	0.376	1.038	-0.125	-0.048	0.005	-0.657	0.012
