feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t17	0.018	0.032	0.038	0.036	0.039	0.038	0.038	0.031	0.03	0.034	0.035	0.03	0.05	0.003	0.038	0.032	0.055	0.011	0.048	0.017	0.05	0.022	0.056	0.025	0.041	0.041	0.036	0.033	0.027	0.018
t20	0.012	0.03	0.035	0.034	0.038	0.036	0.031	0.038	0.041	0.03	0.049	0.032	0.058	0.011	0.043	0.025	0.032	0.009	0.043	0.039	0.049	0.025	0.052	0.027	0.038	0.031	0.036	0.03	0.03	0.015
t5	0.015	0.029	0.034	0.033	0.032	0.035	0.031	0.031	0.062	0.03	0.059	0.028	0.048	0.005	0.039	0.028	0.03	0.01	0.044	0.056	0.039	0.022	0.041	0.03	0.033	0.041	0.028	0.027	0.027	0.034
t36	0.011	0.03	0.029	0.035	0.033	0.035	0.03	0.04	0.084	0.03	0.043	0.028	0.053	0.004	0.033	0.027	0.032	0.021	0.048	0.028	0.036	0.024	0.06	0.02	0.035	0.041	0.029	0.028	0.034	0.02
t3	0.008	0.027	0.032	0.029	0.034	0.033	0.034	0.043	0.073	0.027	0.032	0.055	0.041	0.008	0.037	0.023	0.045	0.028	0.039	0.036	0.039	0.018	0.051	0.036	0.03	0.035	0.028	0.028	0.027	0.024
t1	0.01	0.03	0.033	0.033	0.037	0.035	0.028	0.037	0.13	0.033	0.032	0.018	0.041	0.006	0.037	0.027	0.041	0.017	0.044	0.026	0.043	0.022	0.037	0.039	0.032	0.03	0.029	0.03	0.026	0.014
t30	0.016	0.029	0.034	0.031	0.034	0.034	0.033	0.041	0.072	0.031	0.034	0.023	0.049	0.003	0.029	0.029	0.036	0.016	0.05	0.034	0.039	0.025	0.051	0.037	0.031	0.03	0.032	0.031	0.025	0.041
t28	0.015	0.031	0.037	0.03	0.037	0.034	0.033	0.027	0.057	0.027	0.029	0.034	0.04	0.004	0.035	0.022	0.055	0.014	0.043	0.037	0.04	0.031	0.06	0.031	0.047	0.032	0.029	0.033	0.024	0.034
t13	0.011	0.03	0.035	0.031	0.033	0.031	0.031	0.033	0.071	0.031	0.054	0.029	0.052	0.005	0.032	0.022	0.033	0.016	0.042	0.021	0.055	0.034	0.043	0.034	0.034	0.032	0.03	0.032	0.027	0.035
t38	0.009	0.03	0.041	0.031	0.038	0.035	0.033	0.035	0.067	0.029	0.051	0.03	0.05	0.008	0.033	0.025	0.049	0.025	0.041	0.023	0.05	0.016	0.033	0.04	0.029	0.033	0.029	0.03	0.029	0.027
t43	0.013	0.03	0.035	0.033	0.031	0.032	0.032	0.031	0.067	0.032	0.051	0.027	0.051	0.003	0.027	0.029	0.045	0.017	0.044	0.042	0.052	0.022	0.041	0.04	0.031	0.03	0.025	0.032	0.03	0.026
t9	0.015	0.028	0.035	0.033	0.033	0.034	0.031	0.036	0.078	0.027	0.053	0.03	0.047	0.008	0.034	0.024	0.026	0.03	0.047	0.021	0.048	0.022	0.04	0.033	0.034	0.033	0.033	0.031	0.024	0.03
t48	0.009	0.031	0.035	0.035	0.042	0.04	0.035	0.034	0.033	0.035	0.045	0.033	0.047	0.01	0.046	0.031	0.035	0.011	0.048	0.031	0.043	0.02	0.042	0.035	0.045	0.036	0.03	0.034	0.03	0.017
t31	0.011	0.029	0.036	0.032	0.034	0.035	0.033	0.03	0.094	0.031	0.044	0.026	0.052	0.006	0.04	0.023	0.034	0.025	0.043	0.029	0.046	0.029	0.045	0.034	0.034	0.025	0.027	0.031	0.026	0.016
t15	0.011	0.029	0.031	0.033	0.036	0.032	0.035	0.03	0.094	0.026	0.04	0.02	0.042	0.006	0.033	0.026	0.034	0.014	0.054	0.045	0.052	0.021	0.045	0.042	0.027	0.033	0.026	0.031	0.029	0.022
t26	0.012	0.028	0.035	0.032	0.034	0.032	0.035	0.031	0.075	0.029	0.043	0.027	0.054	0.003	0.033	0.026	0.035	0.012	0.045	0.028	0.041	0.024	0.063	0.039	0.048	0.031	0.024	0.032	0.028	0.024
t40	0.009	0.033	0.039	0.037	0.04	0.039	0.04	0.04	0.061	0.032	0.03	0.019	0.046	0.004	0.028	0.026	0.067	0.014	0.061	0.03	0.041	0.019	0.048	0.029	0.022	0.033	0.029	0.033	0.028	0.021
t27	0.016	0.03	0.037	0.034	0.033	0.034	0.032	0.035	0.111	0.031	0.049	0.026	0.051	0.004	0.043	0.028	0.042	0.015	0.034	0.028	0.035	0.026	0.045	0.027	0.027	0.026	0.027	0.033	0.027	0.017
t12	0.009	0.031	0.037	0.033	0.038	0.035	0.033	0.049	0.061	0.031	0.035	0.019	0.049	0.009	0.039	0.024	0.039	0.028	0.043	0.035	0.044	0.019	0.056	0.027	0.04	0.028	0.033	0.03	0.03	0.017
t16	0.012	0.031	0.038	0.029	0.031	0.036	0.035	0.046	0.067	0.031	0.039	0.033	0.042	0.01	0.032	0.027	0.041	0.017	0.041	0.036	0.048	0.02	0.048	0.03	0.033	0.034	0.03	0.036	0.028	0.02
t11	0.009	0.03	0.032	0.034	0.036	0.034	0.031	0.031	0.026	0.03	0.057	0.026	0.047	0.003	0.035	0.027	0.034	0.024	0.046	0.062	0.049	0.03	0.059	0.037	0.035	0.027	0.03	0.031	0.029	0.019
t23	0.009	0.03	0.035	0.035	0.035	0.036	0.034	0.043	0.088	0.03	0.037	0.037	0.054	0.005	0.03	0.028	0.038	0.014	0.042	0.024	0.036	0.018	0.051	0.038	0.031	0.033	0.028	0.033	0.028	0.02
t21	0.011	0.031	0.036	0.039	0.039	0.037	0.034	0.044	0.042	0.029	0.047	0.044	0.044	0.005	0.029	0.03	0.04	0.009	0.045	0.027	0.04	0.028	0.055	0.027	0.029	0.043	0.024	0.038	0.028	0.027
t34	0.009	0.03	0.04	0.028	0.037	0.032	0.032	0.033	0.048	0.03	0.042	0.029	0.053	0.004	0.028	0.027	0.043	0.012	0.055	0.032	0.043	0.022	0.066	0.043	0.029	0.036	0.03	0.028	0.028	0.029
t32	0.014	0.031	0.037	0.034	0.04	0.035	0.037	0.032	0.06	0.031	0.039	0.024	0.059	0.005	0.032	0.028	0.043	0.015	0.044	0.035	0.053	0.035	0.036	0.036	0.029	0.034	0.028	0.031	0.026	0.016
t14	0.011	0.03	0.03	0.033	0.038	0.033	0.03	0.038	0.053	0.027	0.05	0.022	0.049	0.005	0.04	0.028	0.037	0.01	0.041	0.053	0.032	0.025	0.05	0.029	0.056	0.037	0.031	0.031	0.023	0.027
t42	0.009	0.032	0.034	0.03	0.035	0.033	0.03	0.039	0.104	0.029	0.041	0.022	0.04	0.003	0.032	0.025	0.033	0.016	0.037	0.039	0.037	0.03	0.058	0.036	0.037	0.034	0.029	0.031	0.025	0.021
t29	0.011	0.033	0.032	0.033	0.039	0.038	0.028	0.035	0.05	0.033	0.048	0.023	0.054	0.006	0.03	0.025	0.033	0.025	0.049	0.028	0.039	0.026	0.052	0.033	0.045	0.028	0.029	0.034	0.025	0.036
t24	0.011	0.026	0.031	0.03	0.033	0.032	0.032	0.034	0.126	0.027	0.034	0.022	0.054	0.017	0.043	0.026	0.033	0.017	0.039	0.047	0.038	0.022	0.042	0.026	0.021	0.031	0.026	0.03	0.027	0.022
t49	0.008	0.031	0.04	0.033	0.033	0.035	0.033	0.039	0.057	0.03	0.041	0.028	0.043	0.006	0.045	0.028	0.039	0.009	0.046	0.045	0.042	0.028	0.043	0.038	0.035	0.03	0.03	0.032	0.024	0.03
t2	0.01	0.028	0.037	0.032	0.038	0.034	0.034	0.038	0.052	0.03	0.041	0.026	0.054	0.003	0.039	0.029	0.038	0.023	0.039	0.04	0.042	0.03	0.039	0.031	0.032	0.038	0.03	0.031	0.028	0.035
t33	0.009	0.026	0.033	0.032	0.034	0.034	0.032	0.045	0.077	0.027	0.043	0.022	0.052	0.004	0.035	0.024	0.032	0.014	0.044	0.067	0.036	0.024	0.059	0.026	0.04	0.032	0.025	0.029	0.022	0.019
t50	0.013	0.029	0.033	0.033	0.035	0.035	0.029	0.032	0.039	0.036	0.053	0.028	0.06	0.005	0.027	0.03	0.038	0.023	0.048	0.036	0.038	0.033	0.035	0.045	0.046	0.03	0.03	0.032	0.028	0.023
t46	0.013	0.029	0.026	0.033	0.035	0.036	0.036	0.041	0.086	0.033	0.044	0.04	0.049	0.003	0.036	0.027	0.028	0.017	0.046	0.048	0.034	0.017	0.05	0.027	0.023	0.029	0.028	0.032	0.029	0.023
t35	0.01	0.027	0.032	0.03	0.034	0.034	0.032	0.036	0.11	0.029	0.054	0.033	0.047	0.002	0.041	0.026	0.035	0.018	0.039	0.031	0.037	0.023	0.046	0.031	0.03	0.032	0.024	0.029	0.029	0.019
