V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t40	1.153	0.514	-1.46	-1.253	1.64	0.839	0.119	1.443	-0.053	0.504	-0.403	-0.531	-0.736	-2.23	-1.47	2.897	-1.414	-1.256	0.771	0.526	-0.055	0.404	0.55	-0.106	-0.489	-0.254	-0.242	0.229	-0.181	0.544
t107	0.967	1.614	-3.007	-0.141	2.053	2.849	-0.717	-0.309	-0.066	0.895	-0.912	0.854	-0.395	-0.99	-2.044	2.895	0.02	-1.98	-1.785	-1.254	-0.677	1.585	-0.317	-1.185	0.831	0.166	0.277	-1.209	1.196	0.778
t133	0.347	1.032	-3.521	-0.729	1.869	2.537	-0.755	0.237	-0.341	0.625	-0.274	0.824	-0.143	0.579	-2.176	4.395	-0.093	-2.224	-1.881	-0.721	-1.492	1.085	0.193	-1.293	-0.043	-0.779	0.857	1.571	-0.186	0.488
t169	0.454	1.852	-4.663	0.093	2.298	4.404	-1.371	-0.317	-0.769	0.305	-0.109	1.438	-0.351	-0.527	-3.061	4.956	1.781	-2.533	-2.517	-2.644	-1.957	1.97	-0.852	-1.893	1.887	-0.813	2.016	0.53	-0.19	0.528
t179	0.139	0.953	-2.568	-0.881	1.728	1.679	-0.101	-0.343	0.112	1.003	-0.949	0.692	0.362	0.144	-0.944	2.223	-0.061	-1.877	-1.231	-0.14	-0.619	0.74	0.331	-0.892	-0.417	0.365	-0.368	-0.811	1.047	0.679
t153	0.88	0.274	-1.419	-1.606	1.429	0.728	-0.121	1.222	-0.372	0.675	0.366	0.51	-0.731	-0.508	-1.515	4.587	-1.644	-1.5	-0.315	-0.047	-0.869	0.656	0.426	-0.807	-0.585	-0.675	0.974	1.032	-1.233	0.183
t6	0.778	1.199	-2.542	-0.647	2.012	2.978	-0.848	-0.19	-0.48	0.77	0.628	1.106	-0.735	-0.081	-2.671	4.545	-0.641	-1.747	-1.911	-1.154	-1.591	1.495	-0.386	-2.058	0.595	-1.152	1.887	1.157	-0.709	0.379
t53	0.541	0.488	-2.1	-1.443	1.781	2.142	-0.727	0.229	-0.457	0.988	1.721	0.657	-0.79	0.538	-2.657	5.542	-1.601	-1.476	-1.052	-0.349	-1.555	0.938	0.355	-1.931	-0.167	-1.755	1.92	2.263	-2.274	0.202
t127	0.969	0.401	-1.522	-1.445	1.589	1.06	0.06	0.435	-0.112	0.433	0.441	0.189	-0.384	-1.4	-1.488	3.788	-2.107	-1.209	0.488	0.386	-0.402	0.528	0.419	-0.678	-0.796	-0.656	0.801	0.498	-0.735	0.445
t200	1.874	0.07	-0.441	-1.648	1.308	-0.174	0.313	2.438	-0.134	-0.058	-0.391	-0.741	-1.462	-3.215	-1.542	4.655	-3.425	-1.148	2.034	0.919	0.232	0.295	0.775	0.921	-1.249	-0.639	-0.153	0.826	-0.621	0.364
t75	0.479	0.703	-2.425	-1.144	1.697	1.173	-0.019	0.424	0.109	1.176	-0.367	0.385	-0.133	-0.413	-1.27	2.408	-1.152	-1.488	-1.02	0.183	-0.625	0.591	0.856	-0.52	-0.568	0.133	-0.301	0.517	-0.049	0.657
t70	-0.08	1.899	-3.735	-0.132	2.395	5.573	-2.003	-2.277	-0.758	1.504	2.075	2.614	-0.876	1.858	-4.026	6.544	0.753	-2.349	-4.178	-3.203	-2.782	2.581	-1.142	-3.706	2.061	-2.006	3.652	0.701	-1.546	0.276
t193	0.534	0.184	-0.673	-1.669	1.38	0.042	0.724	0.691	0.124	0.51	-0.413	-0.153	-0.249	-1.093	-0.588	3.289	-2.34	-1.124	0.932	1.095	0.006	0.088	0.73	0.018	-1.68	-0.054	-0.892	-0.158	0.223	0.512
t157	0.703	0.648	-1.668	-1.136	1.624	0.853	0.28	0.812	0.02	0.507	-0.759	-0.154	-0.303	-1.383	-1.081	3.116	-1.226	-1.446	0.278	0.389	-0.138	0.482	0.461	-0.188	-0.754	0.095	-0.838	-0.362	0.534	0.631
t22	0.217	1.093	-2.716	-0.773	1.864	2.4	-0.463	-0.797	-0.016	1.152	-0.178	1.069	0.152	0.669	-1.587	2.807	-0.288	-1.837	-1.966	-0.469	-1.063	1.061	0.072	-1.687	-0.148	-0.247	0.647	-0.036	0.466	0.599
t38	0.739	-0.778	-0.557	-2.433	0.97	-2.435	1.626	2.644	0.367	-0.195	-1.618	-1.91	0.728	-1.401	0.882	1.39	-2.535	-0.987	2.894	3.608	0.893	-1.398	1.754	1.065	-3.449	0.442	-2.616	1.13	0.606	0.559
