feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t40	1.06	0.445	-1.689	-1.319	1.57	0.709	0.157	1.267	-0.1	0.353	-0.405	-0.236	-0.444	-1.677	-1.29	3.277	-1.55	-1.393	0.511	0.558	-0.246	0.4	0.537	-0.232	-0.77	-0.277	-0.069	0.511	-0.177	0.506
t107	0.904	0.846	-2.283	-0.927	1.72	1.461	-0.146	0.523	-0.082	0.58	-0.563	0.333	-0.268	-1.037	-1.463	3.181	-0.993	-1.656	-0.558	-0.081	-0.507	0.823	0.248	-0.682	-0.32	-0.104	0.121	-0.002	0.325	0.594
t133	0.634	0.622	-2.442	-1.144	1.65	1.324	-0.143	0.724	-0.18	0.431	-0.419	0.244	-0.117	-0.423	-1.455	3.747	-0.908	-1.784	-0.473	0.152	-0.773	0.6	0.423	-0.705	-0.661	-0.431	0.193	0.884	-0.076	0.491
t169	0.764	0.941	-2.881	-0.822	1.808	2.015	-0.387	0.555	-0.348	0.309	-0.342	0.53	-0.242	-0.914	-1.821	3.934	-0.327	-1.882	-0.788	-0.587	-0.963	0.97	0.02	-0.932	0.074	-0.449	0.746	0.594	-0.109	0.502
t179	0.758	0.6	-2.06	-1.18	1.605	0.985	0.09	0.7	-0.05	0.479	-0.612	0.144	-0.082	-0.993	-1.117	3.064	-1.093	-1.601	-0.087	0.325	-0.407	0.515	0.45	-0.464	-0.721	-0.055	-0.133	0.111	0.26	0.558
t153	0.777	0.424	-1.9	-1.384	1.525	0.858	0.005	0.969	-0.189	0.503	-0.197	0.256	-0.333	-0.691	-1.319	3.852	-1.436	-1.57	-0.164	0.248	-0.647	0.524	0.521	-0.538	-0.792	-0.402	0.304	0.829	-0.45	0.403
t6	0.963	0.672	-1.95	-1.113	1.674	1.323	-0.1	0.725	-0.203	0.42	-0.203	0.285	-0.434	-1.075	-1.59	3.685	-1.373	-1.532	-0.279	0.053	-0.664	0.74	0.236	-0.761	-0.474	-0.473	0.501	0.647	-0.18	0.471
t53	0.795	0.411	-1.899	-1.417	1.61	1.139	-0.138	0.765	-0.234	0.56	0.371	0.23	-0.403	-0.498	-1.667	4.179	-1.633	-1.471	-0.213	0.291	-0.82	0.57	0.487	-0.948	-0.716	-0.816	0.715	1.287	-0.93	0.374
t127	1.118	0.38	-1.612	-1.402	1.548	0.73	0.16	1.035	-0.143	0.225	-0.065	-0.079	-0.4	-1.691	-1.339	3.708	-1.927	-1.329	0.662	0.535	-0.297	0.431	0.471	-0.355	-0.863	-0.464	0.332	0.597	-0.441	0.464
t200	1.262	0.28	-1.288	-1.463	1.451	0.354	0.23	1.613	-0.131	0.114	-0.466	-0.371	-0.681	-2.028	-1.29	3.977	-2.155	-1.387	1.1	0.677	-0.12	0.334	0.617	0.19	-1.028	-0.399	-0.159	0.578	-0.272	0.442
t75	0.802	0.443	-1.895	-1.352	1.541	0.6	0.226	0.919	0.016	0.613	-0.5	0.054	-0.148	-1.005	-1.015	2.809	-1.561	-1.42	-0.04	0.638	-0.352	0.365	0.714	-0.298	-0.981	-0.027	-0.232	0.538	-0.011	0.553
t70	0.544	0.879	-2.427	-0.979	1.789	2.191	-0.495	-0.033	-0.286	0.766	0.32	0.846	-0.394	-0.049	-1.993	4.266	-0.796	-1.773	-1.275	-0.55	-1.146	1.065	0.017	-1.45	-0.076	-0.79	1.112	0.657	-0.49	0.421
t193	0.784	0.329	-1.43	-1.473	1.473	0.416	0.38	0.875	-0.001	0.432	-0.423	-0.026	-0.194	-1.079	-0.911	3.265	-1.89	-1.346	0.425	0.791	-0.244	0.282	0.63	-0.24	-1.246	-0.157	-0.313	0.354	0.022	0.504
t157	0.858	0.533	-1.868	-1.238	1.581	0.773	0.184	0.928	-0.047	0.431	-0.575	-0.026	-0.218	-1.207	-1.128	3.188	-1.4	-1.487	0.137	0.481	-0.307	0.456	0.512	-0.331	-0.838	-0.091	-0.29	0.264	0.159	0.557
t22	0.875	0.614	-1.96	-1.163	1.609	0.995	0.096	0.651	-0.027	0.46	-0.568	0.156	-0.17	-1.19	-1.177	3.087	-1.388	-1.52	-0.003	0.32	-0.348	0.553	0.447	-0.4	-0.742	-0.077	-0.079	0.108	0.259	0.574
t38	0.991	0.184	-1.517	-1.563	1.455	0.236	0.325	1.449	-0.089	0.2	-0.396	-0.421	-0.24	-1.273	-1.042	3.414	-1.863	-1.374	0.794	1.086	-0.232	0.12	0.708	-0.221	-1.32	-0.413	-0.21	1.027	-0.277	0.451
t60	1.106	0.169	-2.035	-1.532	1.444	-0.171	0.454	1.646	0.072	0.231	-0.787	-0.591	0.074	-1.517	-0.74	2.708	-1.946	-1.381	0.82	1.336	0.017	-0.024	1.074	0.201	-1.454	0.082	-0.793	0.947	-0.031	0.616
t114	0.557	0.211	-1.887	-1.57	1.431	0.017	0.499	0.85	0.128	0.54	-0.776	-0.107	0.383	-0.441	-0.432	2.486	-1.551	-1.442	0.235	1.159	-0.23	0.01	0.985	-0.178	-1.529	0.227	-0.857	0.454	0.232	0.586
t109	1.232	0.452	-1.786	-1.275	1.574	0.605	0.119	1.344	-0.1	0.248	-0.558	-0.269	-0.357	-1.646	-1.274	3.215	-1.665	-1.424	0.507	0.614	-0.254	0.416	0.555	-0.246	-0.785	-0.229	-0.094	0.622	-0.076	0.525
