V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t56	1.055	-0.789	-0.96	0.304	0.799	0.223	0.387	-1.022	-0.419	-0.035	0.173	1.406	0.592	1.194	-0.447	-0.296	-1.667	-0.444	-1.978	1.112	-0.385	-0.011	0.042	0.583	-0.196	0.666	0.34	0.295	-0.186	-0.338
t143	1.837	-0.458	-0.721	-1.315	1.521	0.214	1.062	-0.535	-0.469	-0.556	-0.464	0.601	-0.076	2.057	0.289	-0.855	-1.019	-1.257	-1.229	0.455	-0.058	0.491	0.447	-0.088	-1.159	0.686	0.019	-1.005	0.554	1.028
t90	0.677	-0.934	-1.097	1.069	0.452	0.226	0.065	-1.251	-0.397	0.206	0.475	1.806	0.901	0.794	-0.873	0.125	-1.987	-0.062	-2.36	1.405	-0.553	-0.255	-0.155	0.908	0.287	0.644	0.496	0.862	-0.537	-0.939
t68	1.299	-0.665	-0.914	-0.223	1.026	0.218	0.601	-0.863	-0.438	-0.211	-0.032	1.17	0.366	1.485	-0.312	-0.269	-1.475	-0.711	-1.772	0.875	-0.297	0.143	0.166	0.376	-0.472	0.657	0.241	-0.191	0.054	0.167
t60	-0.252	-1.323	-1.386	2.987	-0.405	0.237	-0.734	-1.827	-0.338	0.826	1.229	2.765	1.689	-0.226	-1.757	0.809	-2.762	0.903	-3.253	2.18	-0.943	-0.85	-0.638	1.704	1.433	0.617	0.876	2.388	-1.416	-2.544
t172	1.369	-0.637	-0.89	-0.367	1.091	0.218	0.661	-0.82	-0.442	-0.258	-0.089	1.096	0.308	1.56	-0.239	-0.334	-1.415	-0.783	-1.702	0.819	-0.267	0.188	0.203	0.315	-0.561	0.66	0.213	-0.3	0.12	0.281
t117	0.544	-0.997	-1.127	1.353	0.328	0.228	-0.05	-1.336	-0.387	0.302	0.585	1.938	1.02	0.64	-0.961	0.139	-2.096	0.083	-2.477	1.529	-0.603	-0.339	-0.224	1.021	0.442	0.647	0.55	1.11	-0.667	-1.197
t8	0.837	-0.877	-1.032	0.75	0.599	0.225	0.202	-1.155	-0.405	0.109	0.348	1.634	0.773	0.959	-0.668	-0.107	-1.851	-0.22	-2.191	1.288	-0.478	-0.15	-0.071	0.77	0.076	0.657	0.429	0.638	-0.391	-0.7
t122	0.853	-0.877	-1.017	0.724	0.613	0.226	0.214	-1.148	-0.405	0.103	0.337	1.612	0.766	0.969	-0.619	-0.189	-1.834	-0.232	-2.166	1.286	-0.466	-0.139	-0.063	0.755	0.048	0.663	0.422	0.64	-0.379	-0.699
t104	0.238	-1.118	-1.233	1.976	0.047	0.231	-0.312	-1.523	-0.369	0.501	0.831	2.259	1.274	0.312	-1.288	0.441	-2.354	0.395	-2.781	1.772	-0.737	-0.535	-0.383	1.284	0.828	0.632	0.676	1.584	-0.953	-1.697
t120	2.45	-0.235	-0.482	-2.544	2.082	0.209	1.584	-0.167	-0.502	-0.941	-0.951	-0.056	-0.567	2.694	1.037	-1.655	-0.494	-1.87	-0.592	-0.002	0.224	0.888	0.768	-0.617	-1.957	0.73	-0.234	-1.879	1.118	1.959
t187	-0.255	-1.333	-1.376	3.003	-0.409	0.238	-0.738	-1.832	-0.336	0.834	1.234	2.763	1.699	-0.239	-1.723	0.731	-2.761	0.912	-3.245	2.196	-0.939	-0.851	-0.639	1.706	1.428	0.623	0.877	2.425	-1.423	-2.58
t165	-0.333	-1.358	-1.41	3.157	-0.48	0.238	-0.803	-1.878	-0.333	0.882	1.295	2.849	1.759	-0.316	-1.831	0.858	-2.831	0.988	-3.33	2.249	-0.976	-0.901	-0.68	1.773	1.533	0.615	0.909	2.524	-1.494	-2.685
t52	1.112	-0.766	-0.941	0.188	0.851	0.222	0.438	-0.986	-0.422	-0.069	0.126	1.348	0.544	1.257	-0.385	-0.355	-1.623	-0.501	-1.921	1.066	-0.359	0.027	0.071	0.534	-0.267	0.668	0.316	0.201	-0.134	-0.237
t2	0.376	-1.079	-1.164	1.711	0.172	0.231	-0.196	-1.444	-0.375	0.422	0.725	2.104	1.172	0.444	-1.068	0.151	-2.232	0.264	-2.623	1.686	-0.665	-0.444	-0.31	1.164	0.635	0.65	0.617	1.428	-0.831	-1.527
t109	0.76	-0.901	-1.067	0.9	0.528	0.225	0.137	-1.2	-0.402	0.156	0.408	1.719	0.832	0.883	-0.776	0.024	-1.919	-0.145	-2.275	1.34	-0.515	-0.2	-0.112	0.836	0.18	0.649	0.461	0.734	-0.461	-0.802
t108	0.676	-0.942	-1.086	1.081	0.45	0.227	0.063	-1.255	-0.396	0.214	0.479	1.802	0.909	0.784	-0.834	0.039	-1.986	-0.054	-2.35	1.419	-0.548	-0.254	-0.156	0.909	0.279	0.651	0.496	0.896	-0.543	-0.971
