feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t26	1.024	0.253	0.411	-0.041	0.556	-0.142	0.72	-0.129	-0.017	0.33	0.136	-0.519	-1.073	-0.244	-0.879	-0.666	2.168	0.31	-1.396	-0.23	-0.679	-0.766	0.743	0.023	0.118	-0.019	-0.76	1.315	-0.429	-0.126
t29	1.447	0.789	0.165	-0.345	1.992	-0.256	0.653	-0.149	-0.628	0.261	-0.685	-0.469	-0.338	-0.451	-1.644	-1.724	2.001	1.007	-2.415	-0.035	-1.311	-1.354	0.018	1.364	0.2	-0.244	-0.488	1.28	0.58	0.77
t8	0.708	-0.048	0.01	0.819	-0.238	-0.132	0.814	-0.351	0.51	-0.073	0.724	-0.56	-1.401	0.14	-0.334	-0.536	2.208	-0.272	-1.169	-0.573	-0.759	-0.457	1.324	-0.007	0.093	0.672	-0.716	0.918	-0.787	-0.537
t31	1.267	0.435	0.488	-0.421	1.206	-0.193	0.665	0.034	-0.326	0.578	-0.301	-0.444	-0.727	-0.34	-1.239	-0.93	2.085	0.315	-1.537	-0.107	-0.457	-1.01	0.378	0.193	0.131	-0.276	-0.719	1.372	-0.248	0.12
t182	1.22	0.52	0.217	-0.226	1.467	-0.214	0.687	-0.193	-0.278	0.176	-0.426	-0.508	-0.71	-0.384	-1.308	-1.313	2.074	0.666	-2.066	-0.165	-0.807	-1.075	0.469	0.709	0.146	0.031	-0.55	1.306	0.205	0.321
t40	1.019	0.104	0.367	0.128	0.243	-0.162	0.729	0.002	0.095	0.527	0.346	-0.415	-1.073	0.016	-0.677	-0.438	2.132	-0.447	-0.894	-0.357	-0.304	-0.676	0.809	-0.303	0.099	0.137	-0.837	1.052	-0.96	-0.272
t76	1.1	0.399	0.797	-0.716	0.881	-0.072	0.702	-0.099	-0.142	0.513	-0.422	-0.576	-1.052	-0.672	-1.129	-0.478	2.226	1.15	-1.508	0.159	-0.58	-0.871	0.537	-0.454	0.128	-0.605	-0.831	1.877	-0.178	-0.094
t9	1.521	0.542	0.011	0.055	1.476	-0.325	0.651	0.175	-0.551	0.663	-0.008	-0.245	-0.233	0.172	-1.3	-1.497	1.889	-0.745	-1.514	-0.346	-0.795	-1.199	0.082	1.153	0.187	0.046	-0.601	0.646	-0.384	0.472
t169	1.592	1.017	0.491	-1.003	2.626	-0.213	0.613	-0.165	-0.913	0.363	-1.206	-0.565	-0.255	-0.93	-2.025	-1.792	2.039	1.937	-2.799	0.354	-1.321	-1.567	-0.225	1.344	0.236	-0.93	-0.528	1.777	1.044	0.951
t101	1.002	0.373	0.414	-0.113	0.922	-0.115	0.738	-0.279	-0.013	0.114	-0.22	-0.607	-1.039	-0.48	-1.041	-0.815	2.202	1.048	-1.785	-0.119	-0.949	-0.847	0.741	0.089	0.122	-0.135	-0.669	1.551	0.009	-0.107
