V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t63	0.785	1.351	-0.288	-0.329	1.054	0.319	-2.13	0.371	-2.318	-1.491	0.248	1.339	1.028	0.982	0.388	-0.967	-0.496	-0.746	0.354	1.104	-0.29	1.217	-0.36	-1.233	-1.027	-0.543	2.556	0.669	-2.311	0.761
t130	-0.397	0.894	-1.226	-0.281	1.74	-1.753	-0.665	1.366	-1.514	-0.903	-1.331	-1.152	2.389	-0.055	-0.144	1.085	1.44	-0.492	-1.017	0.281	0.114	1.647	-0.945	1.307	0.921	0.403	0.522	-2.307	-1.701	1.771
t65	0.002	0.525	-1.118	-0.381	1.742	-1.133	-0.57	1.355	-1.667	-1.072	-0.767	0.163	1.785	0.496	-0.218	0.259	0.872	-0.423	-0.839	0.586	0.677	1.439	-1.226	1.306	-0.437	-0.058	-0.495	-0.749	-1.626	1.566
t90	-0.149	0.941	-0.142	0.607	1.048	-0.963	-2.274	1.12	-2.081	-1.064	-0.025	0.103	1.772	1.149	0.187	0.224	0.644	-1.015	1.062	0.684	-1.32	1.75	-0.718	-1.85	-0.539	0.329	2.814	-0.575	-2.391	0.669
t144	2.066	1.916	-0.711	-1.863	1.16	2.505	-1.227	-0.383	-2.622	-1.906	0.422	2.636	0.095	0.282	0.547	-2.487	-1.713	-0.138	-1.405	1.742	1.249	-0.211	0.75	0.462	-0.633	-1.587	0.56	1.283	-1.849	1.052
t113	1.179	1.592	-1.491	-1.892	1.748	0.776	0.013	0.43	-2.005	-1.493	-0.923	0.883	1.241	-0.573	0.076	-0.979	-0.218	0.113	-2.756	1.061	1.785	0.078	0.245	2.827	0.695	-0.926	-1.671	-0.587	-1.074	1.838
t129	0.806	0.965	-0.722	-0.696	1.423	0.103	-1.262	0.599	-2.084	-1.467	-0.095	1.407	1.07	0.773	0.143	-0.937	-0.295	-0.455	-0.501	1.039	0.698	1.167	-0.671	0.159	-1.14	-0.643	0.618	0.66	-1.877	1.212
t17	0.648	1.063	-0.153	0.027	0.922	0.372	-2.164	0.616	-2.374	-1.4	0.444	1.352	1.175	1.215	0.309	-0.822	-0.294	-0.856	0.717	1.118	-0.63	1.194	-0.557	-1.556	-1.224	-0.345	2.564	0.513	-2.369	0.492
t1	1.506	1.835	-1.067	-1.722	1.416	1.245	-0.868	-0.057	-2.261	-1.702	-0.397	1.297	0.788	-0.173	0.37	-1.526	-0.885	-0.096	-1.897	1.276	1.366	0.324	0.458	1.435	0.246	-1.162	0.133	0.243	-1.647	1.52
t125	0.687	1.286	-0.1	0.078	0.929	0.357	-2.208	0.638	-2.41	-1.433	0.501	1.455	1.012	1.321	0.3	-1.013	-0.406	-0.887	0.842	1.127	-0.587	1.272	-0.633	-1.628	-1.383	-0.406	2.2	0.973	-2.324	0.433
t21	-0.051	1.112	-1.243	-0.606	1.726	-1.433	-0.772	0.955	-1.586	-1.122	-1.299	-0.698	2.173	-0.049	-0.023	0.615	0.919	-0.426	-1.167	0.403	0.524	1.683	-0.897	1.511	0.567	0.016	0.806	-1.731	-1.761	1.851
t100	-0.382	0.916	-0.765	0.131	1.455	-1.406	-1.269	1.385	-1.721	-0.909	-0.773	-0.695	2.204	0.41	-0.056	0.84	1.245	-0.721	-0.127	0.434	-0.577	1.636	-0.933	-0.061	0.352	0.448	1.423	-1.801	-1.949	1.263
t115	-0.353	0.77	-1.227	-0.281	1.784	-1.889	-0.624	1.419	-1.478	-0.974	-1.264	-0.848	2.208	0.184	-0.248	0.928	1.329	-0.482	-0.908	0.281	0.464	1.858	-1.224	1.498	0.284	0.28	0.13	-1.709	-1.689	1.779
t142	0.622	1.462	-0.205	0.062	0.844	0.454	-2.082	0.666	-2.433	-1.349	0.271	0.879	1.359	0.906	0.324	-0.699	-0.135	-0.85	0.417	1.066	-0.806	0.987	-0.35	-1.255	-0.529	-0.209	2.359	0.013	-2.217	0.423
t74	0.272	0.885	-0.211	0.213	0.967	-0.325	-2.208	0.76	-2.217	-1.277	0.106	0.614	1.565	1.093	0.297	-0.239	0.147	-0.938	0.819	0.868	-0.931	1.503	-0.628	-1.601	-0.756	-0.053	3.089	-0.074	-2.376	0.634
t73	0.432	0.33	-0.667	-0.354	1.549	-1.031	-1.537	0.78	-1.891	-1.44	-0.181	1.383	1.183	1.241	0.05	-0.557	-0.057	-0.628	0.129	0.784	0.716	1.943	-1.302	-0.185	-1.962	-0.488	1.04	1.426	-2.009	1.299
t30	1.027	1.488	-1.043	-1.324	1.513	0.363	-0.952	0.295	-2.099	-1.547	-0.506	1.042	0.992	0.141	0.235	-1.012	-0.448	-0.253	-1.393	1.04	1.089	0.735	0.005	1.281	-0.087	-0.867	0.246	0.222	-1.709	1.52
t60	-0.69	1.021	-2.136	-1.152	2.432	-2.799	0.707	1.557	-0.901	-0.739	-2.739	-2.586	3.048	-1.352	-0.346	1.81	2.25	0.031	-3.114	-0.162	1.549	1.672	-1.004	4.063	2.501	0.508	-1.809	-3.757	-0.849	2.959
t93	-0.684	0.533	-1.101	0.03	1.847	-2.755	-0.969	1.466	-1.318	-0.923	-1.436	-1.133	2.456	0.399	-0.217	1.269	1.566	-0.624	-0.426	0.069	0.202	2.488	-1.463	0.83	0.046	0.521	0.853	-1.616	-1.815	1.901
t76	1.389	1.691	-0.492	-1.005	1.108	1.381	-1.675	0.128	-2.506	-1.651	0.361	2.019	0.589	0.632	0.408	-1.652	-1.013	-0.451	-0.554	1.407	0.316	0.385	0.242	-0.39	-0.811	-0.991	1.254	1.057	-1.97	0.789
