feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t19	0.032	0.067	0.037	0.017	0.023	0.039	0.063	0.048	0.012	0.041	0.018	0.023	0.051	0.033	0.034	0.031	0.039	0.025	0.035	0.028	0.044	0.029	0.025	0.035	0.035	0.028	0.033	0.033	0.026	0.017
t42	0.033	0.046	0.031	0.028	0.031	0.042	0.03	0.037	0.025	0.048	0.016	0.023	0.064	0.029	0.041	0.044	0.037	0.026	0.033	0.017	0.036	0.035	0.022	0.032	0.038	0.03	0.027	0.035	0.027	0.037
t1	0.033	0.066	0.048	0.006	0.045	0.044	0.03	0.032	0.006	0.031	0.022	0.021	0.031	0.026	0.04	0.051	0.036	0.055	0.034	0.029	0.038	0.044	0.014	0.039	0.042	0.026	0.027	0.029	0.023	0.031
t66	0.024	0.047	0.026	0.128	0.024	0.043	0.027	0.029	0.009	0.041	0.016	0.02	0.045	0.017	0.053	0.027	0.042	0.039	0.033	0.015	0.034	0.05	0.02	0.02	0.023	0.036	0.022	0.029	0.031	0.03
t70	0.028	0.047	0.05	0.022	0.022	0.021	0.026	0.08	0.009	0.028	0.023	0.023	0.035	0.014	0.089	0.041	0.03	0.078	0.03	0.032	0.035	0.03	0.023	0.028	0.041	0.02	0.019	0.034	0.027	0.014
t11	0.031	0.042	0.041	0.029	0.026	0.032	0.033	0.036	0.015	0.041	0.024	0.026	0.081	0.027	0.035	0.048	0.041	0.045	0.034	0.035	0.039	0.019	0.02	0.03	0.026	0.018	0.033	0.035	0.03	0.026
t67	0.027	0.05	0.039	0.016	0.035	0.046	0.032	0.03	0.068	0.026	0.024	0.019	0.032	0.023	0.09	0.038	0.025	0.037	0.03	0.016	0.039	0.019	0.018	0.025	0.043	0.028	0.032	0.031	0.031	0.03
t93	0.025	0.04	0.033	0.136	0.023	0.026	0.039	0.027	0.049	0.037	0.025	0.026	0.055	0.011	0.059	0.033	0.037	0.04	0.025	0.024	0.032	0.031	0.017	0.025	0.02	0.022	0.023	0.029	0.017	0.014
t92	0.027	0.057	0.03	0.059	0.024	0.028	0.032	0.047	0.018	0.039	0.021	0.022	0.052	0.022	0.057	0.023	0.038	0.034	0.031	0.023	0.035	0.034	0.028	0.038	0.054	0.032	0.019	0.036	0.026	0.012
t59	0.025	0.053	0.023	0.06	0.021	0.021	0.044	0.019	0.021	0.023	0.026	0.021	0.03	0.027	0.061	0.058	0.039	0.056	0.032	0.027	0.039	0.024	0.026	0.025	0.054	0.029	0.026	0.035	0.035	0.021
t15	0.024	0.092	0.042	0.032	0.03	0.035	0.036	0.055	0.028	0.037	0.029	0.019	0.04	0.034	0.046	0.036	0.034	0.036	0.032	0.019	0.035	0.022	0.013	0.025	0.035	0.036	0.019	0.037	0.037	0.006
t91	0.025	0.036	0.03	0.015	0.021	0.028	0.028	0.033	0.016	0.034	0.02	0.014	0.055	0.032	0.088	0.037	0.034	0.088	0.03	0.009	0.035	0.064	0.018	0.025	0.039	0.023	0.024	0.03	0.038	0.035
t43	0.028	0.054	0.034	0.018	0.018	0.031	0.038	0.039	0.036	0.064	0.03	0.024	0.046	0.026	0.054	0.039	0.037	0.033	0.032	0.014	0.036	0.041	0.035	0.025	0.02	0.042	0.023	0.031	0.027	0.025
t8	0.042	0.043	0.038	0.007	0.038	0.03	0.036	0.083	0.031	0.038	0.026	0.03	0.036	0.023	0.042	0.051	0.03	0.027	0.032	0.031	0.042	0.027	0.012	0.034	0.03	0.045	0.017	0.032	0.023	0.025
t50	0.03	0.062	0.036	0.014	0.023	0.03	0.031	0.08	0.012	0.033	0.035	0.014	0.05	0.037	0.052	0.047	0.036	0.041	0.032	0.039	0.033	0.027	0.032	0.025	0.033	0.024	0.02	0.031	0.029	0.014
t81	0.029	0.025	0.035	0.068	0.029	0.018	0.033	0.089	0.012	0.035	0.028	0.022	0.039	0.021	0.083	0.026	0.034	0.046	0.027	0.011	0.033	0.018	0.051	0.031	0.039	0.033	0.02	0.027	0.023	0.015
t99	0.032	0.057	0.034	0.012	0.045	0.034	0.029	0.037	0.009	0.051	0.024	0.023	0.074	0.018	0.059	0.045	0.035	0.041	0.03	0.016	0.035	0.048	0.022	0.026	0.044	0.017	0.021	0.03	0.033	0.018
t29	0.031	0.047	0.052	0.04	0.019	0.04	0.032	0.042	0.02	0.044	0.033	0.021	0.03	0.028	0.056	0.032	0.028	0.044	0.037	0.02	0.037	0.045	0.019	0.023	0.033	0.049	0.023	0.034	0.035	0.005
t45	0.029	0.051	0.047	0.059	0.031	0.029	0.031	0.038	0.027	0.028	0.031	0.022	0.065	0.033	0.034	0.036	0.028	0.045	0.036	0.012	0.038	0.017	0.017	0.045	0.025	0.05	0.025	0.029	0.027	0.013
t72	0.021	0.047	0.035	0.123	0.023	0.038	0.041	0.035	0.021	0.036	0.02	0.028	0.05	0.03	0.065	0.028	0.037	0.035	0.024	0.022	0.033	0.018	0.02	0.023	0.021	0.032	0.026	0.03	0.018	0.02
t69	0.027	0.027	0.037	0.044	0.024	0.05	0.037	0.04	0.043	0.017	0.036	0.031	0.036	0.016	0.049	0.063	0.036	0.03	0.032	0.045	0.039	0.021	0.01	0.028	0.027	0.037	0.051	0.037	0.022	0.009
t57	0.031	0.026	0.04	0.044	0.019	0.033	0.021	0.058	0.034	0.028	0.029	0.021	0.037	0.028	0.04	0.039	0.032	0.054	0.03	0.027	0.033	0.054	0.017	0.033	0.028	0.043	0.022	0.032	0.027	0.039
t54	0.03	0.036	0.037	0.04	0.024	0.037	0.026	0.046	0.019	0.024	0.015	0.019	0.04	0.045	0.071	0.047	0.03	0.07	0.032	0.028	0.038	0.033	0.018	0.031	0.032	0.028	0.018	0.031	0.026	0.027
t46	0.031	0.065	0.035	0.025	0.02	0.034	0.024	0.046	0.013	0.024	0.019	0.016	0.055	0.023	0.129	0.026	0.04	0.069	0.032	0.013	0.033	0.027	0.017	0.022	0.023	0.031	0.024	0.03	0.018	0.035
t52	0.041	0.047	0.04	0.021	0.029	0.022	0.041	0.035	0.011	0.046	0.034	0.025	0.041	0.023	0.088	0.037	0.039	0.052	0.037	0.023	0.04	0.014	0.02	0.027	0.034	0.028	0.034	0.032	0.031	0.007
t30	0.029	0.033	0.034	0.006	0.032	0.036	0.037	0.05	0.009	0.05	0.029	0.017	0.043	0.02	0.091	0.046	0.029	0.059	0.033	0.029	0.037	0.036	0.037	0.026	0.051	0.023	0.017	0.031	0.022	0.008
t51	0.035	0.047	0.044	0.009	0.024	0.043	0.046	0.039	0.018	0.018	0.017	0.022	0.086	0.021	0.043	0.053	0.037	0.051	0.036	0.027	0.035	0.013	0.018	0.026	0.038	0.055	0.025	0.034	0.024	0.018
t82	0.037	0.042	0.034	0.028	0.02	0.039	0.048	0.07	0.019	0.022	0.034	0.015	0.037	0.024	0.079	0.031	0.036	0.046	0.033	0.023	0.037	0.016	0.015	0.03	0.038	0.032	0.019	0.035	0.037	0.023
t73	0.039	0.04	0.032	0.082	0.025	0.032	0.043	0.04	0.012	0.039	0.026	0.013	0.067	0.027	0.047	0.053	0.034	0.043	0.03	0.017	0.03	0.042	0.008	0.026	0.034	0.025	0.017	0.031	0.028	0.016
t97	0.028	0.037	0.056	0.01	0.03	0.035	0.051	0.046	0.031	0.044	0.023	0.015	0.053	0.018	0.123	0.039	0.025	0.02	0.029	0.019	0.039	0.028	0.011	0.027	0.035	0.018	0.02	0.03	0.03	0.029
t63	0.032	0.025	0.051	0.006	0.022	0.039	0.048	0.027	0.017	0.049	0.012	0.011	0.104	0.029	0.068	0.034	0.052	0.023	0.034	0.02	0.043	0.017	0.016	0.035	0.036	0.049	0.021	0.035	0.032	0.01
t89	0.026	0.041	0.039	0.016	0.025	0.025	0.029	0.058	0.037	0.04	0.019	0.018	0.087	0.029	0.04	0.042	0.028	0.067	0.029	0.01	0.032	0.034	0.025	0.033	0.031	0.033	0.034	0.031	0.019	0.022
t32	0.034	0.068	0.034	0.016	0.027	0.029	0.037	0.041	0.022	0.03	0.034	0.018	0.042	0.036	0.092	0.04	0.038	0.027	0.034	0.034	0.036	0.016	0.02	0.03	0.031	0.035	0.019	0.034	0.037	0.011
t49	0.034	0.03	0.036	0.026	0.022	0.034	0.037	0.054	0.027	0.026	0.034	0.013	0.06	0.022	0.09	0.032	0.03	0.073	0.033	0.021	0.036	0.024	0.022	0.033	0.026	0.025	0.028	0.029	0.028	0.018
t13	0.032	0.037	0.04	0.021	0.028	0.03	0.039	0.033	0.011	0.025	0.028	0.023	0.065	0.024	0.034	0.043	0.048	0.069	0.037	0.031	0.037	0.013	0.018	0.021	0.06	0.021	0.024	0.038	0.043	0.028
t56	0.027	0.044	0.042	0.023	0.026	0.022	0.041	0.034	0.015	0.038	0.024	0.026	0.054	0.027	0.049	0.055	0.034	0.076	0.033	0.03	0.036	0.021	0.018	0.026	0.021	0.044	0.023	0.033	0.032	0.029
t90	0.032	0.057	0.035	0.014	0.045	0.027	0.053	0.031	0.008	0.027	0.017	0.021	0.087	0.012	0.029	0.048	0.043	0.041	0.036	0.045	0.037	0.024	0.037	0.036	0.037	0.032	0.021	0.028	0.022	0.02
t87	0.026	0.045	0.048	0.01	0.037	0.031	0.037	0.044	0.06	0.025	0.016	0.02	0.035	0.025	0.034	0.049	0.029	0.042	0.032	0.024	0.038	0.029	0.022	0.031	0.047	0.028	0.021	0.033	0.027	0.054
t36	0.025	0.043	0.048	0.058	0.022	0.031	0.03	0.03	0.024	0.02	0.021	0.02	0.027	0.016	0.176	0.028	0.028	0.024	0.027	0.012	0.033	0.023	0.037	0.032	0.04	0.035	0.018	0.034	0.022	0.012
t28	0.034	0.046	0.037	0.029	0.039	0.048	0.023	0.043	0.041	0.024	0.02	0.029	0.041	0.026	0.037	0.034	0.04	0.028	0.033	0.014	0.037	0.026	0.017	0.031	0.042	0.044	0.032	0.031	0.038	0.036
t24	0.027	0.025	0.047	0.023	0.037	0.037	0.034	0.045	0.019	0.026	0.018	0.018	0.048	0.013	0.099	0.027	0.035	0.075	0.03	0.016	0.038	0.028	0.024	0.024	0.02	0.053	0.02	0.035	0.022	0.035
t41	0.027	0.08	0.034	0.01	0.033	0.018	0.022	0.056	0.02	0.025	0.023	0.016	0.054	0.019	0.041	0.043	0.042	0.044	0.033	0.011	0.037	0.027	0.026	0.036	0.036	0.045	0.04	0.034	0.032	0.036
t7	0.024	0.045	0.032	0.019	0.028	0.025	0.048	0.047	0.018	0.017	0.017	0.022	0.083	0.035	0.048	0.067	0.033	0.044	0.031	0.031	0.035	0.042	0.015	0.02	0.024	0.043	0.018	0.031	0.036	0.019
t14	0.037	0.045	0.037	0.053	0.027	0.034	0.038	0.031	0.009	0.042	0.025	0.015	0.043	0.029	0.083	0.039	0.032	0.05	0.035	0.018	0.039	0.011	0.025	0.027	0.046	0.026	0.027	0.037	0.034	0.006
t48	0.028	0.042	0.038	0.021	0.022	0.052	0.029	0.036	0.016	0.028	0.018	0.021	0.082	0.022	0.083	0.039	0.038	0.072	0.027	0.017	0.034	0.037	0.018	0.03	0.036	0.031	0.021	0.031	0.024	0.006
t77	0.024	0.044	0.032	0.099	0.028	0.038	0.044	0.043	0.007	0.021	0.019	0.033	0.028	0.025	0.08	0.047	0.037	0.036	0.033	0.01	0.032	0.047	0.02	0.028	0.024	0.036	0.025	0.029	0.025	0.007
t12	0.033	0.067	0.045	0.028	0.031	0.044	0.037	0.071	0.012	0.041	0.022	0.017	0.029	0.027	0.045	0.04	0.037	0.034	0.031	0.015	0.034	0.038	0.016	0.033	0.045	0.024	0.026	0.033	0.035	0.01
t61	0.025	0.033	0.028	0.027	0.026	0.055	0.029	0.063	0.018	0.047	0.016	0.019	0.042	0.019	0.081	0.044	0.035	0.029	0.031	0.023	0.034	0.056	0.021	0.032	0.048	0.025	0.024	0.035	0.024	0.009
t100	0.032	0.043	0.046	0.035	0.033	0.028	0.04	0.03	0.007	0.032	0.03	0.02	0.043	0.026	0.023	0.074	0.03	0.05	0.033	0.024	0.034	0.02	0.026	0.023	0.021	0.047	0.032	0.036	0.03	0.053
t60	0.027	0.029	0.031	0.176	0.026	0.044	0.031	0.06	0.012	0.027	0.012	0.021	0.031	0.013	0.111	0.032	0.029	0.03	0.022	0.027	0.026	0.016	0.011	0.022	0.024	0.02	0.029	0.024	0.023	0.015
t26	0.031	0.096	0.038	0.041	0.028	0.043	0.031	0.042	0.009	0.03	0.022	0.016	0.026	0.02	0.074	0.03	0.03	0.066	0.031	0.026	0.033	0.03	0.027	0.021	0.026	0.023	0.024	0.029	0.025	0.031
t9	0.03	0.035	0.035	0.026	0.032	0.043	0.031	0.061	0.015	0.044	0.019	0.019	0.086	0.021	0.046	0.042	0.034	0.033	0.029	0.046	0.04	0.014	0.025	0.041	0.035	0.026	0.023	0.033	0.025	0.012
t21	0.034	0.06	0.049	0.011	0.03	0.03	0.03	0.034	0.015	0.036	0.015	0.014	0.054	0.02	0.091	0.041	0.037	0.061	0.032	0.011	0.043	0.024	0.018	0.032	0.032	0.041	0.018	0.033	0.028	0.026
t47	0.023	0.044	0.049	0.058	0.03	0.039	0.018	0.034	0.008	0.033	0.014	0.02	0.031	0.024	0.068	0.071	0.038	0.031	0.029	0.022	0.035	0.023	0.029	0.032	0.068	0.039	0.021	0.034	0.024	0.012
t75	0.036	0.048	0.032	0.012	0.025	0.031	0.029	0.043	0.125	0.018	0.027	0.025	0.031	0.013	0.087	0.039	0.025	0.056	0.025	0.016	0.031	0.025	0.016	0.013	0.034	0.019	0.017	0.031	0.034	0.039
t39	0.03	0.044	0.043	0.033	0.022	0.037	0.042	0.029	0.017	0.027	0.02	0.018	0.05	0.016	0.046	0.049	0.041	0.066	0.033	0.023	0.036	0.059	0.027	0.025	0.028	0.03	0.029	0.031	0.035	0.014
t76	0.037	0.032	0.026	0.008	0.028	0.031	0.03	0.023	0.04	0.022	0.014	0.016	0.045	0.013	0.118	0.056	0.037	0.032	0.033	0.028	0.033	0.05	0.035	0.04	0.039	0.031	0.018	0.03	0.028	0.029
t6	0.029	0.056	0.041	0.007	0.029	0.035	0.031	0.039	0.012	0.051	0.02	0.024	0.057	0.035	0.076	0.023	0.027	0.057	0.031	0.01	0.034	0.031	0.016	0.039	0.026	0.039	0.02	0.03	0.029	0.047
t16	0.031	0.051	0.036	0.022	0.016	0.054	0.024	0.049	0.015	0.038	0.017	0.017	0.038	0.023	0.115	0.032	0.037	0.054	0.028	0.025	0.035	0.019	0.013	0.035	0.046	0.033	0.024	0.027	0.032	0.014
t58	0.022	0.093	0.035	0.007	0.025	0.033	0.035	0.044	0.021	0.032	0.034	0.016	0.046	0.018	0.107	0.025	0.036	0.04	0.026	0.021	0.032	0.021	0.017	0.037	0.034	0.049	0.017	0.034	0.022	0.018
t2	0.042	0.037	0.042	0.023	0.039	0.04	0.03	0.064	0.036	0.037	0.021	0.012	0.022	0.019	0.056	0.057	0.036	0.026	0.033	0.022	0.044	0.021	0.018	0.038	0.03	0.052	0.019	0.035	0.035	0.016
t31	0.033	0.039	0.033	0.021	0.018	0.059	0.035	0.038	0.004	0.053	0.018	0.014	0.046	0.019	0.103	0.042	0.037	0.054	0.031	0.029	0.032	0.016	0.017	0.024	0.037	0.053	0.024	0.035	0.029	0.009
t40	0.027	0.017	0.031	0.022	0.028	0.032	0.042	0.029	0.026	0.049	0.022	0.021	0.054	0.013	0.138	0.031	0.029	0.071	0.024	0.013	0.033	0.052	0.017	0.016	0.019	0.028	0.032	0.026	0.031	0.027
t38	0.03	0.078	0.029	0.064	0.023	0.033	0.022	0.05	0.028	0.03	0.025	0.014	0.064	0.022	0.064	0.04	0.038	0.037	0.028	0.018	0.034	0.013	0.02	0.041	0.023	0.046	0.026	0.031	0.019	0.009
t55	0.032	0.037	0.029	0.089	0.028	0.034	0.024	0.017	0.052	0.035	0.021	0.021	0.073	0.027	0.062	0.038	0.034	0.036	0.027	0.01	0.036	0.03	0.013	0.037	0.028	0.022	0.026	0.028	0.028	0.025
t80	0.026	0.043	0.037	0.09	0.024	0.028	0.026	0.035	0.019	0.038	0.028	0.019	0.04	0.022	0.027	0.05	0.029	0.036	0.034	0.018	0.036	0.027	0.044	0.039	0.051	0.048	0.028	0.03	0.025	0.004
t23	0.035	0.035	0.028	0.033	0.021	0.021	0.039	0.049	0.018	0.034	0.039	0.024	0.048	0.033	0.055	0.047	0.033	0.061	0.033	0.019	0.035	0.025	0.028	0.034	0.049	0.023	0.026	0.034	0.038	0.007
t95	0.03	0.036	0.033	0.035	0.026	0.031	0.022	0.052	0.055	0.036	0.024	0.022	0.056	0.025	0.115	0.036	0.038	0.028	0.029	0.013	0.038	0.035	0.01	0.023	0.027	0.025	0.021	0.032	0.026	0.02
t94	0.033	0.049	0.04	0.014	0.029	0.035	0.029	0.044	0.013	0.045	0.024	0.031	0.023	0.026	0.1	0.033	0.032	0.043	0.034	0.035	0.04	0.027	0.013	0.024	0.038	0.038	0.027	0.038	0.032	0.012
t10	0.032	0.044	0.029	0.038	0.04	0.046	0.04	0.05	0.037	0.043	0.023	0.02	0.052	0.016	0.043	0.027	0.032	0.052	0.028	0.022	0.033	0.048	0.014	0.022	0.027	0.041	0.021	0.029	0.031	0.021
t83	0.029	0.041	0.036	0.02	0.042	0.03	0.027	0.057	0.024	0.022	0.029	0.019	0.036	0.017	0.072	0.047	0.043	0.041	0.035	0.012	0.041	0.047	0.039	0.039	0.038	0.027	0.019	0.03	0.031	0.007
t65	0.03	0.042	0.031	0.033	0.039	0.055	0.035	0.033	0.038	0.035	0.012	0.024	0.029	0.029	0.072	0.038	0.036	0.06	0.035	0.019	0.038	0.018	0.02	0.034	0.027	0.033	0.028	0.032	0.038	0.008
t71	0.028	0.051	0.045	0.017	0.037	0.025	0.047	0.047	0.019	0.039	0.017	0.014	0.063	0.025	0.044	0.031	0.045	0.044	0.033	0.016	0.037	0.036	0.013	0.04	0.036	0.026	0.03	0.039	0.035	0.022
t17	0.025	0.049	0.031	0.062	0.021	0.017	0.039	0.044	0.019	0.037	0.02	0.029	0.036	0.013	0.065	0.039	0.028	0.072	0.026	0.013	0.033	0.036	0.021	0.025	0.029	0.033	0.025	0.035	0.029	0.053
t78	0.035	0.041	0.028	0.012	0.025	0.039	0.034	0.063	0.029	0.064	0.024	0.024	0.041	0.026	0.026	0.049	0.033	0.017	0.036	0.026	0.037	0.013	0.021	0.03	0.037	0.031	0.039	0.032	0.033	0.057
t20	0.03	0.035	0.036	0.068	0.028	0.026	0.044	0.046	0.029	0.021	0.026	0.023	0.04	0.019	0.044	0.046	0.033	0.035	0.036	0.02	0.038	0.03	0.024	0.026	0.04	0.055	0.022	0.035	0.026	0.021
