feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t62	-0.335	-2.298	0.459	1.744	-0.743	0.475	-0.162	-1.42	-1.393	0.682	0.794	-0.646	-1.027	0.802	1.428	0.861	0.578	0.301	-0.148	-0.872	0.589	1.848	-0.728	-0.877	1.638	0.149	-1.16	-0.241	-0.076	-0.224
t68	-0.185	-0.991	1.034	1.906	-0.177	0.513	-1.388	-1.974	1.116	-0.704	0.967	0.561	-0.016	-0.619	0.307	0.49	-0.432	1.214	-0.222	-0.542	-0.063	2.354	-2.676	-0.636	2.092	1.031	-1.823	-0.165	0.366	-1.338
t19	0.164	1.233	-0.231	-1.38	-0.315	0.731	1.59	0.19	-1.87	1.077	-1.643	0.12	0.822	0.423	-1.127	-0.656	0.687	-2.038	0.265	-0.115	0.715	0.282	0.589	0.756	0.545	-0.67	0.745	-0.023	-0.467	-0.397
t42	0.201	0.381	-0.638	-0.351	0.227	0.878	-0.027	-0.423	-0.302	1.345	-1.872	0.081	1.24	0.067	-0.805	-0.007	0.512	-2.044	0.055	-1.167	0.214	0.669	0.272	0.509	0.641	-0.635	0.224	0.044	-0.39	1.1
t1	0.105	1.782	0.492	-3.334	1.579	0.922	-0.302	-0.846	-3.552	0.083	-0.732	-0.076	-1.1	-0.359	-0.605	0.589	0.743	0.399	0.399	0.391	0.393	1.684	-0.968	0.709	1.114	-0.593	-0.001	-0.204	-0.511	1.8
t66	-0.506	1.113	-0.702	2.83	0.351	0.942	-0.478	-0.985	-2.888	0.658	-1.269	-0.05	-0.284	-1.225	0.04	-0.669	1.137	-0.314	0.355	-0.899	0.159	1.998	-0.166	-0.618	-0.081	0.103	-0.363	-0.11	0.15	1.77
t70	-0.433	1.052	0.913	0.844	-0.822	-1.735	-0.024	2.823	-3.277	0.184	-0.699	0.141	-0.109	-1.855	1.445	-0.23	-0.164	2.346	-0.194	0.47	0.027	0.916	-0.098	0.089	1.022	-1.439	-0.773	0.556	0.09	-1.067
t11	-0.119	0.184	1.183	-0.806	-0.432	0.03	0.468	-0.299	-0.963	1.368	-0.609	-0.437	2.989	0.108	-0.501	0.264	0.524	-0.246	0.287	0.377	0.508	-1.787	-1.317	0.359	-0.784	-1.332	0.478	0.221	0.181	0.102
t67	0.015	0.577	0.306	-2.933	0.579	0.911	0.198	-0.06	2.579	0.356	-0.16	-0.828	-1.014	-0.31	1.094	0.759	-0.974	-0.47	0.022	-0.483	0.418	-1.875	-1.159	-0.475	0.372	0.614	0.393	0.102	0.244	1.204
t93	-0.687	0.951	0.243	3.404	-0.89	-0.204	0.46	-0.636	1.759	1.035	-0.291	-0.405	1.656	-2.088	1.394	-0.752	0.519	0.721	-0.523	-0.45	-0.047	-0.033	-1.355	-0.075	-0.935	-0.576	-0.239	-0.093	-1.117	-0.748
t92	-0.598	1.356	-0.198	2.677	-0.785	-1.342	0.284	1.59	-2.011	0.791	-1.009	-0.026	0.589	-1.035	0.422	-1.485	0.211	0.537	-0.254	-0.343	-0.145	1.067	0.148	0.589	1.478	-0.606	-0.905	0.58	-0.115	-1.463
t59	-0.712	1.516	-1.067	1.41	-0.241	-1.194	0.744	-2.042	0.252	-1.023	-0.094	-0.261	-1.592	0.008	0.404	0.904	0.71	0.437	0.101	0.094	0.355	-0.428	0.35	-0.317	1.911	-0.474	-0.311	0.314	0.628	-0.384
t15	-0.803	2.711	0.137	0.286	0.444	-0.093	0.432	0.106	0.923	-0.02	0.191	-0.503	-0.923	0.498	-0.1	0.025	0.432	-0.394	0.126	-0.486	0.175	-0.479	-0.937	-0.296	1.104	0.01	-0.95	0.492	0.783	-2.889
t91	-0.692	0.751	0.075	-0.978	-1.08	-0.06	-0.229	-0.249	-0.563	0.86	-0.772	-1.792	1.638	-0.088	2.228	-0.569	0.37	2.324	-0.165	-2.585	0.138	1.45	-1.29	-0.122	0.392	-0.431	-0.15	0.014	0.499	1.074
t43	-0.419	0.903	0.047	-2.062	-1.062	-0.562	-0.047	0.044	1.319	1.341	0.376	-0.408	0.785	-0.719	0.159	-0.145	0.563	0.096	0.031	-2.157	0.09	0.652	1.24	-0.506	-1.779	1.259	-0.06	-0.041	-0.493	1.555
t8	0.994	0.353	0.112	-4.985	0.657	-0.471	0.477	2.576	1.467	1.059	0.223	0.365	-0.42	0.084	-1.062	1.266	-0.596	-1.58	0.189	0.816	0.523	-1.036	-1.849	0.237	-0.363	1.479	-0.941	0.1	-0.617	0.94
t50	0.135	1.549	0.203	-2.601	-0.942	-0.118	0.042	2.031	-0.749	-0.257	0.895	-1.31	0.528	0.156	0.381	0.819	0.078	0.915	-0.037	1.316	-0.247	0.605	0.824	-1.28	-0.079	-1.406	-0.933	-0.014	0.417	-0.921
t81	0.02	-0.631	-0.089	1.539	0.912	-1.444	0.028	2.025	-2.263	0.713	0.141	0.236	-0.009	-0.837	1.457	-0.862	0.513	0.15	-0.284	-2.253	0.076	-0.48	2.509	0.221	1.3	-0.57	-0.799	-0.36	-0.385	-0.574
