feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t62	-0.19	-0.491	0.176	0.439	-0.366	0.208	0.217	-0.167	-0.626	0.588	0.062	-0.638	0.1	-0.04	0.892	0.538	0.3	0.198	-0.014	-0.653	0.358	0.336	-0.332	-0.35	0.492	0.071	-0.48	-0.019	-0.122	-0.425
t68	-0.12	0.101	0.457	0.518	-0.09	0.226	-0.369	-0.423	0.551	-0.073	0.145	-0.091	0.562	-0.73	0.349	0.357	-0.162	0.626	-0.05	-0.499	0.061	0.566	-1.236	-0.233	0.706	0.488	-0.783	0.015	0.088	-0.965
t19	0.014	0.759	0.173	-0.635	-0.308	0.213	0.698	0.426	-0.98	0.28	-0.568	-0.296	0.497	0.063	0.102	0.001	0.214	-0.201	0.119	-0.118	0.351	-0.081	-0.206	0.112	0.117	-0.091	0.071	0.046	-0.196	-0.585
t42	0.031	0.372	-0.027	-0.129	-0.041	0.284	-0.077	0.142	-0.242	0.408	-0.679	-0.314	0.689	-0.111	0.258	0.318	0.133	-0.203	0.018	-0.611	0.122	0.096	-0.353	-0.009	0.162	-0.074	-0.168	0.076	-0.159	0.143
t1	0.102	0.786	0.467	-1.597	0.406	0.385	0	0.061	-1.548	0.047	-0.319	-0.372	0.042	-0.142	0.282	0.527	0.188	0.615	0.136	-0.046	0.248	0.388	-0.759	0.258	0.337	-0.125	-0.103	-0.037	-0.256	0.039
t66	-0.188	0.479	-0.127	1.475	-0.206	0.395	-0.085	-0.004	-1.232	0.326	-0.583	-0.359	0.421	-0.57	0.6	-0.095	0.371	0.276	0.114	-0.658	0.14	0.533	-0.381	-0.403	-0.235	0.21	-0.271	0.006	0.062	0.024
t70	-0.051	0.475	0.533	-0.288	-0.266	-0.314	-0.113	1.004	-1.169	-0.06	-0.255	-0.249	0.19	-0.754	1.109	0.329	0.022	0.972	0.018	0.074	0.187	0.033	-0.236	-0.045	0.333	-0.376	-0.41	0.134	-0.077	-0.735
t11	-0.02	0.275	0.257	-0.091	-0.207	0.006	0.046	0.143	-0.716	0.268	-0.277	-0.177	0.937	-0.149	0.112	0.426	0.26	0.344	0.082	0.109	0.219	-0.523	-0.437	-0.04	-0.201	-0.564	0.038	0.103	-0.04	-0.213
t67	-0.142	0.492	0.226	-0.631	0.142	0.41	0.033	-0.036	0.798	-0.156	-0.236	-0.478	0.036	-0.291	1.075	0.207	-0.223	0.193	-0.035	-0.675	0.238	-0.461	-0.537	-0.194	0.332	-0.108	0.044	0.011	-0.005	-0.009
t93	-0.158	0.323	0.11	1.538	-0.255	-0.125	0.282	-0.071	0.524	0.23	-0.157	-0.116	0.622	-0.949	0.695	0.116	0.223	0.316	-0.163	-0.181	0.089	0.06	-0.542	-0.139	-0.374	-0.297	-0.257	-0.016	-0.555	-0.747
t92	-0.126	0.614	-0.03	0.643	-0.25	-0.103	0.029	0.42	-0.559	0.233	-0.401	-0.326	0.517	-0.333	0.603	-0.3	0.197	0.091	-0.009	-0.301	0.108	0.094	-0.109	0.208	0.559	0.034	-0.478	0.141	-0.182	-0.967
t59	-0.199	0.536	-0.303	0.651	-0.383	-0.411	0.343	-0.465	-0.396	-0.319	-0.183	-0.372	-0.044	-0.145	0.679	0.627	0.236	0.594	0.029	-0.156	0.238	-0.277	-0.18	-0.202	0.55	-0.07	-0.176	0.116	0.121	-0.399
t15	-0.244	1.107	0.329	0.06	-0.023	0.149	0.183	0.588	-0.062	0.192	-0.035	-0.488	0.279	0.11	0.417	0.168	0.101	0.18	0.041	-0.443	0.152	-0.302	-0.814	-0.192	0.144	0.175	-0.485	0.2	0.199	-1.702
t91	-0.159	0.213	0.023	-0.681	-0.343	-0.065	-0.059	0.109	-0.607	0.138	-0.407	-0.766	0.618	0.074	1.095	0.221	0.149	1.097	0.02	-1.232	0.178	0.771	-0.503	-0.174	0.271	-0.235	-0.21	0.035	0.249	0.188
t43	-0.121	0.536	0.089	-0.569	-0.579	-0.01	0.192	0.203	0.134	0.709	-0.042	-0.282	0.369	-0.188	0.538	0.224	0.16	0.046	0.022	-0.793	0.128	0.25	0.096	-0.238	-0.434	0.278	-0.308	-0.011	-0.137	-0.251
t8	0.306	0.342	0.21	-1.425	0.207	-0.026	0.168	0.997	0.01	0.203	-0.161	-0.04	0.146	-0.274	0.312	0.507	-0.029	-0.124	0.032	0.003	0.318	-0.142	-0.93	0.102	-0.033	0.382	-0.589	0.027	-0.286	-0.205
t50	-0.015	0.709	0.159	-0.788	-0.285	-0.011	0.01	0.966	-0.937	0.084	0.145	-0.753	0.498	0.19	0.525	0.44	0.156	0.297	0.052	0.244	0.075	-0.134	0.05	-0.185	0.066	-0.247	-0.44	0.022	-0.053	-0.802
t81	-0.004	-0.145	0.171	0.841	-0.028	-0.497	0.127	1.112	-0.873	0.169	-0.058	-0.275	0.287	-0.347	1.033	-0.14	0.156	0.449	-0.096	-0.997	0.128	-0.486	0.548	0.038	0.292	0.103	-0.396	-0.084	-0.233	-0.698
t99	0.075	0.64	0.11	-0.881	0.404	0.115	-0.036	0.192	-1.208	0.522	-0.237	-0.253	0.893	-0.492	0.665	0.391	0.147	0.315	-0.008	-0.613	0.162	0.458	-0.326	-0.143	0.374	-0.557	-0.358	0.006	0.085	-0.498
t29	0.008	0.424	0.536	0.271	-0.49	0.278	0.043	0.322	-0.419	0.354	0.066	-0.369	-0.007	-0.097	0.609	0.054	-0.107	0.368	0.2	-0.447	0.195	0.373	-0.491	-0.289	0.077	0.473	-0.289	0.104	0.141	-1.83
t45	-0.047	0.493	0.421	0.639	0.018	-0.066	0.005	0.2	-0.148	-0.082	0.006	-0.318	0.743	0.054	0.091	0.159	-0.098	0.38	0.165	-0.954	0.218	-0.582	-0.616	0.368	-0.195	0.487	-0.197	-0.078	-0.146	-0.856
t72	-0.336	0.44	0.15	1.406	-0.251	0.224	0.315	0.151	-0.344	0.168	-0.426	-0.054	0.504	-0.009	0.774	-0.056	0.199	0.141	-0.209	-0.308	0.09	-0.497	-0.417	-0.27	-0.362	0.073	-0.139	0.006	-0.515	-0.396
t69	-0.11	-0.118	0.199	0.368	-0.244	0.495	0.197	0.265	0.334	-0.62	0.158	0.025	0.152	-0.655	0.474	0.717	0.149	-0.03	0.038	0.386	0.23	-0.395	-1.074	-0.075	-0.134	0.175	0.5	0.18	-0.336	-1.277
t57	-0.02	-0.218	0.22	0.33	-0.532	0.028	-0.412	0.602	0.053	-0.116	-0.087	-0.407	0.154	-0.116	0.221	0.198	-0.012	0.531	-0.076	-0.166	0.025	0.523	-0.604	0.041	-0.149	0.289	-0.365	0.013	-0.169	0.192
t54	-0.043	0.139	0.182	0.261	-0.254	0.16	-0.197	0.398	-0.473	-0.256	-0.711	-0.511	0.256	0.372	0.823	0.411	-0.022	0.811	0.028	-0.1	0.207	0.045	-0.543	-0.013	0.027	-0.095	-0.558	0.003	-0.185	-0.143
t46	0.073	0.817	0.197	-0.153	-0.356	0.153	-0.184	0.467	-0.772	-0.185	-0.435	-0.59	0.636	-0.21	1.498	-0.092	0.317	0.874	0.095	-0.806	0.141	-0.078	-0.503	-0.276	-0.249	0.061	-0.205	0.046	-0.463	0.182
t52	0.321	0.442	0.287	-0.354	-0.047	-0.302	0.32	0.141	-0.978	0.434	0.11	-0.176	0.309	-0.26	1.069	0.197	0.266	0.556	0.211	-0.255	0.281	-0.793	-0.387	-0.099	0.115	-0.069	0.111	0.065	0.026	-1.519
t30	0.014	0.128	0.159	-1.542	0.089	0.23	0.235	0.539	-1.179	0.55	-0.008	-0.56	0.397	-0.36	1.14	0.466	-0.012	0.711	0.117	0.011	0.237	0.218	0.247	-0.113	0.575	-0.211	-0.562	0.073	-0.255	-1.299
t51	0.17	0.45	0.384	-1.236	-0.219	0.361	0.428	0.274	-0.517	-0.518	-0.571	-0.302	1.067	-0.37	0.366	0.577	0.217	0.545	0.182	-0.085	0.174	-0.817	-0.513	-0.137	0.237	0.61	-0.168	0.142	-0.226	-0.506
t82	0.173	0.304	0.097	-0.101	-0.429	0.225	0.434	0.822	-0.496	-0.33	0.113	-0.693	0.182	-0.243	0.94	0.012	0.164	0.398	0.071	-0.291	0.175	-0.648	-0.701	-0.011	0.223	0.044	-0.469	0.141	0.182	-0.292
t73	0.27	0.3	0.086	1.016	-0.154	0.073	0.375	0.293	-0.926	0.28	-0.135	-0.857	0.811	-0.097	0.463	0.583	0.147	0.37	0.02	-0.539	0.023	0.347	-1.31	-0.146	0.144	-0.191	-0.547	0.041	-0.066	-0.624
t97	-0.029	0.243	0.653	-1.108	0.03	0.192	0.559	0.467	0.049	0.412	-0.248	-0.633	0.608	-0.496	1.441	0.303	-0.147	-0.381	-0.006	-0.443	0.3	-0.026	-1.017	-0.057	0.191	-0.453	-0.384	0.025	0.039	-0.015
t63	0.111	-0.113	0.585	-1.491	-0.249	0.329	0.526	-0.051	-0.497	0.544	-0.822	-0.965	1.298	0.035	0.878	0.172	0.615	-0.204	0.181	-0.371	0.424	-0.496	-0.547	0.197	0.24	0.555	-0.289	0.213	0.132	-1.009
t89	-0.147	0.294	0.239	-0.673	-0.213	-0.217	-0.049	0.647	0.2	0.279	-0.456	-0.525	1.049	-0.046	0.26	0.318	-0.094	0.78	-0.039	-1.102	0.044	0.118	-0.192	0.07	0.021	0.085	0.101	0.027	-0.498	-0.336
t32	0.108	0.804	0.111	-0.638	-0.118	-0.067	0.198	0.287	-0.319	-0.013	0.122	-0.541	0.31	0.174	1.099	0.262	0.216	-0.136	0.106	0.105	0.154	-0.645	-0.424	-0.024	0.01	0.143	-0.458	0.113	0.204	-1.061
t49	0.096	-0.031	0.161	-0.149	-0.312	0.098	0.181	0.577	-0.13	-0.181	0.106	-0.888	0.679	-0.308	1.081	0.034	-0.029	0.872	0.064	-0.393	0.158	-0.234	-0.35	0.069	-0.177	-0.186	-0.077	-0.057	-0.088	-0.529
t13	0.047	0.176	0.261	-0.365	-0.076	-0.015	0.239	0.074	-1.048	-0.22	-0.105	-0.296	0.757	-0.234	0.092	0.347	0.438	0.804	0.183	0.006	0.2	-0.866	-0.556	-0.397	0.67	-0.366	-0.238	0.205	0.342	-0.087
t56	-0.158	0.35	0.288	-0.314	-0.175	-0.347	0.283	0.088	-0.744	0.185	-0.27	-0.169	0.54	-0.164	0.449	0.562	0.075	0.884	0.045	-0.037	0.13	-0.406	-0.565	-0.179	-0.414	0.336	-0.317	0.041	0.034	-0.062
t90	0.059	0.635	0.166	-0.79	0.398	-0.11	0.574	0.032	-1.366	-0.105	-0.54	-0.356	1.061	-0.909	-0.05	0.468	0.364	0.319	0.182	0.396	0.203	-0.222	0.216	0.179	0.223	0.073	-0.362	-0.079	-0.326	-0.421
t87	-0.166	0.364	0.439	-1.184	0.171	-0.008	0.173	0.35	0.657	-0.2	-0.639	-0.467	0.129	-0.208	0.095	0.463	-0.073	0.302	0.014	-0.251	0.205	-0.072	-0.328	-0.014	0.414	-0.114	-0.399	0.044	-0.142	0.548
t36	-0.124	0.429	0.521	0.71	-0.257	0.092	0.044	0.067	-0.177	-0.356	-0.276	-0.345	-0.03	-0.596	1.826	-0.02	0.005	-0.147	-0.032	-0.836	0.163	-0.189	0.274	0.133	0.357	0.225	-0.437	0.184	-0.245	-0.854
t28	0.068	0.349	0.128	-0.101	0.195	0.401	-0.325	0.286	0.244	-0.304	-0.463	-0.089	0.248	-0.221	0.153	0.067	0.227	-0.128	0.038	-0.841	0.146	-0.208	-0.667	-0.052	0.268	0.309	-0.015	-0.033	0.165	0.099
t24	-0.084	-0.16	0.458	-0.273	0.229	0.205	0.135	0.41	-0.428	-0.149	-0.48	-0.481	0.488	-0.865	1.201	-0.095	0.152	0.931	0.013	-0.645	0.232	-0.046	-0.206	-0.212	-0.373	0.58	-0.381	0.158	-0.309	0.165
t41	-0.127	0.973	0.114	-1.135	0.094	-0.515	-0.301	0.606	-0.404	-0.191	-0.279	-0.66	0.569	-0.48	0.296	0.351	0.322	0.374	0.097	-1.052	0.208	-0.124	-0.172	0.177	0.176	0.384	0.265	0.105	0.053	0.176
t7	-0.236	0.396	0.051	-0.485	-0.077	-0.206	0.462	0.439	-0.536	-0.597	-0.561	-0.307	1.001	0.149	0.462	0.79	0.088	0.363	0.026	0.014	0.142	0.31	-0.681	-0.439	-0.229	0.355	-0.541	0.011	0.179	-0.478
t14	0.233	0.43	0.225	0.584	-0.103	0.129	0.255	0.034	-1.217	0.36	-0.146	-0.705	0.383	-0.033	1.033	0.283	0.089	0.53	0.181	-0.515	0.288	-0.944	-0.185	-0.075	0.434	-0.127	-0.097	0.235	0.129	-1.524
t48	-0.062	0.352	0.258	-0.34	-0.273	0.565	0.001	0.215	-0.618	-0.067	-0.515	-0.34	1.031	-0.311	1.04	0.286	0.264	0.893	-0.075	-0.551	0.153	0.232	-0.467	0.019	0.203	0.061	-0.356	0.037	-0.198	-1.527
t77	-0.172	0.43	0.095	1.239	-0.024	0.274	0.415	0.39	-1.447	-0.308	-0.401	0.148	-0.02	-0.157	1.024	0.481	0.241	0.217	0.122	-1.05	0.091	0.488	-0.373	-0.026	-0.164	0.222	-0.145	0	-0.123	-1.406
t12	0.066	0.781	0.394	-0.072	0.029	0.354	0.188	0.846	-0.916	0.293	-0.349	-0.613	-0.069	-0.118	0.398	0.261	0.186	0.108	0.017	-0.695	0.096	0.211	-0.63	0.09	0.384	-0.26	-0.152	0.086	0.138	-1.083
t61	-0.203	0.077	-0.086	-0.1	-0.164	0.601	-0.045	0.734	-0.525	0.43	-0.622	-0.451	0.33	-0.449	0.985	0.38	0.127	-0.041	0.02	-0.282	0.108	0.604	-0.361	0.064	0.455	-0.179	-0.251	0.148	-0.222	-1.244
t100	0.027	0.33	0.398	0.127	0.071	-0.085	0.264	-0.024	-1.44	0.05	-0.025	-0.445	0.337	-0.187	-0.271	0.878	-0.039	0.49	0.081	-0.268	0.09	-0.448	-0.186	-0.288	-0.385	0.427	0.033	0.159	-0.026	0.543
t60	0.022	0.075	0.172	1.892	-0.036	0.505	0.144	0.811	-0.831	0.02	-0.801	-0.24	0.142	-0.712	1.428	0.184	0.078	0.135	-0.171	0.022	-0.002	-0.476	-0.877	-0.198	-0.081	-0.302	0.1	-0.101	-0.129	-0.543
t26	0.036	1.165	0.225	0.3	-0.067	0.357	0.028	0.328	-1.176	0.006	-0.3	-0.625	-0.148	-0.384	0.904	-0.009	0.011	0.791	0.018	-0.147	0.08	-0.018	-0.104	-0.365	-0.164	-0.252	-0.24	-0.044	-0.176	0.046
t9	-0.016	0.15	0.123	-0.163	0.035	0.333	0.002	0.7	-0.725	0.354	-0.497	-0.481	1.037	-0.375	0.4	0.325	0.121	0.088	-0.052	0.418	0.26	-0.789	-0.212	0.289	0.148	-0.164	-0.264	0.064	-0.187	-0.935
t21	0.127	0.712	0.505	-1.033	0.004	0.02	0.016	0.142	-0.658	0.206	-0.683	-0.73	0.599	-0.413	1.117	0.326	0.225	0.728	0.085	-1.007	0.368	-0.194	-0.473	0.09	0.088	0.316	-0.485	0.096	-0.072	-0.142
t47	-0.269	0.393	0.498	0.677	0.011	0.27	-0.473	0.143	-1.305	0.113	-0.769	-0.376	0.039	-0.225	0.836	0.876	0.255	0.031	-0.012	-0.305	0.166	-0.247	-0.014	0.079	0.827	0.28	-0.364	0.131	-0.208	-0.924
t75	0.218	0.52	0.102	-0.881	-0.139	0.079	0.013	0.409	1.471	-0.443	-0.049	-0.153	0.079	-0.791	1.108	0.312	-0.139	0.674	-0.148	-0.553	0.065	-0.134	-0.578	-0.756	0.159	-0.412	-0.532	0.085	0.167	0.309
t39	-0.041	0.344	0.333	0.058	-0.361	0.187	0.301	-0.056	-0.601	-0.158	-0.45	-0.555	0.469	-0.691	0.397	0.447	0.276	0.754	0.063	-0.285	0.144	0.635	-0.151	-0.198	-0.089	-0.031	-0.081	0	0.128	-0.777
t76	0.209	0.083	-0.131	-1.348	-0.054	0.055	-0.001	-0.25	0.305	-0.297	-0.761	-0.626	0.407	-0.789	1.378	0.629	0.21	0.08	0.106	-0.06	0.098	0.526	0.153	0.301	0.262	0.045	-0.492	0.005	-0.044	-0.021
t6	-0.006	0.646	0.321	-1.381	-0.037	0.167	0.044	0.275	-0.911	0.534	-0.4	-0.214	0.659	0.181	0.937	-0.244	-0.101	0.655	0.031	-1.089	0.132	0.054	-0.591	0.285	-0.137	0.268	-0.414	0	-0.008	0.454
t16	0.069	0.55	0.21	-0.307	-0.623	0.615	-0.182	0.518	-0.682	0.271	-0.537	-0.559	0.261	-0.231	1.368	0.071	0.222	0.618	-0.041	-0.16	0.185	-0.449	-0.814	0.162	0.439	0.117	-0.204	-0.095	0.071	-0.75
t58	-0.276	1.168	0.187	-1.393	-0.135	0.132	0.182	0.421	-0.323	0.109	0.157	-0.604	0.46	-0.491	1.301	-0.154	0.213	0.33	-0.095	-0.304	0.082	-0.329	-0.516	0.234	0.169	0.52	-0.534	0.161	-0.268	-0.487
t2	0.304	0.184	0.305	-0.284	0.24	0.259	-0.027	0.743	0.152	0.176	-0.384	-0.943	-0.327	-0.5	0.605	0.612	0.152	-0.181	0.086	-0.352	0.358	-0.39	-0.506	0.222	-0.008	0.524	-0.479	0.119	0.141	-0.627
t31	0.133	0.307	0.14	-0.324	-0.484	0.719	0.21	0.291	-1.872	0.618	-0.478	-0.724	0.48	-0.413	1.282	0.394	0.25	0.634	0.089	0.022	0.121	-0.56	-0.519	-0.173	0.25	0.609	-0.17	0.198	0.02	-1.194
t40	-0.075	-0.521	0.063	-0.273	-0.015	0.103	0.384	0.023	-0.101	0.537	-0.284	-0.312	0.627	-0.788	1.57	0.074	-0.001	0.9	-0.194	-0.824	0.134	0.583	-0.555	-0.573	-0.407	-0.017	0.114	-0.1	0.077	-0.054
t38	0.02	0.957	-0.03	0.769	-0.255	0.109	-0.295	0.507	-0.074	0.015	-0.187	-0.772	0.769	-0.316	0.769	0.294	0.231	0.204	-0.069	-0.496	0.132	-0.807	-0.378	0.311	-0.248	0.422	-0.151	0.043	-0.428	-1.193
t55	0.07	0.209	-0.024	1.085	-0.055	0.109	-0.238	-0.542	0.545	0.144	-0.353	-0.336	0.882	-0.111	0.727	0.229	0.121	0.171	-0.109	-1.075	0.193	0.001	-0.818	0.211	-0.071	-0.326	-0.156	-0.061	-0.055	-0.201
