V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t99	-0.148	1.25	1.764	0.009	-1.401	-0.961	-0.226	0.165	0.753	-0.789	-0.55	-0.33	1.145	-2.556	-2.019	-1.094	0.634	1.585	0.153	-0.447	-0.215	0.198	0.114	-0.268	1.597	1.058	0.751	0.428	-0.335	-0.267
t41	-1.983	-2.436	-0.137	-2.702	-2.447	2.4	-2.74	1.046	4.78	3.004	-1.68	1.492	0.02	1.874	-0.909	-0.551	-1.699	-2.773	2.327	1.488	0.166	1.979	1.957	1.517	1.473	-2.249	-0.869	-1.018	-2.658	1.301
t173	-0.365	3.757	1.344	-0.599	-1.143	-2.181	-0.642	0.445	0.087	-1.016	0.553	0.174	1.221	-1.873	-2.424	-1.181	0.08	1.381	-0.522	-1.066	0.135	0.148	-0.516	-0.578	1.924	1.206	2.224	-0.169	0.657	-1.064
t128	-0.575	2.613	1.188	-0.875	-1.367	-1.412	-0.817	0.508	0.782	-0.421	0.101	0.328	1.062	-1.403	-2.142	-1.05	-0.09	0.819	-0.026	-0.601	0.112	0.348	-0.077	-0.241	1.837	0.699	1.529	-0.218	-0.013	-0.601
t122	-0.303	2.491	1.504	-0.371	-1.286	-1.56	-0.469	0.332	0.537	-0.817	-0.027	-0.034	1.168	-2.075	-2.195	-1.117	0.294	1.386	-0.147	-0.707	-0.014	0.188	-0.177	-0.398	1.772	1.105	1.418	0.075	0.075	-0.648
t113	0.196	3.731	2.01	0.304	-0.99	-2.533	0.217	0.111	-0.819	-1.93	0.445	-0.462	1.492	-3.331	-2.548	-1.271	0.927	2.597	-0.812	-1.323	-0.105	-0.335	-0.726	-0.904	1.831	1.939	2.07	0.463	0.862	-1.118
t8	-0.832	1.534	0.954	-1.199	-1.585	-0.62	-1.17	0.599	1.558	0.239	-0.276	0.532	0.86	-0.813	-1.889	-0.951	-0.369	0.142	0.455	-0.178	0.105	0.664	0.344	0.112	1.752	0.111	1.023	-0.34	-0.562	-0.2
t190	-0.879	0.911	0.939	-1.202	-1.682	-0.212	-1.238	0.585	1.85	0.452	-0.515	0.526	0.783	-0.76	-1.777	-0.924	-0.386	-0.026	0.669	0.005	0.051	0.78	0.537	0.252	1.68	-0.086	0.734	-0.296	-0.78	0.008
t37	-1.197	1.22	0.557	-1.796	-1.736	-0.245	-1.615	0.805	2.246	0.905	-0.37	0.927	0.688	0.141	-1.716	-0.836	-0.855	-0.669	0.773	0.131	0.239	0.926	0.6	0.387	1.789	-0.415	0.804	-0.695	-0.983	-0.011
t165	-0.214	0.805	1.728	-0.061	-1.475	-0.743	-0.216	0.177	1.129	-0.561	-0.811	-0.322	1.104	-2.356	-1.888	-1.027	0.591	1.409	0.351	-0.226	-0.215	0.228	0.274	-0.164	1.569	0.991	0.321	0.407	-0.714	-0.091
t43	-1.159	-1.751	0.784	-1.384	-2.102	1.411	-1.56	0.591	3.379	1.53	-1.604	0.569	0.459	-0.158	-1.226	-0.741	-0.561	-0.916	1.659	0.909	-0.102	1.258	1.406	0.882	1.418	-0.909	-0.727	-0.232	-2.047	0.921
