V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t120	-2.631	-3.146	-0.907	-1.238	2.277	1.821	0.198	-3.372	1.143	2.063	1.504	0.661	0.954	2.561	-1.201	-1.898	2.217	1.545	0.309	-0.338	0.219	0.987	-0.737	1.467	-1.204	-4.237	3.995	-4.013	0.021	0.951
t124	-0.927	-2.358	0.053	-0.58	0.977	1.37	-1.137	-1.077	0.773	0.366	0.791	1.372	2.234	0.73	-0.735	-1.525	0.05	-0.373	1.135	-1.246	0.634	0.329	0.178	1.076	-0.355	-2.001	1.951	-2.713	0.22	0.786
t128	1.708	-1.241	1.542	0.461	-1.08	0.667	-3.269	2.525	0.197	-1.896	-0.321	2.513	4.203	-2.065	0.075	-0.813	-3.32	-3.427	2.364	-2.559	1.231	-0.687	1.579	0.453	1.009	1.139	-1.286	-0.736	0.484	0.531
t81	0.102	-2.011	0.642	-0.148	0.145	1.098	-2.024	0.373	0.55	-0.241	0.355	1.853	2.995	-0.32	-0.329	-1.125	-1.266	-1.698	1.583	-1.671	0.825	-0.057	0.711	0.824	0.223	-1.045	0.631	-1.963	0.293	0.692
t151	0.533	-1.907	0.89	0.042	-0.215	0.985	-2.418	0.996	0.456	-0.361	0.171	2.068	3.312	-0.731	-0.117	-0.89	-1.814	-2.326	1.775	-1.805	0.884	-0.214	0.929	0.712	0.485	-0.76	0.044	-1.687	0.306	0.653
t4	-0.805	-2.466	0.131	-0.489	0.822	1.337	-1.334	-0.828	0.746	0.804	0.732	1.491	2.311	0.668	-0.546	-1.273	-0.121	-0.699	1.123	-1.156	0.59	0.296	0.221	1.026	-0.21	-2.353	1.691	-2.665	0.173	0.78
t152	-1.734	-2.861	-0.394	-0.856	1.549	1.586	-0.581	-2.1	0.951	1.586	1.125	1.087	1.617	1.656	-0.829	-1.527	1.068	0.355	0.686	-0.692	0.378	0.656	-0.274	1.247	-0.691	-3.454	2.837	-3.35	0.082	0.871
t84	-0.477	-2.293	0.319	-0.368	0.584	1.253	-1.58	-0.401	0.677	0.37	0.597	1.616	2.56	0.312	-0.47	-1.229	-0.524	-1.069	1.307	-1.346	0.675	0.169	0.397	0.956	-0.059	-1.846	1.315	-2.419	0.22	0.75
t169	-0.369	-2.071	0.371	-0.37	0.555	1.221	-1.561	-0.334	0.655	-0.274	0.56	1.601	2.651	0.092	-0.618	-1.462	-0.669	-0.929	1.375	-1.575	0.784	0.11	0.487	0.953	-0.091	-1.208	1.314	-2.236	0.299	0.734
t150	0.091	-2.011	0.63	-0.157	0.152	1.098	-2.011	0.356	0.549	-0.211	0.357	1.846	2.988	-0.305	-0.34	-1.124	-1.256	-1.659	1.588	-1.671	0.827	-0.056	0.707	0.822	0.216	-1.049	0.636	-1.993	0.287	0.689
t79	-2.31	-2.911	-0.727	-1.135	2.065	1.737	-0.001	-2.981	1.076	1.439	1.376	0.761	1.201	2.172	-1.195	-1.954	1.817	1.287	0.489	-0.592	0.336	0.858	-0.553	1.407	-1.089	-3.556	3.677	-3.726	0.094	0.92
t68	-0.808	-2.306	0.121	-0.533	0.885	1.339	-1.232	-0.914	0.749	0.251	0.742	1.423	2.323	0.602	-0.699	-1.497	-0.101	-0.52	1.187	-1.307	0.662	0.284	0.241	1.049	-0.294	-1.856	1.81	-2.614	0.234	0.776
t43	-0.729	-2.316	0.165	-0.493	0.803	1.314	-1.327	-0.783	0.726	0.35	0.702	1.472	2.38	0.543	-0.634	-1.408	-0.207	-0.613	1.223	-1.308	0.66	0.251	0.273	1.02	-0.231	-1.894	1.669	-2.596	0.219	0.765
t87	-0.609	-2.099	0.232	-0.482	0.771	1.287	-1.317	-0.696	0.711	-0.356	0.668	1.464	2.479	0.307	-0.759	-1.648	-0.361	-0.584	1.265	-1.534	0.763	0.2	0.369	1.025	-0.255	-1.255	1.676	-2.336	0.312	0.759
t135	-2.322	-3.095	-0.727	-1.094	2.008	1.74	-0.1	-2.91	1.077	2.081	1.371	0.831	1.177	2.268	-1.032	-1.7	1.817	1.088	0.422	-0.412	0.253	0.877	-0.581	1.384	-1.001	-4.126	3.559	-3.816	0.022	0.924
t5	-2.63	-3.055	-0.91	-1.261	2.304	1.818	0.25	-3.411	1.143	1.793	1.506	0.632	0.96	2.508	-1.294	-2.023	2.215	1.688	0.333	-0.426	0.263	0.976	-0.721	1.476	-1.247	-3.982	4.053	-3.987	0.053	0.946
t179	-0.216	-2.255	0.466	-0.246	0.355	1.184	-1.831	-0.011	0.619	0.387	0.485	1.756	2.75	0.073	-0.32	-1.059	-0.866	-1.476	1.397	-1.409	0.702	0.076	0.526	0.885	0.112	-1.746	0.946	-2.235	0.221	0.727
t25	-0.885	-2.401	0.085	-0.545	0.926	1.363	-1.207	-0.99	0.768	0.496	0.775	1.414	2.259	0.708	-0.659	-1.44	-0.003	-0.522	1.119	-1.208	0.613	0.323	0.191	1.063	-0.304	-2.136	1.872	-2.672	0.208	0.789
t123	-0.504	-2.158	0.29	-0.42	0.652	1.255	-1.469	-0.508	0.679	-0.035	0.611	1.549	2.55	0.273	-0.627	-1.429	-0.488	-0.815	1.352	-1.474	0.739	0.161	0.407	0.975	-0.145	-1.449	1.436	-2.42	0.264	0.742
t73	-0.014	-1.876	0.562	-0.247	0.297	1.124	-1.82	0.124	0.572	-0.703	0.408	1.73	2.924	-0.277	-0.548	-1.398	-1.11	-1.295	1.614	-1.789	0.885	-0.035	0.678	0.868	0.071	-0.631	0.883	-2.033	0.34	0.691
t44	-0.516	-2.219	0.288	-0.409	0.638	1.258	-1.495	-0.493	0.682	0.167	0.613	1.569	2.537	0.302	-0.58	-1.363	-0.484	-0.855	1.307	-1.418	0.713	0.17	0.395	0.971	-0.122	-1.64	1.416	-2.425	0.244	0.745
t76	-1.67	-2.717	-0.36	-0.862	1.535	1.566	-0.569	-2.066	0.936	1.176	1.1	1.074	1.672	1.524	-0.927	-1.668	0.992	0.475	0.759	-0.834	0.446	0.616	-0.221	1.244	-0.715	-3.047	2.832	-3.285	0.127	0.859
t93	-3.795	-3.58	-1.57	-1.717	3.191	2.121	1.163	-4.985	1.39	2.831	1.987	0.129	0.087	3.736	-1.627	-2.322	3.684	2.985	-0.243	0.161	-0.021	1.419	-1.35	1.742	-1.843	-5.44	5.461	-4.829	-0.074	1.055
t125	-2.18	-2.961	-0.65	-1.057	1.93	1.705	-0.167	-2.756	1.047	1.68	1.317	0.858	1.291	2.094	-1.05	-1.76	1.651	0.976	0.532	-0.55	0.317	0.819	-0.499	1.362	-0.967	-3.717	3.439	-3.69	0.066	0.91
t39	1.133	-1.661	1.225	0.279	-0.695	0.819	-2.915	1.826	0.319	-0.813	-0.09	2.331	3.761	-1.364	0.072	-0.713	-2.59	-2.957	2.055	-2.104	1.018	-0.453	1.243	0.563	0.801	-0.078	-0.713	-1.255	0.356	0.59
t60	-0.797	-2.313	0.127	-0.526	0.869	1.334	-1.251	-0.892	0.744	0.278	0.734	1.429	2.332	0.596	-0.684	-1.481	-0.119	-0.512	1.19	-1.307	0.659	0.277	0.242	1.043	-0.284	-1.87	1.784	-2.608	0.229	0.774
t102	-0.719	-2.319	0.174	-0.485	0.796	1.314	-1.337	-0.768	0.728	0.331	0.701	1.478	2.386	0.531	-0.621	-1.408	-0.218	-0.659	1.209	-1.308	0.657	0.253	0.278	1.021	-0.225	-1.896	1.666	-2.557	0.224	0.769
t89	-0.975	-2.604	0.036	-0.54	0.932	1.382	-1.236	-1.03	0.781	1.158	0.799	1.439	2.181	0.89	-0.532	-1.222	0.095	-0.594	1.036	-1.009	0.521	0.366	0.118	1.056	-0.265	-2.737	1.849	-2.826	0.13	0.797
t184	-0.469	-2.392	0.328	-0.337	0.541	1.252	-1.647	-0.34	0.675	0.724	0.59	1.664	2.556	0.35	-0.372	-1.08	-0.543	-1.22	1.271	-1.248	0.631	0.176	0.391	0.94	-0.001	-2.158	1.233	-2.452	0.182	0.752
t100	-0.147	-2.196	0.505	-0.226	0.311	1.165	-1.87	0.071	0.605	0.243	0.457	1.778	2.802	-0.02	-0.33	-1.081	-0.953	-1.508	1.436	-1.47	0.732	0.047	0.569	0.872	0.134	-1.588	0.882	-2.179	0.238	0.719
t52	0.831	-1.729	1.049	0.143	-0.443	0.897	-2.636	1.387	0.384	-0.725	0.038	2.179	3.539	-1.077	-0.084	-0.88	-2.209	-2.496	1.925	-2.015	0.98	-0.345	1.093	0.64	0.615	-0.266	-0.304	-1.457	0.346	0.615
t34	0.262	-1.919	0.73	-0.092	0.026	1.054	-2.139	0.581	0.515	-0.464	0.288	1.91	3.118	-0.504	-0.304	-1.123	-1.475	-1.838	1.654	-1.78	0.872	-0.122	0.801	0.789	0.292	-0.772	0.454	-1.813	0.319	0.676
t199	-0.44	-2.318	0.337	-0.344	0.536	1.241	-1.633	-0.329	0.666	0.509	0.578	1.65	2.584	0.289	-0.426	-1.162	-0.585	-1.142	1.3	-1.329	0.668	0.156	0.416	0.939	-0.018	-1.929	1.236	-2.403	0.206	0.744
t108	0.653	-1.967	0.96	0.115	-0.351	0.951	-2.585	1.213	0.425	-0.042	0.111	2.167	3.392	-0.797	0.022	-0.682	-1.974	-2.583	1.818	-1.752	0.863	-0.255	0.978	0.663	0.606	-0.968	-0.2	-1.694	0.266	0.639
t127	0.662	-1.856	0.961	0.092	-0.319	0.949	-2.527	1.173	0.425	-0.429	0.114	2.127	3.407	-0.86	-0.077	-0.838	-1.978	-2.463	1.85	-1.862	0.913	-0.266	0.997	0.677	0.555	-0.626	-0.129	-1.628	0.311	0.637
t148	-1.571	-2.542	-0.313	-0.857	1.503	1.538	-0.567	-1.993	0.915	0.648	1.065	1.063	1.758	1.354	-1.025	-1.834	0.867	0.538	0.839	-1.017	0.531	0.565	-0.15	1.238	-0.732	-2.522	2.806	-3.143	0.188	0.845
t64	0.53	-1.684	0.879	-0.015	-0.145	0.982	-2.284	0.896	0.46	-1.088	0.182	1.985	3.325	-0.869	-0.343	-1.238	-1.821	-1.962	1.781	-2.036	0.989	-0.236	0.965	0.744	0.37	-0.115	0.222	-1.525	0.397	0.649
t113	1.502	-1.297	1.427	0.374	-0.912	0.722	-3.087	2.236	0.245	-1.829	-0.232	2.414	4.05	-1.88	-0.019	-0.93	-3.062	-3.114	2.244	-2.494	1.197	-0.61	1.476	0.509	0.886	0.969	-0.999	-0.832	0.48	0.553
t97	1.113	-1.819	1.224	0.309	-0.725	0.829	-2.986	1.863	0.324	-0.293	-0.085	2.384	3.732	-1.261	0.211	-0.492	-2.559	-3.178	2.022	-1.935	0.944	-0.427	1.214	0.549	0.867	-0.56	-0.797	-1.37	0.295	0.597
t173	0.719	-1.982	1	0.152	-0.414	0.934	-2.664	1.32	0.41	0.031	0.082	2.21	3.438	-0.839	0.086	-0.599	-2.053	-2.728	1.849	-1.74	0.857	-0.275	1.005	0.642	0.661	-1.008	-0.313	-1.675	0.256	0.634
t131	-1.45	-2.69	-0.236	-0.759	1.337	1.505	-0.788	-1.73	0.884	1.227	1.002	1.195	1.833	1.328	-0.796	-1.51	0.703	0.155	0.846	-0.882	0.467	0.534	-0.116	1.18	-0.566	-2.986	2.506	-3.156	0.12	0.837
t133	0.481	-1.822	0.851	-0.008	-0.141	0.996	-2.312	0.876	0.465	-0.649	0.195	2.004	3.282	-0.729	-0.241	-1.056	-1.75	-2.098	1.778	-1.887	0.925	-0.207	0.917	0.736	0.404	-0.502	0.179	-1.682	0.338	0.652
t194	0.286	-1.979	0.744	-0.067	-0.016	1.047	-2.201	0.643	0.506	-0.223	0.272	1.948	3.13	-0.48	-0.229	-0.995	-1.501	-1.953	1.68	-1.716	0.846	-0.127	0.8	0.769	0.341	-0.96	0.358	-1.885	0.286	0.671
t86	1.698	-1.365	1.54	0.486	-1.114	0.669	-3.335	2.568	0.195	-1.481	-0.325	2.553	4.188	-1.985	0.19	-0.633	-3.308	-3.566	2.346	-2.436	1.173	-0.674	1.553	0.436	1.065	0.771	-1.371	-0.823	0.433	0.532
t67	-1.138	-2.54	-0.06	-0.639	1.113	1.429	-1.021	-1.324	0.82	0.848	0.878	1.317	2.068	1.005	-0.708	-1.443	0.323	-0.285	1.022	-1.044	0.543	0.421	0.052	1.114	-0.417	-2.533	2.144	-2.927	0.163	0.811
t140	-0.187	-2.115	0.474	-0.269	0.371	1.172	-1.78	-0.029	0.611	-0.032	0.475	1.72	2.781	-0.027	-0.442	-1.235	-0.907	-1.294	1.441	-1.553	0.77	0.049	0.562	0.892	0.063	-1.333	0.996	-2.161	0.269	0.717
t71	0.848	-1.764	1.065	0.164	-0.466	0.898	-2.669	1.428	0.385	-0.636	0.036	2.204	3.548	-1.083	-0.037	-0.83	-2.233	-2.626	1.895	-1.981	0.963	-0.34	1.101	0.637	0.644	-0.365	-0.335	-1.416	0.341	0.62
t99	0.192	-1.955	0.689	-0.12	0.068	1.066	-2.092	0.496	0.526	-0.291	0.311	1.894	3.062	-0.434	-0.331	-1.117	-1.396	-1.692	1.624	-1.735	0.858	-0.102	0.766	0.797	0.265	-0.924	0.514	-1.917	0.298	0.676
t49	-1.715	-2.69	-0.392	-0.892	1.586	1.577	-0.503	-2.15	0.944	1.057	1.121	1.032	1.644	1.556	-0.983	-1.744	1.052	0.586	0.759	-0.859	0.457	0.629	-0.241	1.26	-0.763	-2.95	2.917	-3.302	0.139	0.861
t85	-1.62	-2.629	-0.34	-0.861	1.522	1.552	-0.565	-2.033	0.923	0.897	1.082	1.063	1.717	1.451	-0.973	-1.746	0.935	0.495	0.818	-0.926	0.488	0.59	-0.189	1.24	-0.726	-2.764	2.815	-3.229	0.156	0.851
t158	-1.688	-2.768	-0.374	-0.859	1.536	1.571	-0.577	-2.072	0.937	1.311	1.106	1.074	1.659	1.577	-0.885	-1.613	1.014	0.429	0.746	-0.79	0.422	0.627	-0.242	1.242	-0.706	-3.17	2.823	-3.307	0.11	0.861
t116	1.292	-1.485	1.316	0.319	-0.775	0.784	-2.972	1.991	0.294	-1.388	-0.142	2.356	3.887	-1.604	0.021	-0.858	-2.789	-3.057	2.112	-2.294	1.101	-0.514	1.346	0.552	0.824	0.449	-0.795	-0.994	0.431	0.582
t187	1.441	-1.451	1.401	0.385	-0.905	0.742	-3.112	2.212	0.26	-1.405	-0.208	2.433	3.996	-1.752	0.092	-0.778	-2.987	-3.243	2.166	-2.343	1.122	-0.57	1.421	0.511	0.916	0.533	-1.001	-0.89	0.434	0.567
