V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t110	-1.831	-0.727	1.176	-0.256	-0.775	-1.667	-0.846	-0.312	2.3	-0.944	-0.427	-1.081	0.413	0.999	-1.801	1.307	0.066	0.99	1.158	-0.348	1.242	-0.465	0.027	0.259	-0.113	0.914	-0.034	-1.216	1.123	0.866
t175	-1.911	-0.85	0.834	-0.114	-0.763	-1.625	-0.735	-0.36	2.354	-1.16	-0.527	-1.167	0.434	0.956	-1.886	1.274	0.128	0.946	1.963	-0.302	0.905	-0.561	-0.017	0.205	-0.166	1.035	0.583	-1.289	1.088	0.723
t194	-1.894	-0.8	1.343	-0.231	-0.797	-1.629	-0.862	-0.309	2.284	-1.048	-0.42	-1.039	0.39	0.98	-1.859	1.276	0.085	0.965	0.801	-0.375	1.008	-0.519	0.025	0.275	-0.069	0.52	1.043	-1.252	1.095	1.01
t146	-2.82	-1.211	-0.006	0.937	-0.132	-0.611	-3.016	-0.416	3.213	-2.23	-1.515	-1.81	1.619	1.18	-1.299	1.513	0.886	1.078	3.343	1.937	-0.61	-1.763	-0.596	-0.386	1.876	-0.095	-0.203	-0.698	0.524	1.302
t181	-2.825	-1.212	0.074	0.884	-0.104	-0.574	-3.153	-0.422	3.265	-2.26	-1.534	-1.827	1.673	1.194	-1.267	1.525	0.914	1.086	2.993	1.975	-0.586	-1.791	-0.625	-0.406	1.946	-0.072	0.094	-0.679	0.493	1.214
t148	-1.9	-0.865	1.112	-0.055	-0.767	-1.598	-0.836	-0.251	2.32	-1.245	-0.433	-0.93	0.376	0.991	-1.917	1.284	0.206	0.967	1.716	-0.467	0.785	-0.52	0.049	0.261	-0.065	-0.737	1.505	-1.257	1.074	1.195
t196	-0.85	-0.328	2.294	-1.257	-1.576	-2.829	1.867	-0.191	1.172	0.315	0.774	-0.242	-1.056	0.734	-2.52	1.011	-0.852	0.833	-0.017	-2.859	2.738	0.908	0.785	1.016	-2.462	0.994	0.898	-1.903	1.806	0.793
t143	-2.402	-1.025	0.712	0.322	-0.452	-1.081	-2.066	-0.394	2.777	-1.667	-1.005	-1.483	1.061	1.077	-1.558	1.391	0.492	1.014	1.768	0.891	0.145	-1.205	-0.324	-0.089	0.97	0.55	0.71	-0.979	0.782	1.061
t161	-2.636	-1.093	0.541	0.633	-0.245	-0.768	-2.826	-0.374	3.056	-1.961	-1.277	-1.631	1.426	1.174	-1.341	1.491	0.738	1.082	2.163	1.549	-0.207	-1.534	-0.478	-0.248	1.613	-0.318	0.303	-0.755	0.608	1.312
t150	-3.932	-1.746	-1.419	2.222	0.79	0.738	-5.991	-0.503	4.54	-3.883	-2.901	-2.69	3.238	1.476	-0.561	1.844	2.028	1.248	5.45	4.617	-2.515	-3.323	-1.44	-1.227	4.503	-1.617	-0.599	0.073	-0.297	1.548
t20	-2.28	-1.011	0.526	0.319	-0.425	-1.132	-1.896	-0.336	2.819	-1.733	-0.964	-1.374	1.005	1.094	-1.598	1.413	0.564	1.033	2.369	0.598	0.278	-1.082	-0.287	-0.067	0.841	-0.167	0.672	-0.975	0.793	0.996
t162	-0.848	-0.366	2.586	-1.056	-1.503	-2.715	1.621	0.004	1.243	0.086	0.844	0.109	-1.062	0.823	-2.518	1.069	-0.637	0.897	0.06	-3.045	2.525	0.928	0.855	1.079	-2.186	-2.244	1.923	-1.768	1.739	1.552
t193	-2.019	-0.91	0.877	0.073	-0.771	-1.546	-0.764	-0.346	2.339	-1.247	-0.568	-1.176	0.443	0.952	-1.898	1.264	0.146	0.938	2.211	-0.14	0.609	-0.656	-0.01	0.216	-0.053	0.37	0.828	-1.278	1.066	1.051
t200	-0.752	-0.334	2.436	-1.212	-1.586	-2.874	1.952	-0.053	1.127	0.229	0.921	0.087	-1.186	0.765	-2.606	1.02	-0.759	0.855	0.172	-3.252	2.705	1.053	0.891	1.093	-2.513	-1.059	1.734	-1.896	1.825	1.208
t140	-1.167	-0.453	2.074	-0.884	-1.291	-2.403	0.821	-0.166	1.56	-0.152	0.413	-0.408	-0.563	0.858	-2.26	1.134	-0.486	0.912	0.319	-2.048	2.205	0.461	0.565	0.783	-1.597	-0.189	0.969	-1.631	1.556	1.064
t47	-1.942	-0.849	1.263	-0.146	-0.816	-1.606	-0.78	-0.336	2.279	-1.105	-0.456	-1.097	0.382	0.955	-1.895	1.255	0.074	0.941	1.131	-0.303	0.836	-0.568	0.023	0.272	-0.113	0.515	1.281	-1.293	1.09	1.006
t118	-1.816	-0.72	1.472	0.03	-0.764	-1.569	-0.96	-0.136	2.308	-1.059	-0.345	-0.837	0.356	1.073	-1.779	1.362	0.177	1.054	1.837	-0.387	1.065	-0.435	0.154	0.378	0.003	-2.563	0.428	-1.101	1.088	1.682
