V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t154	1.723	0.842	-0.734	3.517	-1.022	1.038	-1.91	0.303	0.153	0.101	1.296	0.14	-1.097	-0.008	-2.161	-1.41	-0.321	2.511	-0.799	0.094	0.721	-1.048	0.499	0.653	-1.485	-1.629	0.056	2.167	-0.066	-2.132
t141	1.445	1.806	-0.538	3.585	-1.258	1.977	-1.177	0.494	0.727	-0.291	2.057	-0.116	-5.57	0.193	-5.39	-0.482	2.015	3.014	-1.725	0.011	1.167	-3.016	0.574	0.527	-0.308	-2.217	-0.297	4.781	0.66	-2.771
t188	1.91	-0.967	-1.453	3.716	-0.863	-0.324	-2.69	0.716	0.06	-0.246	0.906	0.73	5.846	-0.183	3.947	-2.911	-3.303	1.593	1.251	0.146	-0.453	1.463	0.753	0.508	-3.068	-0.69	0.183	-3.433	-1.614	-1.599
t194	1.474	0.832	-0.597	3.155	-0.771	1.484	-1.669	0.194	0.616	0.046	1.254	0.101	-2.208	-0.217	-2.41	-1.253	0.101	2.493	-0.477	0.028	0.562	-1.508	0.352	0.564	-1.041	-1.384	-0.556	2.165	0.34	-1.677
t15	2.138	0.903	0.397	1.916	-0.484	1.322	-2.259	-0.989	-0.013	1.446	-0.732	-0.595	-1.524	-0.792	-2.332	-1.257	-0.852	2.633	-1.267	0.266	0.894	-0.771	-0.409	1.118	-1.613	-0.403	-0.122	2.716	0.75	-0.091
t165	1.638	0.561	0.476	1.152	0.007	1.96	-1.831	-1.124	0.958	1.031	-0.553	-0.599	-3.566	-1.266	-1.509	-1.191	-0.457	2.402	-0.513	0.029	0.222	-1.631	-0.703	0.766	-0.823	0.254	-1.562	2.52	1.709	1.638
t129	0.026	0.906	-1.451	2.63	-1.87	1.162	-1.193	1.253	1.468	-0.787	3.035	0.416	-1.995	0.628	-2.598	-1.172	1.659	2.305	-1.254	-0.474	0.468	-1.618	1.013	0.01	-0.865	-1.899	-1.332	4.381	-1.883	-0.98
t6	1.124	-1.061	-1.161	1.647	-0.767	0.248	-2.403	0.246	1.029	0.035	0.729	0.513	2.795	-0.589	4.229	-2.646	-2.54	1.48	0.739	-0.216	-1.228	1.003	0.264	0.208	-2.252	0.316	-1.488	-0.896	-0.99	1.622
t36	1.745	-0.555	-0.525	2.072	-0.525	0.382	-2.545	-0.204	0.541	0.615	-0.157	0.035	2.063	-0.784	2.796	-2.437	-2.469	1.775	-0.188	0.041	-0.474	0.558	0.005	0.582	-2.328	0.151	-0.675	-0.283	-0.336	1.12
t193	1.811	0.08	0.373	1.124	0.138	1.596	-2.081	-1.139	0.922	1.04	-0.829	-0.503	-2.071	-1.428	0.19	-1.632	-1.405	2.178	-0.272	0.037	-0.334	-1.181	-0.72	0.738	-1.168	0.73	-1.502	1.212	1.579	2.515
t34	1.277	-0.599	-0.41	1.162	-0.255	0.873	-2.22	-0.445	1.184	0.579	-0.143	-0.075	-0.485	-1.161	2.833	-2.31	-1.969	1.634	-0.241	-0.227	-0.845	-0.189	-0.378	0.302	-1.688	0.635	-1.851	1.323	0.279	3.404
t94	2.093	0.008	0.039	2.044	-0.158	0.998	-2.419	-0.734	0.335	1.045	-0.691	-0.417	-0.23	-1.118	0.969	-2.005	-2.023	2.031	-0.639	0.129	0.299	-0.476	-0.433	0.787	-1.974	0.149	-0.636	0.846	0.424	1.756
t74	1.455	0.305	-1.01	3.053	-1.156	0.802	-1.967	0.565	0.511	-0.101	1.479	0.241	0.257	-0.003	-0.15	-1.729	-0.65	2.206	-0.147	-0.018	0.432	-0.472	0.573	0.463	-1.824	-1.267	-0.384	1.046	-0.973	-1.541
t162	1.833	0.414	-1.49	4.701	-1.367	0.399	-2.138	1.095	-0.208	-0.528	2.141	0.426	2.232	0.474	-0.853	-1.922	-1.043	2.223	0.224	0.116	1.098	-0.367	1.078	0.529	-2.484	-2.279	0.807	-0.43	-1.717	-2.98
t116	0.623	0.786	-1.694	3.975	-1.751	1.02	-1.222	1.663	1.145	-1.263	3.302	0.756	-0.201	0.809	-2.13	-1.287	1.221	2.401	-0.006	-0.177	0.613	-1.382	1.368	0.169	-1.11	-2.354	-0.554	1.437	-1.939	-4.236
t144	-0.052	-0.043	-0.968	0.69	-0.924	1.603	-1.185	0.367	2.343	-0.55	1.94	0.369	-3.231	-0.49	0.395	-1.482	0.604	1.919	0.025	-0.619	-1.336	-1.514	0.181	-0.196	-0.297	0.039	-3.069	3.249	0.121	2.104
t79	2.75	2.812	0.913	3.674	-0.71	1.986	-1.937	-1.125	-1.094	1.658	-0.456	-1.327	-5.248	-0.301	-9.092	-0.117	1.253	3.588	-3.268	0.522	3.457	-3.002	-0.366	1.604	-1.145	-2.532	1.525	5.886	1.13	-2.944
t123	2.591	2.243	0.723	3.322	-0.597	1.911	-1.954	-0.977	-0.656	1.554	-0.383	-0.996	-4.254	-0.41	-6.911	-0.405	0.687	3.326	-2.511	0.461	2.655	-2.428	-0.297	1.45	-1.157	-1.848	0.966	4.711	1.019	-2.079
t200	1.917	0.459	-1.46	4.93	-1.256	0.171	-2.276	0.911	-0.532	-0.359	1.94	0.439	1.992	0.387	-1.045	-2.089	-1.442	2.223	-0.655	0.12	0.929	-0.263	1.013	0.554	-2.421	-2.405	1.025	0.665	-1.066	-2.422
t8	2.571	0.704	0.673	2.214	0.179	1.818	-2.155	-1.256	0.173	1.281	-1.083	-0.669	-2.17	-1.267	-1.873	-1.241	-1.22	2.637	-0.241	0.405	0.658	-1.45	-0.636	1.164	-1.293	0.008	-0.302	0.584	1.959	-0.176
t130	1.367	-0.635	-1.373	2.944	-0.991	0.283	-2.3	0.624	0.697	-0.267	1.297	0.659	2.359	-0.255	2.905	-2.467	-2.116	1.681	0.43	-0.125	-0.773	0.553	0.593	0.224	-2.186	-0.556	-0.832	-0.566	-1.016	-0.162
t85	0.55	-0.066	-1.68	2.664	-1.559	0.637	-1.763	1.143	1.219	-0.673	2.462	0.82	0.68	0.308	0.891	-1.902	-0.343	1.895	-0.076	-0.358	-0.481	-0.17	0.946	0.014	-1.522	-1.13	-1.327	1.485	-1.819	-0.848
t16	2.372	0.869	0.858	1.765	0.261	2.165	-1.96	-1.508	0.344	1.343	-1.09	-0.846	-3.873	-1.433	-2.581	-0.994	-0.76	2.698	-0.239	0.299	0.681	-1.948	-0.875	1.093	-0.937	0.075	-0.776	1.73	2.501	0.758
t100	0.592	0.386	-0.988	1.987	-1.357	1.073	-1.408	0.637	1.387	-0.561	1.997	0.301	-0.747	0.027	-0.857	-1.397	0.437	2.259	0.191	-0.284	-0.211	-1.09	0.501	0.222	-1.129	-0.952	-1.479	2.103	-0.892	-0.749
t189	0.884	0.177	-0.94	2.067	-1.29	1.022	-1.578	0.563	1.333	-0.45	1.666	0.334	-0.496	-0.135	0.148	-1.524	-0.034	2.185	0.25	-0.191	-0.387	-0.86	0.458	0.254	-1.31	-0.624	-1.425	1.287	-0.746	-0.641
