V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t145	-4.49	-4.42	-4.447	-3.228	-5.473	-5.483	-2.713	-5.129	-4.985	-6.581	-4.035	-2.411	-6.325	-2.916	-6.587	-3.677	-3.855	-2.665	-3.073	-2.959	-3.531	-4.846	-2.563	-3.323	-2.927	-2.781	-2.977	-2.335	-3.904	-3.733
t123	-4.4	-3.914	-4.509	-3.281	-5.328	-5.325	-2.456	-4.996	-4.625	-6.395	-4.105	-2.538	-6.307	-2.738	-6.584	-3.477	-3.972	-2.462	-3.348	-3.288	-3.711	-4.944	-2.573	-3.181	-3.039	-3.064	-2.909	-2.445	-4.047	-3.445
t126	-4.338	-4.214	-4.433	-3.301	-5.846	-5.45	-2.796	-4.998	-4.636	-6.289	-4.217	-2.517	-6.253	-2.882	-6.475	-3.632	-3.947	-2.44	-3.229	-3.498	-3.9	-5.403	-2.279	-3.279	-3.131	-2.983	-2.717	-2.34	-4.099	-3.189
t95	-4.386	-3.971	-4.49	-3.283	-5.439	-5.349	-2.532	-4.96	-4.617	-6.399	-4.128	-2.532	-6.304	-2.766	-6.553	-3.507	-3.967	-2.453	-3.324	-3.324	-3.754	-5.033	-2.504	-3.196	-3.061	-3.048	-2.858	-2.425	-4.066	-3.376
t37	-4.964	-5.737	-4.509	-3.253	-5.744	-6.006	-3.419	-5.375	-6.065	-7.629	-3.967	-2.267	-6.703	-3.487	-6.795	-4.294	-3.756	-3.397	-2.605	-2.039	-3.148	-4.426	-2.859	-3.8	-2.781	-2.271	-3.403	-2.314	-3.743	-4.759
t195	-4.63	-5.596	-4.345	-3.264	-6.46	-5.954	-3.64	-5.231	-5.563	-6.982	-4.174	-2.291	-6.427	-3.445	-6.504	-4.248	-3.753	-3.007	-2.621	-2.799	-3.63	-5.364	-2.224	-3.725	-2.993	-2.37	-2.873	-2.145	-3.899	-3.839
t69	-5.131	-6.325	-4.542	-3.312	-6.072	-6.265	-3.811	-5.557	-6.471	-7.908	-4.03	-2.255	-6.819	-3.768	-6.872	-4.596	-3.753	-3.667	-2.449	-1.886	-3.134	-4.525	-2.891	-4.039	-2.806	-2.116	-3.519	-2.304	-3.739	-5.049
t73	-5.561	-8.307	-4.623	-3.575	-7.602	-7.167	-5.269	-6.346	-7.663	-8.319	-4.405	-2.281	-7.034	-4.747	-7.063	-5.643	-3.789	-4.427	-1.985	-1.91	-3.383	-5.446	-2.739	-4.876	-3.042	-1.694	-3.711	-2.217	-3.821	-5.632
t104	-4.269	-2.755	-4.879	-3.73	-5.662	-5.17	-2.211	-4.756	-3.637	-5.921	-4.718	-3.198	-6.445	-2.535	-6.689	-3.211	-4.592	-1.983	-4.4	-4.889	-4.791	-6.047	-2.513	-3.046	-3.777	-4.19	-2.701	-2.952	-4.848	-2.405
t96	-4.389	-4.186	-4.448	-3.273	-5.64	-5.426	-2.709	-4.953	-4.701	-6.461	-4.144	-2.491	-6.306	-2.855	-6.509	-3.604	-3.929	-2.495	-3.213	-3.289	-3.77	-5.147	-2.399	-3.258	-3.063	-2.949	-2.806	-2.364	-4.051	-3.356
