Pseudois_nayaur	AF034732
Homo_sapiens	JN034136
Sus_scrofa_domesticus	KY110726
Ochotona_curzoniae	OP004675
Rhinopithecus_bieti	AY998835
Pantholops_hodgsonii	AF034724
Equus_kiang	JF718885
Bos_taurus	 MH714784
Equus_caballus	JF718882
Ovis_aries	OM869878
Bos_grunniens	EU807952
Bos_mutus	ON077035
Canis_lupus_laniger	KJ660982
Eospalax_fontanierii_baileyi	OM140664
