V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t172	-0.678	-0.709	2.032	-1.435	2.596	1.795	-2.378	1.896	0.592	-0.958	0.442	2.061	-0.573	-0.058	0.161	1.274	0.611	0.259	-1.097	0.015	-0.866	-0.884	0.211	-1.011	0.172	-1.774	0.08	-0.953	1.046	-1.873
t131	-0.62	-0.538	1.575	-1.461	1.562	0.29	-1.979	0.63	0.625	-0.299	-0.399	0.745	-0.492	-1.48	-1.654	1.387	1.986	0.373	-1.037	0.12	-0.926	1.262	1.294	-0.306	1.056	-0.053	0.12	-1.362	0.313	-0.734
t158	-0.655	0.295	1.002	-0.188	2.856	2.104	-2.862	1.455	0.501	-2.124	0.745	0.576	-0.328	-3.041	0.676	2.085	1.124	0.331	-0.283	0.227	-1.01	-2.152	-0.734	-0.317	0.781	0.065	-0.118	-1.747	0.896	-0.168
t73	-0.725	-1.198	1.406	-0.537	2.847	3.21	-3.237	0.538	0.527	-1.122	1.938	0.949	-0.381	-3.822	0.661	2.125	0.445	0.416	0.177	0.093	-0.976	-1.485	1.273	-1.235	0.687	0.177	-0.248	-2.051	1.086	-1.549
t124	-0.824	0.668	2.233	-2.662	1.456	0.883	-2.151	-2.694	0.179	2.301	-1.14	1.576	-0.731	-0.71	-2.584	1.005	1.78	0.363	0.583	0.075	-0.952	1.551	1.656	0.369	0.886	1.075	-0.093	-2.902	-0.902	-0.3
t50	-0.591	-0.432	1.675	-1.745	1.662	-0.395	-1.172	-0.757	0.334	0.915	-0.479	0.838	-0.491	-0.512	-0.263	1.124	1.065	0.123	-0.901	-0.201	-1.085	-0.552	0.001	1.275	0.328	0.635	0.095	-2.16	-0.192	1.855
t94	-0.556	0.032	2.396	-2.775	1.303	-0.564	-0.737	-0.508	0.239	1.453	-0.912	1.95	-0.637	1.406	-0.745	0.635	0.479	-0.003	-1.097	-0.365	-0.958	-0.15	0.698	1.673	0.682	-0.942	-0.475	-1.542	-0.773	0.787
t23	-0.874	0.601	1.417	-0.511	1.167	0.757	-0.713	-1.117	0.547	0.112	-0.38	0.84	-0.499	-1.401	-2.083	1.2	1.815	0.618	-0.819	0.35	-0.811	1.009	-0.33	-1.419	0.652	0.341	1.064	-1.544	0.826	-0.817
t87	-0.849	1.849	1.716	-1.335	0.779	0.178	0.127	-2.316	0.271	0.842	-0.913	1.368	-0.58	-0.523	-2.697	0.865	1.371	0.542	-0.156	0.256	-0.764	0.932	0.36	-0.331	1.081	0.067	0.558	-1.864	-0.194	-0.641
t186	-0.665	1.071	2.258	-2.664	1.632	-0.398	-0.327	-1.388	0.086	1.256	-0.683	2.269	-0.649	1.487	-0.165	0.605	0.132	0.026	-0.35	-0.287	-0.915	-1.126	-0.39	1.601	0.413	-0.938	-0.272	-1.81	-0.685	0.87
t176	-0.753	0.315	1.632	-2.035	1.676	-0.065	-1.232	-1.013	0.449	0.845	-0.447	1.372	-0.548	-0.045	-0.574	0.982	1.276	0.285	-0.869	0	-0.937	0.358	-0.605	0.002	0.067	0.112	0.683	-1.714	0.325	0.455
t45	-0.632	-0.185	2.085	-1.85	1.575	-0.077	-0.626	-0.059	0.344	0.44	-0.48	1.654	-0.612	0.298	-1.009	0.898	0.9	0.205	-0.726	-0.111	-0.913	-0.131	0.845	0.394	0.614	-0.81	-0.082	-1.531	-0.069	-0.35
t85	-0.602	-0.317	1.587	-1.148	1.649	-0.852	0.746	0.031	0.416	-0.522	0.66	1.481	-0.419	0.125	0.958	0.91	-0.119	0.168	-1.204	-0.229	-0.863	-1.656	-0.544	0.395	0.194	-1.441	0.323	-0.898	0.716	0.452
t190	-0.556	-2.244	1.863	-1.665	2.6	-0.524	-2.252	1.263	0.445	-0.425	0.011	1.153	-0.645	-0.997	-0.691	1.286	1.633	0.134	-0.002	-0.157	-1.05	0.237	2.568	0.318	0.503	-0.703	-0.19	-1.382	0.27	-0.807
