feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t172	-0.687	-0.23	1.889	-1.581	2.168	1.024	-1.958	0.471	0.46	-0.152	-0.071	1.567	-0.568	-0.522	-0.606	1.249	1.064	0.284	-0.663	0.03	-0.922	-0.341	0.471	-0.312	0.437	-0.634	0.095	-1.592	0.435	-0.813
t131	-0.662	-0.443	1.784	-1.613	1.964	0.624	-2.094	0.266	0.481	0.028	-0.321	1.146	-0.558	-1.016	-1.195	1.317	1.572	0.309	-0.602	0.054	-0.96	0.388	1.037	-0.107	0.692	-0.083	0.066	-1.742	0.219	-0.558
t158	-0.67	0.05	1.561	-1.23	2.256	0.931	-2.065	0.393	0.426	-0.511	-0.061	1.076	-0.501	-1.367	-0.474	1.481	1.299	0.291	-0.411	0.086	-0.978	-0.7	0.185	-0.01	0.607	-0.049	0.043	-1.832	0.355	-0.187
t73	-0.697	-0.521	1.715	-1.363	2.253	1.353	-2.209	0.043	0.436	-0.128	0.394	1.218	-0.521	-1.666	-0.479	1.497	1.039	0.323	-0.235	0.035	-0.965	-0.446	0.951	-0.36	0.571	-0.006	-0.007	-1.948	0.427	-0.714
t124	-0.734	0.157	1.845	-1.833	1.827	0.712	-1.984	-0.874	0.361	0.723	-0.573	1.236	-0.604	-1.037	-1.58	1.241	1.635	0.348	-0.108	0.095	-0.957	0.565	0.985	-0.007	0.69	0.431	0.109	-2.232	-0.103	-0.342
t50	-0.664	-0.402	1.728	-1.494	2.033	0.768	-1.974	-0.195	0.422	0.237	-0.091	1.103	-0.515	-1.094	-0.596	1.339	1.164	0.27	-0.585	-0.015	-0.995	-0.337	0.524	0.186	0.494	0.187	0.089	-1.981	0.224	0.165
t94	-0.648	-0.229	2.041	-1.958	1.897	0.72	-1.852	-0.088	0.383	0.488	-0.275	1.575	-0.579	-0.291	-0.797	1.138	0.926	0.213	-0.662	-0.087	-0.945	-0.149	0.842	0.362	0.64	-0.462	-0.162	-1.736	-0.03	-0.284
t23	-0.734	0.144	1.769	-1.479	1.682	0.346	-1.097	-0.561	0.399	0.32	-0.356	1.315	-0.565	-0.548	-1.124	1.104	1.269	0.337	-0.559	0.057	-0.912	0.105	0.279	-0.154	0.514	-0.127	0.346	-1.742	0.246	-0.28
t87	-0.73	0.304	1.896	-1.637	1.62	0.511	-1.22	-0.752	0.372	0.475	-0.462	1.458	-0.589	-0.49	-1.515	1.071	1.237	0.359	-0.41	0.072	-0.883	0.32	0.785	-0.11	0.701	-0.243	0.201	-1.801	0.058	-0.605
t186	-0.683	0.538	1.784	-1.752	1.788	0.149	-1.212	-0.486	0.333	0.318	-0.536	1.401	-0.564	-0.27	-0.858	1.092	1.157	0.251	-0.487	0.004	-0.934	-0.31	0.053	0.424	0.569	-0.218	0.12	-1.82	-0.03	0.174
