V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t81	0.268	2.917	-2.206	1.482	-0.354	-0.136	5.701	-2.211	1.5	0.491	-2.269	1.611	-2.647	0.163	-2.287	0.343	0.07	0.477	-1.375	-0.54	-0.39	2.393	1.002	-0.058	1.121	-1.725	-0.712	-1.974	0.738	-1.426
t144	0.713	0.151	-0.472	-0.484	0.217	1.429	1.199	-1.657	1.899	-1.122	-1.887	0.335	-1.178	1.284	0.19	2.147	1.001	-0.031	-0.782	0.583	-0.821	-1.123	0.833	-0.094	1.132	-0.032	-0.03	-1.376	-0.268	-1.757
t90	1.316	-0.186	-0.845	-0.156	-0.938	2.13	1.145	-1.855	0.931	-0.528	-1.494	-0.12	-1.378	1.92	-0.055	2.149	-0.024	0.064	-0.916	1.051	-1.322	0.171	0.448	0.717	1.886	-0.295	-1.025	-1.19	-0.16	-1.446
t106	1.06	-0.334	-3.84	0.875	-0.274	-0.17	-0.002	-5.615	-2.111	1.052	-0.28	0.265	-2.636	2.708	-0.947	0.358	1.203	2.567	-1.755	1.265	-0.222	2.166	-0.792	0.866	2.07	-0.189	1.247	-0.459	2.833	-0.941
t92	1.113	-1.418	-2.248	0.43	-0.067	0.705	-0.944	-4.982	-1.205	-0.412	-0.621	0.69	-2.04	2.77	0.757	1.64	1.2	1.357	-1.483	1.477	-0.243	0.339	-0.818	0.58	1.742	0.414	1.786	-0.424	1.282	-1.391
t38	0.844	0.196	-2.736	2	-0.899	0.451	3.785	-3.713	-0.478	0.894	-1.529	1.505	-2.698	1.271	-0.758	1.36	0.225	0.772	-2.168	0.432	-0.561	2.82	-0.091	0.285	1.753	-0.954	-0.179	-1.321	0.705	-1.226
t55	1.159	-0.363	-1.244	0.724	-0.316	1.065	0.512	-3.106	0.494	-0.755	-1.471	0.751	-1.668	1.859	0.32	1.948	1.185	0.577	-1.452	0.898	-0.718	-0.782	0.136	0.212	1.511	0.271	0.503	-0.959	0.382	-1.678
t188	0.203	1.586	-2.913	1.078	1.63	-1.332	1.599	-5.018	-0.402	-0.568	-1.138	2.41	-2.957	1.398	-1.166	0.186	1.515	2.361	-1.754	0.24	0.728	0.611	-0.328	-0.075	1.062	-0.745	2.718	-1.117	1.683	-1.516
t145	1.119	-1.405	-2.274	-0.205	1.017	0.945	-2.122	-4.797	-0.237	-1.16	-0.751	0.296	-1.458	2.962	1.053	0.738	1.588	1.004	-1.051	1.364	-0.406	-0.653	-0.508	0.567	1.75	0.848	2.12	-0.638	1.546	-1.264
t22	1.351	-0.54	-1.118	1.229	-0.401	1.641	0.048	-3.028	-0.193	-1.242	-0.99	1.461	-1.973	1.897	0.084	2.856	0.309	0.805	-1.808	1.253	-0.853	-0.435	-0.293	0.595	2.312	-0.156	0.852	-1.027	-1.18	-1.461
t30	0.248	1.733	-2.002	0.777	1.386	-0.414	1.623	-3.567	1.077	-1.118	-1.617	2.099	-2.217	0.986	-0.978	1.02	1.148	0.977	-1.524	0.203	-0.027	0.377	0.268	-0.307	1.14	-0.658	1.624	-1.369	0.541	-1.435
t171	0.348	1.037	-2.649	1.311	0.046	-0.261	3.407	-3.966	-0.616	0.218	-1.256	2.048	-2.968	1.201	-1.123	1.098	0.369	1.56	-1.865	0.348	0.123	2.243	-0.238	0.216	1.47	-1.283	1.169	-1.277	0.669	-1.388
t177	0.988	-1.358	-1.417	-0.367	0.339	0.683	-1.402	-4.445	-0.405	-1.111	-0.942	0.648	-1.729	2.598	1.374	1.75	1.693	1.134	-1.018	1.329	0.059	-1.279	-0.507	0.284	1.211	0.737	2.192	-0.382	1.087	-1.755
t129	0.84	-0.899	-3.158	0.591	-0.236	-0.263	-0.821	-6.014	-1.919	0.184	-0.377	0.957	-2.499	2.719	0.209	1.1	1.397	1.836	-1.605	1.426	0.243	1.594	-1.112	0.489	1.584	0.305	2.307	-0.031	2.357	-1.241
t33	0.574	-0.889	-2.008	0.736	0.701	-0.122	0.333	-4.645	-0.493	-0.718	-1.138	1.505	-2.184	1.933	0.682	1.718	2.103	1.488	-1.76	0.822	0.308	-0.749	-0.498	-0.175	1.001	0.39	2.46	-0.671	1.082	-1.798
t72	0.675	0.484	-1.648	1.487	0.316	0.474	2.462	-3.332	0.763	-1.003	-1.773	2.059	-2.224	1.236	-0.123	1.554	0.792	0.307	-1.737	0.303	-0.257	0.307	0.039	-0.035	1.267	-0.49	1.125	-1.346	-0.041	-1.645
t182	0.464	-0.401	-2.479	-0.379	0.828	-0.493	-0.639	-4.824	-0.318	-0.016	-0.917	0.157	-1.876	2.177	0.093	0.766	2.548	1.87	-0.954	0.861	0.309	-0.506	-0.153	-0.172	0.786	0.54	2.243	-0.517	2.585	-1.598
t104	0.917	0.598	-2.388	1.253	-1.151	1.15	2.875	-3.164	-0.577	0.435	-1.081	1.14	-2.519	1.576	-1.39	1.776	-0.806	0.847	-1.737	0.877	-0.883	3.291	-0.159	0.889	2.324	-1.345	-0.537	-1.248	0.021	-0.988
