feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t81	0.554	1.214	-1.96	0.392	0.225	0.263	2.272	-3.045	0.926	-0.262	-1.649	0.87	-2.05	1.28	-0.894	0.701	0.892	0.793	-1.073	0.269	-0.334	0.671	0.479	0.106	1.2	-0.605	0.472	-1.341	1.091	-1.475
t144	0.682	0.316	-1.376	-0.138	0.49	0.664	0.826	-2.969	1.009	-0.852	-1.533	0.612	-1.636	1.62	-0.025	1.295	1.298	0.698	-0.94	0.603	-0.384	-0.657	0.383	0.039	1.151	-0.027	0.89	-1.148	0.739	-1.64
t90	0.93	0.177	-1.53	-0.003	0.014	0.953	0.804	-3.05	0.61	-0.607	-1.371	0.425	-1.718	1.882	-0.126	1.296	0.875	0.737	-0.995	0.796	-0.59	-0.124	0.224	0.374	1.462	-0.136	0.48	-1.071	0.784	-1.512
t106	0.902	-0.056	-2.396	0.034	0.076	0.531	0.22	-4.011	-0.238	-0.081	-0.966	0.186	-1.919	2.235	-0.35	0.803	1.121	1.336	-1.097	0.969	-0.417	0.632	-0.097	0.522	1.602	-0.053	0.887	-0.816	1.701	-1.28
t92	0.85	-0.294	-1.871	-0.287	0.319	0.715	-0.191	-3.78	0.227	-0.599	-1.101	0.211	-1.652	2.241	0.165	1.036	1.29	0.974	-0.875	0.976	-0.37	-0.185	-0.02	0.364	1.377	0.204	1.167	-0.823	1.38	-1.458
t38	0.814	0.399	-2.051	0.412	-0.21	0.708	1.765	-3.178	0.508	-0.001	-1.468	0.479	-1.921	1.638	-0.517	0.974	0.776	0.684	-1.157	0.582	-0.593	0.937	0.298	0.302	1.465	-0.379	0.167	-1.181	1.102	-1.364
t55	0.869	0.164	-1.432	-0.163	0.214	0.87	0.435	-2.965	0.967	-0.751	-1.471	0.236	-1.488	1.846	-0.022	1.17	1.288	0.637	-0.86	0.725	-0.575	-0.681	0.395	0.203	1.274	0.145	0.612	-1.055	0.991	-1.585
t188	0.599	0.66	-2.195	0.274	0.798	-0.04	0.848	-3.984	0.216	-0.598	-1.242	1.082	-2.149	1.767	-0.45	0.652	1.311	1.398	-1.191	0.575	0	0.101	0.001	0.167	1.233	-0.271	1.569	-1.038	1.384	-1.493
t145	0.812	0.124	-2.076	0.135	0.581	0.563	0.354	-3.77	0.346	-0.646	-1.216	0.664	-1.835	1.99	-0.151	0.864	1.121	0.993	-1.13	0.787	-0.385	0.156	0.027	0.33	1.498	-0.05	1.116	-1.029	1.183	-1.363
t22	0.984	-0.224	-1.525	0.127	0.167	1.085	-0.118	-3.287	0.394	-0.931	-1.151	0.58	-1.64	2.026	0.053	1.62	0.964	0.775	-1.099	1.001	-0.588	-0.385	0.029	0.395	1.662	0.082	0.969	-0.956	0.431	-1.45
t30	0.561	0.895	-1.971	0.44	0.846	0.098	1.078	-3.633	0.624	-0.828	-1.398	1.317	-2.064	1.511	-0.536	0.954	1.149	1.053	-1.289	0.503	-0.174	0.138	0.138	0.048	1.292	-0.355	1.35	-1.178	0.88	-1.46
t171	0.556	0.473	-2.212	0.174	0.386	0.237	1.311	-3.714	0.209	-0.29	-1.264	0.826	-2.075	1.727	-0.484	0.822	1.023	1.129	-1.127	0.601	-0.161	0.745	0.057	0.227	1.296	-0.395	1.123	-1.065	1.269	-1.417
t177	0.821	-0.217	-1.437	-0.484	0.397	0.772	-0.147	-3.41	0.591	-0.898	-1.285	0.295	-1.56	2.084	0.388	1.213	1.393	0.835	-0.752	0.887	-0.292	-0.842	0.139	0.24	1.196	0.257	1.213	-0.864	1.086	-1.626
