feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t122	-0.157	0.088	-0.144	-1.35	-0.988	0.554	1.47	2.914	-1.335	-0.058	0.928	-1.006	1.257	0.591	-1.216	-0.206	0.644	0.402	-0.12	0.905	0.057	-1.802	-0.607	-0.295	0.403	-0.116	-1.309	0.341	-0.39	0.526
t30	-1.089	0.16	0.197	-0.484	-0.379	0.516	1.549	2.332	-2.147	-0.083	1.392	-1.343	2.044	-0.126	-0.766	0.183	-0.006	-1.001	-0.799	1.482	0.284	-0.827	-1.256	-0.479	0.916	0.153	-1.252	1.334	-0.17	-0.368
t66	0.423	-0.152	-0.422	-1.575	-1.057	1.021	1.552	3.243	-1.022	-0.102	1.01	-0.881	0.81	0.586	-1.327	-0.231	0.988	0.288	0.347	0.665	-0.227	-2.365	-0.431	-0.206	0.219	-0.155	-1.37	0.189	-0.502	0.669
t88	0.119	-0.075	-0.81	-1.812	-1.159	0.751	1.551	3.265	-0.856	0.29	0.587	-0.84	1.005	1.133	-1.295	-0.382	1.033	0.152	-0.138	0.903	0.088	-2.392	-0.211	-0.093	0.406	-0.389	-1.141	-0.055	-0.358	0.704
t193	-0.146	-0.05	0.181	-0.912	-0.54	0.951	1.523	2.762	-1.601	-0.39	1.492	-1.103	1.042	-0.312	-1.066	-0.049	0.392	0.141	0.089	0.971	-0.08	-1.23	-1.03	-0.557	0.423	0.221	-1.464	0.792	-0.435	-0.043
t187	0.693	-0.084	-0.66	-1.858	-1.212	0.83	1.523	3.41	-0.747	0.004	0.774	-0.735	0.661	0.973	-1.451	-0.456	1.203	0.429	0.431	0.556	-0.163	-2.516	-0.137	-0.123	0.108	-0.29	-1.315	-0.158	-0.525	0.805
t64	-1.013	0.182	0.444	-0.278	-0.316	0.244	1.465	2.218	-2.309	-0.354	1.686	-1.369	1.832	-0.473	-0.769	0.182	-0.11	-0.088	-0.305	1.233	0.236	-0.769	-1.492	-0.631	0.822	0.351	-1.514	1.54	-0.304	-0.378
t141	-0.438	-0.251	0.028	-0.63	-0.161	1.367	1.646	2.662	-1.716	-0.267	1.73	-1.217	0.956	-0.739	-0.804	0.117	0.195	-0.768	-0.163	1.34	-0.01	-0.92	-1.293	-0.652	0.717	0.338	-1.414	1.292	-0.332	-0.645
t96	-0.124	0.29	-0.34	-1.859	-1.548	-0.056	1.329	3.032	-1.127	0.102	0.343	-0.871	1.605	1.537	-1.514	-0.432	0.929	1.61	-0.245	0.648	0.199	-2.345	-0.176	-0.048	0.22	-0.464	-1.192	-0.443	-0.393	1.303
t176	0.495	0.035	-0.896	-2.128	-1.45	0.367	1.454	3.425	-0.603	0.288	0.374	-0.709	0.829	1.6	-1.504	-0.595	1.231	0.723	0.247	0.582	0.082	-2.779	0.053	0.028	0.195	-0.497	-1.229	-0.386	-0.468	1.206
t3	-1.1	0.192	0.493	-0.244	-0.276	0.402	1.488	2.188	-2.421	-0.427	1.706	-1.35	2.241	-0.567	-0.805	0.243	-0.053	-0.309	-0.604	1.288	0.22	-0.507	-1.48	-0.618	0.776	0.342	-1.383	1.36	-0.238	-0.513
t197	0.799	-0.161	-1.125	-2.636	-1.692	1.081	1.535	3.784	-0.078	0.454	0.006	-0.584	0.417	1.88	-1.653	-0.644	1.556	0.598	0.018	0.675	-0.086	-3.1	0.445	0.126	0.04	-0.697	-1.018	-0.977	-0.444	1.435
t4	0.005	-0.275	-0.616	-1.735	-1.034	1.429	1.631	3.256	-0.856	0.244	0.705	-0.943	0.752	0.741	-1.209	-0.171	0.901	-0.128	-0.34	1.133	-0.062	-2.248	-0.372	-0.197	0.466	-0.292	-1.109	0.091	-0.325	0.54
t8	0.065	-0.246	-0.141	-1.42	-0.816	1.548	1.618	3.108	-1.053	-0.048	1.04	-1.04	0.476	0.166	-1.134	-0.095	0.626	-0.001	-0.104	1.135	-0.193	-1.839	-0.646	-0.412	0.421	-0.044	-1.28	0.398	-0.399	0.292
