V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t36	1.777	0.72	-2.289	0.619	1.268	1.153	1.547	0.647	0.249	-1.07	0.756	1.008	0.661	-2.199	-1.293	-1.452	-1.924	-0.08	-0.821	1.88	0.127	0.454	-3.057	-0.623	-1.613	-1.758	2.196	-0.163	2.389	0.883
t67	-0.089	0.668	1.669	0.151	-0.112	0.335	1.485	-0.739	0.306	-2.232	0.517	0.783	-0.903	-0.364	-0.176	-1.909	-0.868	-0.316	-0.399	1.386	-0.217	-0.589	-1.093	-0.125	-1.742	-0.856	1.883	-0.633	2.544	1.631
t54	0.203	0.838	0.021	0.247	0.58	1.643	1.095	-0.518	0.69	-1.731	0.923	2.097	-1.748	-2.492	-1.718	-1.676	-0.229	-0.581	-0.534	-0.297	-0.831	0.446	-0.172	0.521	-1.648	-2.464	1.831	-0.193	2.251	3.441
t174	-0.125	0.224	2.681	0.13	-0.936	-0.069	1.798	-1.536	0.192	-3.074	0.031	0.24	-1.364	-0.125	0.297	-1.628	-0.194	0.088	0.173	2.121	0.604	-1.266	-1.077	-0.644	-2.124	0.332	2.288	-1.035	3.413	0.581
t155	1.387	0.938	-0.396	0.492	0.93	0.645	1.416	0.348	0.165	-1.342	0.31	0.08	1.411	-0.165	-0.144	-1.875	-2.069	-0.256	-1.488	2.346	0.158	0.361	-3.592	-0.826	-1.777	-1.264	1.681	-0.364	2.477	0.407
t86	0.874	0.288	2.075	0.303	0.476	2.333	0.952	-1.345	0.898	-1.908	-0.013	2.219	-1.747	-2.468	-1.093	-2.364	-0.502	-0.764	-0.987	-0.729	-0.461	0.982	-1.293	1.091	-2.774	-2.841	1.584	-0.52	4.258	3.459
t163	-0.129	1.515	-1.165	0.269	0.305	-0.402	1.604	0.473	0.034	-1.654	1.173	-0.385	0.534	0.621	-0.261	-1.073	-0.894	-0.033	-0.697	2.622	-0.201	-0.816	-1.377	-1.601	-0.57	-0.223	1.803	-0.108	0.225	0.408
t195	-0.588	0.36	2.389	0.029	-0.852	0.1	1.634	-1.157	0.279	-2.989	0.618	0.917	-2.05	-0.917	-0.368	-1.789	0.051	-0.115	0.372	1.499	-0.113	-1.125	-0.165	-0.085	-1.792	-0.334	2.36	-0.981	3.023	1.78
t61	-1.673	1.447	-1.476	-0.033	-0.396	-0.203	1.623	-0.275	0.232	-2.545	2.101	1.353	-2.82	-1.823	-2.092	-0.23	1.457	0.049	0.99	0.693	-0.75	-1.697	2.705	-0.883	0.004	-0.215	2.506	-0.047	-0.562	2.554
t37	1.294	-0.354	0.728	0.388	-0.29	0.993	1.845	-0.722	0.242	-2.583	0.326	1.432	-1.519	-3.193	-1.122	-1.82	-0.818	0.175	0.553	1.792	0.644	-0.634	-1.904	-0.006	-2.486	-0.813	3.106	-1.091	4.81	1.008
t154	-0.543	1.866	-0.02	0.123	0.386	-0.107	1.179	0.422	0.179	-1.507	1.226	-0.204	0.52	1.122	-0.186	-1.601	-0.82	-0.525	-1.353	1.637	-0.847	-0.46	-0.915	-1.041	-0.552	-0.873	1.338	-0.03	0.133	1.45
t95	-0.259	2.124	-2.766	0.263	1.089	-0.071	1.276	1.434	0.09	-0.831	1.933	0.181	0.828	0.092	-1.095	-1.085	-1.164	-0.383	-1.114	1.785	-1.076	-0.351	-0.82	-1.28	0.122	-1.28	1.58	0.385	-1.12	1.511
t33	-0.225	1.433	-3.07	0.315	0.403	-0.066	1.706	0.946	0.161	-1.306	1.971	0.418	-0.589	-1.187	-1.325	-0.679	-0.438	0.112	0.155	2.167	-0.613	-0.985	-0.197	-1.486	-0.057	-0.747	2.29	0.167	-0.457	1.181
t26	0.2	1.038	0.104	0.246	0.714	1.429	1.047	-0.263	0.618	-1.578	0.91	1.714	-1.108	-1.77	-1.377	-1.813	-0.548	-0.651	-0.897	0.012	-0.889	0.51	-0.665	0.356	-1.545	-2.386	1.61	-0.16	1.995	3.143
