feature	pagel_lam_mle	pagel_lam_sim	pagel_lam_sim_source	pagel_lam_sim_spec	pagel_lam_sim_alpha	pagel_lam_sim_beta	pagel_lam_mode	pagel_lam_mode_requested
feature_1	0.425100572443716	0.487	beta	beta:10,10	10	10	global	global
feature_2	0.425100572443716	0.377	beta	beta:10,10	10	10	global	global
feature_3	0.425100572443716	0.516	beta	beta:10,10	10	10	global	global
feature_4	0.425100572443716	0.568	beta	beta:10,10	10	10	global	global
feature_5	0.425100572443716	0.757	beta	beta:10,10	10	10	global	global
feature_6	0.425100572443716	0.718	beta	beta:10,10	10	10	global	global
feature_7	0.425100572443716	0.387	beta	beta:10,10	10	10	global	global
feature_8	0.425100572443716	0.562	beta	beta:10,10	10	10	global	global
feature_9	0.425100572443716	0.602	beta	beta:10,10	10	10	global	global
feature_10	0.425100572443716	0.433	beta	beta:10,10	10	10	global	global
feature_11	0.425100572443716	0.47	beta	beta:10,10	10	10	global	global
feature_12	0.425100572443716	0.514	beta	beta:10,10	10	10	global	global
feature_13	0.425100572443716	0.323	beta	beta:10,10	10	10	global	global
feature_14	0.425100572443716	0.578	beta	beta:10,10	10	10	global	global
feature_15	0.425100572443716	0.491	beta	beta:10,10	10	10	global	global
feature_16	0.425100572443716	0.505	beta	beta:10,10	10	10	global	global
feature_17	0.425100572443716	0.49	beta	beta:10,10	10	10	global	global
feature_18	0.425100572443716	0.367	beta	beta:10,10	10	10	global	global
feature_19	0.425100572443716	0.529	beta	beta:10,10	10	10	global	global
feature_20	0.425100572443716	0.729	beta	beta:10,10	10	10	global	global
feature_21	0.425100572443716	0.667	beta	beta:10,10	10	10	global	global
feature_22	0.425100572443716	0.449	beta	beta:10,10	10	10	global	global
feature_23	0.425100572443716	0.522	beta	beta:10,10	10	10	global	global
feature_24	0.425100572443716	0.454	beta	beta:10,10	10	10	global	global
feature_25	0.425100572443716	0.598	beta	beta:10,10	10	10	global	global
feature_26	0.425100572443716	0.311	beta	beta:10,10	10	10	global	global
feature_27	0.425100572443716	0.623	beta	beta:10,10	10	10	global	global
feature_28	0.425100572443716	0.519	beta	beta:10,10	10	10	global	global
feature_29	0.425100572443716	0.374	beta	beta:10,10	10	10	global	global
feature_30	0.425100572443716	0.562	beta	beta:10,10	10	10	global	global
