feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t33	0.034	0.034	0.024	0.029	0.024	0.031	0.029	0.088	0.033	0.03	0.024	0.027	0.04	0.044	0.031	0.033	0.036	0.029	0.041	0.038	0.04	0.031	0.034	0.022	0.022	0.038	0.03	0.027	0.026	0.03
t19	0.024	0.03	0.028	0.028	0.023	0.03	0.028	0.086	0.028	0.029	0.024	0.025	0.057	0.035	0.024	0.03	0.034	0.038	0.043	0.03	0.055	0.034	0.033	0.034	0.021	0.034	0.033	0.027	0.03	0.024
t26	0.025	0.03	0.023	0.019	0.022	0.026	0.032	0.065	0.037	0.028	0.024	0.037	0.042	0.023	0.038	0.027	0.038	0.035	0.04	0.031	0.08	0.03	0.028	0.042	0.029	0.033	0.028	0.025	0.037	0.024
t1	0.031	0.03	0.034	0.019	0.024	0.028	0.032	0.064	0.031	0.033	0.027	0.031	0.05	0.041	0.025	0.029	0.04	0.039	0.037	0.027	0.046	0.03	0.037	0.047	0.027	0.031	0.029	0.036	0.022	0.024
t44	0.025	0.033	0.035	0.021	0.035	0.03	0.03	0.06	0.033	0.029	0.028	0.026	0.059	0.026	0.033	0.028	0.032	0.033	0.031	0.037	0.05	0.038	0.027	0.034	0.025	0.04	0.027	0.027	0.04	0.027
t15	0.028	0.031	0.03	0.021	0.035	0.029	0.03	0.096	0.029	0.027	0.025	0.03	0.04	0.034	0.035	0.026	0.04	0.033	0.04	0.037	0.041	0.034	0.031	0.05	0.027	0.028	0.028	0.021	0.021	0.026
t25	0.04	0.032	0.024	0.015	0.025	0.03	0.026	0.102	0.029	0.029	0.022	0.022	0.046	0.033	0.022	0.029	0.042	0.032	0.042	0.028	0.061	0.032	0.038	0.046	0.022	0.03	0.028	0.022	0.032	0.021
t36	0.029	0.029	0.032	0.016	0.022	0.03	0.025	0.08	0.03	0.026	0.023	0.027	0.056	0.039	0.039	0.029	0.034	0.032	0.031	0.029	0.086	0.033	0.037	0.023	0.025	0.036	0.032	0.025	0.021	0.024
t9	0.024	0.031	0.032	0.024	0.037	0.029	0.026	0.1	0.039	0.028	0.022	0.022	0.037	0.044	0.033	0.028	0.043	0.032	0.026	0.034	0.035	0.032	0.034	0.044	0.021	0.03	0.029	0.029	0.027	0.029
t18	0.023	0.029	0.044	0.022	0.023	0.027	0.027	0.111	0.028	0.028	0.025	0.027	0.052	0.037	0.03	0.03	0.034	0.031	0.037	0.028	0.04	0.03	0.039	0.025	0.03	0.027	0.028	0.028	0.032	0.026
t31	0.022	0.031	0.032	0.02	0.033	0.028	0.026	0.081	0.033	0.028	0.027	0.024	0.068	0.034	0.04	0.028	0.034	0.035	0.046	0.033	0.06	0.03	0.026	0.029	0.031	0.029	0.027	0.024	0.018	0.025
t34	0.031	0.032	0.023	0.025	0.027	0.026	0.03	0.104	0.027	0.026	0.026	0.031	0.036	0.029	0.035	0.029	0.038	0.034	0.033	0.029	0.051	0.031	0.04	0.03	0.025	0.027	0.029	0.033	0.04	0.024
t50	0.037	0.03	0.034	0.016	0.023	0.029	0.027	0.071	0.029	0.025	0.026	0.03	0.039	0.03	0.045	0.028	0.039	0.036	0.037	0.032	0.049	0.03	0.036	0.054	0.019	0.033	0.03	0.035	0.024	0.026
t27	0.024	0.031	0.02	0.021	0.022	0.029	0.034	0.1	0.037	0.026	0.026	0.024	0.032	0.036	0.021	0.029	0.031	0.032	0.043	0.037	0.057	0.031	0.039	0.046	0.022	0.028	0.034	0.03	0.033	0.028
t48	0.035	0.032	0.023	0.018	0.027	0.031	0.032	0.073	0.033	0.027	0.025	0.027	0.065	0.024	0.023	0.031	0.036	0.035	0.032	0.036	0.06	0.034	0.027	0.051	0.019	0.032	0.029	0.025	0.032	0.025
t39	0.029	0.029	0.027	0.02	0.024	0.031	0.032	0.107	0.034	0.028	0.028	0.035	0.041	0.034	0.041	0.028	0.035	0.034	0.035	0.033	0.035	0.029	0.031	0.029	0.03	0.025	0.031	0.034	0.024	0.027
t24	0.021	0.031	0.036	0.022	0.023	0.031	0.032	0.065	0.034	0.03	0.026	0.024	0.04	0.044	0.046	0.029	0.037	0.032	0.044	0.031	0.041	0.03	0.034	0.038	0.025	0.037	0.029	0.036	0.028	0.023
t49	0.038	0.031	0.03	0.022	0.025	0.028	0.027	0.083	0.031	0.028	0.025	0.034	0.033	0.035	0.031	0.034	0.03	0.034	0.04	0.032	0.037	0.031	0.03	0.046	0.028	0.041	0.031	0.026	0.036	0.023
t41	0.036	0.029	0.028	0.023	0.022	0.031	0.029	0.089	0.034	0.029	0.026	0.023	0.037	0.033	0.034	0.029	0.039	0.036	0.034	0.038	0.035	0.034	0.04	0.032	0.028	0.041	0.035	0.025	0.027	0.024
t38	0.039	0.033	0.032	0.028	0.028	0.03	0.029	0.112	0.029	0.03	0.024	0.023	0.044	0.035	0.038	0.031	0.031	0.036	0.031	0.029	0.031	0.033	0.022	0.038	0.026	0.032	0.03	0.032	0.02	0.024
t11	0.03	0.028	0.026	0.018	0.017	0.027	0.034	0.083	0.03	0.032	0.027	0.032	0.018	0.044	0.036	0.029	0.04	0.037	0.044	0.036	0.047	0.03	0.033	0.048	0.021	0.045	0.03	0.031	0.02	0.024
t16	0.029	0.03	0.038	0.021	0.025	0.028	0.032	0.099	0.031	0.024	0.026	0.024	0.036	0.037	0.031	0.028	0.032	0.037	0.039	0.03	0.056	0.032	0.034	0.034	0.031	0.03	0.03	0.027	0.023	0.028
t8	0.027	0.03	0.026	0.023	0.024	0.027	0.028	0.077	0.042	0.028	0.024	0.029	0.041	0.025	0.029	0.026	0.036	0.035	0.04	0.03	0.071	0.029	0.031	0.04	0.039	0.033	0.029	0.029	0.026	0.024
t4	0.025	0.03	0.045	0.015	0.024	0.03	0.031	0.09	0.032	0.026	0.026	0.03	0.036	0.03	0.033	0.031	0.031	0.034	0.038	0.031	0.04	0.032	0.034	0.04	0.025	0.027	0.03	0.034	0.044	0.024
t42	0.021	0.032	0.033	0.025	0.022	0.033	0.028	0.095	0.036	0.028	0.028	0.027	0.031	0.031	0.039	0.028	0.031	0.035	0.043	0.027	0.043	0.03	0.032	0.042	0.021	0.034	0.031	0.031	0.033	0.029
t28	0.027	0.032	0.024	0.024	0.025	0.03	0.029	0.08	0.044	0.029	0.03	0.033	0.021	0.049	0.028	0.029	0.036	0.036	0.036	0.036	0.061	0.032	0.033	0.032	0.025	0.042	0.032	0.023	0.015	0.025
t17	0.021	0.03	0.023	0.02	0.024	0.03	0.034	0.095	0.047	0.027	0.025	0.026	0.028	0.03	0.036	0.027	0.035	0.041	0.027	0.034	0.064	0.031	0.031	0.04	0.024	0.038	0.034	0.023	0.03	0.024
t3	0.044	0.03	0.031	0.027	0.021	0.029	0.025	0.102	0.032	0.024	0.028	0.025	0.046	0.043	0.032	0.029	0.032	0.032	0.039	0.034	0.04	0.029	0.037	0.028	0.022	0.03	0.03	0.036	0.021	0.022
t20	0.023	0.029	0.026	0.022	0.03	0.026	0.026	0.094	0.029	0.025	0.025	0.037	0.039	0.039	0.027	0.027	0.032	0.029	0.044	0.026	0.05	0.028	0.041	0.061	0.026	0.032	0.03	0.031	0.023	0.023
t30	0.018	0.028	0.019	0.021	0.025	0.028	0.031	0.101	0.036	0.025	0.024	0.015	0.04	0.032	0.031	0.03	0.038	0.029	0.053	0.029	0.044	0.031	0.033	0.056	0.021	0.033	0.029	0.03	0.046	0.021
t40	0.03	0.03	0.025	0.023	0.025	0.03	0.027	0.061	0.032	0.031	0.027	0.026	0.067	0.031	0.017	0.029	0.038	0.033	0.031	0.039	0.04	0.035	0.031	0.056	0.035	0.036	0.032	0.037	0.022	0.026
t37	0.025	0.029	0.024	0.02	0.023	0.027	0.028	0.069	0.037	0.029	0.026	0.034	0.063	0.028	0.029	0.027	0.043	0.033	0.036	0.028	0.036	0.034	0.036	0.063	0.028	0.029	0.032	0.03	0.029	0.026
t47	0.028	0.031	0.027	0.021	0.028	0.028	0.028	0.077	0.036	0.026	0.024	0.029	0.033	0.036	0.034	0.029	0.034	0.039	0.041	0.04	0.04	0.032	0.034	0.051	0.026	0.031	0.029	0.031	0.027	0.026
t2	0.04	0.029	0.031	0.02	0.026	0.025	0.028	0.097	0.032	0.03	0.024	0.034	0.031	0.033	0.048	0.028	0.033	0.031	0.031	0.04	0.046	0.029	0.039	0.035	0.022	0.034	0.029	0.029	0.02	0.024
t13	0.033	0.029	0.033	0.019	0.023	0.027	0.025	0.083	0.035	0.028	0.025	0.045	0.033	0.034	0.03	0.03	0.043	0.033	0.037	0.033	0.059	0.033	0.033	0.027	0.027	0.034	0.03	0.027	0.024	0.027
t45	0.036	0.032	0.034	0.023	0.031	0.031	0.038	0.063	0.029	0.026	0.021	0.034	0.04	0.042	0.021	0.03	0.033	0.032	0.042	0.031	0.05	0.033	0.032	0.038	0.024	0.034	0.028	0.032	0.03	0.029
t32	0.023	0.032	0.024	0.026	0.025	0.03	0.034	0.09	0.03	0.027	0.022	0.031	0.022	0.049	0.033	0.027	0.035	0.031	0.036	0.039	0.039	0.03	0.037	0.039	0.03	0.032	0.032	0.027	0.042	0.027
t21	0.024	0.03	0.03	0.023	0.025	0.029	0.029	0.075	0.038	0.027	0.025	0.023	0.058	0.035	0.026	0.029	0.035	0.032	0.05	0.032	0.054	0.031	0.026	0.035	0.027	0.039	0.032	0.025	0.029	0.025
t10	0.034	0.031	0.034	0.018	0.025	0.029	0.029	0.086	0.032	0.027	0.023	0.036	0.039	0.04	0.037	0.028	0.038	0.034	0.029	0.034	0.029	0.03	0.028	0.059	0.023	0.035	0.029	0.032	0.027	0.024
t7	0.029	0.031	0.026	0.026	0.028	0.028	0.032	0.081	0.03	0.026	0.029	0.02	0.044	0.029	0.032	0.031	0.043	0.039	0.034	0.034	0.035	0.033	0.032	0.038	0.028	0.038	0.032	0.025	0.043	0.025
t35	0.02	0.031	0.044	0.026	0.032	0.028	0.034	0.079	0.036	0.028	0.03	0.025	0.032	0.029	0.033	0.028	0.035	0.031	0.031	0.031	0.035	0.035	0.037	0.06	0.028	0.035	0.031	0.034	0.017	0.025
t22	0.025	0.03	0.033	0.031	0.024	0.029	0.032	0.08	0.037	0.025	0.025	0.043	0.053	0.028	0.031	0.03	0.037	0.034	0.039	0.032	0.041	0.031	0.034	0.029	0.026	0.03	0.032	0.033	0.019	0.028
t12	0.033	0.03	0.027	0.023	0.03	0.03	0.025	0.083	0.039	0.028	0.024	0.028	0.051	0.037	0.021	0.029	0.037	0.03	0.041	0.038	0.037	0.034	0.029	0.04	0.027	0.033	0.029	0.028	0.034	0.023
t29	0.026	0.03	0.033	0.027	0.031	0.029	0.029	0.07	0.034	0.026	0.024	0.028	0.039	0.04	0.028	0.029	0.038	0.035	0.033	0.035	0.04	0.027	0.039	0.042	0.019	0.037	0.031	0.025	0.054	0.024
t6	0.045	0.032	0.03	0.023	0.028	0.032	0.028	0.065	0.036	0.023	0.029	0.038	0.047	0.027	0.03	0.03	0.038	0.037	0.037	0.033	0.046	0.03	0.033	0.038	0.028	0.034	0.033	0.028	0.015	0.026
t46	0.022	0.033	0.025	0.015	0.026	0.031	0.029	0.097	0.038	0.029	0.028	0.033	0.042	0.026	0.032	0.026	0.042	0.036	0.04	0.038	0.026	0.03	0.029	0.052	0.026	0.034	0.033	0.028	0.024	0.028
t14	0.024	0.03	0.024	0.022	0.021	0.028	0.03	0.084	0.038	0.03	0.023	0.032	0.033	0.055	0.022	0.03	0.034	0.035	0.032	0.036	0.047	0.03	0.036	0.055	0.024	0.033	0.029	0.035	0.024	0.025
t23	0.034	0.03	0.02	0.024	0.021	0.03	0.027	0.101	0.037	0.029	0.027	0.027	0.042	0.039	0.023	0.026	0.029	0.03	0.042	0.038	0.047	0.033	0.039	0.042	0.03	0.03	0.026	0.036	0.013	0.028
