feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t33	1.083	0.397	-1.124	1.088	-0.515	0.093	-0.183	1.309	0.007	0.282	-0.428	-0.654	-0.149	1.466	0.057	0.686	0.17	-0.761	0.432	0.718	-0.872	-0.188	0.207	-2.509	-1.115	0.955	-0.119	-0.506	-0.269	0.442
t19	-1.039	0.018	-0.13	0.716	-0.609	0.093	-0.237	0.912	-1.042	0.203	-0.479	-0.871	2.29	0.015	-1.038	0.247	-0.145	0.834	0.882	-0.613	1.714	0.449	-0.087	-0.693	-1.293	0.241	0.263	-0.559	0.611	-0.656
t26	-0.53	-0.085	-0.91	-1.693	-0.91	-0.52	0.565	-0.565	0.473	0.017	-0.425	1.08	0.48	-1.995	1.243	-0.247	0.513	0.409	0.623	-0.567	3.624	-0.323	-0.907	0.718	0.279	0.063	-0.457	-0.945	1.566	-0.575
t1	0.384	-0.133	0.858	-1.718	-0.644	-0.199	0.415	-0.759	-0.6	0.693	-0.083	0.159	1.246	0.762	-0.897	-0.146	0.646	0.869	0.142	-1.318	0.706	-0.358	0.411	1.247	-0.281	-0.216	-0.451	0.882	-1.043	-0.574
t44	-0.939	0.27	0.962	-0.857	1.51	0.04	0.055	-0.97	-0.313	0.126	0.161	-0.806	2.433	-1.534	0.416	-0.345	-0.484	0.002	-0.916	0.342	1.13	0.847	-1.288	-0.812	-0.445	0.974	-0.803	-0.671	2.054	-0.138
t15	-0.488	-0.037	-0.164	-0.291	1.126	-0.049	0.03	1.724	-0.465	-0.296	-0.406	0.309	0.003	0.206	0.235	-0.773	0.456	-0.177	0.727	0.897	-0.095	0.35	-0.282	1.495	0.511	-0.869	-0.38	-1.619	-1.657	-0.02
t25	1.981	0.397	-0.375	-2.925	-0.225	0.433	-0.28	1.721	-0.73	0.133	-0.734	-1.391	0.828	-0.212	-1.336	0.239	1.105	0.068	1.039	-1.06	2.209	0.132	0.605	1.468	-1.161	-0.152	-0.436	-1.326	0.978	-0.993
t36	0.221	-0.137	0.828	-2.308	-0.606	0.234	-0.766	0.642	-0.505	-0.261	-0.731	-0.556	1.973	0.848	1.464	0.175	0.065	0.013	-0.761	-0.891	3.944	0.327	0.659	-2.169	-0.408	0.619	0.26	-0.681	-1.02	-0.473
t9	-0.662	0.091	0.734	-0.633	1.693	0.001	-0.569	1.629	0.706	-0.047	-1.087	-1.561	-0.107	1.354	0.661	-0.116	1.135	-0.098	-1.787	-0.213	-0.327	0.054	0.072	0.806	-1.491	-0.348	-0.247	-0.079	0.019	0.416
t18	-0.767	-0.271	1.847	-0.277	-0.611	-0.416	-0.361	2.917	-0.695	-0.203	-0.153	-0.749	1.047	0.759	0.264	0.23	-0.071	-0.325	0.013	-0.765	-0.967	-0.399	1.013	-1.299	0.49	-0.791	-0.276	-0.095	1.208	-0.297
