feature	pagel_lam_mle	pagel_lam_sim	pagel_lam_sim_source	pagel_lam_sim_spec	pagel_lam_sim_alpha	pagel_lam_sim_beta	pagel_lam_mode	pagel_lam_mode_requested
feature_1	0.518380662059562	0.548	beta	beta:10,10	10	10	global	global
feature_2	0.518380662059562	0.428	beta	beta:10,10	10	10	global	global
feature_3	0.518380662059562	0.501	beta	beta:10,10	10	10	global	global
feature_4	0.518380662059562	0.385	beta	beta:10,10	10	10	global	global
feature_5	0.518380662059562	0.342	beta	beta:10,10	10	10	global	global
feature_6	0.518380662059562	0.5	beta	beta:10,10	10	10	global	global
feature_7	0.518380662059562	0.44	beta	beta:10,10	10	10	global	global
feature_8	0.518380662059562	0.586	beta	beta:10,10	10	10	global	global
feature_9	0.518380662059562	0.611	beta	beta:10,10	10	10	global	global
feature_10	0.518380662059562	0.504	beta	beta:10,10	10	10	global	global
feature_11	0.518380662059562	0.441	beta	beta:10,10	10	10	global	global
feature_12	0.518380662059562	0.503	beta	beta:10,10	10	10	global	global
feature_13	0.518380662059562	0.376	beta	beta:10,10	10	10	global	global
feature_14	0.518380662059562	0.362	beta	beta:10,10	10	10	global	global
feature_15	0.518380662059562	0.73	beta	beta:10,10	10	10	global	global
feature_16	0.518380662059562	0.533	beta	beta:10,10	10	10	global	global
feature_17	0.518380662059562	0.538	beta	beta:10,10	10	10	global	global
feature_18	0.518380662059562	0.502	beta	beta:10,10	10	10	global	global
feature_19	0.518380662059562	0.473	beta	beta:10,10	10	10	global	global
feature_20	0.518380662059562	0.527	beta	beta:10,10	10	10	global	global
feature_21	0.518380662059562	0.672	beta	beta:10,10	10	10	global	global
feature_22	0.518380662059562	0.375	beta	beta:10,10	10	10	global	global
feature_23	0.518380662059562	0.672	beta	beta:10,10	10	10	global	global
feature_24	0.518380662059562	0.606	beta	beta:10,10	10	10	global	global
feature_25	0.518380662059562	0.565	beta	beta:10,10	10	10	global	global
feature_26	0.518380662059562	0.594	beta	beta:10,10	10	10	global	global
feature_27	0.518380662059562	0.288	beta	beta:10,10	10	10	global	global
feature_28	0.518380662059562	0.683	beta	beta:10,10	10	10	global	global
feature_29	0.518380662059562	0.692	beta	beta:10,10	10	10	global	global
feature_30	0.518380662059562	0.564	beta	beta:10,10	10	10	global	global
