feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t43	1.581	0.21	0.769	-0.605	-0.495	-1.383	2.167	0.416	-2.36	0.49	1.047	1.195	-0.3	-0.194	-2.159	0.456	0.103	0.153	0.228	0.018	0.892	-0.191	-1.353	-1.399	0.272	0.796	1.135	-0.807	-0.36	-0.322
t26	-1.138	1.305	0.098	0.789	-0.651	0.668	-0.954	1.065	0.29	-0.606	0.922	-2.587	-0.019	0.564	-0.079	-0.2	0.751	0.129	0.184	0.431	1.112	-0.193	0.247	0.58	0.621	-0.005	-0.763	-0.257	-1.806	-0.497
t16	-1.42	1.089	0.205	0.583	-2.94	-3.428	2.08	0.648	0.9	-0.098	1.42	-1.632	0.246	0.063	-0.996	-0.642	-1.155	0.125	0.209	-0.089	-0.122	0.659	1.618	0.307	1.635	-0.477	0.66	0.874	-0.549	0.229
t45	0.901	-0.959	-0.713	0.321	-0.098	1.325	0.276	-0.672	-1.523	0.12	0.813	1.045	0.834	0.735	-1.33	-0.794	0.448	-0.148	-0.168	-0.082	-0.691	0.233	0.983	0.632	0.049	0.388	-0.888	-0.857	-0.303	0.125
t38	0.024	1.395	-0.721	0.329	0.783	0.964	-0.086	-0.056	-4.15	0.19	-0.003	0.114	0.041	0.084	-1.052	0.251	-1.173	0.103	0.035	-0.21	-1.486	-0.201	0.491	0.423	0.887	0.513	0.757	-0.502	1.129	1.127
t46	0.588	0.58	-0.265	-0.749	-1.988	1.305	0.29	-0.43	-3.144	0.123	0.077	1.377	0.705	-0.466	-1.291	-0.854	-0.68	0.207	0.082	-0.488	-1.2	0.709	1.469	0.079	2.756	0.727	-0.067	-1.444	2.207	-0.216
t35	-0.144	0.294	0.99	-0.063	-4.417	-0.75	1.443	0.778	-1.903	0.081	1.147	3.295	0.443	0.013	-0.471	0.213	-2.643	0.052	0.051	-0.151	-0.055	0.542	1.474	0.676	-1.544	-0.156	0.344	-0.835	1.487	-0.191
t36	0.15	1.255	-1.269	-0.312	1.208	-0.622	-0.501	0.553	-2.35	-0.193	0.244	-2.972	0.111	0.534	-0.854	0.045	0.091	0.331	0.046	-0.137	-0.795	0.713	2.095	0.783	-0.155	0.226	0.617	-1.409	2.258	0.307
t15	1.037	0.079	1.031	-0.648	2.375	0.586	0.689	-0.094	-0.58	-0.199	-0.956	1.103	0.172	0.333	-0.671	-1.8	2.593	-0.229	-0.172	-0.134	0.125	0.295	0.456	-0.453	-1.218	-0.369	-0.726	-1.178	-1.221	-0.227
t10	0.459	-1.071	0.726	-0.181	1.558	0.322	1.752	0.826	0.124	-0.081	0.592	-3.16	0.541	-0.264	-0.413	-2.092	0.96	-0.193	-0.147	0.116	0.606	0.267	1.815	-0.318	0.299	0.006	0.769	-1.069	-2.049	-0.7
t14	-0.739	0.282	0.939	0.066	0.455	-0.317	-1.066	-0.292	-1.969	-0.054	0.903	2.387	0.415	0.569	-0.719	-0.017	-1.801	-0.152	0.042	-0.219	-1.562	0.141	2.018	1.237	0.969	0.137	-1.843	-0.47	1.537	-0.88
t25	0.333	0.423	-0.563	-0.491	-1.772	-0.399	1.053	0.02	0.083	0.155	-0.252	-1.853	0.593	1.134	-0.221	0.711	-1.028	0.045	-0.023	-0.158	-0.904	0.463	2.436	0.16	-0.88	0.278	0.869	-0.602	0.224	0.165
t33	1.582	0.16	0.439	0.103	-0.849	0.238	1.887	-0.108	-0.994	-0.293	0.282	-1.467	0.428	0.61	-0.561	-0.378	1.109	-0.036	0.232	-0.533	1.502	-0.22	-1.837	0.383	-0.508	0.085	-0.946	0.781	-0.504	-0.587
