V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t20	-1.185	-0.401	1.319	1.27	-1.121	-0.46	-0.61	0.844	0.859	-0.404	-0.296	0.147	2.096	0.603	0.493	-0.649	-0.748	1.478	1.017	0.773	0.444	-0.659	-0.622	0.365	0.576	-0.5	-2.193	-0.959	-1.107	-0.37
t186	-1.128	-0.261	1.753	1.327	-1.189	-0.507	-0.796	0.884	0.862	-0.468	-0.375	0.212	2.145	0.62	0.377	-0.835	-0.659	1.546	1.063	0.723	0.561	-0.557	-0.601	0.093	0.487	-0.442	-2.322	-1.145	-1.196	-0.171
t55	-1.773	-1.62	-0.265	0.693	-0.577	-0.117	0.996	0.41	0.755	0.106	0.358	-0.508	1.594	-0.035	1.587	0.77	-1.615	0.896	0.522	1.19	-0.585	-1.675	-0.883	2.712	1.315	-1.077	-0.984	0.651	-0.476	-2.367
t67	-1.05	-0.282	0.182	1.393	-1.177	-0.466	-0.829	0.954	0.919	-0.451	-0.371	0.293	2.209	1.125	0.267	-0.676	-0.56	1.521	1.143	0.714	0.56	-0.437	-0.538	0.056	0.486	-0.381	-2.444	-1.185	-1.086	0.107
t61	-1.314	-0.622	1.566	1.145	-1.032	-0.413	-0.318	0.744	0.821	-0.321	-0.185	0.005	1.986	0.357	0.714	-0.445	-0.931	1.375	0.904	0.846	0.255	-0.876	-0.689	0.791	0.703	-0.624	-1.949	-0.666	-1.028	-0.801
t82	-1.95	-1.868	-0.342	0.529	-0.42	-0.031	1.448	0.28	0.716	0.248	0.547	-0.702	1.448	-0.523	1.951	1.041	-1.884	0.791	0.369	1.328	-0.82	-1.988	-0.965	3.356	1.531	-1.236	-0.577	1.113	-0.359	-3.036
t102	-1.395	-0.791	0.661	1.071	-0.918	-0.334	-0.031	0.694	0.826	-0.217	-0.054	-0.082	1.922	0.287	0.906	-0.175	-1.058	1.299	0.843	0.936	0.099	-1.023	-0.71	1.202	0.849	-0.695	-1.736	-0.376	-0.893	-1.108
t89	-1.355	-0.851	-0.149	1.099	-0.917	-0.312	-0.047	0.727	0.854	-0.209	-0.057	-0.044	1.95	0.654	0.828	-0.046	-1.005	1.255	0.883	0.92	0.072	-0.959	-0.681	1.193	0.844	-0.673	-1.823	-0.398	-0.817	-0.938
t196	-1.357	-0.887	-0.374	1.094	-0.905	-0.3	-0.018	0.726	0.859	-0.196	-0.043	-0.048	1.947	0.719	0.834	0.008	-1.011	1.235	0.882	0.926	0.046	-0.966	-0.679	1.24	0.858	-0.679	-1.816	-0.37	-0.787	-0.94
t155	-1.284	-0.692	0.255	1.168	-0.994	-0.364	-0.262	0.777	0.861	-0.281	-0.147	0.035	2.011	0.702	0.688	-0.253	-0.898	1.332	0.941	0.862	0.206	-0.835	-0.653	0.88	0.742	-0.603	-1.978	-0.614	-0.912	-0.692
t93	-1.43	-1.003	-0.018	1.024	-0.866	-0.284	0.125	0.667	0.832	-0.161	0.007	-0.128	1.884	0.558	0.949	0.095	-1.112	1.181	0.817	0.958	-0.051	-1.085	-0.721	1.448	0.917	-0.75	-1.69	-0.226	-0.761	-1.177
t28	-1.709	-1.333	0.926	0.766	-0.676	-0.202	0.724	0.452	0.743	0.007	0.243	-0.432	1.653	-0.338	1.476	0.366	-1.52	1.048	0.567	1.134	-0.366	-1.563	-0.869	2.3	1.189	-0.999	-1.104	0.387	-0.674	-2.199
t91	-1.224	-0.509	1.073	1.228	-1.078	-0.429	-0.485	0.814	0.855	-0.362	-0.245	0.101	2.061	0.611	0.566	-0.521	-0.809	1.423	0.984	0.804	0.358	-0.73	-0.638	0.55	0.634	-0.543	-2.112	-0.836	-1.045	-0.5
t130	-1.602	-1.23	0.263	0.864	-0.733	-0.218	0.527	0.536	0.784	-0.041	0.17	-0.317	1.741	0.054	1.285	0.314	-1.368	1.086	0.665	1.077	-0.264	-1.384	-0.807	2.021	1.103	-0.905	-1.316	0.184	-0.677	-1.814
t106	-1.539	-1.001	1.085	0.933	-0.82	-0.288	0.286	0.581	0.781	-0.128	0.068	-0.242	1.8	-0.089	1.166	0.008	-1.269	1.205	0.714	1.021	-0.087	-1.269	-0.788	1.659	0.99	-0.831	-1.448	-0.054	-0.828	-1.617
t36	-1.657	-1.305	0.24	0.814	-0.686	-0.193	0.663	0.497	0.773	0	0.226	-0.376	1.697	-0.086	1.395	0.397	-1.448	1.055	0.618	1.118	-0.337	-1.478	-0.832	2.215	1.168	-0.953	-1.194	0.322	-0.642	-2.014
t6	-2.289	-2.422	-0.374	0.208	-0.142	0.124	2.285	0.027	0.636	0.503	0.885	-1.074	1.164	-1.236	2.591	1.629	-2.382	0.54	0.077	1.56	-1.313	-2.571	-1.127	4.565	1.917	-1.552	0.133	1.96	-0.114	-4.232
t80	-1.48	-1.003	0.922	0.979	-0.869	-0.306	0.157	0.621	0.796	-0.167	0.01	-0.182	1.842	0.252	1.022	0.005	-1.179	1.189	0.765	0.967	-0.059	-1.165	-0.761	1.49	0.923	-0.792	-1.609	-0.191	-0.822	-1.357
t74	-2.079	-2.167	-1.053	0.401	-0.284	0.062	1.835	0.187	0.702	0.378	0.709	-0.846	1.337	-0.589	2.2	1.422	-2.078	0.646	0.263	1.43	-1.07	-2.214	-1.016	3.924	1.713	-1.365	-0.302	1.501	-0.183	-3.474
t97	-1.604	-1.246	0.039	0.862	-0.722	-0.207	0.551	0.538	0.79	-0.03	0.182	-0.318	1.741	0.092	1.294	0.354	-1.371	1.078	0.666	1.084	-0.279	-1.388	-0.804	2.056	1.117	-0.906	-1.306	0.208	-0.655	-1.819
t66	-1.359	-0.841	-0.029	1.096	-0.919	-0.316	-0.048	0.723	0.85	-0.211	-0.058	-0.048	1.947	0.602	0.837	-0.065	-1.012	1.262	0.878	0.921	0.078	-0.967	-0.685	1.19	0.843	-0.675	-1.813	-0.398	-0.829	-0.959
t49	-1.952	-1.96	-0.619	0.52	-0.414	-0.017	1.477	0.277	0.721	0.26	0.555	-0.707	1.442	-0.319	1.93	1.153	-1.884	0.736	0.37	1.321	-0.878	-1.988	-0.964	3.412	1.54	-1.251	-0.602	1.137	-0.305	-2.997
t112	-1.84	-1.665	-0.259	0.636	-0.513	-0.084	1.168	0.363	0.741	0.163	0.435	-0.58	1.541	-0.343	1.749	0.818	-1.723	0.885	0.463	1.255	-0.647	-1.799	-0.913	2.95	1.404	-1.13	-0.801	0.831	-0.452	-2.656
t99	-2.133	-2.256	-1.037	0.35	-0.239	0.087	1.97	0.146	0.689	0.419	0.763	-0.907	1.291	-0.71	2.303	1.508	-2.159	0.605	0.216	1.467	-1.149	-2.308	-1.043	4.119	1.775	-1.417	-0.187	1.637	-0.145	-3.668
t154	-1.589	-1.273	-0.442	0.873	-0.711	-0.19	0.564	0.552	0.805	-0.018	0.192	-0.304	1.752	0.238	1.275	0.423	-1.354	1.06	0.682	1.087	-0.296	-1.367	-0.789	2.079	1.127	-0.897	-1.326	0.219	-0.613	-1.764
t58	-0.957	0.013	1.516	1.491	-1.318	-0.575	-1.199	1.016	0.909	-0.587	-0.534	0.402	2.291	1.008	0.063	-1.1	-0.408	1.671	1.214	0.615	0.801	-0.262	-0.514	-0.49	0.305	-0.279	-2.672	-1.553	-1.301	0.432
t152	-1.387	-0.877	0.722	1.065	-0.937	-0.338	-0.051	0.692	0.823	-0.227	-0.073	-0.081	1.919	0.507	0.847	-0.115	-1.044	1.242	0.847	0.908	0.057	-1.007	-0.713	1.192	0.828	-0.709	-1.802	-0.403	-0.865	-1.024
t110	-0.572	0.585	1.224	1.85	-1.622	-0.735	-2.117	1.303	1.006	-0.862	-0.905	0.821	2.61	1.945	-0.669	-1.689	0.155	1.921	1.547	0.355	1.322	0.397	-0.327	-1.808	-0.118	0.071	-3.483	-2.486	-1.535	1.807
t84	-2.395	-2.785	-1.439	0.092	-0.015	0.223	2.651	-0.051	0.634	0.629	1.035	-1.199	1.066	-1.028	2.774	2.097	-2.542	0.351	-0.007	1.639	-1.593	-2.757	-1.166	5.117	2.084	-1.675	0.334	2.321	0.108	-4.548
t179	-2.13	-2.271	-1.101	0.351	-0.242	0.087	1.966	0.149	0.691	0.417	0.76	-0.903	1.293	-0.649	2.289	1.531	-2.152	0.595	0.22	1.462	-1.157	-2.301	-1.041	4.115	1.772	-1.416	-0.203	1.631	-0.135	-3.643
t94	-2.017	-1.945	0.2	0.466	-0.393	-0.026	1.559	0.224	0.687	0.273	0.584	-0.775	1.39	-0.746	2.058	1.07	-1.978	0.758	0.306	1.355	-0.888	-2.098	-1.007	3.517	1.576	-1.299	-0.459	1.226	-0.361	-3.264
t23	-1.576	-1.226	-0.113	0.887	-0.739	-0.214	0.495	0.56	0.8	-0.046	0.16	-0.288	1.764	0.217	1.238	0.346	-1.329	1.084	0.692	1.066	-0.257	-1.339	-0.788	1.979	1.091	-0.882	-1.369	0.15	-0.655	-1.709
t42	-1.526	-1.064	0.578	0.939	-0.81	-0.268	0.306	0.592	0.795	-0.114	0.078	-0.231	1.807	0.126	1.138	0.11	-1.253	1.166	0.728	1.018	-0.125	-1.25	-0.775	1.699	1	-0.829	-1.479	-0.038	-0.77	-1.55
t153	-0.948	-0.098	0.758	1.49	-1.295	-0.542	-1.146	1.025	0.928	-0.56	-0.51	0.407	2.293	1.319	0.037	-0.925	-0.397	1.604	1.228	0.617	0.729	-0.25	-0.5	-0.399	0.329	-0.285	-2.701	-1.507	-1.207	0.502
t107	-1.692	-1.305	0.825	0.783	-0.685	-0.205	0.692	0.466	0.75	-0.001	0.232	-0.413	1.668	-0.3	1.45	0.349	-1.496	1.061	0.583	1.126	-0.343	-1.535	-0.858	2.252	1.176	-0.982	-1.132	0.355	-0.68	-2.145
t150	-1.411	-0.978	-0.342	1.042	-0.863	-0.277	0.113	0.684	0.845	-0.158	0.008	-0.108	1.901	0.61	0.933	0.106	-1.09	1.193	0.835	0.96	-0.033	-1.058	-0.706	1.428	0.917	-0.731	-1.707	-0.238	-0.749	-1.13
t184	-2.055	-2.078	-0.494	0.427	-0.332	0.023	1.716	0.202	0.695	0.331	0.654	-0.817	1.359	-0.64	2.136	1.276	-2.034	0.69	0.281	1.395	-0.997	-2.164	-1.014	3.749	1.652	-1.338	-0.374	1.381	-0.258	-3.38
t193	-2.848	-3.563	-1.695	-0.342	0.336	0.418	3.739	-0.393	0.52	0.952	1.465	-1.696	0.682	-1.856	3.577	2.903	-3.2	-0.015	-0.398	1.923	-2.275	-3.525	-1.388	6.699	2.575	-2.105	1.226	3.418	0.442	-6.089
t120	-1.723	-1.46	0.371	0.746	-0.646	-0.169	0.811	0.443	0.752	0.041	0.279	-0.45	1.638	-0.119	1.488	0.539	-1.539	0.977	0.56	1.145	-0.456	-1.586	-0.869	2.438	1.227	-1.024	-1.092	0.468	-0.586	-2.207
t147	-1.743	-1.554	-0.601	0.725	-0.579	-0.113	0.961	0.437	0.772	0.105	0.353	-0.475	1.621	-0.025	1.565	0.738	-1.582	0.93	0.55	1.193	-0.538	-1.633	-0.861	2.655	1.309	-1.045	-1.006	0.619	-0.48	-2.302
t18	-1.759	-1.625	-0.984	0.707	-0.548	-0.087	1.04	0.427	0.777	0.135	0.388	-0.494	1.607	0.044	1.601	0.843	-1.608	0.893	0.539	1.213	-0.594	-1.664	-0.863	2.773	1.348	-1.064	-0.966	0.697	-0.425	-2.353
t35	-2.224	-2.553	-2.214	0.254	-0.114	0.185	2.311	0.085	0.695	0.541	0.909	-1.012	1.211	-0.558	2.483	1.922	-2.3	0.453	0.146	1.552	-1.387	-2.472	-1.069	4.625	1.938	-1.516	0.012	1.975	0.059	-3.96
t72	-1.161	-0.467	0.563	1.285	-1.108	-0.433	-0.593	0.865	0.882	-0.387	-0.284	0.17	2.113	0.894	0.451	-0.522	-0.717	1.436	1.043	0.771	0.405	-0.623	-0.6	0.401	0.587	-0.489	-2.241	-0.948	-1.032	-0.262
t88	-1.619	-1.299	-0.237	0.846	-0.695	-0.186	0.619	0.528	0.793	-0.005	0.213	-0.337	1.727	0.116	1.331	0.433	-1.397	1.051	0.654	1.103	-0.322	-1.418	-0.807	2.157	1.151	-0.923	-1.264	0.276	-0.614	-1.876
t71	-1.795	-1.611	-0.307	0.677	-0.55	-0.103	1.06	0.396	0.752	0.13	0.39	-0.531	1.578	-0.199	1.657	0.767	-1.655	0.906	0.503	1.221	-0.592	-1.72	-0.891	2.797	1.352	-1.091	-0.904	0.721	-0.474	-2.486
t14	-2.098	-2.103	-0.24	0.39	-0.306	0.03	1.799	0.169	0.679	0.353	0.687	-0.863	1.324	-0.842	2.223	1.283	-2.098	0.685	0.241	1.424	-1.029	-2.239	-1.037	3.863	1.691	-1.373	-0.276	1.468	-0.263	-3.551
t37	-2.346	-2.615	-0.492	0.144	-0.1	0.156	2.436	-0.021	0.623	0.548	0.938	-1.142	1.109	-1.131	2.66	1.828	-2.461	0.437	0.028	1.581	-1.453	-2.664	-1.157	4.799	1.977	-1.623	0.207	2.105	-0.027	-4.375
t190	-2.616	-3.087	-0.57	-0.116	0.117	0.278	3.1	-0.225	0.558	0.748	1.203	-1.44	0.879	-1.63	3.152	2.325	-2.856	0.217	-0.206	1.756	-1.863	-3.127	-1.288	5.765	2.278	-1.881	0.753	2.776	0.179	-5.308
