V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t138	1.167	1.884	0.252	-3.428	0.791	-1.216	-0.857	-1.409	0.702	-0.012	-0.495	1.62	-1.255	0.974	-0.473	2.161	2.279	0.908	-2.806	-1.226	-0.764	-0.346	0.416	-1.964	-1.417	-0.625	1.459	0.307	1.741	1.628
t18	-0.644	1.583	0.035	-1.012	2.699	-1.688	-4.225	-0.168	-0.214	-0.379	0.557	0.411	-1.642	1.732	-0.693	0.537	0.471	1.168	-0.294	-0.639	0.771	0.515	-2.063	-0.12	0.552	2.32	0.097	0.986	1.281	-1.945
t166	0.449	1.739	0.032	-2.17	-0.009	-1.439	-2.183	-1.147	0.543	0.398	0.225	0.462	-1.36	1.481	-0.108	1.707	1.663	0.876	-1.824	-0.562	-0.443	0.138	0.14	-1.04	-0.292	0.602	0.687	0.207	1.702	-0.475
t181	-0.74	1.769	0.206	-0.424	2.996	-1.363	-6.596	-0.672	-0.572	-0.657	1.577	0.387	-1.64	2.028	-0.363	0.04	-0.144	0.981	0.776	-0.054	1.595	0.538	-3.112	1.476	0.588	3.827	0.032	1.362	1.382	-5.339
t95	0.594	1.978	0.244	-1.977	1.214	-0.947	-3.339	-1.729	0.268	-0.135	0.616	1.041	-1.207	1.163	0.156	1.181	1.274	-0.061	-1.063	-0.392	0.326	-0.087	-1.608	-0.21	-0.133	1.536	0.955	0.743	1.802	-2.206
t135	-0.49	1.63	-0.092	-0.956	1.279	-1.437	-3.457	-1.057	0.224	0.203	0.48	-0.187	-1.376	1.882	-0.003	0.627	0.844	0.242	-0.74	-0.213	0.103	0.483	-0.601	-0.306	0.15	1.577	0.076	0.479	1.635	-1.004
t133	1.472	1.698	0.028	-3.207	-0.367	-1.491	0.454	-0.846	0.911	0.523	-0.778	1.214	-1.244	0.387	-0.257	2.522	2.377	0.307	-2.942	-1.24	-1.095	-0.243	0.047	-2.559	0.36	-0.97	1.247	0.019	1.733	1.933
t78	0.187	1.75	0.091	-2.769	-2.773	-1.865	-3.363	-1.1	0.757	1.042	1.049	-0.204	-1.694	2.887	-0.357	2.713	2.162	3.918	-2.56	-0.229	-1.049	0.437	3.31	-0.522	-2.183	0.566	0.583	-0.416	1.648	-2.036
t158	-0.389	1.651	-0.113	-1.632	-1.051	-1.63	-3.424	-1.421	0.588	0.809	0.776	-0.681	-1.493	2.869	-0.031	1.505	1.575	2.005	-1.774	0	-0.76	0.557	2.461	-0.402	-1.718	0.823	0.11	-0.225	1.75	-0.74
t52	-1.367	1.374	-0.321	-0.109	1.993	-1.776	-3.294	-0.31	0.124	0.288	0.19	-0.852	-1.463	1.947	-0.145	0.024	0.361	-0.009	-0.241	-0.251	0.199	0.886	-1.034	-0.538	1.194	1.807	-0.528	0.539	1.421	-0.112
t175	2.62	2.267	0.603	-4.528	0.187	-0.692	-0.587	-2.097	0.78	-0.239	-0.239	2.96	-1.058	-0.072	-0.146	2.983	2.774	0.396	-3.11	-1.351	-0.496	-1.01	-1.075	-1.814	-1.106	-0.534	2.451	0.547	1.955	-0.386
t168	-0.392	1.591	-0.127	-1.234	0.382	-1.611	-2.708	-0.761	0.421	0.508	0.32	-0.238	-1.4	1.649	-0.007	1.064	1.107	0.553	-1.091	-0.334	-0.178	0.517	-0.408	-0.751	0.654	1.255	0.133	0.307	1.582	-0.803
t76	2.669	2.079	0.2	-4.331	-1.061	-0.685	1.859	-2.615	1.393	0.551	-1.103	2	-0.767	-0.051	0.417	3	3.363	-1.077	-4.021	-1.206	-1.713	-0.953	0.971	-3.095	-1.211	-2.272	2.146	-0.256	2.269	3.468
