V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t68	1.368	-0.942	0.47	0.192	1.997	-0.609	0.947	0.681	0.349	1.006	0.383	1.195	-1.609	-3.063	1.65	-0.619	-0.428	-0.933	-3.566	2.291	0.798	-0.995	0.269	0.063	1.335	0.698	-1.13	-1.057	-0.013	-0.734
t66	0.153	1.083	-3.834	-0.01	-2.465	-0.689	0.1	1.372	1.442	2.242	-0.681	-0.076	-0.144	-1.143	0.928	-0.239	-0.536	-0.184	-0.363	2.956	0.594	-0.339	0.399	2.475	0.315	1.034	-1.868	-0.158	-1.938	-0.434
t168	0.936	-0.046	-0.744	-0.163	0.536	-0.634	0.442	0.859	0.809	1.665	-0.052	0.717	-1.119	-2.581	1.432	-0.747	-0.574	-0.64	-2.446	2.614	0.562	-0.656	0.336	0.981	0.8	0.654	-0.981	-0.761	-0.554	-0.645
t49	0.181	0.021	-0.264	0.942	-0.626	-0.849	-0.194	0.8	1.032	2.12	-0.596	0.213	-0.831	-2.721	1.293	-0.338	-0.7	-0.445	-1.379	2.621	0.213	-0.145	0.246	0.265	0.616	0.79	-1.551	-0.227	0.243	-0.733
t89	0.673	-0.007	-1.523	0.593	-0.626	-0.732	0.43	1.005	0.925	1.582	-0.144	0.334	-0.59	-1.94	1.165	-0.202	-0.392	-0.449	-1.542	2.647	0.744	-0.576	0.279	1.275	0.581	0.692	-1.617	-0.361	-1.623	-0.604
t126	1.535	-1.542	1.555	0.98	1.046	-0.688	0.956	0.55	0.298	1.033	0.028	1.748	-1.969	-3.5	1.728	-0.708	-0.022	-1.095	-1.824	2.076	0.799	-0.549	0.198	-0.833	1.379	-0.136	-1.72	-1.123	0.639	-0.844
t106	1.015	0.139	-2.078	0.532	-1.511	-0.684	1.1	1.079	0.866	1.24	0.01	0.414	-0.701	-1.383	0.981	-0.208	-0.168	-0.588	-0.352	2.63	1.536	-0.913	0.241	2.264	0.398	0.011	-1.812	-0.733	-2.769	-0.559
t144	-0.577	1.378	-2.486	0.451	-4.248	-0.899	-0.337	1.411	1.888	2.806	-1.912	-0.617	1.096	-0.685	0.671	0.041	-0.357	0.066	1.202	3.147	0.826	-0.219	0.356	2.229	-0.422	0.313	-2.14	0.388	-3.003	-0.379
t200	-0.981	1.326	-2.101	0.227	-3.322	-0.963	-1.357	1.1	1.876	2.919	-1.551	-0.978	0.364	-1.619	0.886	-0.089	-1.152	0.246	1.204	3.253	-0.033	0.28	0.353	1.701	-0.219	0.982	-1.251	0.69	-1.273	-0.526
t40	0.349	-0.354	0.964	0.004	1.182	-0.813	-0.466	0.55	0.689	1.923	0.079	0.308	-1.543	-3.515	1.551	-0.471	-1.064	-0.524	-2.989	2.746	-0.386	0.061	0.267	-0.263	0.873	1.16	-0.778	-0.197	1.48	-0.827
