V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t35	-3.275	-3.494	-4.296	-0.804	-4.538	-5.778	-6.071	-3.727	-3.03	-4.849	-5.953	-4.064	-5.736	-5.219	-4.756	-4.453	-3.764	-1.891	-4.738	-3.075	-4.58	-6.106	-7.164	-3.201	-4.348	-5.8	-5.356	-6.272	-4.044	-5.931
t87	-3.83	-4.957	-7.413	-0.51	-8.284	-8.833	-8.897	-5.266	-2.6	-5.99	-8.957	-4.91	-8.837	-8.966	-7.657	-5.911	-4.526	-1.732	-7.138	-2.952	-8.913	-9.855	-10.667	-4.912	-4.15	-8.191	-9.009	-10.56	-4.414	-9.07
t15	-3.262	-3.402	-4.059	-0.862	-4.245	-5.546	-5.859	-3.628	-3.102	-4.784	-5.725	-4.025	-5.499	-4.928	-4.537	-4.361	-3.732	-1.94	-4.563	-3.12	-4.236	-5.812	-6.889	-3.086	-4.4	-5.626	-5.07	-5.929	-4.046	-5.69
t86	-4.271	-3.523	-2.565	-2.682	-2.135	-4.108	-4.645	-3.675	-5.069	-5.22	-4.337	-4.746	-4.016	-2.824	-3.253	-4.487	-4.539	-3.642	-3.768	-4.782	-1.551	-3.683	-4.977	-2.965	-6.138	-4.838	-3.048	-3.257	-5.233	-4.167
t157	-3.279	-3.253	-3.613	-1.01	-3.685	-5.11	-5.464	-3.465	-3.293	-4.694	-5.298	-3.985	-5.055	-4.38	-4.129	-4.213	-3.713	-2.083	-4.246	-3.249	-3.571	-5.246	-6.363	-2.892	-4.546	-5.31	-4.526	-5.266	-4.094	-5.237
t186	-3.404	-3.155	-3.118	-1.308	-3.04	-4.63	-5.04	-3.35	-3.647	-4.675	-4.831	-4.033	-4.564	-3.751	-3.685	-4.116	-3.789	-2.374	-3.924	-3.52	-2.786	-4.594	-5.764	-2.735	-4.842	-4.99	-3.906	-4.483	-4.258	-4.734
t154	-3.294	-3.321	-3.798	-0.919	-3.917	-5.294	-5.632	-3.54	-3.225	-4.744	-5.482	-4.007	-5.243	-4.635	-4.299	-4.281	-3.744	-2.036	-4.383	-3.185	-3.848	-5.479	-6.58	-2.979	-4.492	-5.446	-4.765	-5.54	-4.085	-5.425
t11	-3.414	-3.941	-5.308	-0.643	-5.765	-6.771	-6.985	-4.2	-2.83	-5.187	-6.929	-4.3	-6.744	-6.453	-5.694	-4.898	-3.975	-1.784	-5.505	-2.975	-6.009	-7.34	-8.32	-3.732	-4.226	-6.565	-6.556	-7.695	-4.117	-6.952
t198	-3.669	-3.205	-2.758	-1.83	-2.522	-4.282	-4.748	-3.38	-4.168	-4.801	-4.494	-4.239	-4.204	-3.207	-3.38	-4.167	-4	-2.825	-3.74	-3.982	-2.12	-4.073	-5.299	-2.723	-5.309	-4.808	-3.4	-3.821	-4.578	-4.367
t163	-3.616	-3.184	-2.811	-1.704	-2.605	-4.334	-4.79	-3.363	-4.06	-4.769	-4.546	-4.188	-4.259	-3.308	-3.422	-4.146	-3.958	-2.731	-3.762	-3.874	-2.231	-4.157	-5.372	-2.714	-5.21	-4.83	-3.489	-3.931	-4.508	-4.422
t18	-3.329	-3.194	-3.366	-1.125	-3.368	-4.871	-5.251	-3.398	-3.447	-4.673	-5.066	-3.994	-4.811	-4.079	-3.906	-4.154	-3.74	-2.208	-4.082	-3.358	-3.189	-4.924	-6.066	-2.806	-4.672	-5.147	-4.223	-4.884	-4.159	-4.985
t109	-3.278	-3.407	-4.054	-0.851	-4.236	-5.541	-5.856	-3.633	-3.119	-4.793	-5.721	-4.032	-5.495	-4.938	-4.533	-4.366	-3.748	-1.956	-4.563	-3.125	-4.225	-5.798	-6.877	-3.09	-4.411	-5.626	-5.063	-5.916	-4.059	-5.682
t56	-3.428	-3.989	-5.415	-0.634	-5.894	-6.874	-7.081	-4.251	-2.812	-5.222	-7.03	-4.326	-6.85	-6.579	-5.793	-4.946	-3.995	-1.775	-5.586	-2.972	-6.158	-7.467	-8.439	-3.789	-4.216	-6.645	-6.677	-7.843	-4.127	-7.059
t112	-3.258	-3.418	-4.106	-0.852	-4.303	-5.59	-5.9	-3.646	-3.085	-4.793	-5.768	-4.031	-5.545	-4.982	-4.581	-4.378	-3.732	-1.927	-4.596	-3.113	-4.304	-5.868	-6.941	-3.107	-4.387	-5.659	-5.12	-5.996	-4.043	-5.736
t138	-4.13	-3.438	-2.585	-2.477	-2.195	-4.124	-4.647	-3.595	-4.864	-5.115	-4.349	-4.622	-4.035	-2.891	-3.259	-4.402	-4.411	-3.456	-3.743	-4.594	-1.649	-3.742	-5.021	-2.896	-5.947	-4.813	-3.1	-3.353	-5.079	-4.187
t44	-3.718	-4.7	-6.891	-0.53	-7.66	-8.321	-8.422	-4.997	-2.647	-5.784	-8.452	-4.752	-8.318	-8.347	-7.169	-5.655	-4.38	-1.736	-6.731	-2.951	-8.196	-9.232	-10.091	-4.615	-4.159	-7.786	-8.397	-9.861	-4.332	-8.544
t33	-3.352	-3.149	-3.173	-1.29	-3.117	-4.68	-5.081	-3.345	-3.574	-4.652	-4.877	-4.009	-4.616	-3.792	-3.734	-4.11	-3.742	-2.307	-3.95	-3.481	-2.881	-4.675	-5.837	-2.737	-4.783	-5.016	-3.968	-4.579	-4.211	-4.792
t144	-3.392	-3.912	-5.255	-0.655	-5.701	-6.716	-6.935	-4.17	-2.83	-5.16	-6.873	-4.281	-6.689	-6.38	-5.644	-4.87	-3.948	-1.779	-5.461	-2.982	-5.936	-7.272	-8.256	-3.699	-4.224	-6.521	-6.482	-7.622	-4.105	-6.896
