#OTU ID	BRA10151H	BRA10152H	BRA10521H	BRA10522H	BRA10523H	BRA10972H	BRA10974H	BRA11061H	BRA11062H	BRA11071H	BRA11072H	BRA11081H	BRA11082H	BRA11481H	BRA11623H	BRA11625H	BRA11631H	BRA11632H	BRA11671H	BRA11673H	BRA11674H	BRA11681H	BRA11682H	BRA11711H	BRA11712H	BRA11713H	BRA11721H	BRA11722H	BRA11723H	BRA11731H	BRA11732H	BRA11733H	BRA11741H	BRA11742H	BRA11743H	BRA11751H	BRA11752H	BRA11841H	BRA11842H	BRA11843H	BRA11851H	BRA11852H	BRA11853H	BRA11854H	BRA11861H	BRA11862H	BRA11863H	BRA11864H	BRA11872H	BRA11873H	BRA11874H	BRA11881H	BRA11883H	BRA11884H	BRA11971H	BRA11972H	BRA11973H	BRA11981H	BRA11993H	BRA11994H	BRA12001H	BRA12002H	BRA12011H	BRA12012H	BRA12013H	BRA12014H	BRA12021H	BRA12022H	BRA12023H	BRA12031H	BRA12032H	BRA12041H	BRA12042H	BRA12043H	BRA12051H	BRA12052H	BRA12053H	BRA12061H	BRA12062H	BRA12071H	BRA12111H	BRA12331H	BRA12332H	BRA12351H	BRA12353H	BRA12361H	BRA12362H	BRA12371H	BRA12381H	BRA12392H	BRA12531H	BRA12532H	BRA12533H	BRA12541H	BRA12542H	BRA12551H	BRA12552H	BRA12553H	BRA12571H	BRA12572H	BRA12573H	BRA12581H	BRA12582H	BRA12583H	BRA12591H	BRA12601H	BRA12602H	BRA12632H	BRA12641H	BRA12651H	BRA12661H	BRA12662H	BRA12671H	BRA12672H	BRA12681H	BRA12691H	BRA12791H	BRA12792H	BRA12801H	BRA12802H	BRA12811H	BRA12812H	BRA12813H	BRA12821H	BRA12822H	BRA12831H	BRA12832H	BRA12841H	BRA12851H	BRA12852H	BRA12861H	BRA12862H	BRA12871H	BRA12881H	BRA12882H	BRA12883H	BRA12891H	BRA12892H	BRA12901H	BRA12911H	BRA12913H	BRA12921H	BRA4611H	BRA4612H	BRA4613H	BRA4614H	BRA4631H	BRA4632H	BRA4635H	BRA4636H	BRA4751H	BRA4752H	BRA4782H	BRA4952H	BRA5182H	BRA5211H	BRA5212H	BRA5221H	BRA5222H	BRA5223H	BRA5224H	BRA5232H	BRA5233H	BRA5421H	BRA5422H	BRA5431H	BRA5433H	BRA5441H	BRA5442H	BRA5451H	BRA5452H	BRA5601H	BRA5621H	BRA5623H	BRA5672H	BRA5673H	BRA8221H	BRA8251H	BRA8252H	BRA8253H	BRA8272H	BRA8273H	BRA9742H	BRA9743H	BRA9744H	BRA9761H	BRA9762H	BRA9771H	BRA9772H	BRA9773H	BRA9781H	BRA9782H	BRA9783H	BRA9791H	BRA9792H	BRA9793H	BRA9811H	BRA9812H	BRA9813H	BRA9841H	BRA9851H	BRA9852H	BRA9855H	BRA9861H	BRA9872H	BRA9873H
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae	33	107	8	38	7	2	78	342	100	10	76	12	18	235	77	102	123	297	22	43	15	127	93	591	181	443	33	53	116	27	27	121	271	31	36	166	74	141	32	158	426	1288	1139	228	4827	358	339	63	65	128	30	2	13	45	808	315	33	94	306	36	80	45	218	70	33	76	26	106	339	29	47	62	80	75	79	64	87	72	183	29	6376	44	52	70	247	3	31	29	83	42	30	107	26	66	86	91	28	13	18	6	31	27	10	19	68	34	32	3	115	58	32	50	59	94	134	30	38	151	141	322	418	341	532	150	59	66	136	267	117	278	93	167	83	130	23	109	105	315	74	158	208	45	75	57	142	76	68	143	12	50	56	56	272	78	12	2049	1452	391	280	424	672	129	46	5	8	58	46	27	75	253	273	551	19	101	376	26	8	25	48	235	14	29	2280	3772	1784	848	146	2349	105	1295	170	160	2387	18	1549	831	1826	2016	913	9	87	54	259	942	603	68
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae	288	227	425	264	617	636	13238	3625	4636	476	19347	2310	3142	1196	2016	2520	992	7265	764	739	217	946	808	2092	1357	6700	913	1119	861	7301	4956	27420	1597	492	873	211	875	682	242	911	1138	4587	3113	2510	2279	9489	601	90	1936	3375	3474	26	145	1053	2113	487	1572	2889	9353	3557	3346	657	2542	1047	1204	415	1906	4773	12145	539	658	1088	19115	1708	1229	669	177	5801	6586	2530	23531	439	1766	585	981	20267	8199	2123	619	489	1476	4297	929	2733	4468	824	403	283	942	117	17878	538	361	218	5696	420	923	248	178	2019	1342	14405	1618	26357	2885	1233	6830	14015	2368	5793	24322	16132	11918	7903	12361	1525	3538	6820	12274	5612	1941	2522	3956	5393	3794	2906	3973	10530	1719	2759	6004	10636	11346	12043	14884	10018	4982	17935	3901	15146	408	246	3901	5557	981	5918	2829	945	993	1256	7110	1752	1547	271	168	4462	1231	542	456	760	2187	1021	438	622	2803	53	28	785	112	603	462	515	1011	1532	1115	15010	2839	12916	466	5413	1863	2402	6336	121	593	1081	586	677	373	109	3572	362	7522	2418	8392	573
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Gammaproteobacteria Incertae Sedis;D_4__Unknown Family	0	3	0	2	0	0	14	26	7	0	6	0	4	18	15	8	1	19	6	0	2	11	1	13	3	2	5	3	4	0	7	4	0	0	0	0	0	0	0	0	11	3	7	0	16	1	3	10	0	0	0	0	4	0	4	0	0	4	40	20	4	0	8	7	1	4	3	2	1	0	9	0	0	6	101	33	23	22	0	0	177	0	4	0	4	0	0	0	0	0	6	0	0	7	0	4	0	0	27	0	2	0	0	0	7	17	31	0	0	15	1	2	3	2	12	2	0	0	16	3	3	17	9	8	0	0	5	3	0	17	4	5	0	19	11	5	2	29	26	11	11	11	21	32	57	42	31	69	3	4	0	5	5	123	1	209	3	4	12	71	5	6	11	3	0	1	0	5	4	5	10	14	0	0	0	0	0	2	0	27	0	3	76	0	14	4	0	0	0	7	8	0	15	3	1	0	2	28	2	0	0	0	0	64	11	4
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae	0	0	0	0	5	0	1	77	0	0	0	1	3	0	8	1	1	0	5	1	0	4	40	3	66	61	34	3	4	3	0	2	0	1	8	2	8	3	3	7	2	18	8	2	4	4	0	125	11	2	3	29	25	71	108	76	127	0	362	51	46	53	272	82	44	67	72	7	2	21	81	0	1	56	123	7	165	15	7	15	89	5	15	7	172	1	0	8	11	7	19	0	121	9	90	24	2	18	14	105	17	56	42	15	18	125	40	40	45	16	120	42	65	21	53	844	55	8	159	4	17	36	5	25	8	43	5	16	3	15	8	9	19	7	7	8	24	0	10	4	1118	195	1	71	0	10	2	11	102	1207	25	19	15	3	10	9	24	38	42	54	1	149	5	4	5	24	22	0	54	18	255	8	19	25	798	0	12	43	2	4	4	12	24	18	37	18	4	2	18	4	122	1	72	3	15	5	14	26	8	2	28	6	0	0	1	7
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Microbacteriaceae	4	6	4	0	2	0	0	24	0	0	0	0	0	11	9	5	20	13	0	5	0	5	0	13	6	2	4	0	0	0	0	0	102	35	64	1309	170	7	0	0	42	23	1	9	116	1	41	0	11	25	1	0	0	0	1	0	0	1	14	0	0	0	0	0	0	0	5	3	28	1	0	0	2	0	0	3	1	0	0	0	2	4	8	7	77	0	0	0	1	0	2	5	6	8	9	0	0	0	3	0	0	0	0	0	0	1	0	1	16	0	0	0	0	0	0	0	0	0	11	0	3	0	0	0	0	0	0	0	8	5	1	0	2	0	3	4	7	0	2	3	29	0	7	3	3	3	4	7	8	7	18	6	46	22	0	1507	116	404	243	486	13	31	36	60	1	25	2	38	22	5	3	17	0	3	18	0	0	0	4	9	2	0	8	16	5	0	0	8	2	9	0	3	0	6	9	3	14	9	0	2	12	1	3	7	0	2
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	76	0	0	0	4	0	1	0	1	3	2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	24	0	0	0	0	0	0	40	7	16	0	0	0	0	0	0	0	1	0	26	16	21	12	9	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae	0	0	0	0	0	0	0	62	0	0	0	1	0	0	0	0	0	0	25	0	39	0	0	20	0	0	11	0	0	1	0	1	0	1	2	0	1	5	6	4	3	2	0	140	128	186	32	47	68	82	35	0	0	0	0	2	3	2	4	5	0	2	190	108	89	72	5	0	1	0	0	0	0	26	94	96	998	2	0	0	41	4	3	3	28	1	5	2	4	2	5	9	31	7	29	14	16	3	107	56	376	884	1336	784	0	230	22	1380	193	277	541	2	0	0	2	3	10	0	3	0	2	0	4	4	2	0	0	6	17	0	0	4	14	1	0	0	269	58	122	21	318	41	0	26	0	2	0	0	4	112	0	20	8	0	0	0	10	0	6	2	0	9	3	0	0	4	5	0	12	2	4	13	3	58	53	0	0	2	67	0	0	0	5	1	11	1	8	0	0	5	6	0	2	0	2	12	2	2	6	81	1	0	0	0	0	1
D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae;D_3__Subgroup 7;__	0	0	0	0	0	0	0	5	3	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	6	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	12	8	0	3	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales;D_4__Caulobacteraceae	0	19	3	0	0	0	1	14	0	8	4	17	8	0	20	3	5	0	149	14	52	7	27	0	290	20	15	28	42	8	11	6	19	1	3	21	21	4	10	3	5	6	4	7	6	6	5	6	9	7	21	0	0	0	2	0	0	0	38	5	0	0	2	0	0	0	0	3	0	0	0	0	0	5	2	0	8	0	2	1	0	0	0	3	3	0	0	2	0	0	2	1	3	10	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	3	1	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	6	91	0	1	1	0	0	0	0	0	6	0	0	3	90	0	3	5	3	0	1	0	0	7	2	0	12	0	0	0	8	2	5	0	60	17	0	0	0	0	14	10	0	29	46	7	0	1	8	2	1	2	0	17	0	0	4	4	18	6	0	10	18	9	8	2	7
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;__	0	0	0	0	0	22	0	591	8	50	15	2	69	7	14	8	9	0	0	0	112	0	48	27	1597	168	3	0	63	7	0	0	41	12	0	0	0	0	0	0	0	0	0	0	0	0	0	11	132	288	743	0	88	290	3226	939	9808	68	0	137	234	141	886	1929	7837	1890	10	114	76	118	10	96	89	74	25	147	0	91	47	264	0	325	607	120	25	154	0	0	21	1	2	0	0	2	5	4	0	40	45	60	12	50	2	12	126	5	0	0	3	84	0	185	4279	142	0	252	8	1	69	31	0	296	79	0	176	522	1447	97	0	0	0	0	23	18	14	24	0	1	0	0	6	0	3	0	0	0	0	0	0	4	2	8	0	0	15	10	0	4	0	6	0	0	0	0	0	0	5	0	0	0	0	3	8	17	11	0	0	8	7	102	0	0	0	0	0	0	0	0	3	11	9	0	71	42	3	2	9	2	6	0	0	0	0	0	0	0
