sample-id	species	gutregion
BRA12013H	Gelasimus_borealis	H
BRA12013M	Gelasimus_borealis	M
BRA12014H	Gelasimus_borealis	H
BRA12021H	Parasesarma_bidens	H
BRA12021M	Parasesarma_bidens	M
BRA12022H	Parasesarma_bidens	H
BRA12022M	Parasesarma_bidens	M
BRA12023H	Parasesarma_bidens	H
BRA12023M	Parasesarma_bidens	M
BRA12031F	Scylla_paramamosain	F
BRA12031H	Scylla_paramamosain	H
BRA12032F	Scylla_paramamosain	F
BRA12032H	Scylla_paramamosain	H
BRA12032M	Scylla_paramamosain	M
BRA12041H	Metopograpsus_quadridentatus	H
BRA12042H	Metopograpsus_quadridentatus	H
BRA12042M	Metopograpsus_quadridentatus	M
BRA12043H	Metopograpsus_quadridentatus	H
BRA12043M	Metopograpsus_quadridentatus	M
BRA12051F	Hemigrapsus_takanoi	F
BRA12051H	Hemigrapsus_takanoi	H
BRA12051M	Hemigrapsus_takanoi	M
BRA12052H	Hemigrapsus_takanoi	H
BRA12052M	Hemigrapsus_takanoi	M
BRA12053F	Hemigrapsus_takanoi	F
BRA12053H	Hemigrapsus_takanoi	H
BRA12061F	Austruca_lactea	F
BRA12061H	Austruca_lactea	H
BRA12062H	Austruca_lactea	H
BRA12062M	Austruca_lactea	M
BRA12071F	Tubuca_arcuata	F
BRA12071H	Tubuca_arcuata	H
BRA12111F	Tmethypocoelis_ceratophora	F
BRA12111H	Tmethypocoelis_ceratophora	H
BRA12111M	Tmethypocoelis_ceratophora	M
BRA12331H	Metaplax_tredecim	H
BRA12331M	Metaplax_tredecim	M
BRA12332F	Metaplax_tredecim	F
BRA12332H	Metaplax_tredecim	H
BRA12332M	Metaplax_tredecim	M
BRA12351H	Sarmatium_germaini	H
BRA12351M	Sarmatium_germaini	M
BRA12352M	Sarmatium_germaini	M
BRA12353H	Sarmatium_germaini	H
BRA12353M	Sarmatium_germaini	M
BRA12361F	Mictyris_brevidactylus	F
BRA12361H	Mictyris_brevidactylus	H
BRA12362H	Mictyris_brevidactylus	H
BRA12371H	Metopograpsus_frontalis	H
BRA12381H	Tubuca_arcuata	H
BRA12392H	Tmethypocoelis_ceratophora	H
BRA12531H	Parasesarma_bidens	H
BRA12532H	Parasesarma_bidens	H
BRA12533H	Parasesarma_bidens	H
BRA12541H	Parasesarma_pictum	H
BRA12541M	Parasesarma_pictum	M
BRA12542H	Parasesarma_pictum	H
BRA12542M	Parasesarma_pictum	M
BRA12543F	Parasesarma_pictum	F
BRA12551H	Metaplax_tredecim	H
BRA12551M	Metaplax_tredecim	M
BRA12552H	Metaplax_tredecim	H
BRA12552M	Metaplax_tredecim	M
BRA12553H	Metaplax_tredecim	H
BRA12553M	Metaplax_tredecim	M
BRA12562M	Macrophthalmus_definitus	M
BRA12563F	Macrophthalmus_definitus	F
BRA12563M	Macrophthalmus_definitus	M
BRA12571F	Macrophthalmus_banzai	F
BRA12571H	Macrophthalmus_banzai	H
BRA12572H	Macrophthalmus_banzai	H
BRA12572M	Macrophthalmus_banzai	M
BRA12573F	Macrophthalmus_banzai	F
BRA12573H	Macrophthalmus_banzai	H
BRA12573M	Macrophthalmus_banzai	M
BRA12581F	Gelasimus_borealis	F
BRA12581H	Gelasimus_borealis	H
BRA12582F	Gelasimus_borealis	F
BRA12582H	Gelasimus_borealis	H
BRA12582M	Gelasimus_borealis	M
BRA12583F	Gelasimus_borealis	F
BRA12583H	Gelasimus_borealis	H
BRA12591H	Tubuca_arcuata	H
BRA12591M	Tubuca_arcuata	M
BRA12601H	Thalamita_crenata	H
BRA12601M	Thalamita_crenata	M
BRA12602H	Thalamita_crenata	H
BRA12602M	Thalamita_crenata	M
BRA12632H	Parasesarma_bidens	H
BRA12632M	Parasesarma_bidens	M
BRA12641F	Parasesarma_ungulatum	F
BRA12641H	Parasesarma_ungulatum	H
BRA12641M	Parasesarma_ungulatum	M
BRA12651F	Metaplax_longipes	F
BRA12651H	Metaplax_longipes	H
BRA12651M	Metaplax_longipes	M
BRA12661H	Metopograpsus_quadridentatus	H
BRA12661M	Metopograpsus_quadridentatus	M
BRA12662F	Metopograpsus_quadridentatus	F
BRA12662H	Metopograpsus_quadridentatus	H
BRA12662M	Metopograpsus_quadridentatus	M
