#OTU ID	BRA10522F	BRA10523F	BRA11061F	BRA11062F	BRA11071F	BRA11072F	BRA11081F	BRA11082F	BRA11481F	BRA11482F	BRA11623F	BRA11625F	BRA11631F	BRA11673F	BRA11674F	BRA11681F	BRA11682F	BRA11711F	BRA11712F	BRA11723F	BRA11731F	BRA11732F	BRA11741F	BRA11742F	BRA11743F	BRA11751F	BRA11821F	BRA11841F	BRA11842F	BRA11851F	BRA11852F	BRA11853F	BRA11861F	BRA11862F	BRA11863F	BRA11864F	BRA11881F	BRA11883F	BRA11884F	BRA11993F	BRA11994F	BRA12002F	BRA12012F	BRA12031F	BRA12032F	BRA12051F	BRA12053F	BRA12061F	BRA12071F	BRA12111F	BRA12332F	BRA12361F	BRA12543F	BRA12563F	BRA12571F	BRA12573F	BRA12581F	BRA12582F	BRA12583F	BRA12641F	BRA12651F	BRA12662F	BRA12691F	BRA12791F	BRA12801F	BRA12813F	BRA12821F	BRA12841F	BRA12851F	BRA12852F	BRA12881F	BRA12882F	BRA12883F	BRA12891F	BRA12892F	BRA12911F	BRA4611F	BRA4612F	BRA4613F	BRA4614F	BRA4632F	BRA4635F	BRA5171F	BRA5233F	BRA5421F	BRA5422F	BRA9742F	BRA9743F	BRA9744F	BRA9751F	BRA9761F	BRA9771F	BRA9772F	BRA9773F	BRA9783F	BRA9792F	BRA9793F	BRA9811F	BRA9812F	BRA9813F	BRA9841F	BRA9852F
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Devosiaceae	1	0	0	6	0	0	0	0	0	0	19	0	3	2	5	12	0	4	6	1	1	0	3	0	0	1	0	4	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	57	1	7	0	0	0	0	54	0	0	0	0	0	0	34	1	3	5	3	21	0	0	0	0	0	1	5	5	2	0	2	0	0	0	1	0	4	12	1	0	62	11	0	3	0	0	0	0	192	1	0	19	7	9	1
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__MBNT15;D_4__uncultured organism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Dysgonomonadaceae	14	7	0	0	15	11	0	0	11	0	0	0	52	38	0	39	5	2	7	0	21	0	6	139	4	0	0	76	56	22	28	25	0	114	0	45	5	0	0	0	0	0	0	6	0	0	0	18	0	0	185	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	37	55	0	275	0	4	0	0	7	0	54	38	2	0	0	0	0	0	0	8	111
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__P3OB-42	0	0	0	7	0	0	0	0	0	0	4	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	5	0	3	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Sandaracinaceae	0	0	0	2	0	0	0	0	2	0	11	62	0	0	0	13	1	6	1	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	33	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	3	0	0	0	3	16	5	0	16	3	2	0	12	0	8	0	0	0	41	50	37	0	0	0	1	1	0	0	0	0	96	1	0	1
D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira;D_3__Nitrospirales;D_4__Nitrospiraceae	1	0	5	55	0	0	1	0	0	1	74	1	10	0	0	60	0	6	13	0	0	0	0	0	0	0	8	0	0	5	3	5	0	3	1	1	0	0	0	0	0	0	0	2	0	2	6	122	0	9	0	0	0	3	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	8	16	0	1	0	0	0	0	6	0	56	81	77	0	0	0	0	0	9	4	20	19	122	10	1	0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__Microtrichaceae	0	4	85	376	5	3	1	0	38	1	10	10	14	2	0	43	19	10	5	2	1	21	3	1	3	20	9	1	0	14	8	25	0	15	11	2	0	1	0	0	0	0	0	3	10	4	0	0	1	26	4	0	5	5	8	36	20	31	0	25	8	0	1	1	1	1	11	7	6	23	25	13	18	93	159	70	18	15	12	19	11	5	43	5	6	2	28	46	110	0	4	8	0	6	0	1	8	5	132	13	12	2
D_0__Bacteria;D_1__Planctomycetes;D_2__OM190;D_3__uncultured bacterium;D_4__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	6	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Stappiaceae	0	4	3	3	3	0	23	1	1	0	2	91	10	9	0	11	33	10	0	0	3	4	0	0	4	0	8	0	0	15	13	12	0	12	5	0	0	0	0	0	8	0	1	0	0	2	2	1	8	26	0	3	1	0	0	0	0	0	1	0	0	0	3	0	10	11	8	0	7	103	228	39	43	2	88	5	0	1	1	2	2	0	0	0	0	0	1	17	8	0	12	4	0	7	0	0	0	2	8	2	31	4
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Hydrogenophilaceae	24	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	16	0	0	0	0	59	0	29	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Sanguibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Intrasporangiaceae	0	0	30	110	1	2	0	0	0	2	62	83	14	3	0	25	5	1	5	0	0	6	1	4	11	3	0	20	0	11	25	107	0	20	20	6	0	0	0	2	0	0	0	0	0	2	4	10	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	2	7	37	17	4	0	20	22	3	0	19	0	0	20	5	27	0	0	0	0	11	18	0	0	0	6	12	0	5	3	3	7	2	19	3
D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured bacterium;D_3__uncultured bacterium;D_4__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Saccharospirillaceae	0	8	18	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	7	0	33	33	113	0	10	23	6	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	8	13	15	20	959	14	13	632	0	0	0	0	0	0	9	0	0	4	0	0	11	0	0	0	2	0	0	0	0	0	4	4	38	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Tenderiales;D_4__Tenderiaceae	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	6	2	18	3	2	1	0	9	16	6	0	10	0	0	0	0	12	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	11	0	0	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Micrococcaceae	0	13	34	59	0	0	2	2	4	56	160	94	11	7	24	41	8	183	596	67	6	4	37	33	2	103	7	56	29	10	34	25	3	9	25	3	3	3	0	1	0	1	0	0	8	1	7	203	0	4	3	3	0	0	0	0	0	0	9	0	0	5	0	0	5	4	4	8	0	7	5	3	2	10	11	10	0	0	0	1	0	0	0	0	4	9	16	29	27	0	0	0	1	0	26	4	15	2	3	11	0	4
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__NB1-j;D_4__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	3	0	0	0	0	7	4	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__bacteriap25	0	4	7	49	0	0	0	0	4	0	15	0	2	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Micavibrionales;D_4__uncultured	1	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	9	0	3	0	0	11	0	0	0	0	0	0	0	0	12	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micromonosporales;D_4__Micromonosporaceae	0	4	0	96	0	0	0	0	0	0	21	0	5	2	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0	28	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 2;__	0	0	1	32	0	0	0	0	0	14	3	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales;D_4__Parvularculaceae	0	0	0	2	1	0	0	0	0	0	3	1	25	0	0	12	2	3	7	0	0	1	0	0	0	0	6	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	6	0	1	1	0	0	0	8	60	0	0	0	0	0	3	0	3	0	0	0	0	0	7	1	1	0	19	4	2	0	0	33	34	18	0	1	0	0	0	0	404	0	0	0	15	46	57	0	0	1	1	0	1	2	4	1	40	45	3	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Xanthomonadales;D_4__Xanthomonadaceae	5	3	4	25	0	0	1	4	9	2	46	403	9	9	2	31	8	0	3	0	11	0	46	2	12	5	0	11	0	0	3	5	0	12	5	14	0	0	7	0	0	0	0	6	1	0	1	179	2	5	0	0	0	0	254	0	0	0	1	0	0	139	45	0	0	0	0	0	0	1	2	3	6	13	16	2	1	0	0	1	0	0	2	11	17	2	3	134	61	0	0	1	10	0	22	336	0	1	84	24	5	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;__	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	5	0	0	0	39	2	3	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	3	27	8	10	1	9	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	7	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Thalassobaculales;D_4__uncultured	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	19	0	0	0	7	17	18	0	0	0	0	0	0	0	0	0	10	4	0	0
D_0__Bacteria;D_1__Latescibacteria;__;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
D_0__Bacteria;D_1__Patescibacteria;D_2__Parcubacteria;D_3__Candidatus Kaiserbacteria;D_4__uncultured organism	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Firmicutes;D_2__Limnochordia;D_3__Limnochordales;D_4__Limnochordaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__S0134 terrestrial group;D_3__uncultured bacterium;D_4__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia;D_3__Fusobacteriales;D_4__Fusobacteriaceae	0	0	0	0	17	0	2	0	34	98	19	23	3	1	0	0	15	0	0	0	15	1	0	0	0	0	5	0	0	0	6	0	0	19	0	0	0	5	1	0	0	0	0	14	4	9	17	0	0	4	1	0	0	0	0	0	0	0	5	0	0	47	8	0	1	0	0	0	0	0	1	1	7	0	3	4	135	6	18	4	3	0	1	0	19	3	6	3	14	0	0	0	0	1	0	0	0	0	14	3	0	7
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bradymonadales;D_4__uncultured bacterium	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	6	3	1	0	0	0	0	0	0	0	1	0	0	8	4	2	0	0	0	0	0	0	0	1	2	0	0	1	0
D_0__Bacteria;D_1__Rokubacteria;D_2__NC10;D_3__Rokubacteriales;Ambiguous_taxa	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__SJA-15;D_4__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Reyranellales;D_4__Reyranellaceae	13	0	8	58	0	0	0	0	0	0	13	0	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__IMCC26256;__	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	10	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Porticoccaceae	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	18	2	0	1	0	0	2	1	0	3	4	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	5	9	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	61	0	3	6	0	88	9	11	0	3	0	0	0	0	0	0	0	0	31	28	61	0	1	0	0	0	0	0	4	2	20	8	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Methylococcales;D_4__Methylococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__BD2-11 terrestrial group;Ambiguous_taxa;Ambiguous_taxa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	2	19	0	0	0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Micropepsales;D_4__Micropepsaceae	0	0	0	28	0	0	0	0	0	0	17	0	23	0	0	17	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Paenibacillaceae	3	0	0	4	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	0	0	0	0	0	0	45	0	0	0	0	0	0	0	14	0	3	0	0	0	5	3	0	6	0	2	6	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae	11	0	44	65	0	0	0	0	0	0	0	3	0	28	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	5	0	9	9	2	0	0	0	0	0	0	0	7	0	0	0	0	9	0	75	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	42	0	0	2	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__SM2D12	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales;D_4__Hyphomonadaceae	0	3	17	60	1	0	2	1	0	0	3	2	37	0	2	4	1	0	3	2	0	2	1	0	2	9	0	1	0	8	0	1	0	11	9	1	0	17	0	1245	1008	2	0	1	24	16	1	29	6	76	2	1	1	8	2	1	2	5	16	2	2	0	12	3	208	411	72	24	73	41	87	21	33	96	50	30	0	15	1	4	5	1	80	1	0	0	26	41	13	0	1	0	3	5	6	3	2	0	65	5	0	1
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Methyloligellaceae	0	6	23	81	0	0	0	0	0	0	40	0	4	0	0	49	0	0	3	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	2	0	0	8	6	2	0	0	0	4	5	39	0	1	192	4	0	1	7	0	1	0	0	1	1	0	1	31	0	1	274	20	0	21	26	4	0	4	24	1	15	3	6	0	0	0	13	0	0	0	37	36	8	0	4	0	0	1	4	0	0	4	101	7	24	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales;D_4__Solirubrobacteraceae	0	0	28	176	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
D_0__Bacteria;D_1__Dependentiae;D_2__Babeliae;D_3__Babeliales;D_4__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Chloroflexi;D_2__Dehalococcoidia;D_3__MSBL5;D_4__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
