#OTU ID	BRA10522F	BRA10523F	BRA11061F	BRA11062F	BRA11071F	BRA11072F	BRA11081F	BRA11082F	BRA11481F	BRA11482F	BRA11623F	BRA11625F	BRA11631F	BRA11673F	BRA11674F	BRA11681F	BRA11682F	BRA11711F	BRA11712F	BRA11723F	BRA11731F	BRA11732F	BRA11741F	BRA11742F	BRA11743F	BRA11751F	BRA11821F	BRA11841F	BRA11842F	BRA11851F	BRA11852F	BRA11853F	BRA11861F	BRA11862F	BRA11863F	BRA11864F	BRA11881F	BRA11883F	BRA11884F	BRA11993F	BRA11994F	BRA12002F	BRA12012F	BRA12031F	BRA12032F	BRA12051F	BRA12053F	BRA12061F	BRA12071F	BRA12111F	BRA12332F	BRA12361F	BRA12543F	BRA12563F	BRA12571F	BRA12573F	BRA12581F	BRA12582F	BRA12583F	BRA12641F	BRA12651F	BRA12662F	BRA12691F	BRA12791F	BRA12801F	BRA12813F	BRA12821F	BRA12841F	BRA12851F	BRA12852F	BRA12881F	BRA12882F	BRA12883F	BRA12891F	BRA12892F	BRA12911F	BRA4611F	BRA4612F	BRA4613F	BRA4614F	BRA4632F	BRA4635F	BRA5171F	BRA5233F	BRA5421F	BRA5422F	BRA9742F	BRA9743F	BRA9744F	BRA9751F	BRA9761F	BRA9771F	BRA9772F	BRA9773F	BRA9783F	BRA9792F	BRA9793F	BRA9811F	BRA9812F	BRA9813F	BRA9841F	BRA9852F
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae	8	19	657	438	21	24	4	0	73	4	375	72	169	10	0	353	115	32	67	6	14	60	3	19	13	21	16	115	16	150	76	592	2	113	137	16	3	2	4	15	19	24	6	4	4	11	2	671	22	9022	46	6	7	14	13	11	14	10	5	4	8	52	35	5	265	1748	37	3	153	560	219	33	59	134	324	95	7	82	27	28	43	2	689	46	249	1	908	2874	9451	3	45	47	73	72	4680	5889	589	841	2000	1679	92	5
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae	343	591	21004	18737	420	873	2245	672	309	19	970	2020	813	203	159	2342	716	193	195	102	265	1691	229	170	367	100	100	18389	230	702	2632	10143	3	933	433	196	9	108	18	26966	12015	1109	42	78	490	839	51	131	232	7306	372	1104	241	222	181	191	636	701	290	936	44	379	1177	266	16703	21699	2788	1853	8101	15738	18439	3757	9818	4455	10496	3068	3021	3497	1135	7185	4299	2388	5138	999	311	131	606	584	2753	14	1767	480	589	512	5	193	132	186	505	236	2336	159
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Gammaproteobacteria Incertae Sedis;D_4__Unknown Family	0	8	4	53	0	3	0	0	5	0	16	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	2	94	0	26	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	5	0	4	0	0	0	0	13	14	9	5	7	1	0	0	0	118	3	20	0	45	62	57	0	2	0	3	0	7	4	1	0	140	6	0	0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae	112	15	137	123	2	0	3	3	0	54	0	0	0	122	4	0	18	41	62	31	0	0	0	2	0	21	1647	4	8	0	5	10	14023	4	5	4	3	10	6	87	10	30	10616	12	55	62	12	172	0	15	43	9	7	38	40	6	26	38	206	36	31	31	424	45	37	0	8	19	9	7	14	31	43	15	26	42	12	13	19	78	20	3	8	2	11	3	7	12	74	26	19	0	14	0	1149	8	4	0	22	20	3	3
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Microbacteriaceae	12	0	0	32	0	0	0	0	4	0	34	58	9	6	0	13	12	0	0	3	0	2	71	15	17	173	1	9	0	8	2	5	0	16	2	22	0	0	11	0	0	0	3	0	0	0	0	33	0	19	12	0	0	21	0	7	1	4	6	0	0	0	47	0	0	0	0	0	0	2	1	5	4	0	0	2	0	4	3	0	0	0	918	115	9	2	2	30	10	0	2	0	0	5	0	38	0	9	13	10	10	1
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae	0	0	0	11	0	0	0	0	0	36	1	35	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	18	111	0	0	0	0	0	0	9	7	0	11	14	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae	4	4	63	80	1	2	9	0	0	23	0	0	0	4	13	0	1	0	10	21	18	2	0	0	3	0	9	41	0	0	47	3	2	90	58	7	2	1	2	35	0	0	47	6	31	517	1366	66	3	120	13	30	23	170	83	52	827	1567	483	1231	893	333	15	0	0	0	0	0	7	0	0	2	53	171	97	822	3	1	2	69	9	0	0	0	60	0	8	7	22	6	0	0	0	5	5970	6	3	0	5	5	1	0
D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae;D_3__Subgroup 7;__	0	0	0	33	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	10	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales;D_4__Caulobacteraceae	4	3	17	46	0	0	2	16	0	0	13	0	9	3	9	10	6	68	114	38	4	3	19	7	3	56	0	26	31	13	21	11	2	10	11	0	0	0	4	1	1	0	0	0	1	0	0	45	2	0	0	0	3	0	71	0	0	0	0	0	0	539	5	0	20	0	0	5	0	0	0	0	0	2	0	0	0	1	0	1	0	2	5	0	12	1	16	74	21	0	0	0	5	0	7	64	0	4	23	77	9	3
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;__	0	0	13	25	7	0	0	1	2	0	5	1	0	8	0	0	4	19	49	0	3	2	0	0	0	0	42	0	0	0	0	0	0	0	0	8	0	8	6	0	6	0	0	7	0	3	0	0	12	0	102	40	0	16	4	17	3	12	2	0	11	5	2	0	0	0	0	294	35	0	12	116	27	54	0	14	0	0	0	35	4	0	0	0	0	0	0	16	0	2	0	0	0	0	0	0	0	1	3	0	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidetes vadinHA17	12	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	42	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Thiotrichales;D_4__Thiotrichaceae	2	4	25	1153	19	26	22	4	152	0	31	596	118	4	40	24	6	8	25	16	7	2	1	4	14	65	0	2	6	161	0	7	0	5	0	13	0	198	0	4864	28538	99	2	0	74	51	0	0	2	44	0	4	29	18	32	15	11	23	28	5	11	7	137	56	74	23	14	23	593	685	2967	351	473	214	711	61	1	20	0	0	42	2	1	13	0	7	21	22	100	0	21	3	7	54	0	3	2	2	23	4	16	9
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Rhodopirillaceae	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	6	17	4	0	0	0	0	0	0	0	0	0	18	5	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae	7	0	66	65	0	0	0	0	0	0	0	0	0	21	4	0	0	0	2	7	0	0	0	0	0	1	2	0	2	0	7	0	16	10	4	2	3	0	3	19	0	0	18	3	16	25	172	8	0	158	9	7	8	41	20	10	221	527	186	349	254	99	3	0	0	0	0	0	0	0	0	0	0	6	0	2	3	0	0	0	8	0	0	0	165	3	1	2	6	3	0	0	0	0	272	0	0	0	0	2	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__uncultured;D_4__uncultured proteobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae	282	173	708	1056	433	106	259	191	268	275	982	1479	228	69	47	293	165	150	242	158	150	65	28	92	183	60	76	67	5	34	242	22	148	533	173	62	5	0	29	257	51	21	248	36	83	1259	8021	279	94	298	3646	1920	275	489	167	182	1952	3061	861	2703	1949	4239	141	13	8	1	7	168	352	98	200	828	791	979	526	1632	15	6	16	183	202	141	256	122	150	17	319	1397	920	103	83	76	160	209	2690	5096	174	138	1897	776	1023	240
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prolixibacteraceae	24	0	6	3	3	21	2	0	9	0	21	19	40	0	1	0	113	5	20	0	0	50	48	86	42	13	35	3	4	0	0	0	0	5	0	48	0	2	2	17	4	5	0	8	0	9	2	2	0	0	17	125	42	0	9	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	29	0	1	2	2	8	4	4	0	14	3	113	4	0	1	106	137	89	0	3	0	59	9	6	39	19	9	19	4	19	15
D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia;D_3__Saccharimonadales;D_4__Saccharimonadaceae	0	0	119	9	3	6	7	1	2	0	4	1	2	0	0	0	5	15	10	0	4	7	0	0	2	2	1	0	0	3	2	9	30	5	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	18	1	5	6	0	8	28	1	1	4	0	0	0	4	12	2	6	2	10	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	1
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bacteriovoracaceae	0	0	2	48	7	0	0	0	4	0	0	4	0	0	0	0	1	0	4	0	0	0	0	0	3	0	0	1	0	1	0	19	0	0	5	0	0	5	0	9	187	0	0	0	0	1	0	6	0	68	2	0	0	0	0	0	0	0	0	0	0	10	0	0	2	13	0	3	7	5	0	0	3	11	5	4	2	12	0	0	4	0	140	4	3	0	52	57	15	0	0	0	2	0	0	0	0	0	31	68	6	0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__SBR1031;D_4__A4b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Shewanellaceae	27	43	0	0	30	3	0	0	218	0	176	261	59	21	0	10	129	11	13	3	6	9	49	18	70	11	7	109	3	1064	73	234	2	69	46	25	7	53	0	58	57	10746	0	32	4	1	0	0	4	6	0	4	1	0	11	5	0	1	19	4	2	1	2	0	1	0	2	0	6	20	95	74	93	65	119	73	108	406	54	141	113	86	93	45	0	6	452	100	245	17	7	654	72	77	68	49	79	33	137	29	200	16
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Nitrincolaceae	20	16	19	1	37	0	0	61	4	0	3	6	37	6547	35621	27	41	191	770	319	16	0	103	0	0	0	6	14	2	11	12	51	0	40	26	3	0	0	19	19	6	5	0	1	5	36	56	16	1	45	0	0	0	1	2	1	2	1	5	0	0	0	9	1	22	0	1	0	0	30	30	12	11	2	10	10	20	21	15	11	0	4	102	0	0	0	2	6	22	0	0	0	2	0	0	0	0	0	5	0	8	72
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiales Incertae Sedis	1	3	169	77	8	11	17	1	1	0	30	117	1	1	0	31	4	8	24	0	3	59	2	0	5	0	13	3	2	4	2	15	1	16	6	3	0	4	1	18	3	6	0	2	2	14	0	95	7	37	61	7	1	0	1	12	4	7	13	3	0	2	3	2	20	7	20	2	205	521	139	15	4	84	205	14	10	0	1	19	0	0	635	1	0	1	27	41	125	0	6	8	2	11	3	15	15	7	47	14	1	1
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae	4	0	13	20	31	0	0	0	0	0	28	1	29	0	0	65	39	1	19	1	6	13	5	35	14	13	0	21	26	151	109	9637	0	53	160	29	1	0	0	0	0	0	0	0	3	1	0	272	1	26	0	0	0	0	0	0	1	0	0	0	0	27	0	0	1	0	0	0	61	36	0	0	14	41	15	29	0	0	0	0	6	0	219	0	79	1	7	6	55	4	1	22	10	39	0	1	4	6	3	0	1	2
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Deltaproteobacteria Incertae Sedis;D_4__Unknown Family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae	95	10	47	212	16	5	13	90	36	4	193	2725	69	83	21	88	17	77	161	80	52	10	50	32	23	22	113	24	16	17	16	20	9	8	7	29	5	5	148	4	1	1	135	198	5	350	39	142	7374	14491	35	34	524	2138	543	34	82	107	75	85	74	394	75	3	9	1	16	4	17	32	31	31	34	31	56	50	583	998	278	98	491	276	1148	35	284	12	198	381	164	153	106	2	308	101	23	122	12	14	100	438	100	4
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Anaerolineales;D_4__Anaerolineaceae	24	0	16	0	0	0	2	1	0	0	6	0	0	69	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	36	0	17	0	5	0	33	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	1	0	0	11	0	0	1
D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Veillonellaceae	0	0	0	0	0	0	8	0	20	1126	0	0	0	6	0	0	0	10	0	2	0	0	0	0	1	1	7	14	2	3	38	1	0	121	13	2	0	0	1	3	0	1	0	5	7	111	1634	14	0	16	2	0	25	48	20	24	227	556	127	387	256	531	3	2	4	0	3	0	1	1	3	6	79	27	34	260	0	2	0	0	0	0	2	0	61	0	7	10	33	0	0	0	1	0	220	13	7	4	22	21	0	0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiales vadinBB60 group	2	0	90	195	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	11	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Microbulbiferaceae	0	1	50	58	5	1	4	0	2	0	1	2	0	0	0	0	0	0	0	0	0	6	0	0	1	1	0	0	0	2	1	3	0	0	0	0	0	0	0	16	27	3	0	1	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	9	0	2	8	3	0	3	20	19	12	170	41	23	63	26	19	13	4	0	5	2	0	1	0	1	0	6	1	0	0	1	1	2	7	12	0
