sample_id	species
154	BRA4952H	Parasesarma_pictum
155	BRA5182H	Parasesarma_bidens
156	BRA5211H	Sarmatium_germaini
157	BRA5212H	Sarmatium_germaini
158	BRA5221H	Chasmagnathus_convexus
159	BRA5222H	Chasmagnathus_convexus
160	BRA5223H	Chasmagnathus_convexus
161	BRA5224H	Chasmagnathus_convexus
162	BRA5232H	Parasesarma_pictum
163	BRA5233H	Parasesarma_pictum
164	BRA5421H	Metopograpsus_frontalis
165	BRA5422H	Metopograpsus_frontalis
166	BRA5431H	Metopograpsus_frontalis
167	BRA5433H	Metopograpsus_frontalis
168	BRA5441H	Metaplax_longipes
169	BRA5442H	Metaplax_longipes
170	BRA5451H	Orisarma_patshuni
171	BRA5452H	Orisarma_patshuni
172	BRA5601H	Neosarmatium_indicum
173	BRA5621H	Parasesarma_ungulatum
174	BRA5623H	Parasesarma_ungulatum
175	BRA5672H	Episesarma_versicolor
176	BRA5673H	Episesarma_versicolor
177	BRA8221H	Orisarma_dehaani
178	BRA8251H	Metaplax_longipes
179	BRA8252H	Metaplax_longipes
180	BRA8253H	Metaplax_longipes
181	BRA8272H	Orisarma_sinense
182	BRA8273H	Orisarma_sinense
183	BRA9742H	Episesarma_versicolor
184	BRA9743H	Episesarma_versicolor
185	BRA9744H	Episesarma_versicolor
186	BRA9761H	Episesarma_singaporense
187	BRA9762H	Episesarma_singaporense
188	BRA9771H	Episesarma_singaporense
189	BRA9772H	Episesarma_singaporense
190	BRA9773H	Episesarma_singaporense
191	BRA9781H	Episesarma_mederi
192	BRA9782H	Episesarma_mederi
193	BRA9783H	Episesarma_mederi
194	BRA9791H	Episesarma_mederi
195	BRA9792H	Episesarma_mederi
196	BRA9793H	Episesarma_mederi
197	BRA9811H	Episesarma_chentongense
198	BRA9812H	Episesarma_chentongense
199	BRA9813H	Episesarma_chentongense
200	BRA9841H	Parasesarma_eumolpe
201	BRA9851H	Parasesarma_peninsulare
202	BRA9852H	Parasesarma_peninsulare
203	BRA9855H	Parasesarma_peninsulare
204	BRA9861H	Neosarmatium_smithi
205	BRA9872H	Neosarmatium_smithi
206	BRA9873H	Neosarmatium_smithi
