#OTU ID	BRA10151M	BRA10522M	BRA10523M	BRA10972M	BRA11062M	BRA11071M	BRA11072M	BRA11081M	BRA11082M	BRA11481M	BRA11623M	BRA11625M	BRA11631M	BRA11673M	BRA11674M	BRA11681M	BRA11682M	BRA11711M	BRA11712M	BRA11713M	BRA11721M	BRA11723M	BRA11731M	BRA11741M	BRA11742M	BRA11743M	BRA11751M	BRA11752M	BRA11821M	BRA11823M	BRA11841M	BRA11851M	BRA11852M	BRA11854M	BRA11861M	BRA11862M	BRA11863M	BRA11872M	BRA11881M	BRA11883M	BRA11972M	BRA11981M	BRA12001M	BRA12002M	BRA12011M	BRA12012M	BRA12013M	BRA12021M	BRA12022M	BRA12023M	BRA12032M	BRA12042M	BRA12043M	BRA12051M	BRA12052M	BRA12062M	BRA12111M	BRA12331M	BRA12332M	BRA12351M	BRA12352M	BRA12353M	BRA12541M	BRA12542M	BRA12551M	BRA12552M	BRA12553M	BRA12562M	BRA12563M	BRA12572M	BRA12573M	BRA12582M	BRA12591M	BRA12601M	BRA12602M	BRA12632M	BRA12641M	BRA12651M	BRA12661M	BRA12662M	BRA12673M	BRA12681M	BRA12691M	BRA12792M	BRA12803M	BRA12821M	BRA12831M	BRA12832M	BRA12851M	BRA12852M	BRA12862M	BRA12871M	BRA12883M	BRA12891M	BRA12912M	BRA12922M	BRA4611M	BRA4612M	BRA4631M	BRA4632M	BRA4752M	BRA4771M	BRA5182M	BRA5221M	BRA5222M	BRA5231M	BRA5601M	BRA5624M	BRA5671M	BRA5672M	BRA8221M	BRA8271M	BRA8272M	BRA9742M	BRA9743M	BRA9744M	BRA9751M	BRA9761M	BRA9762M	BRA9771M	BRA9772M	BRA9773M	BRA9783M	BRA9791M	BRA9792M	BRA9793M	BRA9811M	BRA9812M	BRA9813M	BRA9841M	BRA9852M	BRA9872M	BRA9873M
D_0__Bacteria;D_1__Rokubacteria;D_2__NC10;D_3__Rokubacteriales;D_4__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Solibacterales;D_4__Solibacteraceae (Subgroup 3)	0	0	0	0	0	0	0	0	0	12	9	2	2	0	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	116	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	3	0	0
D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Izimaplasmatales;D_4__uncultured bacterium	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7	4	6	9	1	9	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Neisseriaceae	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	10	0	1	0	0	0	2	0	5	4	0	96	0	0	0	24	0	85	0	71	6	0	0	0	0	0	0	1	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	9	0	0	0	0	0	0	0	5	14	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia;D_3__Saccharimonadales;D_4__uncultured bacterium	0	3	0	0	1	0	0	2	0	8	6	12	2	0	0	5	0	2	2	2	1	3	1	0	0	0	0	0	2	0	70	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	18	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	3	0	7	325	4	5	0	0	11	0	0	0	0	0	0	0	0	0	2	4	4	6	11	3	3	0	1	11	2	0	0	0	3	10	0	6	58	16	36	0	0	1	4	0	0	0	3	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	3	4	2
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Rhodocyclaceae	14	0	0	0	0	0	0	20	2	4	5	0	3	48	0	2	0	52	34	30	1	0	25	5	23	9	4	19	4	0	7	5	8	4	6	1	0	98	0	0	68	0	0	0	0	0	48	3	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	3	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	1	1	5	0	0	0	3	5	0	10	7	23	2	1	2	7	1	26	8	14	1	30	1	2	0	89	64	23	12	4	9	6	3	5
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	5	0	8	0	0	1	4	1	0	0	19	0	0	0	0	0	0	0	0	10	0	34	16	0	0	16	84	172	14	6	0	0	4	12	46	104	3232	0	12	0	0	0	0	0	0	36	20	13	39	126	67	1	27	85	27	0	0	50	0	0	80	38	19	0	15	0	8	0	0	0	51	50	40	0	0	0	1	0	0	0	3	0	104	0	0	0	0	27	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0
D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae;D_3__Subgroup 7;D_4__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	21	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Magnetospiraceae	0	0	1	0	0	0	0	65	0	9	11	149	0	0	10	0	0	1	60	0	0	0	151	4	31	23	0	15	2	260	11	12	0	55	7	0	0	17	1	1	0	216	11	0	0	0	17	19	0	18	0	0	0	0	0	1311	204	90	25	16	48	29	0	28	8	0	123	70	43	142	16	127	35	0	0	17	0	3	71	24	14	64	11	64	86	4	0	0	2	23	2	5	7	12	0	0	0	0	8	8	177	7	10	10	173	45	6	0	0	0	23	21	17	21	48	17	14	0	0	0	0	7	0	0	99	2	0	2	39	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__VHS-B4-70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Acidaminococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	5	0	0	1	2	0	1	0	0	3	0	0	1	7	16	0	21	0	2	2	0	2	2	263	8	7	0	6	0	0	0	149	7	52	0	11	0	0	0	1	0	0	0	0	5	0	0	6	7	2	8	7	8	4	4	8	0	5	0	0	1	0	0	2	10	0	0	0	5	0	0	0	0	19	0	0	0	3	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria;D_3__OPB56;D_4__uncultured organism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Sva0485;D_4__bacterium enrichment culture clone 22(2013)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Arenicellales;D_4__Arenicellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	9	0	0	0	5	0	0	0	0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__ADurb.Bin180;D_4__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Mollicutes RF39;__	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	15	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	1	0	1	0	4	2	2	11	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	19	30	5	7	0	0	0	0	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Pseudonocardiales;D_4__Pseudonocardiaceae	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	23	0	4	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Parvibaculales;D_4__PS1 clade	0	0	0	0	0	0	0	0	0	0	1	48	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	20	208	12	0	1	0	0	0	0	0	0	17	0	0	2	14	0	0	0	0
D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured Acidobacterium sp.;D_3__uncultured Acidobacterium sp.;D_4__uncultured Acidobacterium sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Micavibrionales;D_4__Micavibrionaceae	0	0	0	0	0	0	3	0	0	0	11	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	5	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	10	0	1	0	0	0	10	0	0	0	0	0	0	0	3	29	7	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Marinifilaceae	0	0	0	0	2	0	2	59	0	0	1	0	98	32	23	242	0	1	0	4	7	66	22	0	5	9	84	0	1	55	2	5	35	14	3	5	0	27	7	105	62	1	61	36	170	216	10	15	2	2	5	1	120	1251	10530	0	29	93	21	23	28	9	11	0	9	11	20	7	44	10	3	67	23	59	78	16	29	34	74	0	1	2	4	0	0	0	0	0	0	1	0	0	3	0	16	0	0	0	0	0	17	11	24	1	4	0	8	0	0	0	4	3	0	7	0	28	1	14	0	0	0	0	2	3	13	23	3	0	3	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Thiohalorhabdales;D_4__Thiohalorhabdaceae	0	0	0	0	0	0	0	0	0	1	7	82	1	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	0	0	0	1	6	14	96	0	0	0	0	0	0	0	0	0	0	4	2	2	1	1	1	4	0	3	0	2	4	3	0	0	0	1	0	8	2	0	0	0	0	0	4	0	0	0	11	11	1	46	0	0	2	0	0	0	0	0	0	4	1	0	0	0	2	0	0	0	0	0	0	33	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Rhodothermia;D_3__Rhodothermales;D_4__Rhodothermaceae	0	1	0	0	0	0	0	4	0	0	11	15	3	0	0	2	0	7	3	2	1	0	0	0	1	0	4	0	0	1	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	4	0	9	2	3	9	0	0	0	0	0	8	0	0	1	2	1	10	2	0	10	0	0	0	0	0	16	9	0	0	3	1	4	4	4	0	8	15	2	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__B2M28;D_4__uncultured gamma proteobacterium	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	3	2	2	2	0	0	0	0	0	0	0	1	0	0	1	0	4	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae	0	0	2	0	0	0	0	0	0	7	9	40	0	3	3	5	0	0	0	0	0	1	0	0	0	1	0	0	0	0	5	0	9	0	0	2	0	0	0	0	0	1	0	0	0	2	1	4	0	1	0	0	0	3	0	0	46	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	57	10	3	0	0	0	0	0	0	0	1	792	55	0	6	495	0	0	0	0
D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales;D_4__Pirellulaceae	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Devosiaceae	0	0	0	0	1	0	0	0	0	4	4	1	1	3	1	4	1	0	1	2	0	2	1	0	6	1	3	0	3	1	12	0	7	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	11	0	0	104	0	0	0	0	0	0	4	4	0	0	1	0	7	0	0	0	0	0	0	2	0	0	0	0	1	1	0	4	2	0	1	0	0	0	0	0	0	189	14	5	0	0	0	3	0	4	4	4	45	0	0	0	0	0	0	0	0	17	3	0	2	0	0	0	0	0	0	6	5	3	37	9	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__MBNT15;D_4__uncultured organism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Dysgonomonadaceae	15	43	11	106	0	41	0	4	0	0	0	0	30	0	0	28	0	10	12	11	0	0	7	0	5	33	19	15	9	89	73	36	45	33	0	0	0	16	0	0	0	0	0	0	0	1	1	0	0	32	0	0	0	0	0	0	0	2593	71	50	21	8	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	18	0	122	18	42	44	4027	42	20	0	26	26	40	329	29	0	0	0	79	0	6	14	21	31	183	38	0	1	0	0	0	5	8	192	79
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__P3OB-42	0	0	0	0	0	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Sandaracinaceae	0	0	0	0	0	5	0	2	0	2	1	3	2	0	0	4	0	14	5	7	0	0	1	0	0	0	0	0	0	0	5	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	5	0	1	0	0	0	0	0	0	2	0	0	0	2	0	3	7	0	0	0	0	0	0	0	3	0	5	0	0	3	0	0	0	0	0	0	2	0	0	1	0	0	2	1	15	130	3	0	0	0	0	16	0	0	0	28	16	5	1	11	0	0	1	0
D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira;D_3__Nitrospirales;D_4__Nitrospiraceae	0	0	2	1	9	0	0	12	0	16	53	0	3	2	0	36	1	32	24	12	2	0	0	0	2	0	0	3	2	0	0	6	18	4	6	1	3	2	0	0	4	0	0	0	1	0	1	8	0	0	0	0	0	7	4	0	6	0	0	0	0	6	2	0	1	2	0	0	0	0	2	0	2	0	0	3	0	0	0	14	1	3	8	1	0	1	0	0	7	0	0	0	0	3	1	44	1	0	0	1	21	2	19	646	20	26	2	0	1	0	0	0	1	29	123	6	0	0	0	1	6	0	13	6	55	22	22	27	13	0	0	1	0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__Microtrichaceae	0	5	3	587	39	2	28	20	2	0	25	479	9	0	1	10	3	18	11	14	4	1	2	0	5	4	9	14	709	164	102	5	39	15	13	3	7	0	3	0	4	0	0	1	0	14	6	0	3	0	2	1	1	1	1	0	3	0	0	1	6	34	5	11	10	0	11	6	9	172	115	36	19	4	2	11	1	1	12	2	0	0	34	2	4	6	3	1	5	9	18	3	5	40	34	0	7	1	0	31	131	5	101	5035	135	113	12	4	19	0	2	8	1	29	179	35	6	1	5	5	4	0	32	6	39	41	14	72	2	0	1	10	5
D_0__Bacteria;D_1__Planctomycetes;D_2__OM190;D_3__uncultured bacterium;D_4__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Stappiaceae	0	1	4	0	3	2	0	15	9	0	6	66	7	7	3	16	0	5	1	2	0	0	2	0	0	0	0	0	0	8	80	3	440	9	15	24	0	4	0	0	7	2	0	0	3	2	1	27	35	3	0	0	3	80	8	0	149	2	6	3	7	0	0	5	1	0	0	27	0	0	1	0	5	0	0	4	0	0	0	2	0	16	0	6	6	16	1	2	3	50	5	23	36	0	0	0	1	0	1	1	13	0	14	32	6	662	2	0	0	6	0	0	0	7	15	5	12	4	0	3	3	0	2	0	5	3	2	2	1	11	3	14	10
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Hydrogenophilaceae	0	0	2	0	0	0	0	0	0	0	0	0	0	22	0	1	0	0	0	0	0	0	17	0	5	0	0	4	0	0	0	0	0	0	0	0	0	52	0	0	37	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Sanguibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Intrasporangiaceae	0	0	1	1	11	2	0	4	1	15	29	31	13	0	1	5	0	2	0	8	6	0	3	3	0	6	5	9	1	7	90	12	61	5	28	8	2	2	0	0	1	0	0	0	3	2	0	6	0	2	2	0	0	0	0	0	0	3	0	0	0	3	0	0	5	0	0	0	0	7	0	0	6	0	1	1	1	0	0	8	0	3	0	5	0	0	1	0	10	7	7	0	4	12	20	4	2	0	0	52	10	12	6	102	9	8	5	0	7	7	0	3	4	4	2	3	3	0	0	0	0	0	2	1	7	7	0	19	5	3	1	7	14
