#OTU ID	BRA10151M	BRA10522M	BRA10523M	BRA10972M	BRA11062M	BRA11071M	BRA11072M	BRA11081M	BRA11082M	BRA11481M	BRA11623M	BRA11625M	BRA11631M	BRA11673M	BRA11674M	BRA11681M	BRA11682M	BRA11711M	BRA11712M	BRA11713M	BRA11721M	BRA11723M	BRA11731M	BRA11741M	BRA11742M	BRA11743M	BRA11751M	BRA11752M	BRA11821M	BRA11823M	BRA11841M	BRA11851M	BRA11852M	BRA11854M	BRA11861M	BRA11862M	BRA11863M	BRA11872M	BRA11881M	BRA11883M	BRA11972M	BRA11981M	BRA12001M	BRA12002M	BRA12011M	BRA12012M	BRA12013M	BRA12021M	BRA12022M	BRA12023M	BRA12032M	BRA12042M	BRA12043M	BRA12051M	BRA12052M	BRA12062M	BRA12111M	BRA12331M	BRA12332M	BRA12351M	BRA12352M	BRA12353M	BRA12541M	BRA12542M	BRA12551M	BRA12552M	BRA12553M	BRA12562M	BRA12563M	BRA12572M	BRA12573M	BRA12582M	BRA12591M	BRA12601M	BRA12602M	BRA12632M	BRA12641M	BRA12651M	BRA12661M	BRA12662M	BRA12673M	BRA12681M	BRA12691M	BRA12792M	BRA12803M	BRA12821M	BRA12831M	BRA12832M	BRA12851M	BRA12852M	BRA12862M	BRA12871M	BRA12883M	BRA12891M	BRA12912M	BRA12922M	BRA4611M	BRA4612M	BRA4631M	BRA4632M	BRA4752M	BRA4771M	BRA5182M	BRA5221M	BRA5222M	BRA5231M	BRA5601M	BRA5624M	BRA5671M	BRA5672M	BRA8221M	BRA8271M	BRA8272M	BRA9742M	BRA9743M	BRA9744M	BRA9751M	BRA9761M	BRA9762M	BRA9771M	BRA9772M	BRA9773M	BRA9783M	BRA9791M	BRA9792M	BRA9793M	BRA9811M	BRA9812M	BRA9813M	BRA9841M	BRA9852M	BRA9872M	BRA9873M
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae	0	32	21	12	227	16	20	54	5	60	165	846	64	6	1	132	0	102	89	85	23	0	16	8	10	13	18	16	7	64	927	48	475	76	233	86	8	10	15	10	13	4	5	5	3	12	9	36	159	14	3	0	28	7	5	4	280	41	35	20	346	54	19	68	54	4	4	4	2	64	24	6	13	11	1	31	6	1	3	42	47	10	69	45	427	153	25	1	117	101	114	24	58	86	104	131	10	6	12	272	190	26	143	2439	176	224	66	15	212	28	34	31	9	1140	2075	1741	58	21	79	54	171	20	28	21	1851	4123	1029	1484	809	87	23	19	46
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae	7	1739	884	146	1909	212	533	3220	689	220	1565	8247	619	82	48	580	0	400	547	410	423	94	165	358	264	272	226	703	153	861	2182	4418	1470	395	670	233	39	150	28	36	318	296	242	48	462	210	55	1234	1347	1437	116	7	1125	191	57	107	5235	385	270	211	5360	208	1357	4567	6741	26	386	321	66	1878	249	506	382	54	36	439	207	136	62	933	935	251	193	787	9070	4583	1638	82	1121	1674	2163	1299	7620	739	859	16	1291	124	201	16849	603	177	302	965	694	1649	364	1246	575	147	270	361	322	175	1654	1054	361	381	274	199	973	153	76	117	837	1745	266	619	218	473	278	153	375
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Gammaproteobacteria Incertae Sedis;D_4__Unknown Family	0	0	0	0	0	1	9	4	1	0	3	4	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	1	23	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	4	4	1	5	9	0	3	0	6	0	0	0	3	0	3	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	3	29	0	0	0	5	0	0	0	5	15	71	1	0	0	13	1	5	0	2	18	49	0	0	0	0	1	0	0	20	187	3	0	4	0	0	0	1	6	0	32	5	0	3	11	0	0	0	0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae	75	1	1	7	0	2	40	0	1	0	0	0	0	6	5	0	27	106	89	1743	0	6	18	3	42	37	11	5	36	51	107	0	14	63	14	5	1	89	18	32	1392	7	56	20	3816	52	66	39	290	5	1	6571	28	10	4	5	5	21	6	6	252	132	5	153	26	3573	19	364	12	38	44	51	108	64	31	142	20	38	36	53	309	22	89	18	26	48	0	3	18	23	15	33	27	22	383	36	0	8	15	4	12	80	10	108	145	37	81	35	14	0	13	20	23	5	27	20	19	3	5	0	171	18	6	4	15	18	7	15	13	1	1	0	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Microbacteriaceae	0	2	0	0	0	0	0	3	0	9	2	89	16	0	0	0	0	0	2	0	0	0	17	6	17	27	245	348	20	2	19	8	53	4	7	27	0	2	0	8	0	0	0	0	0	0	0	6	4	7	0	3	0	0	1	0	0	2	8	4	29	17	0	44	12	1	0	5	0	0	0	0	7	1	0	14	0	0	0	0	0	0	13	0	0	0	0	0	6	1	0	3	3	0	176	0	0	2	0	12	16	36	20	192	92	37	5	0	0	0	0	2	3	4	4	18	15	0	0	0	0	1	0	2	0	15	13	15	6	10	0	0	1
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae	0	0	0	0	0	1	0	0	0	72	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	22	22	0	0	0	0	0	0	0	0	22	35	22	2	8	0	0	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae	182	0	0	0	0	0	0	8	1	0	0	0	0	6	14	0	5	4	2	5	5177	5602	0	0	2	4	6	9	26	66	56	9	157	39	900	4384	9	38	0	1	31	11	31	95	3232	72	781	12	53	11	0	430	3149	17	155	7	24	2	0	0	135	0	37	9	17	197	88	64	915	366	177	1471	281	1199	1325	344	964	592	1626	10	8	2	2	7	6	9	1	0	0	10	0	0	0	11	357	0	2	4	6	0	9	8	7	11	49	35	15	0	2	0	0	1	7	9	24	5	16	0	0	0	0	0	0	0	5	14	6	18	1	1	1	0	0
D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae;D_3__Subgroup 7;__	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales;D_4__Caulobacteraceae	0	6	1	0	0	3	10	4	4	0	2	1	2	47	9	1	29	77	67	80	6	12	4	4	13	16	20	0	41	90	141	8	41	11	11	10	1	0	0	9	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	2	7	2	0	0	0	0	0	16	3	0	6	1	0	4	0	0	1	0	0	0	0	0	0	0	21	0	0	1	22	65	0	0	0	7	2	0	0	0	300	11	22	0	0	2	0	1	1	0	1	5	16	0	0	6	0	2	0	27	23	85	0	0	2	0	1	0	2	4	7	4	4	38	7	4	0	0	2
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;__	0	0	3	6	6	0	0	1	2	3	15	0	0	3	50	2	0	99	3833	62	22	0	7	14	3	0	3	0	58	5	8	5	22	0	10	9	6	25	12	19	34	24	1	89	176	228	77	0	0	7	0	0	0	0	6	0	0	137	49	82	14	5	0	0	2	0	1	6	8	6	4	21	4	12	0	2	0	0	5	119	173	1	3	0	6	3	685	7184	0	0	0	31	24	0	8	14	0	0	2	0	14	0	0	0	5	4	4	0	0	0	0	1	0	0	4	3	2	0	0	0	0	0	0	0	6	2	1	0	0	0	12	0	0
