feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t38	0.029	0.015	0.031	0.029	0.014	0.023	0.041	0.082	0.026	0.012	0.028	0.017	0.042	0.019	0.036	0.038	0.029	0.023	0.031	0.043	0.039	0.042	0.031	0.033	0.031	0.085	0.034	0.029	0.046	0.018
t37	0.034	0.008	0.026	0.027	0.021	0.02	0.067	0.073	0.029	0.007	0.029	0.01	0.05	0.024	0.042	0.038	0.043	0.026	0.028	0.045	0.037	0.064	0.028	0.03	0.039	0.039	0.035	0.029	0.034	0.017
t48	0.023	0.011	0.023	0.027	0.013	0.018	0.065	0.13	0.038	0.014	0.024	0.01	0.041	0.02	0.044	0.025	0.025	0.024	0.03	0.064	0.03	0.045	0.027	0.029	0.037	0.044	0.032	0.029	0.034	0.024
t34	0.029	0.009	0.018	0.026	0.021	0.017	0.062	0.098	0.029	0.01	0.027	0.009	0.043	0.018	0.035	0.033	0.038	0.027	0.035	0.036	0.038	0.055	0.027	0.031	0.049	0.06	0.034	0.031	0.037	0.018
t30	0.022	0.01	0.026	0.032	0.026	0.022	0.073	0.08	0.034	0.01	0.025	0.009	0.05	0.024	0.031	0.049	0.028	0.025	0.033	0.038	0.041	0.046	0.028	0.025	0.043	0.053	0.031	0.028	0.04	0.017
t11	0.024	0.02	0.031	0.028	0.021	0.016	0.049	0.076	0.032	0.01	0.025	0.014	0.054	0.019	0.046	0.029	0.033	0.024	0.03	0.046	0.03	0.061	0.027	0.03	0.057	0.053	0.033	0.029	0.034	0.019
t41	0.02	0.013	0.019	0.027	0.009	0.024	0.071	0.114	0.037	0.011	0.027	0.009	0.047	0.022	0.039	0.037	0.032	0.023	0.027	0.033	0.039	0.066	0.031	0.032	0.044	0.03	0.034	0.029	0.037	0.02
t13	0.02	0.01	0.02	0.024	0.013	0.017	0.045	0.138	0.031	0.012	0.031	0.011	0.04	0.026	0.054	0.028	0.027	0.023	0.029	0.046	0.023	0.052	0.026	0.03	0.045	0.055	0.034	0.025	0.043	0.021
t25	0.027	0.009	0.022	0.023	0.014	0.017	0.075	0.124	0.025	0.019	0.029	0.017	0.036	0.019	0.031	0.028	0.028	0.023	0.032	0.035	0.03	0.052	0.029	0.033	0.037	0.065	0.033	0.029	0.04	0.02
t49	0.03	0.011	0.019	0.036	0.025	0.015	0.05	0.146	0.029	0.01	0.025	0.012	0.046	0.016	0.04	0.029	0.02	0.022	0.029	0.045	0.034	0.054	0.029	0.026	0.046	0.045	0.03	0.028	0.036	0.019
t36	0.027	0.015	0.022	0.031	0.027	0.02	0.036	0.096	0.033	0.021	0.026	0.012	0.044	0.017	0.037	0.036	0.021	0.022	0.031	0.055	0.045	0.049	0.032	0.031	0.049	0.03	0.033	0.032	0.047	0.023
t15	0.023	0.009	0.023	0.03	0.016	0.017	0.065	0.143	0.031	0.019	0.027	0.01	0.043	0.021	0.038	0.03	0.029	0.023	0.026	0.038	0.038	0.045	0.028	0.029	0.044	0.04	0.034	0.027	0.037	0.017
t14	0.024	0.012	0.019	0.029	0.007	0.019	0.06	0.111	0.027	0.015	0.027	0.011	0.043	0.024	0.032	0.032	0.034	0.021	0.033	0.041	0.033	0.032	0.026	0.031	0.061	0.065	0.035	0.03	0.047	0.019
t45	0.023	0.014	0.023	0.029	0.014	0.018	0.062	0.103	0.03	0.014	0.027	0.008	0.05	0.021	0.039	0.043	0.025	0.027	0.033	0.04	0.035	0.056	0.028	0.033	0.045	0.025	0.035	0.03	0.047	0.022
t18	0.024	0.019	0.016	0.028	0.017	0.016	0.039	0.108	0.031	0.009	0.024	0.013	0.041	0.019	0.063	0.045	0.02	0.022	0.026	0.054	0.026	0.061	0.024	0.03	0.041	0.064	0.033	0.027	0.036	0.02
t20	0.025	0.012	0.023	0.027	0.03	0.021	0.057	0.149	0.029	0.011	0.024	0.013	0.037	0.021	0.039	0.036	0.024	0.019	0.027	0.035	0.039	0.045	0.025	0.028	0.043	0.05	0.033	0.028	0.033	0.017
t47	0.021	0.011	0.021	0.033	0.011	0.019	0.058	0.078	0.033	0.02	0.025	0.014	0.044	0.022	0.044	0.04	0.031	0.025	0.031	0.043	0.047	0.059	0.028	0.03	0.048	0.045	0.034	0.029	0.036	0.02
t23	0.017	0.011	0.02	0.027	0.014	0.031	0.06	0.1	0.025	0.012	0.027	0.015	0.045	0.023	0.037	0.033	0.033	0.022	0.029	0.047	0.039	0.05	0.025	0.029	0.05	0.052	0.03	0.029	0.046	0.021
t33	0.032	0.009	0.018	0.03	0.019	0.018	0.047	0.132	0.029	0.012	0.022	0.01	0.046	0.019	0.037	0.035	0.028	0.022	0.03	0.034	0.033	0.072	0.028	0.032	0.045	0.045	0.031	0.028	0.035	0.021
t10	0.019	0.011	0.021	0.03	0.013	0.016	0.065	0.165	0.027	0.01	0.023	0.009	0.051	0.018	0.028	0.043	0.022	0.021	0.024	0.041	0.045	0.05	0.026	0.026	0.037	0.05	0.028	0.025	0.04	0.018
t6	0.021	0.009	0.024	0.028	0.016	0.018	0.058	0.118	0.029	0.011	0.026	0.009	0.046	0.022	0.075	0.034	0.019	0.024	0.026	0.045	0.046	0.048	0.028	0.031	0.035	0.034	0.034	0.03	0.032	0.022
t9	0.026	0.011	0.02	0.029	0.021	0.025	0.064	0.092	0.028	0.014	0.027	0.01	0.046	0.022	0.041	0.035	0.025	0.023	0.031	0.039	0.031	0.072	0.03	0.031	0.026	0.064	0.031	0.027	0.036	0.021
t12	0.027	0.012	0.019	0.024	0.025	0.018	0.036	0.08	0.032	0.019	0.028	0.01	0.043	0.024	0.032	0.034	0.029	0.026	0.031	0.059	0.028	0.044	0.028	0.033	0.051	0.077	0.034	0.029	0.047	0.02
t4	0.022	0.013	0.025	0.03	0.019	0.021	0.051	0.085	0.033	0.012	0.031	0.015	0.057	0.022	0.042	0.03	0.034	0.023	0.029	0.028	0.032	0.05	0.026	0.036	0.05	0.052	0.036	0.033	0.045	0.019
t43	0.017	0.013	0.018	0.027	0.016	0.015	0.058	0.087	0.031	0.015	0.027	0.018	0.039	0.024	0.055	0.04	0.024	0.029	0.035	0.035	0.038	0.061	0.028	0.029	0.038	0.059	0.033	0.03	0.041	0.02
t50	0.029	0.012	0.022	0.026	0.019	0.017	0.07	0.118	0.024	0.01	0.026	0.012	0.045	0.019	0.073	0.031	0.029	0.022	0.027	0.038	0.035	0.045	0.028	0.025	0.058	0.031	0.031	0.025	0.036	0.016
t21	0.022	0.013	0.018	0.034	0.012	0.02	0.073	0.131	0.031	0.009	0.024	0.011	0.053	0.021	0.045	0.034	0.024	0.022	0.028	0.028	0.043	0.049	0.027	0.029	0.028	0.042	0.032	0.03	0.047	0.022
t44	0.021	0.01	0.017	0.032	0.014	0.016	0.05	0.123	0.032	0.015	0.026	0.012	0.054	0.02	0.037	0.034	0.02	0.024	0.036	0.034	0.035	0.068	0.029	0.027	0.047	0.045	0.033	0.029	0.04	0.021
t31	0.032	0.01	0.02	0.027	0.012	0.017	0.06	0.078	0.033	0.013	0.024	0.014	0.049	0.022	0.062	0.038	0.025	0.026	0.032	0.048	0.03	0.049	0.029	0.032	0.046	0.043	0.036	0.032	0.037	0.023
t3	0.023	0.01	0.014	0.025	0.017	0.016	0.037	0.154	0.025	0.008	0.025	0.014	0.046	0.017	0.042	0.038	0.023	0.023	0.029	0.054	0.032	0.052	0.028	0.032	0.045	0.052	0.033	0.029	0.038	0.018
t19	0.019	0.009	0.016	0.029	0.013	0.024	0.038	0.19	0.028	0.01	0.024	0.01	0.041	0.02	0.056	0.032	0.031	0.021	0.026	0.044	0.032	0.05	0.02	0.027	0.039	0.042	0.029	0.025	0.034	0.021
t17	0.023	0.01	0.028	0.031	0.013	0.022	0.039	0.107	0.026	0.02	0.025	0.014	0.051	0.026	0.048	0.029	0.029	0.027	0.032	0.054	0.031	0.038	0.031	0.029	0.043	0.045	0.032	0.03	0.043	0.021
t26	0.031	0.011	0.015	0.025	0.012	0.021	0.04	0.141	0.026	0.032	0.022	0.015	0.038	0.016	0.032	0.037	0.046	0.026	0.027	0.029	0.033	0.057	0.029	0.028	0.049	0.046	0.033	0.026	0.038	0.018
t39	0.023	0.012	0.021	0.026	0.008	0.014	0.046	0.139	0.032	0.013	0.022	0.012	0.046	0.018	0.047	0.025	0.026	0.02	0.029	0.048	0.038	0.049	0.027	0.028	0.066	0.055	0.03	0.026	0.032	0.018
t32	0.017	0.012	0.017	0.028	0.015	0.013	0.044	0.196	0.027	0.01	0.021	0.009	0.043	0.019	0.021	0.037	0.032	0.025	0.03	0.04	0.037	0.055	0.025	0.029	0.034	0.052	0.03	0.026	0.039	0.018
t8	0.03	0.013	0.018	0.028	0.016	0.019	0.056	0.119	0.026	0.013	0.022	0.008	0.04	0.022	0.06	0.039	0.024	0.022	0.027	0.045	0.023	0.047	0.026	0.028	0.054	0.053	0.031	0.026	0.043	0.02
t35	0.027	0.012	0.021	0.032	0.017	0.023	0.062	0.096	0.031	0.025	0.03	0.008	0.047	0.02	0.036	0.037	0.026	0.03	0.033	0.037	0.041	0.054	0.027	0.029	0.045	0.031	0.034	0.029	0.043	0.02
t40	0.021	0.012	0.02	0.031	0.024	0.021	0.049	0.097	0.028	0.018	0.025	0.013	0.048	0.026	0.046	0.035	0.023	0.021	0.034	0.058	0.037	0.046	0.029	0.03	0.047	0.044	0.033	0.029	0.038	0.018
