V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t136	-1.548	-4.263	-4.701	-3.873	-3.05	-3.709	-3.226	-3.878	-4.331	-3.628	-3.561	-5.624	-4.87	-2.493	-5.639	-3.087	-3.561	-2.612	-4.626	-4.606	-4.926	-3.123	-2.859	-4.178	-2.69	-5.268	-3.704	-3.986	-4.773	-3.521
t97	-2.783	-2.879	-2.002	-4.754	-3.682	-4.788	-3.16	-4.095	-5.457	-5.775	-3.731	-3.043	-4.683	-3.796	-6.711	-1.988	-2.589	-3.886	-4.252	-3.977	-2.222	-3.338	-3.124	-4.95	-3.799	-3.659	-6.476	-4.284	-5.012	-5.73
t52	-1.261	-5.352	-6.245	-3.274	-3.471	-3.869	-4.01	-3.202	-5.807	-3.158	-4.229	-7.221	-6.317	-2.703	-5.917	-4.453	-5.277	-3.861	-5.63	-6.287	-7.778	-2.992	-2.726	-3.943	-2.725	-6.792	-3.659	-4.641	-3.693	-2.092
t72	-3.925	-5.251	-4.389	-6.365	-2.57	-4.806	-3.662	-7.057	-2.355	-5.784	-4.415	-6.994	-3.708	-2.965	-6.676	-2.701	-4.523	-2.499	-4.626	-3.747	-3.53	-6.172	-5.626	-7.005	-0.968	-5.624	-3.085	-6.812	-7.359	-7.005
t151	-1.416	-4.219	-4.692	-3.661	-3.235	-3.749	-3.317	-3.511	-4.86	-3.578	-3.616	-5.515	-5.196	-2.622	-5.703	-3.241	-3.654	-2.965	-4.766	-4.901	-5.232	-2.85	-2.624	-3.97	-2.996	-5.331	-4.034	-3.924	-4.412	-3.241
t186	-1.153	-5.008	-6.286	-3.399	-4.006	-3.924	-3.958	-3.23	-6.022	-3.179	-4.083	-6.436	-6.381	-2.943	-5.903	-4.388	-4.373	-3.485	-5.61	-6.091	-7.103	-2.616	-2.459	-3.678	-3.953	-6.354	-4.374	-3.609	-4.294	-2.248
t25	-1.364	-3.902	-4.68	-3.558	-4.626	-4.334	-3.815	-2.807	-6.974	-3.965	-3.94	-4.477	-6.462	-3.646	-6.28	-3.797	-3.247	-3.984	-5.386	-5.776	-5.526	-2.052	-2.011	-3.478	-5.484	-5.227	-6.22	-3.027	-4.217	-3.185
t29	-2.187	-7.16	-8.22	-4.672	-3.019	-4.035	-4.526	-5.557	-3.728	-3.278	-4.832	-10.032	-5.789	-2.316	-6.017	-5.145	-6.513	-2.825	-6.08	-6.217	-8.666	-5.078	-4.623	-5.498	-1.301	-8.267	-1.537	-6.316	-5.855	-3.245
t109	-1.91	-3.141	-3.069	-4.062	-3.749	-4.264	-3.142	-3.478	-5.526	-4.646	-3.516	-3.55	-5.04	-3.355	-6.176	-2.491	-2.543	-3.367	-4.431	-4.359	-3.336	-2.638	-2.479	-4.103	-4.166	-4.104	-5.834	-3.403	-4.639	-4.431
t120	-1.615	-5.028	-6.451	-3.355	-6.802	-5.588	-5.494	-1.934	-10.938	-4.535	-5.387	-5.326	-9.498	-5.373	-7.656	-6.009	-5.023	-6.823	-7.363	-8.663	-8.866	-1.67	-1.801	-3.345	-8.196	-6.95	-8.906	-3.332	-3.37	-2.225
t116	-1.117	-4.686	-5.815	-3.614	-4.235	-3.945	-3.881	-3.267	-5.936	-3.211	-3.932	-5.929	-6.277	-3.043	-5.865	-4.222	-3.703	-3.161	-5.535	-5.841	-6.458	-2.423	-2.32	-3.519	-4.854	-6.019	-4.687	-3.37	-4.64	-2.933
t58	-1.225	-6.135	-8.015	-3.237	-5.736	-4.829	-5.371	-2.58	-9.055	-3.361	-5.25	-7.536	-8.877	-4.19	-6.89	-6.365	-5.895	-5.537	-7.304	-8.514	-10.138	-2.333	-2.303	-3.487	-6.227	-8.012	-6.161	-3.941	-3.688	-1.469
t104	-1.226	-4.833	-5.88	-3.19	-4.571	-4.333	-4.285	-2.572	-7.487	-3.565	-4.38	-5.982	-7.193	-3.55	-6.366	-4.672	-4.668	-4.639	-5.974	-6.788	-7.578	-2.247	-2.142	-3.501	-4.803	-6.409	-5.604	-3.759	-3.518	-2.178
t122	-2.927	-2.689	-2.08	-4.941	-4.779	-5.309	-3.546	-3.921	-6.82	-6.23	-4.005	-2.258	-5.499	-4.621	-7.201	-2.356	-2.152	-4.469	-4.698	-4.474	-2.152	-2.957	-2.882	-4.793	-5.724	-3.524	-8.137	-3.58	-5.321	-5.983
t2	-2.701	-2.705	-2.064	-4.537	-4.226	-5.003	-3.333	-3.649	-6.483	-5.91	-3.851	-2.524	-5.253	-4.21	-6.94	-2.202	-2.487	-4.419	-4.473	-4.383	-2.441	-2.916	-2.771	-4.677	-4.644	-3.578	-7.442	-3.729	-4.713	-5.348
t81	-1.35	-4.557	-6.078	-3.814	-6.374	-5.004	-4.824	-2.667	-8.971	-4.028	-4.645	-4.835	-8.21	-4.689	-6.912	-5.233	-3.411	-4.786	-6.647	-7.257	-7.038	-1.66	-1.824	-3.185	-8.459	-6.149	-7.871	-2.529	-4.781	-3.199
t49	-2.836	-2.72	-2.573	-4.971	-5.982	-5.733	-4.05	-3.57	-8.327	-6.347	-4.316	-1.844	-6.581	-5.376	-7.597	-3.042	-1.872	-5.035	-5.349	-5.271	-2.673	-2.408	-2.496	-4.413	-7.894	-3.715	-9.609	-2.849	-5.518	-5.933
t96	-1.46	-3.656	-3.994	-3.533	-3.927	-4.134	-3.454	-2.903	-6.205	-4.043	-3.711	-4.374	-5.78	-3.282	-6.099	-3.224	-3.263	-3.769	-4.91	-5.214	-4.924	-2.294	-2.159	-3.678	-4.296	-4.889	-5.599	-3.442	-3.967	-3.378
