feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t12	0.027	0.061	0.053	0.031	0.022	0.028	0.022	0.032	0.021	0.039	0.029	0.023	0.028	0.082	0.033	0.044	0.016	0.018	0.029	0.032	0.066	0.042	0.044	0.024	0.023	0.031	0.012	0.031	0.028	0.03
t18	0.028	0.069	0.054	0.033	0.024	0.029	0.023	0.03	0.016	0.035	0.039	0.023	0.032	0.027	0.036	0.033	0.022	0.021	0.043	0.035	0.037	0.053	0.041	0.024	0.033	0.035	0.023	0.037	0.035	0.029
t38	0.025	0.062	0.054	0.032	0.031	0.024	0.035	0.029	0.025	0.038	0.028	0.028	0.039	0.043	0.034	0.036	0.014	0.019	0.027	0.033	0.06	0.058	0.038	0.028	0.03	0.035	0.013	0.031	0.03	0.022
t20	0.024	0.074	0.053	0.029	0.022	0.025	0.02	0.029	0.033	0.039	0.031	0.021	0.029	0.036	0.032	0.051	0.018	0.02	0.04	0.029	0.058	0.037	0.039	0.024	0.032	0.031	0.027	0.03	0.036	0.031
t46	0.026	0.08	0.068	0.041	0.017	0.02	0.023	0.027	0.019	0.04	0.029	0.022	0.036	0.031	0.035	0.027	0.023	0.016	0.041	0.034	0.046	0.048	0.046	0.027	0.029	0.034	0.015	0.033	0.039	0.027
t21	0.023	0.063	0.053	0.028	0.023	0.023	0.018	0.033	0.02	0.037	0.029	0.022	0.033	0.074	0.032	0.044	0.019	0.015	0.045	0.033	0.035	0.063	0.032	0.024	0.025	0.03	0.024	0.04	0.032	0.029
t43	0.024	0.063	0.034	0.034	0.027	0.029	0.018	0.032	0.026	0.031	0.032	0.021	0.033	0.037	0.033	0.068	0.028	0.021	0.033	0.033	0.049	0.043	0.04	0.027	0.029	0.034	0.017	0.038	0.031	0.034
t27	0.025	0.066	0.04	0.03	0.02	0.03	0.025	0.03	0.027	0.038	0.034	0.023	0.042	0.069	0.036	0.029	0.019	0.018	0.039	0.032	0.029	0.049	0.038	0.025	0.028	0.032	0.018	0.035	0.038	0.035
t23	0.023	0.067	0.048	0.034	0.025	0.025	0.026	0.028	0.015	0.034	0.033	0.026	0.039	0.035	0.034	0.05	0.026	0.021	0.033	0.028	0.046	0.04	0.04	0.026	0.03	0.032	0.033	0.044	0.037	0.022
t8	0.029	0.074	0.039	0.035	0.022	0.028	0.028	0.035	0.03	0.037	0.031	0.024	0.029	0.059	0.034	0.035	0.025	0.016	0.035	0.029	0.037	0.045	0.04	0.027	0.029	0.033	0.014	0.028	0.029	0.045
t31	0.027	0.054	0.065	0.031	0.015	0.026	0.017	0.036	0.029	0.037	0.028	0.026	0.03	0.055	0.032	0.026	0.025	0.023	0.038	0.031	0.062	0.06	0.04	0.021	0.031	0.032	0.021	0.024	0.027	0.029
t22	0.027	0.066	0.04	0.025	0.02	0.027	0.03	0.044	0.02	0.038	0.037	0.029	0.031	0.027	0.037	0.041	0.027	0.027	0.042	0.03	0.047	0.049	0.042	0.024	0.033	0.036	0.01	0.038	0.036	0.021
t24	0.026	0.054	0.039	0.035	0.021	0.033	0.026	0.038	0.022	0.033	0.035	0.029	0.034	0.049	0.034	0.027	0.019	0.02	0.024	0.035	0.044	0.039	0.042	0.027	0.044	0.032	0.014	0.043	0.041	0.043
t48	0.032	0.065	0.044	0.035	0.022	0.024	0.025	0.031	0.027	0.042	0.035	0.024	0.035	0.044	0.038	0.025	0.025	0.02	0.027	0.03	0.047	0.043	0.044	0.026	0.04	0.035	0.017	0.032	0.036	0.03
t40	0.027	0.057	0.032	0.038	0.03	0.028	0.016	0.039	0.026	0.035	0.035	0.024	0.037	0.048	0.034	0.027	0.034	0.017	0.026	0.038	0.042	0.059	0.039	0.022	0.03	0.032	0.02	0.05	0.035	0.025
t17	0.029	0.064	0.044	0.032	0.021	0.031	0.018	0.041	0.024	0.043	0.028	0.023	0.026	0.037	0.035	0.037	0.019	0.019	0.047	0.038	0.059	0.051	0.042	0.027	0.023	0.035	0.028	0.03	0.026	0.022
t42	0.028	0.078	0.039	0.032	0.025	0.027	0.035	0.043	0.021	0.036	0.022	0.027	0.032	0.043	0.034	0.035	0.021	0.018	0.037	0.033	0.043	0.044	0.033	0.025	0.028	0.034	0.018	0.041	0.037	0.03
t1	0.026	0.068	0.044	0.035	0.029	0.03	0.022	0.041	0.025	0.036	0.029	0.024	0.04	0.027	0.034	0.041	0.02	0.021	0.036	0.028	0.044	0.045	0.033	0.023	0.039	0.031	0.017	0.048	0.043	0.022
t14	0.025	0.059	0.033	0.026	0.027	0.021	0.035	0.033	0.032	0.039	0.027	0.03	0.029	0.031	0.033	0.043	0.017	0.017	0.045	0.029	0.049	0.041	0.04	0.024	0.041	0.031	0.011	0.057	0.038	0.035
t16	0.028	0.061	0.037	0.035	0.015	0.022	0.01	0.031	0.021	0.034	0.032	0.019	0.035	0.065	0.036	0.027	0.028	0.015	0.027	0.036	0.046	0.046	0.038	0.026	0.031	0.034	0.035	0.039	0.053	0.04
t28	0.022	0.069	0.044	0.039	0.015	0.028	0.02	0.023	0.022	0.04	0.028	0.031	0.026	0.056	0.034	0.039	0.022	0.017	0.035	0.034	0.055	0.058	0.038	0.024	0.027	0.034	0.022	0.037	0.035	0.029
t4	0.026	0.064	0.059	0.03	0.017	0.027	0.023	0.026	0.019	0.034	0.033	0.025	0.028	0.049	0.034	0.022	0.03	0.02	0.026	0.037	0.061	0.063	0.044	0.027	0.032	0.034	0.025	0.028	0.033	0.024
t7	0.021	0.071	0.033	0.03	0.021	0.028	0.022	0.029	0.025	0.039	0.024	0.027	0.025	0.053	0.034	0.037	0.02	0.019	0.043	0.034	0.046	0.048	0.036	0.026	0.041	0.032	0.018	0.035	0.039	0.044
t25	0.027	0.054	0.064	0.034	0.016	0.027	0.019	0.035	0.033	0.033	0.035	0.027	0.043	0.066	0.032	0.024	0.012	0.021	0.039	0.03	0.041	0.039	0.04	0.024	0.043	0.031	0.017	0.038	0.034	0.023
t15	0.027	0.049	0.045	0.037	0.022	0.031	0.019	0.028	0.023	0.038	0.028	0.023	0.031	0.056	0.036	0.035	0.029	0.016	0.033	0.038	0.049	0.039	0.038	0.026	0.03	0.033	0.029	0.049	0.041	0.021
t34	0.025	0.057	0.047	0.034	0.028	0.026	0.014	0.032	0.031	0.046	0.033	0.028	0.027	0.064	0.034	0.034	0.036	0.018	0.028	0.033	0.036	0.059	0.046	0.02	0.022	0.03	0.019	0.029	0.034	0.029
t37	0.025	0.059	0.037	0.034	0.017	0.025	0.024	0.031	0.026	0.045	0.032	0.025	0.031	0.07	0.036	0.034	0.021	0.018	0.042	0.031	0.034	0.048	0.047	0.026	0.033	0.034	0.015	0.03	0.043	0.027
t26	0.029	0.077	0.068	0.035	0.022	0.022	0.019	0.024	0.021	0.036	0.031	0.017	0.03	0.028	0.032	0.049	0.019	0.019	0.049	0.029	0.047	0.033	0.039	0.025	0.026	0.032	0.016	0.049	0.042	0.038
t49	0.024	0.066	0.048	0.025	0.025	0.032	0.019	0.035	0.022	0.032	0.031	0.029	0.039	0.073	0.033	0.036	0.024	0.021	0.028	0.033	0.047	0.048	0.04	0.026	0.029	0.032	0.021	0.038	0.021	0.024
t9	0.026	0.072	0.049	0.035	0.02	0.028	0.027	0.029	0.021	0.035	0.028	0.022	0.03	0.055	0.034	0.025	0.019	0.018	0.056	0.028	0.044	0.049	0.041	0.023	0.025	0.033	0.026	0.043	0.034	0.024
t3	0.027	0.054	0.044	0.029	0.017	0.026	0.012	0.035	0.023	0.04	0.037	0.022	0.032	0.083	0.031	0.027	0.028	0.017	0.032	0.036	0.038	0.051	0.042	0.027	0.034	0.034	0.03	0.031	0.039	0.024
t19	0.024	0.066	0.037	0.034	0.028	0.027	0.021	0.035	0.031	0.042	0.029	0.026	0.032	0.027	0.035	0.046	0.014	0.019	0.041	0.032	0.056	0.049	0.046	0.026	0.031	0.033	0.026	0.034	0.031	0.021
t30	0.028	0.059	0.051	0.035	0.032	0.024	0.021	0.034	0.022	0.04	0.043	0.023	0.029	0.037	0.036	0.04	0.021	0.022	0.024	0.036	0.033	0.045	0.042	0.023	0.032	0.035	0.021	0.042	0.037	0.032
t35	0.029	0.05	0.036	0.028	0.022	0.031	0.038	0.038	0.022	0.036	0.027	0.025	0.022	0.058	0.035	0.026	0.038	0.023	0.026	0.034	0.034	0.068	0.038	0.024	0.023	0.032	0.015	0.04	0.046	0.037
t33	0.028	0.051	0.044	0.042	0.019	0.029	0.047	0.033	0.029	0.042	0.031	0.027	0.028	0.034	0.036	0.048	0.012	0.027	0.027	0.034	0.055	0.038	0.039	0.025	0.033	0.034	0.015	0.04	0.027	0.026
t39	0.024	0.075	0.034	0.036	0.018	0.023	0.027	0.029	0.03	0.032	0.031	0.03	0.028	0.03	0.034	0.037	0.029	0.017	0.032	0.035	0.045	0.054	0.041	0.024	0.04	0.033	0.019	0.044	0.039	0.03
t29	0.032	0.056	0.036	0.034	0.019	0.031	0.027	0.033	0.026	0.047	0.038	0.03	0.033	0.031	0.036	0.042	0.016	0.024	0.032	0.035	0.041	0.063	0.044	0.028	0.031	0.035	0.018	0.029	0.032	0.022
t6	0.028	0.08	0.052	0.033	0.028	0.024	0.024	0.034	0.023	0.034	0.037	0.031	0.025	0.031	0.034	0.053	0.021	0.025	0.024	0.032	0.049	0.045	0.033	0.023	0.028	0.033	0.014	0.028	0.041	0.034
