feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t12	0.019	0.504	1.53	-0.408	-0.259	0.042	-0.093	0.143	-0.558	0.56	-0.194	-0.371	-0.291	4.103	-0.022	1.208	-2.297	-0.591	-0.206	0.012	2.252	-0.021	0.901	-0.353	-1.477	-0.193	-2.893	-0.287	-1.024	0.264
t18	0.171	1.169	1.119	0.468	0.14	0.197	-0.24	-0.405	-2.217	-0.214	1.077	-0.796	-0.285	-2.805	0.339	-0.206	0.163	-0.393	0.718	0.475	-0.625	0.736	0.269	-0.395	0.524	0.305	0.419	0.146	0.172	-0.029
t38	-0.277	0.654	1.26	0.345	1.568	-0.715	1.456	-0.456	-0.131	0.275	-0.519	0.162	0.685	-0.326	0.035	0.199	-1.496	-0.823	-1.41	0.298	1.758	1.288	0.042	0.303	0.156	0.305	-2.016	-0.738	-0.551	-1.331
t20	-0.579	1.231	1.292	-0.853	-0.283	-0.616	-1.12	-0.583	1.436	0.52	0.049	-1.132	-0.215	-0.544	-0.281	1.78	-2.005	0.017	1.086	-0.51	1.526	-0.529	0.201	-0.491	0.065	-0.253	1.092	-0.647	-0.018	0.365
t46	-0.096	1.978	2.437	1.627	-1.123	-1.538	-0.462	-0.761	-1.373	0.449	-0.144	-0.907	0.259	-1.91	0.267	-0.964	0.959	-1.492	0.613	0.585	0.667	0.445	0.946	0.316	-0.096	0.282	-1.354	-0.285	0.793	-0.117
t21	-0.981	0.617	1.46	-0.951	-0.091	-0.967	-0.97	0.302	-0.853	0.143	-0.153	-0.623	0.457	3.633	-0.283	1.096	-1.707	-1.431	1.881	0.15	-0.848	1.819	-0.56	-0.437	-1.023	-0.352	0.182	0.953	-0.536	0.075
t43	-0.514	0.714	-0.928	0.538	0.851	0.09	-1.613	-0.234	-0.061	-0.841	0.094	-1.443	-0.287	-1.152	-0.043	3.078	1.701	-0.321	-0.548	0.319	0.789	-0.126	0.122	0.098	-0.2	0.225	-0.904	0.144	-0.301	0.754
t27	-0.382	0.721	-0.022	-0.663	-0.706	0.237	-0.011	-0.432	0.536	0.394	0.453	-0.656	1.505	2.345	0.219	-0.818	-1.807	-0.553	0.927	0.051	-1.599	0.697	0.072	-0.343	-0.676	-0.09	-0.721	0.104	0.283	0.936
t23	-0.817	1.153	0.621	0.537	0.511	-0.559	0.154	-0.806	-2.801	-0.362	0.218	-0.205	0.657	-1.618	-0.018	1.769	1.155	-0.292	-0.546	-0.611	0.532	-0.746	0.149	-0.086	0.181	-0.129	2.228	0.774	0.418	-1.459
t8	0.476	1.638	-0.519	0.769	-0.353	0.21	0.366	0.559	0.947	0.006	-0.373	-0.479	-0.596	1.131	0.141	0.027	1.29	-1.673	-0.225	-0.709	-0.709	-0.087	-0.145	0.128	-0.085	0.026	-1.845	-1.443	-0.501	2.028
t31	-0.132	-0.158	2.25	-0.522	-2.087	-0.299	-1.604	0.654	0.943	0.262	-0.343	0.075	-0.063	1.311	-0.203	-1.216	-0.263	0.792	0.96	-0.122	1.954	1.731	0.389	-1.053	-0.09	-0.012	-0.2	-1.721	-1.268	0.034
t22	-0.083	0.714	0.027	-1.539	-0.938	-0.235	0.715	1.501	-0.729	0.361	0.905	0.443	0.03	-1.753	0.441	0.644	0.024	1.428	1.259	-0.411	0.697	0.76	0.547	-0.625	0.164	0.469	-3.457	0.213	-0.107	-1.465
t24	-0.352	-0.209	-0.346	0.673	-0.376	0.631	-0.294	0.569	-0.578	-0.363	0.506	0.234	-0.031	0.358	-0.029	-1.211	-0.258	-0.814	-2.053	0.572	0.278	-0.68	0.39	0.112	1.76	-0.139	-1.444	0.637	0.93	1.526
