feature	pagel_lam_mle	pagel_lam_sim	pagel_lam_sim_source	pagel_lam_sim_spec	pagel_lam_sim_alpha	pagel_lam_sim_beta	pagel_lam_mode	pagel_lam_mode_requested
feature_1	0.387533026028905	0.529	beta	beta:10,10	10	10	global	global
feature_2	0.387533026028905	0.595	beta	beta:10,10	10	10	global	global
feature_3	0.387533026028905	0.507	beta	beta:10,10	10	10	global	global
feature_4	0.387533026028905	0.476	beta	beta:10,10	10	10	global	global
feature_5	0.387533026028905	0.518	beta	beta:10,10	10	10	global	global
feature_6	0.387533026028905	0.405	beta	beta:10,10	10	10	global	global
feature_7	0.387533026028905	0.545	beta	beta:10,10	10	10	global	global
feature_8	0.387533026028905	0.586	beta	beta:10,10	10	10	global	global
feature_9	0.387533026028905	0.431	beta	beta:10,10	10	10	global	global
feature_10	0.387533026028905	0.53	beta	beta:10,10	10	10	global	global
feature_11	0.387533026028905	0.501	beta	beta:10,10	10	10	global	global
feature_12	0.387533026028905	0.369	beta	beta:10,10	10	10	global	global
feature_13	0.387533026028905	0.488	beta	beta:10,10	10	10	global	global
feature_14	0.387533026028905	0.679	beta	beta:10,10	10	10	global	global
feature_15	0.387533026028905	0.458	beta	beta:10,10	10	10	global	global
feature_16	0.387533026028905	0.296	beta	beta:10,10	10	10	global	global
feature_17	0.387533026028905	0.489	beta	beta:10,10	10	10	global	global
feature_18	0.387533026028905	0.598	beta	beta:10,10	10	10	global	global
feature_19	0.387533026028905	0.517	beta	beta:10,10	10	10	global	global
feature_20	0.387533026028905	0.561	beta	beta:10,10	10	10	global	global
feature_21	0.387533026028905	0.458	beta	beta:10,10	10	10	global	global
feature_22	0.387533026028905	0.366	beta	beta:10,10	10	10	global	global
feature_23	0.387533026028905	0.536	beta	beta:10,10	10	10	global	global
feature_24	0.387533026028905	0.356	beta	beta:10,10	10	10	global	global
feature_25	0.387533026028905	0.464	beta	beta:10,10	10	10	global	global
feature_26	0.387533026028905	0.502	beta	beta:10,10	10	10	global	global
feature_27	0.387533026028905	0.518	beta	beta:10,10	10	10	global	global
feature_28	0.387533026028905	0.567	beta	beta:10,10	10	10	global	global
feature_29	0.387533026028905	0.308	beta	beta:10,10	10	10	global	global
feature_30	0.387533026028905	0.412	beta	beta:10,10	10	10	global	global
